ligand_id,molecule_chembl_id,smiles,pchembl,scaffold,n_meas,sdf,pdbqt
L0011,CHEMBL364767,Cc1[nH]c([N+](=O)[O-])c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,7.52,c1ccc(Nc2nccc(-c3cc[nH]c3)n2)cc1,1,L0011.sdf,L0011.pdbqt
L0012,CHEMBL364408,Cc1c[nH]c(C)c1-c1ccnc(Nc2cccc([N+](=O)[O-])c2)n1,7.3,c1ccc(Nc2nccc(-c3cc[nH]c3)n2)cc1,1,L0012.sdf,L0012.pdbqt
L0013,CHEMBL183158,Cc1ccc(Nc2nccc(-c3c(C)[nH]c(C#N)c3C)n2)cc1[N+](=O)[O-],7.3,c1ccc(Nc2nccc(-c3cc[nH]c3)n2)cc1,1,L0013.sdf,L0013.pdbqt
L0014,CHEMBL184253,Cc1[nH]c(C#N)c(C)c1-c1ccnc(Nc2ccc(O)cc2)n1,7.3,c1ccc(Nc2nccc(-c3cc[nH]c3)n2)cc1,1,L0014.sdf,L0014.pdbqt
L0015,CHEMBL362722,Cc1[nH]c(C(N)=O)c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,7.1,c1ccc(Nc2nccc(-c3cc[nH]c3)n2)cc1,1,L0015.sdf,L0015.pdbqt
L0016,CHEMBL185310,Cc1cc(Nc2nccc(-c3c(C)[nH]c(C#N)c3C)n2)ccc1F,7.05,c1ccc(Nc2nccc(-c3cc[nH]c3)n2)cc1,1,L0016.sdf,L0016.pdbqt
L0017,CHEMBL185323,Cc1[nH]c(C#N)c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,7.0,c1ccc(Nc2nccc(-c3cc[nH]c3)n2)cc1,1,L0017.sdf,L0017.pdbqt
L0018,CHEMBL359623,Cc1ccc(Nc2nccc(-c3c(C)[nH]c(C#N)c3C)n2)cc1O,6.89,c1ccc(Nc2nccc(-c3cc[nH]c3)n2)cc1,1,L0018.sdf,L0018.pdbqt
L0019,CHEMBL264345,Cc1[nH]c(C#N)c(C)c1-c1ccnc(Nc2cccc([N+](=O)[O-])c2)n1,6.85,c1ccc(Nc2nccc(-c3cc[nH]c3)n2)cc1,1,L0019.sdf,L0019.pdbqt
L0020,CHEMBL185099,Cc1[nH]c(Br)c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,6.57,c1ccc(Nc2nccc(-c3cc[nH]c3)n2)cc1,1,L0020.sdf,L0020.pdbqt
L0021,CHEMBL365245,Cc1[nH]c(Cl)c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,6.44,c1ccc(Nc2nccc(-c3cc[nH]c3)n2)cc1,1,L0021.sdf,L0021.pdbqt
L0022,CHEMBL3655770,CC[C@H](Nc1nc(NCc2ccncc2)c2ncn(C(C)C)c2n1)[C@@H](C)O,7.4,c1cc(CNc2ncnc3[nH]cnc23)ccn1,1,L0022.sdf,L0022.pdbqt
L0023,CHEMBL3655771,CC[C@H](Nc1nc(NCc2cc(C)nc(C)c2)c2ncn(C(C)C)c2n1)[C@@H](C)O,7.3,c1cc(CNc2ncnc3[nH]cnc23)ccn1,1,L0023.sdf,L0023.pdbqt
L0024,CHEMBL397531,CCNC(=O)N1CCC(Nc2ncc(Cl)c(-c3cnc4ccccn34)n2)CC1,6.22,c1ccn2c(-c3ccnc(NC4CCNCC4)n3)cnc2c1,1,L0024.sdf,L0024.pdbqt
L0025,CHEMBL246543,CCNC(=O)N1CCC(Nc2nccc(-c3cnc4ccccn34)n2)CC1,5.38,c1ccn2c(-c3ccnc(NC4CCNCC4)n3)cnc2c1,1,L0025.sdf,L0025.pdbqt
L0026,CHEMBL6144593,O=C(NCC1CCOCC1)c1cc(C(F)(F)F)c(N2CCOCC2)nn1,7.7,O=C(NCC1CCOCC1)c1ccc(N2CCOCC2)nn1,1,L0026.sdf,L0026.pdbqt
L0027,CHEMBL3701063,Cc1nccc(-c2ccc(C(=O)N(C)C)c(Cl)c2)c1C#Cc1ccc(N)nc1,5.385,C(#Cc1cnccc1-c1ccccc1)c1cccnc1,2,L0027.sdf,L0027.pdbqt
L0028,CHEMBL560817,CN1CCN(c2ccc(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)cc2)CC1,8.7,c1cc(N2CCNCC2)ccc1Nc1ncc2c(n1)-c1[nH]ncc1CC2,1,L0028.sdf,L0028.pdbqt
L0029,CHEMBL563641,CN1CCN(c2ccc(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)C(C)(C)C4)cc2)CC1,7.77,c1cc(N2CCNCC2)ccc1Nc1ncc2c(n1)-c1[nH]ncc1CC2,1,L0029.sdf,L0029.pdbqt
L0030,CHEMBL559844,CNC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc1-2,7.35,c1cc(N2CCNCC2)ccc1Nc1ncc2c(n1)-c1[nH]ncc1CC2,1,L0030.sdf,L0030.pdbqt
L0031,CHEMBL564829,CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc1-2,7.35,c1cc(N2CCNCC2)ccc1Nc1ncc2c(n1)-c1[nH]ncc1CC2,5,L0031.sdf,L0031.pdbqt
L0032,CHEMBL404747,O=C(Cc1ccccc1)Nc1n[nH]c2ccc(N3CCCC3=O)cc12,6.77,O=C(Cc1ccccc1)Nc1n[nH]c2ccc(N3CCCC3=O)cc12,1,L0032.sdf,L0032.pdbqt
L0033,CHEMBL4756353,CN(C)C/C=C/C(=O)Nc1ccc(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)cc1,8.11,O=C(Nc1ncc(SCc2ncco2)s1)c1ccccc1,1,L0033.sdf,L0033.pdbqt
L0034,CHEMBL4786429,CN(C)C/C=C/C(=O)Nc1cccc(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)c1,7.54,O=C(Nc1ncc(SCc2ncco2)s1)c1ccccc1,1,L0034.sdf,L0034.pdbqt
L0035,CHEMBL379495,COc1ccc(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)cc1OC,7.3,O=C(Nc1ncc(SCc2ncco2)s1)c1ccccc1,1,L0035.sdf,L0035.pdbqt
L0036,CHEMBL4643057,C=CC(=O)Nc1cccc(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)c1,7.23,O=C(Nc1ncc(SCc2ncco2)s1)c1ccccc1,1,L0036.sdf,L0036.pdbqt
L0037,CHEMBL5287079,N[C@H](COc1cncc(-c2ccc3[nH]nc(NC(=O)c4ccccc4)c3c2)c1)c1ccccc1,6.92,O=C(Nc1n[nH]c2ccc(-c3cncc(OCCc4ccccc4)c3)cc12)c1ccccc1,1,L0037.sdf,L0037.pdbqt
L0038,CHEMBL3890286,CCN(CC)C1CCN(C(=O)c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)C1,6.54,O=C1NCC2(CCCCC2)n2c1cc1cnc(Nc3ccc(C(=O)N4CCCC4)cn3)nc12,1,L0038.sdf,L0038.pdbqt
L0039,CHEMBL4303287,CN(C)C/C=C/C(=O)Nc1cccc(C(=O)Nc2cccc(Nc3ncc(Cl)c(-c4c[nH]c5ccccc45)n3)c2)c1,6.83,O=C(Nc1cccc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c1)c1ccccc1,2,L0039.sdf,L0039.pdbqt
L0040,CHEMBL3920345,O=C1NCC2(CCCC2)n2c1cc1cnc(Nc3ccc(N4CCOCC4)nn3)nc12,5.6850000000000005,O=C1NCC2(CCCC2)n2c1cc1cnc(Nc3ccc(N4CCOCC4)nn3)nc12,2,L0040.sdf,L0040.pdbqt
L0041,CHEMBL5416114,N[C@H]1CCN(c2c3c(nc4ccc(-c5ccnc(NC(=O)C6CC6)n5)cc24)CCCCC3)C1,7.94,O=C(Nc1nccc(-c2ccc3nc4c(c(N5CCCC5)c3c2)CCCCC4)n1)C1CC1,1,L0041.sdf,L0041.pdbqt
L0042,CHEMBL4471323,CCC1SCC(=O)N1c1c(C#N)c2n(c1C(=O)Nc1ccccc1)CCC2,6.2,O=C(Nc1ccccc1)c1c(N2CSCC2=O)cc2n1CCC2,1,L0042.sdf,L0042.pdbqt
L0043,CHEMBL1794054,NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3cccc(CCc4ccncc4)c32)cc1,7.68,O=C1Nc2cccc(CCc3ccncc3)c2/C1=N/Nc1ccccc1,2,L0043.sdf,L0043.pdbqt
L0044,CHEMBL2348182,CNc1nccc(-n2ccc3ccc(C#N)cc32)n1,5.57,c1ccc2c(c1)ccn2-c1ccncn1,1,L0044.sdf,L0044.pdbqt
L0045,CHEMBL2334964,Nc1nccc(-n2ccc3ccc(Cl)cc32)n1,5.43,c1ccc2c(c1)ccn2-c1ccncn1,1,L0045.sdf,L0045.pdbqt
L0046,CHEMBL2348173,Nc1nccc(-n2ccc3ccc(O)cc32)n1,5.3,c1ccc2c(c1)ccn2-c1ccncn1,1,L0046.sdf,L0046.pdbqt
L0047,CHEMBL2334965,Nc1nccc(-n2ccc3ccc(Br)cc32)n1,5.09,c1ccc2c(c1)ccn2-c1ccncn1,1,L0047.sdf,L0047.pdbqt
L0048,CHEMBL2348171,C#Cc1ccc2ccn(-c3ccnc(N)n3)c2c1,5.0,c1ccc2c(c1)ccn2-c1ccncn1,1,L0048.sdf,L0048.pdbqt
L0049,CHEMBL2334966,N#Cc1ccc2ccn(-c3ccnc(N)n3)c2c1,4.78,c1ccc2c(c1)ccn2-c1ccncn1,2,L0049.sdf,L0049.pdbqt
L0050,CHEMBL2348172,Nc1nccc(-n2ccc3ccc(C(F)(F)F)cc32)n1,4.77,c1ccc2c(c1)ccn2-c1ccncn1,1,L0050.sdf,L0050.pdbqt
L0051,CHEMBL2348176,Nc1nccc(-n2ccc3ccccc32)n1,4.54,c1ccc2c(c1)ccn2-c1ccncn1,1,L0051.sdf,L0051.pdbqt
L0052,CHEMBL2348175,Nc1nccc(-n2ccc3ccc(F)cc32)n1,4.47,c1ccc2c(c1)ccn2-c1ccncn1,1,L0052.sdf,L0052.pdbqt
L0053,CHEMBL540752,Cc1nnc2sc(S)nn12,5.17,c1nn2cnnc2s1,1,L0053.sdf,L0053.pdbqt
L0054,CHEMBL551722,Cc1nnc2sc(NN)nn12,4.96,c1nn2cnnc2s1,1,L0054.sdf,L0054.pdbqt
L0055,CHEMBL542013,CCSc1nn2c(C)nnc2s1,4.96,c1nn2cnnc2s1,1,L0055.sdf,L0055.pdbqt
L0056,CHEMBL5207871,CC(C)n1cc(-c2ccnc3[nH]c(C4CCN(CC(=O)N5CCCC5)CC4)cc23)ccc1=O,5.52,O=C(CN1CCC(c2cc3c(-c4ccc(=O)[nH]c4)ccnc3[nH]2)CC1)N1CCCC1,2,L0056.sdf,L0056.pdbqt
L0057,CHEMBL487526,CN1CCN(c2ccc(N/C=C3\C(=O)NC(=O)c4ccc(C(=O)N(C)C)cc43)cc2)CC1,4.33,O=C1NC(=O)c2ccccc2/C1=C/Nc1ccc(N2CCNCC2)cc1,1,L0057.sdf,L0057.pdbqt
L0058,CHEMBL486285,CN1CCN(c2ccc(N/C=C3\C(=O)NC(=O)c4cc(Br)ccc43)cc2)CC1,4.33,O=C1NC(=O)c2ccccc2/C1=C/Nc1ccc(N2CCNCC2)cc1,1,L0058.sdf,L0058.pdbqt
L0059,CHEMBL6174162,COc1ccc(NC(=O)NNC(=O)c2oc3ccccc3c2CN2CCN(c3ccccc3)CC2)cn1,4.35,O=C(NNC(=O)c1oc2ccccc2c1CN1CCN(c2ccccc2)CC1)Nc1cccnc1,1,L0059.sdf,L0059.pdbqt
L0060,CHEMBL550712,Nc1nc(O)c(Cc2nn3c(Cc4ccccc4)nnc3s2)s1,4.85,c1ccc(Cc2nnc3sc(Cc4cncs4)nn23)cc1,1,L0060.sdf,L0060.pdbqt
L0061,CHEMBL3953160,COc1cc(F)ccc1-c1nc(Nc2cc(C)cc(CS(C)(=O)=NC#N)c2)ncc1F,6.66,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,1,L0061.sdf,L0061.pdbqt
L0062,CHEMBL3932396,COCCOC(=O)N=S(C)(=O)Cc1cc(F)cc(Nc2ncc(F)c(-c3ccc(F)cc3OC)n2)c1,6.48,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,1,L0062.sdf,L0062.pdbqt
L0063,CHEMBL3946675,COc1cc(F)ccc1-c1nc(Nc2cc(Br)cc(CS(C)(=N)=O)c2)ncc1F,6.96,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,3,L0063.sdf,L0063.pdbqt
L0064,CHEMBL3967588,COc1cc(F)ccc1-c1nc(Nc2cc(Cl)cc(CS(C)(=O)=NC#N)c2)ncc1F,6.8,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,1,L0064.sdf,L0064.pdbqt
L0065,CHEMBL3916775,CNC(=O)N=S(C)(=O)Cc1cccc(Nc2ncc(F)c(-c3ccc(F)cc3OC)n2)c1,6.37,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,1,L0065.sdf,L0065.pdbqt
L0066,CHEMBL3912866,COc1cc(F)ccc1-c1nc(Nc2cc(CS(C)(=N)=O)cc(C(F)(F)C(F)(F)F)c2)ncc1F,6.64,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,1,L0066.sdf,L0066.pdbqt
L0067,CHEMBL1241566,Cc1ccc(F)c(Nc2nccc(-c3ccc(S(N)(=O)=O)cc3)n2)c1,7.5,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,1,L0067.sdf,L0067.pdbqt
L0068,CHEMBL3134612,COc1cc(Nc2nccc(-c3ccc(Cl)cc3)n2)cc(OC)c1OC,4.73,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,1,L0068.sdf,L0068.pdbqt
L0069,CHEMBL3937866,COc1cc(F)ccc1-c1nc(Nc2cc(CS(C)(=O)=NC#N)cc(C(F)(F)F)c2)ncc1F,6.7,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,1,L0069.sdf,L0069.pdbqt
L0070,CHEMBL3906489,CCOC(=O)N=S(C)(=O)Cc1cccc(Nc2ncc(F)c(-c3ccc(F)cc3OC)n2)c1,6.11,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,1,L0070.sdf,L0070.pdbqt
L0071,CHEMBL3984385,COc1cc(F)ccc1-c1nc(Nc2cc(CS(C)(=O)=NC#N)cc(C(F)(F)C(F)(F)F)c2)ncc1F,6.2,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,1,L0071.sdf,L0071.pdbqt
L0072,CHEMBL3934141,COc1cc(CS(C)(=O)=NC#N)cc(Nc2ncc(F)c(-c3ccc(F)cc3OC)n2)c1,6.89,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,1,L0072.sdf,L0072.pdbqt
L0073,CHEMBL3905335,COc1cc(F)ccc1-c1nc(Nc2cc(CS(C)(=N)=O)cc(C(F)(F)F)c2)ncc1F,6.75,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,1,L0073.sdf,L0073.pdbqt
L0074,CHEMBL3959867,CCOc1cc(F)ccc1-c1nc(Nc2cc(F)cc(CS(C)(=N)=O)c2)ncc1F,6.58,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,3,L0074.sdf,L0074.pdbqt
L0075,CHEMBL3976450,CCS(=N)(=O)Cc1cccc(Nc2ncc(F)c(-c3ccc(F)cc3OC)n2)c1,6.42,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,3,L0075.sdf,L0075.pdbqt
L0076,CHEMBL3960348,COc1cc(F)ccc1-c1nc(Nc2cccc(CS(C)(=O)=NC#N)c2)ncc1F,6.48,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,3,L0076.sdf,L0076.pdbqt
L0077,CHEMBL3897217,COc1cc(F)ccc1-c1nc(Nc2cc(F)c(F)c(CS(C)(=N)=O)c2)ncc1F,6.75,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,3,L0077.sdf,L0077.pdbqt
L0078,CHEMBL3917892,CCS(=N)(=O)Cc1cc(F)cc(Nc2ncc(F)c(-c3ccc(F)cc3OC)n2)c1,6.6,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,3,L0078.sdf,L0078.pdbqt
L0079,CHEMBL3960677,COc1cc(CS(C)(=N)=O)cc(Nc2ncc(F)c(-c3ccc(F)cc3OC)n2)c1,6.72,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,3,L0079.sdf,L0079.pdbqt
L0080,CHEMBL3979266,CCS(=O)(Cc1cc(F)cc(Nc2ncc(F)c(-c3ccc(F)cc3OC)n2)c1)=NC#N,6.8,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,1,L0080.sdf,L0080.pdbqt
L0081,CHEMBL3923419,CCOc1cc(F)ccc1-c1nc(Nc2cc(F)cc(CS(C)(=O)=NC#N)c2)ncc1F,6.54,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,1,L0081.sdf,L0081.pdbqt
L0082,CHEMBL3919796,COc1cc(F)ccc1-c1nc(Nc2cc(Br)cc(CS(C)(=O)=NC#N)c2)ncc1F,6.92,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,1,L0082.sdf,L0082.pdbqt
L0083,CHEMBL3962241,COc1cc(F)ccc1-c1nc(Nc2cc(F)cc(CS(C)(=N)=O)c2)ncc1F,6.51,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,3,L0083.sdf,L0083.pdbqt
L0084,CHEMBL3959283,CCS(=O)(Cc1cccc(Nc2ncc(F)c(-c3ccc(F)cc3OC)n2)c1)=NC#N,6.77,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,1,L0084.sdf,L0084.pdbqt
L0085,CHEMBL3934755,CCOC(=O)N=S(C)(=O)Cc1cc(F)cc(Nc2ncc(F)c(-c3ccc(F)cc3OC)n2)c1,6.25,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,1,L0085.sdf,L0085.pdbqt
L0086,CHEMBL507142,CNC(=O)c1ccc(Nc2nccc(-c3cnc(C4CC4)n3C(C)C)n2)cc1,7.09,c1ccc(Nc2nccc(-c3cnc(C4CC4)[nH]3)n2)cc1,1,L0086.sdf,L0086.pdbqt
L0087,CHEMBL363037,Nc1nc2ccc(C(=O)c3c(F)cccc3F)cn2c1C(=O)c1ccncc1,5.6,O=C(c1ccccc1)c1ccc2ncc(C(=O)c3ccncc3)n2c1,1,L0087.sdf,L0087.pdbqt
L0088,CHEMBL4095226,Nc1nccc(-c2c[nH]c3ncc(-c4ccc(F)cc4)cc23)n1,8.26,c1ccc(-c2cnc3[nH]cc(-c4ccncn4)c3c2)cc1,1,L0088.sdf,L0088.pdbqt
L0089,CHEMBL202695,CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3ncnn23)cc1,6.92,c1ccc(Nc2cc(NC3CCCCC3)nc3ncnn23)cc1,2,L0089.sdf,L0089.pdbqt
L0090,CHEMBL206659,CS(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3ncnn23)cc1,6.6,c1ccc(Nc2cc(NC3CCCCC3)nc3ncnn23)cc1,1,L0090.sdf,L0090.pdbqt
L0091,CHEMBL380331,NS(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3ncnn23)cc1,6.57,c1ccc(Nc2cc(NC3CCCCC3)nc3ncnn23)cc1,1,L0091.sdf,L0091.pdbqt
L0092,CHEMBL203569,NS(=O)(=O)c1ccc(Nc2cc(NC3CCCCC3)nc3ncnn23)cc1,6.14,c1ccc(Nc2cc(NC3CCCCC3)nc3ncnn23)cc1,1,L0092.sdf,L0092.pdbqt
L0093,CHEMBL203573,NS(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](O)CC3)nc3ncnn23)cc1,5.13,c1ccc(Nc2cc(NC3CCCCC3)nc3ncnn23)cc1,1,L0093.sdf,L0093.pdbqt
L0094,CHEMBL4161364,N=c1[nH]c(=O)[nH]c2c1cnn2-c1ccc(S(N)(=O)=O)cc1,6.72,N=c1[nH]c(=O)[nH]c2c1cnn2-c1ccccc1,1,L0094.sdf,L0094.pdbqt
L0095,CHEMBL6171172,Nc1cc(-c2c[nH]c3ccccc23)nn1-c1nc(Nc2ccc(Cl)cc2)nc(N2CCOCC2)n1,6.96,c1ccc(Nc2nc(N3CCOCC3)nc(-n3ccc(-c4c[nH]c5ccccc45)n3)n2)cc1,1,L0095.sdf,L0095.pdbqt
L0096,CHEMBL6166339,Nc1cc(-c2c[nH]c3ccccc23)nn1-c1nc(Nc2ccc(Br)cc2)nc(N2CCOCC2)n1,6.87,c1ccc(Nc2nc(N3CCOCC3)nc(-n3ccc(-c4c[nH]c5ccccc45)n3)n2)cc1,1,L0096.sdf,L0096.pdbqt
L0097,CHEMBL2348155,Nc1nccc(-n2cc(-c3ccc(Cl)cc3)c3cnccc32)n1,7.22,c1ccc(-c2cn(-c3ccncn3)c3ccncc23)cc1,1,L0097.sdf,L0097.pdbqt
L0098,CHEMBL2348156,Nc1nccc(-n2cc(-c3ccccc3Cl)c3cnccc32)n1,6.96,c1ccc(-c2cn(-c3ccncn3)c3ccncc23)cc1,1,L0098.sdf,L0098.pdbqt
L0099,CHEMBL2348164,Nc1nccc(-n2cc(-c3ccccc3)c3cnccc32)n1,6.51,c1ccc(-c2cn(-c3ccncn3)c3ccncc23)cc1,1,L0099.sdf,L0099.pdbqt
L0100,CHEMBL5270781,CC1CN(c2ccncc2NC(=O)c2ccnn3cc(-c4ccccc4)nc23)CCO1,5.85,O=C(Nc1cnccc1N1CCOCC1)c1ccnn2cc(-c3ccccc3)nc12,1,L0100.sdf,L0100.pdbqt
L0101,CHEMBL191144,C[C@H](C(=O)Nc1cc(C2CC2)[nH]n1)c1ccc(N2CCCC2=O)cc1,7.43,O=C(Cc1ccc(N2CCCC2=O)cc1)Nc1cc(C2CC2)[nH]n1,2,L0101.sdf,L0101.pdbqt
L0102,CHEMBL192471,C[C@@H](C(=O)Nc1cc(C2CC2)[nH]n1)c1ccc(N2CCCC2=O)cc1,5.6,O=C(Cc1ccc(N2CCCC2=O)cc1)Nc1cc(C2CC2)[nH]n1,2,L0102.sdf,L0102.pdbqt
L0103,CHEMBL2035044,CN1C/C=C/CCOc2cc(ccn2)-c2ccnc(n2)Nc2cccc(c2)C1,7.66,C1=C/CNCc2cccc(c2)Nc2nccc(n2)-c2ccnc(c2)OCC/1,1,L0103.sdf,L0103.pdbqt
L0104,CHEMBL2158844,Clc1cccc(Nc2nccc(-c3ccnc(N4CCOCC4)c3)n2)c1,8.05,c1ccc(Nc2nccc(-c3ccnc(N4CCOCC4)c3)n2)cc1,1,L0104.sdf,L0104.pdbqt
L0105,CHEMBL2158845,NS(=O)(=O)c1cccc(Nc2nccc(-c3ccnc(N4CCOCC4)c3)n2)c1,7.72,c1ccc(Nc2nccc(-c3ccnc(N4CCOCC4)c3)n2)cc1,1,L0105.sdf,L0105.pdbqt
L0106,CHEMBL2158848,Cc1cccc(Nc2nccc(-c3ccnc(N4CCOCC4)c3)n2)c1,7.34,c1ccc(Nc2nccc(-c3ccnc(N4CCOCC4)c3)n2)cc1,1,L0106.sdf,L0106.pdbqt
L0107,CHEMBL1760057,c1ccc2ncc(Nc3ccnc(Nc4ccc(OCCCN5CCCCC5)cc4)n3)cc2c1,4.71,c1ccc2ncc(Nc3ccnc(Nc4ccc(OCCCN5CCCCC5)cc4)n3)cc2c1,1,L0107.sdf,L0107.pdbqt
L0108,CHEMBL490240,O=C1NC(=O)c2ccc(C3CCCC3)cc2/C1=C/NCc1cc(O)c(-c2ccoc2)cn1,5.89,O=C1NC(=O)c2ccc(C3CCCC3)cc2/C1=C/NCc1ccc(-c2ccoc2)cn1,1,L0108.sdf,L0108.pdbqt
L0109,CHEMBL5789562,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)[C@H]4CCCN4C)C5)ncc3F)cc2n1C1CC1,7.03,O=C([C@H]1CCCN1)N1CCc2nc(Nc3nccc(-c4ccc5ncn(C6CC6)c5c4)n3)ccc2C1,1,L0109.sdf,L0109.pdbqt
L0110,CHEMBL127907,COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC,6.0,c1ccc(Nc2ncnc3ccccc23)cc1,1,L0110.sdf,L0110.pdbqt
L0111,CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,5.94,c1ccc(Nc2ncnc3ccccc23)cc1,2,L0111.sdf,L0111.pdbqt
L0112,CHEMBL5569715,CC(C)(O)Cn1cc(-c2nc(NC3CCN(S(=O)(=O)C4CC4)CC3)ncc2C(F)(F)F)cn1,7.075,O=S(=O)(C1CC1)N1CCC(Nc2nccc(-c3cn[nH]c3)n2)CC1,2,L0112.sdf,L0112.pdbqt
