AF_Score,BG,DCA_Score,Function,Gene Name,Interacting Partner,Protein Name,RF_Score,SP,Subcellular Locality,UP,confident,pdb,is_membrane,is_cell_surface,AF
0.717,N,0.121,"Activator, Apoptosis, Autophagy, Differentiation, DNA-binding, Transcription, Transcription regulation",FOXO1,Q12778,Forkhead box protein O1,0.3484,N,"Cytoplasm, Nucleus",N,Not confident,none,False,False,0.717
0.712,N,0.13,NA,LINC00869,P0C866,Putative uncharacterized protein encoded by LINC00869,0.3782,N,NA,N,Not confident,none,False,False,0.712
0.698,N,0.234,Developmental protein,LRIG3,Q6UXM1,Leucine-rich repeats and immunoglobulin-like domains protein 3,0.3057,N,"Cell membrane, Cytoplasmic vesicle, Membrane",N,Not confident,none,True,True,0.698
0.6978,N,0.219,"Hydrolase, Lipid degradation, Lipid metabolism, Transducer",PLCH2,O75038,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2",0.3313,N,"Cell membrane, Cytoplasm, Membrane",N,Not confident,none,True,True,0.6978
0.6826,N,0.183,"Transferase, Ubl conjugation pathway",MKRN1,Q9UHC7,E3 ubiquitin-protein ligase makorin-1,0.3206,N,NA,N,Not confident,none,False,False,0.6826
0.675,N,0.223,NA,REM2,Q8IYK8,GTP-binding protein REM 2,0.5166,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.675
0.6626,N,0.192,"Activator, Kinase, Receptor, Transcription, Transcription regulation, Transferase, Tyrosine-protein kinase",ERBB2,P04626,Receptor tyrosine-protein kinase erbB-2,0.3013,Y,"Cell membrane, Cell projection, Cytoplasm, Endosome, Membrane, Nucleus",N,Not confident,none,True,True,0.6626
0.641,N,0.085,"Actin-binding, Transcription, Transcription regulation",MRTFA,Q969V6,Myocardin-related transcription factor A,0.1707,N,"Cytoplasm, Nucleus",N,Not confident,none,False,False,0.641
0.6396,N,0.09,"Cell adhesion, Host cell receptor for virus entry, Host-virus interaction, Receptor",NCAM1,P13591,Neural cell adhesion molecule 1,0.3618,N,"Cell membrane, Membrane, Secreted",N,Not confident,none,True,True,0.6396
0.6304,N,0.023,Ligase,RIMKLA,Q8IXN7,N-acetylaspartylglutamate synthase A,0.1355,C,Cytoplasm,N,high,['Q04609_S0__Q8IXN7_S0.pdb'],False,False,0.6304
0.623,N,0.138,NA,STRIP1,Q5VSL9,Striatin-interacting protein 1,0.3516,N,Cytoplasm,N,Not confident,none,False,False,0.623
0.6143,N,0.16,"Kinase, Receptor, Transferase, Wnt signaling pathway",ROR1,Q01973,Inactive tyrosine-protein kinase transmembrane receptor ROR1,0.5464,N,"Cell projection, Membrane",N,Not confident,none,True,False,0.6143
0.5547,N,0.135,"Activator, Repressor, Transcription, Transcription regulation",YAP1,P46937,Transcriptional coactivator YAP1,0.3376,N,"Cell junction, Cytoplasm, Nucleus",N,Not confident,none,False,False,0.5547
0.53,N,0.177,"Biological rhythms, Kinase, Serine/threonine-protein kinase, Transferase",MAPK8,P45983,Mitogen-activated protein kinase 8,0.4138,N,"Cytoplasm, Nucleus, Synapse",N,Not confident,none,False,False,0.53
0.5283,N,0.134,NA,MEGF9,Q9H1U4,Multiple epidermal growth factor-like domains protein 9,0.3052,N,Membrane,N,Not confident,none,True,False,0.5283
0.517,N,0.185,NA,CRKL,P46109,Crk-like protein,0.3352,N,NA,N,Not confident,none,False,False,0.517
0.508,N,0.047,Hormone,CCK,P06307,Cholecystokinin,0.4692,N,Secreted,N,Not confident,none,False,False,0.508
0.4993,N,0.635,NA,NAALADL2,Q58DX5,Inactive N-acetylated-alpha-linked acidic dipeptidase-like protein 2,0.2086,N,Membrane,N,Not confident,none,True,False,0.4993
0.475,N,0.237,Developmental protein,RTL1,A6NKG5,Retrotransposon-like protein 1,0.3408,N,Membrane,N,Not confident,none,True,False,0.475
0.4543,N,0.154,GTPase activation,SRGAP1,Q7Z6B7,SLIT-ROBO Rho GTPase-activating protein 1,0.515,N,NA,N,Not confident,none,False,False,0.4543
0.4521,N,0.242,RNA-binding,RBM26,Q5T8P6,RNA-binding protein 26,0.33,N,NA,N,Not confident,none,False,False,0.4521
0.4402,N,0.212,"Transferase, Ubl conjugation pathway",RNF13,O43567,E3 ubiquitin-protein ligase RNF13,0.3074,N,"Endoplasmic reticulum, Endosome, Lysosome, Membrane, Nucleus",N,Not confident,none,True,False,0.4402
0.4353,N,0.079,NA,SIRPA,P78324,Tyrosine-protein phosphatase non-receptor type substrate 1,0.2502,N,Membrane,N,Not confident,none,True,False,0.4353
0.433,N,0.035,Mast cell degranulation,GRP,P07492,Gastrin-releasing peptide,0.1752,Y,"Cell projection, Cytoplasmic vesicle, Secreted",N,Not confident,none,False,False,0.433
0.392,N,0.137,"Activator, DNA-binding, Transcription, Transcription regulation",MYCN,P04198,N-myc proto-oncogene protein,0.2544,N,Nucleus,N,Not confident,none,False,False,0.392
0.3735,N,0.316,"Helicase, Hydrolase, Initiation factor, Protein biosynthesis",DHX29,Q7Z478,ATP-dependent RNA helicase DHX29,0.336,N,Cytoplasm,N,Not confident,none,False,False,0.3735
0.3662,N,0.171,Motor protein,KIF1C,O43896,Kinesin-like protein KIF1C,0.3462,N,"Cytoplasm, Cytoskeleton, Microtubule",N,Not confident,none,False,False,0.3662
0.3276,N,0.131,Cell adhesion,PCDH11X,Q9BZA7,Protocadherin-11 X-linked,0.3503,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.3276
0.3196,N,0.178,NA,SRRM3,A6NNA2,Serine/arginine repetitive matrix protein 3,0.3667,N,NA,N,Not confident,none,False,False,0.3196
0.3118,N,0.25,NA,STYX,Q8WUJ0,Serine/threonine/tyrosine-interacting protein,0.5293,N,"Cytoplasm, Nucleus",N,Not confident,none,False,False,0.3118
0.3,N,0.139,NA,RRN3P2,A6NIE6,Putative RRN3-like protein RRN3P2,0.5737,N,NA,N,Not confident,none,False,False,0.3
0.2854,N,0.17,"Cell cycle, Cell division, Electron transport, Respiratory chain, Transport",TTC19,Q6DKK2,"Tetratricopeptide repeat protein 19, mitochondrial",0.3386,N,"Membrane, Mitochondrion, Mitochondrion inner membrane",N,Not confident,none,True,False,0.2854
0.2834,N,0.057,NA,PRRT3,Q5FWE3,Proline-rich transmembrane protein 3,0.1841,N,Membrane,N,Not confident,none,True,False,0.2834
0.2761,Y,0.035,NA,TTMP,Q5BVD1,TPA-induced transmembrane protein,0.1339,N,"Cell membrane, Endoplasmic reticulum, Membrane",Y,Not confident,none,True,True,0.2761
0.2654,N,0.193,Chemotaxis,MOSPD2,Q8NHP6,Motile sperm domain-containing protein 2,0.3777,N,"Endoplasmic reticulum, Membrane",N,Not confident,none,True,False,0.2654
0.263,N,0.237,Cell adhesion,SORBS3,O60504,Vinexin,0.6357,N,"Cell junction, Cytoplasm, Cytoskeleton, Nucleus",N,Not confident,none,False,False,0.263
0.2585,N,0.189,"Cell cycle, Cell division, Mitosis",LRRCC1,Q9C099,Leucine-rich repeat and coiled-coil domain-containing protein 1,0.4155,N,"Cytoplasm, Cytoskeleton",N,Not confident,none,False,False,0.2585
0.2559,N,0.153,"Developmental protein, RNA-binding",RBPMS2,Q6ZRY4,RNA-binding protein with multiple splicing 2,0.3704,N,"Cytoplasm, Nucleus",N,Not confident,none,False,False,0.2559
0.2532,N,0.197,Cell cycle,CDKN2C,P42773,Cyclin-dependent kinase 4 inhibitor C,0.6587,N,NA,N,Not confident,none,False,False,0.2532
0.249,N,1.083,Receptor,TFR2,Q9UP52,Transferrin receptor protein 2,0.2294,N,"Cell membrane, Cytoplasm, Membrane",N,Not confident,none,True,True,0.249
0.2479,N,0.258,"Electron transport, Transport",CYB5A,P00167,Cytochrome b5,0.305,N,"Cytoplasm, Endoplasmic reticulum, Membrane, Microsome",N,Not confident,none,True,False,0.2479
0.2466,N,0.223,"Actin-binding, Ion transport, Transport",LASP1,Q14847,LIM and SH3 domain protein 1,0.388,N,"Cytoplasm, Cytoskeleton",N,Not confident,none,False,False,0.2466
0.2449,N,0.03,Hormone,CALCA,P01258,Calcitonin,0.1622,N,Secreted,N,Not confident,none,False,False,0.2449
0.2395,N,0.222,Transport,CLIP1,P30622,CAP-Gly domain-containing linker protein 1,0.3452,N,"Cell projection, Cytoplasm, Cytoplasmic vesicle, Cytoskeleton, Membrane, Microtubule",N,Not confident,none,True,False,0.2395
0.2394,N,0.184,"Kinase, Serine/threonine-protein kinase, Transferase",MAST3,O60307,Microtubule-associated serine/threonine-protein kinase 3,0.375,N,Cytoplasm,N,Not confident,none,False,False,0.2394
0.2374,N,0.184,"Developmental protein, Host cell receptor for virus entry, Host-virus interaction, Kinase, Receptor, Transferase, Tyrosine-protein kinase",EGFR,P00533,Epidermal growth factor receptor,0.2152,Y,"Cell membrane, Endoplasmic reticulum, Endosome, Golgi apparatus, Membrane, Nucleus, Secreted",N,Not confident,none,True,True,0.2374
0.2325,N,0.238,Host-virus interaction,NFKBIA,P25963,NF-kappa-B inhibitor alpha,0.3171,N,"Cytoplasm, Nucleus",N,Not confident,none,False,False,0.2325
0.2252,N,0.145,NA,MEGF11,A6BM72,Multiple epidermal growth factor-like domains protein 11,0.3567,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.2252
0.2089,N,0.204,"Cilium biogenesis/degradation, Hydrolase, Lipid metabolism",OCRL,Q01968,Inositol polyphosphate 5-phosphatase OCRL,0.3254,N,"Cell projection, Cilium, Coated pit, Cytoplasmic vesicle, Endosome, Golgi apparatus, Lysosome, Membrane",N,Not confident,none,True,False,0.2089
0.199,N,0.228,"Hydrolase, Protein phosphatase",PTPN4,P29074,Tyrosine-protein phosphatase non-receptor type 4,0.466,N,"Cell membrane, Cytoplasm, Cytoskeleton, Membrane",N,Not confident,none,True,True,0.199
0.1912,N,0.09,Apoptosis,BCL2,P10415,Apoptosis regulator Bcl-2,0.153,Y,"Cytoplasm, Endoplasmic reticulum, Membrane, Mitochondrion, Mitochondrion outer membrane, Nucleus",N,Not confident,none,True,False,0.1912
0.1884,N,0.188,NA,SPRYD3,Q8NCJ5,SPRY domain-containing protein 3,0.259,N,NA,N,Not confident,none,False,False,0.1884
0.1866,N,0.213,"Calmodulin-binding, Carbohydrate metabolism, Glycogen metabolism, Kinase, Serine/threonine-protein kinase, Transferase",PHKG2,P15735,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform",0.4365,N,NA,N,Not confident,none,False,False,0.1866
0.1866,N,0.236,"Cell cycle, DNA damage, DNA repair, Kinase, Serine/threonine-protein kinase, Transferase",CHEK1,O14757,Serine/threonine-protein kinase Chk1,0.3777,N,"Chromosome, Cytoplasm, Cytoskeleton, Nucleus",N,Not confident,none,False,False,0.1866
0.1836,N,0.201,"Kinase, Transferase",AK5,Q9Y6K8,Adenylate kinase isoenzyme 5,0.369,N,Cytoplasm,N,Not confident,none,False,False,0.1836
0.1829,N,0.27,"Carbohydrate metabolism, Kinase, Transferase",RBKS,Q9H477,Ribokinase,0.37,N,"Cytoplasm, Nucleus",N,Not confident,none,False,False,0.1829
0.181,N,0.172,"Carbohydrate metabolism, Glycogen metabolism, Protein phosphatase inhibitor",PPP1R2B,Q6NXS1,Protein phosphatase inhibitor 2 family member B,0.3127,N,NA,N,Not confident,none,False,False,0.181
0.18,N,0.124,"Allosteric enzyme, Hydrolase",PDE5A,O76074,"cGMP-specific 3',5'-cyclic phosphodiesterase",0.43,N,NA,N,Not confident,none,False,False,0.18
0.178,N,0.143,NA,SAMD5,Q5TGI4,Sterile alpha motif domain-containing protein 5,0.3547,N,Cytoplasm,N,Not confident,none,False,False,0.178
0.1729,N,0.15,"Lipid metabolism, Steroid metabolism, Transferase",SULT4A1,Q9BR01,Sulfotransferase 4A1,0.378,N,Cytoplasm,N,Not confident,none,False,False,0.1729
0.1726,N,0.182,"Activator, Angiogenesis, Developmental protein, Differentiation, Notch signaling pathway, Receptor, Transcription, Transcription regulation",NOTCH1,P46531,Neurogenic locus notch homolog protein 1,0.263,N,"Cell membrane, Membrane, Nucleus",N,Not confident,none,True,True,0.1726
0.1685,N,0.125,NA,TMEM192,Q8IY95,Transmembrane protein 192,0.4573,N,"Endosome, Lysosome, Membrane",N,Not confident,none,True,False,0.1685
0.1671,N,0.25,"Fatty acid metabolism, Lipid metabolism, Monooxygenase, Oxidoreductase",CYP2C19,P33261,Cytochrome P450 2C19,0.3206,N,"Endoplasmic reticulum, Membrane, Microsome",N,Not confident,none,True,False,0.1671
0.1642,N,0.191,"Cell adhesion, Kinase, Receptor, Transferase, Tyrosine-protein kinase",EPHA3,P29320,Ephrin type-A receptor 3,0.5215,N,"Cell membrane, Membrane, Secreted",N,Not confident,none,True,True,0.1642
0.1631,N,0.196,"Lipid biosynthesis, Lipid metabolism, Transferase",CERS2,Q96G23,Ceramide synthase 2,0.3643,N,"Endoplasmic reticulum, Membrane",N,Not confident,none,True,False,0.1631
0.1627,N,0.213,"DNA damage, DNA repair, DNA-binding, Exonuclease, Hydrolase, Nuclease",EXO5,Q9H790,Exonuclease V,0.3274,N,"Cytoplasm, Nucleus",N,Not confident,none,False,False,0.1627
0.1626,N,0.254,Hydrolase,ABHD13,Q7L211,Protein ABHD13,0.337,N,Membrane,N,Not confident,none,True,False,0.1626
0.1621,N,0.226,"Differentiation, Kinase, mRNA processing, mRNA splicing, Serine/threonine-protein kinase, Transferase",SRPK2,P78362,SRSF protein kinase 2,0.3555,N,"Chromosome, Cytoplasm, Nucleus",N,Not confident,none,False,False,0.1621
0.1617,N,0.198,"Angiogenesis, Kinase, Receptor, Serine/threonine-protein kinase, Transferase",ACVRL1,P37023,Serine/threonine-protein kinase receptor R3,0.3813,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.1617
0.1614,N,0.143,"Glycosyltransferase, Transferase",B3GNT6,Q6ZMB0,"Acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase",0.3025,N,"Golgi apparatus, Membrane",N,Not confident,none,True,False,0.1614
0.1597,N,0.233,"DNA damage, DNA repair, DNA-binding",TOPBP1,Q92547,DNA topoisomerase 2-binding protein 1,0.3342,N,"Chromosome, Cytoplasm, Cytoskeleton, Nucleus",N,Not confident,none,False,False,0.1597
0.159,N,0.193,"Cell adhesion, Receptor, Wnt signaling pathway",PTK7,Q13308,Inactive tyrosine-protein kinase 7,0.349,N,"Cell junction, Membrane",N,Not confident,none,True,False,0.159
0.159,N,0.249,"Glycosidase, Hydrolase",MAN1C1,Q9NR34,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC",0.323,N,"Golgi apparatus, Membrane",N,Not confident,none,True,False,0.159
0.1588,N,0.038,NA,UPK2,O00526,Uroplakin-2,0.2546,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.1588
0.1584,N,0.233,"Cell cycle, Cell division, Kinase, Mitosis, Serine/threonine-protein kinase, Transferase",NEK3,P51956,Serine/threonine-protein kinase Nek3,0.3013,N,"Cell projection, Cytoplasm",N,Not confident,none,False,False,0.1584
0.1571,N,0.175,Hydrolase,NT5E,P21589,5'-nucleotidase,0.394,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.1571
0.1561,N,0.283,"Endonuclease, Hydrolase, Nuclease",RNASEH1,O60930,Ribonuclease H1,0.322,N,Cytoplasm,N,Not confident,none,False,False,0.1561
0.1547,N,0.576,"Endocytosis, Host cell receptor for virus entry, Host-virus interaction, Receptor, Transducer",TFRC,P02786,Transferrin receptor protein 1,0.2869,N,"Cell membrane, Membrane, Secreted",N,Not confident,none,True,True,0.1547
0.1514,N,0.277,"Cholesterol metabolism, Electron transport, Lipid metabolism, Oxidoreductase, Steroid metabolism, Sterol metabolism, Transport",FDXR,P22570,"NADPH:adrenodoxin oxidoreductase, mitochondrial",0.5166,N,"Membrane, Mitochondrion, Mitochondrion inner membrane",N,Not confident,none,True,False,0.1514
0.1509,N,0.219,"Acyltransferase, Fatty acid metabolism, Hydrolase, Lipid degradation, Lipid metabolism, Transferase",PLA2G15,Q8NCC3,Phospholipase A2 group XV,0.315,N,"Lysosome, Membrane, Secreted",N,Not confident,none,True,False,0.1509
0.1484,N,0.194,NA,CRK,P46108,Adapter molecule crk,0.4768,N,"Cell membrane, Cytoplasm, Membrane",N,Not confident,none,True,True,0.1484
0.1416,N,0.218,"Lipid metabolism, Oxidoreductase",AKR7A2,O43488,Aflatoxin B1 aldehyde reductase member 2,0.365,N,"Cytoplasm, Golgi apparatus, Mitochondrion",N,Not confident,none,False,False,0.1416
0.1411,N,0.2,"DNA damage, DNA repair, Transcription, Transcription regulation",GTF2H5,Q6ZYL4,General transcription factor IIH subunit 5,0.3335,N,"Cytoplasm, Nucleus",N,Not confident,none,False,False,0.1411
0.1407,N,0.251,"Lipid metabolism, Lyase, Monooxygenase, Oxidoreductase, Steroidogenesis",CYP17A1,P05093,"Steroid 17-alpha-hydroxylase/17,20 lyase",0.314,N,"Endoplasmic reticulum, Membrane, Microsome",N,Not confident,none,True,False,0.1407
0.1406,N,0.229,"Chromatin regulator, Methyltransferase, Transcription, Transcription regulation, Transferase",SMYD2,Q9NRG4,N-lysine methyltransferase SMYD2,0.3306,N,"Cytoplasm, Nucleus",N,Not confident,none,False,False,0.1406
0.1405,N,0.181,"Chaperone, Isomerase, Rotamase",FKBP5,Q13451,Peptidyl-prolyl cis-trans isomerase FKBP5,0.432,N,"Cytoplasm, Nucleus",N,Not confident,none,False,False,0.1405
0.1394,N,0.247,NA,CWF19L1,Q69YN2,CWF19-like protein 1,0.4026,N,NA,N,Not confident,none,False,False,0.1394
0.1393,N,0.189,Ligase,TTL,Q8NG68,Tubulin--tyrosine ligase,0.3435,N,NA,N,Not confident,none,False,False,0.1393
0.1392,N,0.148,"Electron transport, Oxidoreductase, Respiratory chain, Transport",FOXRED1,Q96CU9,FAD-dependent oxidoreductase domain-containing protein 1,0.527,N,"Membrane, Mitochondrion, Mitochondrion inner membrane",N,Not confident,none,True,False,0.1392
0.1378,N,0.216,NA,LRRC63,Q05C16,Leucine-rich repeat-containing protein 63,0.3774,N,NA,N,Not confident,none,False,False,0.1378
0.1361,N,0.256,Hydrolase,ENTPD1,P49961,Ectonucleoside triphosphate diphosphohydrolase 1,0.36,N,Membrane,N,Not confident,none,True,False,0.1361
0.1355,N,0.317,Chaperone,PSMD9,O00233,26S proteasome non-ATPase regulatory subunit 9,0.3508,N,NA,N,Not confident,none,False,False,0.1355
0.1349,N,0.126,"Kinase, Transferase",GLYCTK,Q8IVS8,Glycerate kinase,0.3123,N,"Cytoplasm, Mitochondrion",N,Not confident,none,False,False,0.1349
0.1345,N,0.276,"Lipid biosynthesis, Lipid metabolism, Monooxygenase, Oxidoreductase, Steroid biosynthesis",CYP3A7,P24462,Cytochrome P450 3A7,0.3774,N,"Endoplasmic reticulum, Membrane, Microsome",N,Not confident,none,True,False,0.1345
0.1339,N,0.21,"Biological rhythms, Hydrolase, Repressor, RNA-binding",NOCT,Q9UK39,Nocturnin,0.3083,N,"Cytoplasm, Mitochondrion, Nucleus",N,Not confident,none,False,False,0.1339
0.1329,N,0.204,"Apoptosis, Kinase, Nucleotide metabolism, Transferase",NME6,O75414,Nucleoside diphosphate kinase 6,0.5537,N,NA,N,Not confident,none,False,False,0.1329
0.1329,N,0.176,"Protein transport, Transport",SNX25,Q9H3E2,Sorting nexin-25,0.3025,N,"Endosome, Membrane",N,Not confident,none,True,False,0.1329
0.1322,N,0.245,"Transferase, Ubl conjugation pathway",RNF115,Q9Y4L5,E3 ubiquitin-protein ligase RNF115,0.3787,N,"Cytoplasm, Endoplasmic reticulum, Golgi apparatus, Nucleus",N,Not confident,none,False,False,0.1322
0.1318,N,0.192,"Glycosyltransferase, Transferase",B3GALT6,Q96L58,"Beta-1,3-galactosyltransferase 6",0.5176,N,"Golgi apparatus, Membrane",N,Not confident,none,True,False,0.1318
0.1317,N,0.21,"Chromatin regulator, DNA damage, DNA repair, Hydrolase, Repressor, Transcription, Transcription regulation, Transferase",SIRT7,Q9NRC8,NAD-dependent protein deacetylase sirtuin-7,0.419,N,"Chromosome, Cytoplasm, Nucleus",N,Not confident,none,False,False,0.1317
0.1313,N,0.245,"Isoprene biosynthesis, Lipid metabolism, Transferase",GGPS1,O95749,Geranylgeranyl pyrophosphate synthase,0.4287,N,Cytoplasm,N,Not confident,none,False,False,0.1313
0.1309,N,0.155,"Hydrolase, Sensory transduction, Vision",PDE6A,P16499,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha",0.4893,N,"Cell membrane, Cell projection, Membrane",N,Not confident,none,True,True,0.1309
0.1306,N,0.28,NA,LRRC30,A6NM36,Leucine-rich repeat-containing protein 30,0.3508,N,NA,N,Not confident,none,False,False,0.1306
0.1305,N,0.208,NA,SYT5,O00445,Synaptotagmin-5,0.403,N,"Cytoplasmic vesicle, Endosome, Membrane, Synapse",N,Not confident,none,True,False,0.1305
0.1304,N,0.233,Transport,TTPA,P49638,Alpha-tocopherol transfer protein,0.3193,N,Cytoplasm,N,Not confident,none,False,False,0.1304
0.1295,N,0.24,"GPI-anchor biosynthesis, Hydrolase, Protease, Thiol protease",PIGK,Q92643,GPI-anchor transamidase,0.3142,N,"Endoplasmic reticulum, Membrane",N,Not confident,none,True,False,0.1295
0.1287,N,0.29,"GPI-anchor biosynthesis, Transferase",PIGO,Q8TEQ8,GPI ethanolamine phosphate transferase 3,0.3428,N,"Endoplasmic reticulum, Membrane",N,Not confident,none,True,False,0.1287
0.1282,N,0.215,"Fatty acid metabolism, Hydrolase, Lipid metabolism, Transcription, Transcription regulation",LPIN1,Q14693,Phosphatidate phosphatase LPIN1,0.3496,N,"Cytoplasm, Endoplasmic reticulum, Membrane, Nucleus",N,Not confident,none,True,False,0.1282
0.1266,N,0.233,"Cholesterol metabolism, Lipid metabolism, Monooxygenase, Oxidoreductase, Steroid metabolism, Sterol metabolism",CYP46A1,Q9Y6A2,Cholesterol 24-hydroxylase,0.311,N,"Cell projection, Endoplasmic reticulum, Membrane, Microsome, Synapse",N,Not confident,none,True,False,0.1266
0.1261,N,0.2,"Autophagy, Kinase, Serine/threonine-protein kinase, Transferase",PINK1,Q9BXM7,"Serine/threonine-protein kinase PINK1, mitochondrial",0.4683,N,"Cytoplasm, Membrane, Mitochondrion, Mitochondrion inner membrane, Mitochondrion outer membrane",N,Not confident,none,True,False,0.1261
0.126,N,0.179,GTPase activation,SRGAP3,O43295,SLIT-ROBO Rho GTPase-activating protein 3,0.3022,N,NA,N,Not confident,none,False,False,0.126
0.1256,N,0.173,NA,AIP,O00170,AH receptor-interacting protein,0.371,N,Cytoplasm,N,Not confident,none,False,False,0.1256
0.1254,N,0.119,"Glycosyltransferase, Transferase",FUT11,Q495W5,"Alpha-(1,3)-fucosyltransferase 11",0.3318,N,"Golgi apparatus, Membrane",N,Not confident,none,True,False,0.1254
0.12494,N,0.222,NA,ERBIN,Q96RT1,Erbin,0.3542,N,"Cell junction, Cell membrane, Membrane, Nucleus",N,Not confident,none,True,True,0.12494
0.12427,N,0.132,"Receptor, Transport",FOLR1,P15328,Folate receptor alpha,0.1326,Y,"Cell membrane, Cytoplasmic vesicle, Endosome, Membrane, Secreted",N,Not confident,none,True,True,0.12427
0.12396,N,0.207,"Hydrolase, Protease, Serine protease",PCSK6,P29122,Proprotein convertase subtilisin/kexin type 6,0.2754,N,"Endoplasmic reticulum, Membrane, Secreted",N,Not confident,none,True,False,0.12396
0.12366,N,0.245,"Glycosidase, Hydrolase",MAN1A2,O60476,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",0.4004,N,"Golgi apparatus, Membrane",N,Not confident,none,True,False,0.12366
0.1226,N,0.31,Neurogenesis,RTN4IP1,Q8WWV3,"Reticulon-4-interacting protein 1, mitochondrial",0.3335,N,"Membrane, Mitochondrion, Mitochondrion outer membrane",N,Not confident,none,True,False,0.1226
0.12213,N,0.28,"Apoptosis, Cell cycle, Host-virus interaction, Kinase, Serine/threonine-protein kinase, Transferase",PIM1,P11309,Serine/threonine-protein kinase pim-1,0.3706,N,"Cell membrane, Cytoplasm, Membrane, Nucleus",N,Not confident,none,True,True,0.12213
0.122,N,0.276,rRNA processing,TSR2,Q969E8,Pre-rRNA-processing protein TSR2 homolog,0.3845,N,NA,N,Not confident,none,False,False,0.122
0.1207,N,0.269,"G-protein coupled receptor, Receptor, Transducer",LGR5,O75473,Leucine-rich repeat-containing G-protein coupled receptor 5,0.3035,N,"Cell membrane, Golgi apparatus, Membrane",N,Not confident,none,True,True,0.1207
0.1201,N,0.232,"Kinase, Serine/threonine-protein kinase, Transferase",PKN3,Q6P5Z2,Serine/threonine-protein kinase N3,0.3462,N,"Cytoplasm, Nucleus",N,Not confident,none,False,False,0.1201
0.1198,N,0.225,Oxidoreductase,CYB5RL,Q6IPT4,NADH-cytochrome b5 reductase-like,0.4082,N,NA,N,Not confident,none,False,False,0.1198
0.11957,N,0.242,"Fatty acid metabolism, Lipid metabolism, Monooxygenase, Oxidoreductase",CYP2E1,P05181,Cytochrome P450 2E1,0.301,N,"Endoplasmic reticulum, Membrane, Microsome, Mitochondrion, Mitochondrion inner membrane",N,Not confident,none,True,False,0.11957
