AF_Score,BG,DCA_Score,Function,Gene Name,Interacting Partner,Protein Name,RF_Score,SP,Subcellular Locality,UP,confident,pdb,is_membrane,is_cell_surface,AF
0.6626,N,0.192,"Activator, Kinase, Receptor, Transcription, Transcription regulation, Transferase, Tyrosine-protein kinase",ERBB2,P04626,Receptor tyrosine-protein kinase erbB-2,0.3013,Y,"Cell membrane, Cell projection, Cytoplasm, Endosome, Membrane, Nucleus",N,Not confident,none,True,True,0.6626
0.6396,N,0.09,"Cell adhesion, Host cell receptor for virus entry, Host-virus interaction, Receptor",NCAM1,P13591,Neural cell adhesion molecule 1,0.3618,N,"Cell membrane, Membrane, Secreted",N,Not confident,none,True,True,0.6396
0.6143,N,0.16,"Kinase, Receptor, Transferase, Wnt signaling pathway",ROR1,Q01973,Inactive tyrosine-protein kinase transmembrane receptor ROR1,0.5464,N,"Cell projection, Membrane",N,Not confident,none,True,False,0.6143
0.5283,N,0.134,NA,MEGF9,Q9H1U4,Multiple epidermal growth factor-like domains protein 9,0.3052,N,Membrane,N,Not confident,none,True,False,0.5283
0.4993,N,0.635,NA,NAALADL2,Q58DX5,Inactive N-acetylated-alpha-linked acidic dipeptidase-like protein 2,0.2086,N,Membrane,N,Not confident,none,True,False,0.4993
0.475,N,0.237,Developmental protein,RTL1,A6NKG5,Retrotransposon-like protein 1,0.3408,N,Membrane,N,Not confident,none,True,False,0.475
0.4402,N,0.212,"Transferase, Ubl conjugation pathway",RNF13,O43567,E3 ubiquitin-protein ligase RNF13,0.3074,N,"Endoplasmic reticulum, Endosome, Lysosome, Membrane, Nucleus",N,Not confident,none,True,False,0.4402
0.4353,N,0.079,NA,SIRPA,P78324,Tyrosine-protein phosphatase non-receptor type substrate 1,0.2502,N,Membrane,N,Not confident,none,True,False,0.4353
0.3276,N,0.131,Cell adhesion,PCDH11X,Q9BZA7,Protocadherin-11 X-linked,0.3503,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.3276
0.2854,N,0.17,"Cell cycle, Cell division, Electron transport, Respiratory chain, Transport",TTC19,Q6DKK2,"Tetratricopeptide repeat protein 19, mitochondrial",0.3386,N,"Membrane, Mitochondrion, Mitochondrion inner membrane",N,Not confident,none,True,False,0.2854
0.2834,N,0.057,NA,PRRT3,Q5FWE3,Proline-rich transmembrane protein 3,0.1841,N,Membrane,N,Not confident,none,True,False,0.2834
0.2761,Y,0.035,NA,TTMP,Q5BVD1,TPA-induced transmembrane protein,0.1339,N,"Cell membrane, Endoplasmic reticulum, Membrane",Y,Not confident,none,True,True,0.2761
0.2654,N,0.193,Chemotaxis,MOSPD2,Q8NHP6,Motile sperm domain-containing protein 2,0.3777,N,"Endoplasmic reticulum, Membrane",N,Not confident,none,True,False,0.2654
0.249,N,1.083,Receptor,TFR2,Q9UP52,Transferrin receptor protein 2,0.2294,N,"Cell membrane, Cytoplasm, Membrane",N,Not confident,none,True,True,0.249
0.2479,N,0.258,"Electron transport, Transport",CYB5A,P00167,Cytochrome b5,0.305,N,"Cytoplasm, Endoplasmic reticulum, Membrane, Microsome",N,Not confident,none,True,False,0.2479
0.2395,N,0.222,Transport,CLIP1,P30622,CAP-Gly domain-containing linker protein 1,0.3452,N,"Cell projection, Cytoplasm, Cytoplasmic vesicle, Cytoskeleton, Membrane, Microtubule",N,Not confident,none,True,False,0.2395
0.2374,N,0.184,"Developmental protein, Host cell receptor for virus entry, Host-virus interaction, Kinase, Receptor, Transferase, Tyrosine-protein kinase",EGFR,P00533,Epidermal growth factor receptor,0.2152,Y,"Cell membrane, Endoplasmic reticulum, Endosome, Golgi apparatus, Membrane, Nucleus, Secreted",N,Not confident,none,True,True,0.2374
0.2252,N,0.145,NA,MEGF11,A6BM72,Multiple epidermal growth factor-like domains protein 11,0.3567,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.2252
0.2089,N,0.204,"Cilium biogenesis/degradation, Hydrolase, Lipid metabolism",OCRL,Q01968,Inositol polyphosphate 5-phosphatase OCRL,0.3254,N,"Cell projection, Cilium, Coated pit, Cytoplasmic vesicle, Endosome, Golgi apparatus, Lysosome, Membrane",N,Not confident,none,True,False,0.2089
0.199,N,0.228,"Hydrolase, Protein phosphatase",PTPN4,P29074,Tyrosine-protein phosphatase non-receptor type 4,0.466,N,"Cell membrane, Cytoplasm, Cytoskeleton, Membrane",N,Not confident,none,True,True,0.199
0.1912,N,0.09,Apoptosis,BCL2,P10415,Apoptosis regulator Bcl-2,0.153,Y,"Cytoplasm, Endoplasmic reticulum, Membrane, Mitochondrion, Mitochondrion outer membrane, Nucleus",N,Not confident,none,True,False,0.1912
0.1726,N,0.182,"Activator, Angiogenesis, Developmental protein, Differentiation, Notch signaling pathway, Receptor, Transcription, Transcription regulation",NOTCH1,P46531,Neurogenic locus notch homolog protein 1,0.263,N,"Cell membrane, Membrane, Nucleus",N,Not confident,none,True,True,0.1726
0.1685,N,0.125,NA,TMEM192,Q8IY95,Transmembrane protein 192,0.4573,N,"Endosome, Lysosome, Membrane",N,Not confident,none,True,False,0.1685
0.1671,N,0.25,"Fatty acid metabolism, Lipid metabolism, Monooxygenase, Oxidoreductase",CYP2C19,P33261,Cytochrome P450 2C19,0.3206,N,"Endoplasmic reticulum, Membrane, Microsome",N,Not confident,none,True,False,0.1671
0.1642,N,0.191,"Cell adhesion, Kinase, Receptor, Transferase, Tyrosine-protein kinase",EPHA3,P29320,Ephrin type-A receptor 3,0.5215,N,"Cell membrane, Membrane, Secreted",N,Not confident,none,True,True,0.1642
0.1631,N,0.196,"Lipid biosynthesis, Lipid metabolism, Transferase",CERS2,Q96G23,Ceramide synthase 2,0.3643,N,"Endoplasmic reticulum, Membrane",N,Not confident,none,True,False,0.1631
0.1626,N,0.254,Hydrolase,ABHD13,Q7L211,Protein ABHD13,0.337,N,Membrane,N,Not confident,none,True,False,0.1626
0.1617,N,0.198,"Angiogenesis, Kinase, Receptor, Serine/threonine-protein kinase, Transferase",ACVRL1,P37023,Serine/threonine-protein kinase receptor R3,0.3813,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.1617
0.1614,N,0.143,"Glycosyltransferase, Transferase",B3GNT6,Q6ZMB0,"Acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase",0.3025,N,"Golgi apparatus, Membrane",N,Not confident,none,True,False,0.1614
0.159,N,0.193,"Cell adhesion, Receptor, Wnt signaling pathway",PTK7,Q13308,Inactive tyrosine-protein kinase 7,0.349,N,"Cell junction, Membrane",N,Not confident,none,True,False,0.159
0.159,N,0.249,"Glycosidase, Hydrolase",MAN1C1,Q9NR34,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC",0.323,N,"Golgi apparatus, Membrane",N,Not confident,none,True,False,0.159
0.1588,N,0.038,NA,UPK2,O00526,Uroplakin-2,0.2546,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.1588
0.1571,N,0.175,Hydrolase,NT5E,P21589,5'-nucleotidase,0.394,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.1571
0.1547,N,0.576,"Endocytosis, Host cell receptor for virus entry, Host-virus interaction, Receptor, Transducer",TFRC,P02786,Transferrin receptor protein 1,0.2869,N,"Cell membrane, Membrane, Secreted",N,Not confident,none,True,True,0.1547
0.1514,N,0.277,"Cholesterol metabolism, Electron transport, Lipid metabolism, Oxidoreductase, Steroid metabolism, Sterol metabolism, Transport",FDXR,P22570,"NADPH:adrenodoxin oxidoreductase, mitochondrial",0.5166,N,"Membrane, Mitochondrion, Mitochondrion inner membrane",N,Not confident,none,True,False,0.1514
0.1509,N,0.219,"Acyltransferase, Fatty acid metabolism, Hydrolase, Lipid degradation, Lipid metabolism, Transferase",PLA2G15,Q8NCC3,Phospholipase A2 group XV,0.315,N,"Lysosome, Membrane, Secreted",N,Not confident,none,True,False,0.1509
0.1484,N,0.194,NA,CRK,P46108,Adapter molecule crk,0.4768,N,"Cell membrane, Cytoplasm, Membrane",N,Not confident,none,True,True,0.1484
0.1407,N,0.251,"Lipid metabolism, Lyase, Monooxygenase, Oxidoreductase, Steroidogenesis",CYP17A1,P05093,"Steroid 17-alpha-hydroxylase/17,20 lyase",0.314,N,"Endoplasmic reticulum, Membrane, Microsome",N,Not confident,none,True,False,0.1407
0.1392,N,0.148,"Electron transport, Oxidoreductase, Respiratory chain, Transport",FOXRED1,Q96CU9,FAD-dependent oxidoreductase domain-containing protein 1,0.527,N,"Membrane, Mitochondrion, Mitochondrion inner membrane",N,Not confident,none,True,False,0.1392
0.1361,N,0.256,Hydrolase,ENTPD1,P49961,Ectonucleoside triphosphate diphosphohydrolase 1,0.36,N,Membrane,N,Not confident,none,True,False,0.1361
0.1345,N,0.276,"Lipid biosynthesis, Lipid metabolism, Monooxygenase, Oxidoreductase, Steroid biosynthesis",CYP3A7,P24462,Cytochrome P450 3A7,0.3774,N,"Endoplasmic reticulum, Membrane, Microsome",N,Not confident,none,True,False,0.1345
0.1329,N,0.176,"Protein transport, Transport",SNX25,Q9H3E2,Sorting nexin-25,0.3025,N,"Endosome, Membrane",N,Not confident,none,True,False,0.1329
0.1318,N,0.192,"Glycosyltransferase, Transferase",B3GALT6,Q96L58,"Beta-1,3-galactosyltransferase 6",0.5176,N,"Golgi apparatus, Membrane",N,Not confident,none,True,False,0.1318
0.1309,N,0.155,"Hydrolase, Sensory transduction, Vision",PDE6A,P16499,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha",0.4893,N,"Cell membrane, Cell projection, Membrane",N,Not confident,none,True,True,0.1309
0.1305,N,0.208,NA,SYT5,O00445,Synaptotagmin-5,0.403,N,"Cytoplasmic vesicle, Endosome, Membrane, Synapse",N,Not confident,none,True,False,0.1305
0.1295,N,0.24,"GPI-anchor biosynthesis, Hydrolase, Protease, Thiol protease",PIGK,Q92643,GPI-anchor transamidase,0.3142,N,"Endoplasmic reticulum, Membrane",N,Not confident,none,True,False,0.1295
0.1287,N,0.29,"GPI-anchor biosynthesis, Transferase",PIGO,Q8TEQ8,GPI ethanolamine phosphate transferase 3,0.3428,N,"Endoplasmic reticulum, Membrane",N,Not confident,none,True,False,0.1287
0.1282,N,0.215,"Fatty acid metabolism, Hydrolase, Lipid metabolism, Transcription, Transcription regulation",LPIN1,Q14693,Phosphatidate phosphatase LPIN1,0.3496,N,"Cytoplasm, Endoplasmic reticulum, Membrane, Nucleus",N,Not confident,none,True,False,0.1282
0.1266,N,0.233,"Cholesterol metabolism, Lipid metabolism, Monooxygenase, Oxidoreductase, Steroid metabolism, Sterol metabolism",CYP46A1,Q9Y6A2,Cholesterol 24-hydroxylase,0.311,N,"Cell projection, Endoplasmic reticulum, Membrane, Microsome, Synapse",N,Not confident,none,True,False,0.1266
0.1261,N,0.2,"Autophagy, Kinase, Serine/threonine-protein kinase, Transferase",PINK1,Q9BXM7,"Serine/threonine-protein kinase PINK1, mitochondrial",0.4683,N,"Cytoplasm, Membrane, Mitochondrion, Mitochondrion inner membrane, Mitochondrion outer membrane",N,Not confident,none,True,False,0.1261
0.1254,N,0.119,"Glycosyltransferase, Transferase",FUT11,Q495W5,"Alpha-(1,3)-fucosyltransferase 11",0.3318,N,"Golgi apparatus, Membrane",N,Not confident,none,True,False,0.1254
0.12494,N,0.222,NA,ERBIN,Q96RT1,Erbin,0.3542,N,"Cell junction, Cell membrane, Membrane, Nucleus",N,Not confident,none,True,True,0.12494
0.12427,N,0.132,"Receptor, Transport",FOLR1,P15328,Folate receptor alpha,0.1326,Y,"Cell membrane, Cytoplasmic vesicle, Endosome, Membrane, Secreted",N,Not confident,none,True,True,0.12427
0.12396,N,0.207,"Hydrolase, Protease, Serine protease",PCSK6,P29122,Proprotein convertase subtilisin/kexin type 6,0.2754,N,"Endoplasmic reticulum, Membrane, Secreted",N,Not confident,none,True,False,0.12396
0.12366,N,0.245,"Glycosidase, Hydrolase",MAN1A2,O60476,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",0.4004,N,"Golgi apparatus, Membrane",N,Not confident,none,True,False,0.12366
0.1226,N,0.31,Neurogenesis,RTN4IP1,Q8WWV3,"Reticulon-4-interacting protein 1, mitochondrial",0.3335,N,"Membrane, Mitochondrion, Mitochondrion outer membrane",N,Not confident,none,True,False,0.1226
0.12213,N,0.28,"Apoptosis, Cell cycle, Host-virus interaction, Kinase, Serine/threonine-protein kinase, Transferase",PIM1,P11309,Serine/threonine-protein kinase pim-1,0.3706,N,"Cell membrane, Cytoplasm, Membrane, Nucleus",N,Not confident,none,True,True,0.12213
0.1207,N,0.269,"G-protein coupled receptor, Receptor, Transducer",LGR5,O75473,Leucine-rich repeat-containing G-protein coupled receptor 5,0.3035,N,"Cell membrane, Golgi apparatus, Membrane",N,Not confident,none,True,True,0.1207
0.11957,N,0.242,"Fatty acid metabolism, Lipid metabolism, Monooxygenase, Oxidoreductase",CYP2E1,P05181,Cytochrome P450 2E1,0.301,N,"Endoplasmic reticulum, Membrane, Microsome, Mitochondrion, Mitochondrion inner membrane",N,Not confident,none,True,False,0.11957
0.1176,N,0.282,"Lipid metabolism, Oxidoreductase",AKR1A1,P14550,Aldo-keto reductase family 1 member A1,0.4045,N,"Cell membrane, Cytoplasm, Membrane",N,Not confident,none,True,True,0.1176
0.1158,N,0.264,"Cell cycle, Cell division, Kinase, Serine/threonine-protein kinase, Transferase",CDK4,P11802,Cyclin-dependent kinase 4,0.365,N,"Cytoplasm, Membrane, Nucleus",N,Not confident,none,True,False,0.1158
0.11523,N,0.23,"Lipid metabolism, Monooxygenase, Oxidoreductase",CYP2A6,P11509,Cytochrome P450 2A6,0.3027,N,"Endoplasmic reticulum, Membrane, Microsome",N,Not confident,none,True,False,0.11523
0.1148,N,0.149,"Glycosyltransferase, Transferase",MGAT2,Q10469,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",0.3213,N,"Golgi apparatus, Membrane",N,Not confident,none,True,False,0.1148
0.1143,N,0.231,"Acyltransferase, Immunity, Innate immunity, Lipid transport, Transferase, Transport",ZDHHC5,Q9C0B5,Palmitoyltransferase ZDHHC5,0.3445,N,"Cell membrane, Membrane, Synapse",N,Not confident,none,True,True,0.1143
0.1127,N,0.199,"Immunity, Inflammatory response, Innate immunity, Receptor",TLR8,Q9NR97,Toll-like receptor 8,0.2576,N,"Endosome, Membrane",N,Not confident,none,True,False,0.1127
0.11053,N,0.228,"Biological rhythms, Developmental protein, Differentiation, G-protein coupled receptor, Immunity, Innate immunity, Receptor, Spermatogenesis, Transducer, Wnt signaling pathway",LGR4,Q9BXB1,Leucine-rich repeat-containing G-protein coupled receptor 4,0.4211,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.11053
0.11053,N,0.239,"Lipid metabolism, Monooxygenase, Oxidoreductase",CYP2B6,P20813,Cytochrome P450 2B6,0.3108,N,"Endoplasmic reticulum, Membrane, Microsome",N,Not confident,none,True,False,0.11053
0.10986,N,0.226,Hydrolase,ENTPD3,O75355,Ectonucleoside triphosphate diphosphohydrolase 3,0.3813,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.10986
0.1098,N,0.071,"Ion transport, Iron transport, Transport",HFE,Q30201,Hereditary hemochromatosis protein,0.1141,Y,"Cell membrane, Membrane",N,Not confident,none,True,True,0.1098
0.1095,N,0.21,"Apoptosis, Developmental protein, Kinase, Neurogenesis, Receptor, Transferase, Tyrosine-protein kinase",EPHA7,Q15375,Ephrin type-A receptor 7,0.3882,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.1095
0.1087,N,0.211,"Differentiation, Host cell receptor for virus entry, Host-virus interaction, Immunity, Innate immunity, Kinase, Receptor, Transferase, Tyrosine-protein kinase",AXL,P30530,Tyrosine-protein kinase receptor UFO,0.2927,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.1087
0.10693,N,0.159,"Hydrolase, Sensory transduction, Vision",PDE6C,P51160,"Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha'",0.3582,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.10693
0.1062,N,0.304,"Methyltransferase, Transferase, Ubiquinone biosynthesis",COQ3,Q9NZJ6,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",0.3638,N,"Membrane, Mitochondrion, Mitochondrion inner membrane",N,Not confident,none,True,False,0.1062
0.105,N,0.211,"Hydrolase, Lipid metabolism",MTMR7,Q9Y216,Myotubularin-related protein 7,0.3047,N,"Cytoplasm, Membrane",N,Not confident,none,True,False,0.105
0.102,N,0.238,Transport,SLC35F5,Q8WV83,Solute carrier family 35 member F5,0.4,N,Membrane,N,Not confident,none,True,False,0.102
0.1008,N,0.098,Cell adhesion,CDH1,P12830,Cadherin-1,0.3289,N,"Cell junction, Cell membrane, Endosome, Golgi apparatus, Membrane",N,Not confident,none,True,True,0.1008
0.0978,N,0.21,"Developmental protein, Kinase, Neurogenesis, Receptor, Transferase, Tyrosine-protein kinase",EPHB2,P29323,Ephrin type-B receptor 2,0.5264,N,"Cell membrane, Cell projection, Membrane",N,Not confident,none,True,True,0.0978
0.09546,N,0.186,GTPase activation,TBC1D13,Q9NVG8,TBC1 domain family member 13,0.3154,N,"Cytoplasm, Membrane",N,Not confident,none,True,False,0.09546
0.095,N,0.222,"Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism, Transferase",CEPT1,Q9Y6K0,Choline/ethanolaminephosphotransferase 1,0.3123,N,"Endoplasmic reticulum, Membrane, Nucleus",N,Not confident,none,True,False,0.095
0.0949,N,0.286,"ER-Golgi transport, GPI-anchor biosynthesis, Hydrolase, Transport",MPPE1,Q53F39,Metallophosphoesterase 1,0.3042,N,"Golgi apparatus, Membrane",N,Not confident,none,True,False,0.0949
0.0939,N,0.124,"Glycosyltransferase, Transferase",B3GALNT2,Q8NCR0,"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2",0.3147,N,"Endoplasmic reticulum, Golgi apparatus, Membrane",N,Not confident,none,True,False,0.0939
0.0933,N,0.198,Oxidoreductase,HMOX2,P30519,Heme oxygenase 2,0.4314,N,"Endoplasmic reticulum, Membrane, Microsome",N,Not confident,none,True,False,0.0933
0.09314,N,0.231,"Kinase, Transferase, Ubiquinone biosynthesis",COQ8A,Q8NI60,"Atypical kinase COQ8A, mitochondrial",0.319,N,"Membrane, Mitochondrion",N,Not confident,none,True,False,0.09314
0.093,N,0.133,"Cell cycle, Cell division, Mitosis, Transport",GPSM2,P81274,G-protein-signaling modulator 2,0.3267,N,"Cell membrane, Cytoplasm, Cytoskeleton, Membrane",N,Not confident,none,True,True,0.093
0.0923,N,0.184,"Immunity, Inflammatory response, Innate immunity, Receptor",TLR2,O60603,Toll-like receptor 2,0.3357,N,"Cytoplasmic vesicle, Membrane",N,Not confident,none,True,False,0.0923
0.0922,N,0.252,NA,LRRC15,Q8TF66,Leucine-rich repeat-containing protein 15,0.3928,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.0922
0.0914,N,0.09,"Fertilization, Receptor",IZUMO1R,A6ND01,Sperm-egg fusion protein Juno,0.2421,Y,"Cell membrane, Cell projection, Membrane",N,Not confident,none,True,True,0.0914
0.09106,N,0.153,"Protein transport, Transport",AP4E1,Q9UPM8,AP-4 complex subunit epsilon-1,0.3384,N,"Golgi apparatus, Membrane",N,Not confident,none,True,False,0.09106
0.0904,N,0.237,"Monooxygenase, Oxidoreductase",CYP2F1,P24903,Cytochrome P450 2F1,0.3098,N,"Endoplasmic reticulum, Membrane, Microsome",N,Not confident,none,True,False,0.0904
0.0902,N,0.26,"Ion transport, Transport, Zinc transport",SLC39A3,Q9BRY0,Zinc transporter ZIP3,0.3367,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.0902
0.0901,N,0.25,"Kinase, Serine/threonine-protein kinase, Transferase",PDPK2P,Q6A1A2,Putative 3-phosphoinositide-dependent protein kinase 2,0.37,N,"Cytoplasm, Membrane",N,Not confident,none,True,False,0.0901
0.08954,N,0.25,"Transferase, Ubl conjugation pathway",ZNRF1,Q8ND25,E3 ubiquitin-protein ligase ZNRF1,0.4287,N,"Cytoplasmic vesicle, Endosome, Lysosome, Membrane, Synapse",N,Not confident,none,True,False,0.08954
0.0889,N,0.223,Peroxisome biogenesis,PEX3,P56589,Peroxisomal biogenesis factor 3,0.395,N,"Membrane, Peroxisome",N,Not confident,none,True,False,0.0889
0.0884,N,0.216,"Acyltransferase, Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism, Transferase",AGPAT5,Q9NUQ2,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,0.4116,N,"Endoplasmic reticulum, Membrane, Mitochondrion, Nucleus",N,Not confident,none,True,False,0.0884
0.0875,N,0.245,"Fatty acid metabolism, Isomerase, Lipid metabolism, Lyase, Monooxygenase, Oxidoreductase",CYP2S1,Q96SQ9,Cytochrome P450 2S1,0.3264,N,"Endoplasmic reticulum, Membrane, Microsome",N,Not confident,none,True,False,0.0875
0.087,N,0.129,"Protein transport, Transport",PITPNM1,O00562,Membrane-associated phosphatidylinositol transfer protein 1,0.3264,N,"Cytoplasm, Endoplasmic reticulum, Golgi apparatus, Lipid droplet, Membrane",N,Not confident,none,True,False,0.087
0.087,N,0.219,"Lipid metabolism, Monooxygenase, Oxidoreductase, Steroid metabolism, Sterol metabolism",CYP2C9,P11712,Cytochrome P450 2C9,0.309,N,"Endoplasmic reticulum, Membrane, Microsome",N,Not confident,none,True,False,0.087
0.0868,N,0.14,"Glycosyltransferase, Transferase",FUT10,Q6P4F1,"Alpha-(1,3)-fucosyltransferase 10",0.4546,N,"Endoplasmic reticulum, Golgi apparatus, Lysosome, Membrane",N,Not confident,none,True,False,0.0868
0.08606,N,0.184,NA,RASD1,Q9Y272,Dexamethasone-induced Ras-related protein 1,0.3286,N,"Cell membrane, Cytoplasm, Membrane, Nucleus",N,Not confident,none,True,True,0.08606
0.0853,N,0.181,"Kinase, Receptor, Transferase, Tyrosine-protein kinase",EPHA10,Q5JZY3,Ephrin type-A receptor 10,0.5625,N,"Cell membrane, Membrane, Secreted",N,Not confident,none,True,True,0.0853
0.0852,N,0.27,"Biological rhythms, Cell cycle, Hydrolase, Myogenesis, Protease, Thiol protease, Ubl conjugation pathway",USP2,O75604,Ubiquitin carboxyl-terminal hydrolase 2,0.318,N,"Cytoplasm, Membrane, Nucleus",N,Not confident,none,True,False,0.0852
0.085,N,0.266,"Acyltransferase, Transferase",QPCTL,Q9NXS2,Glutaminyl-peptide cyclotransferase-like protein,0.3687,N,"Golgi apparatus, Membrane",N,Not confident,none,True,False,0.085
0.0845,N,0.207,"Methyltransferase, Transferase",PRMT8,Q9NR22,Protein arginine N-methyltransferase 8,0.4285,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.0845
0.0836,N,0.175,"Fatty acid biosynthesis, Fatty acid metabolism, Glycerol metabolism, Hydrolase, Leukotriene biosynthesis, Lipid biosynthesis, Lipid degradation, Lipid metabolism, Phospholipid degradation, Phospholipid metabolism, Prostaglandin biosynthesis, Prostaglandin metabolism",PLA2G4A,P47712,Cytosolic phospholipase A2,0.271,N,"Cytoplasm, Golgi apparatus, Membrane, Nucleus",N,Not confident,none,True,False,0.0836
0.08264,N,0.247,"DNA damage, DNA repair, Kinase, Serine/threonine-protein kinase, Transferase",TAOK3,Q9H2K8,Serine/threonine-protein kinase TAO3,0.3098,N,"Cell membrane, Cytoplasm, Membrane",N,Not confident,none,True,True,0.08264
0.08234,N,0.176,Receptor,EPHB6,O15197,Ephrin type-B receptor 6,0.3772,N,"Membrane, Secreted",N,Not confident,none,True,False,0.08234
0.08185,N,0.222,NA,METTL25B,Q96FB5,Methyltransferase-like protein 25B,0.3977,N,Membrane,N,Not confident,none,True,False,0.08185
0.0814,N,0.132,"Glycosyltransferase, Nucleotidyltransferase, Transferase, Unfolded protein response",PARP16,Q8N5Y8,Protein mono-ADP-ribosyltransferase PARP16,0.3108,N,"Endoplasmic reticulum, Membrane",N,Not confident,none,True,False,0.0814
0.08105,N,0.184,"Cell adhesion, Developmental protein, Kinase, Neurogenesis, Receptor, Transferase, Tyrosine-protein kinase",EPHA8,P29322,Ephrin type-A receptor 8,0.4822,N,"Cell membrane, Cell projection, Endosome, Membrane",N,Not confident,none,True,True,0.08105
0.081,N,0.269,"Aspartyl protease, Hydrolase, Protease",BACE1,P56817,Beta-secretase 1,0.3232,N,"Cell membrane, Cell projection, Cytoplasmic vesicle, Endoplasmic reticulum, Endosome, Golgi apparatus, Lysosome, Membrane",N,Not confident,none,True,True,0.081
0.0808,N,0.213,"Lipid metabolism, Monooxygenase, Oxidoreductase, Steroid metabolism",CYP2C8,P10632,Cytochrome P450 2C8,0.3137,N,"Endoplasmic reticulum, Membrane, Microsome",N,Not confident,none,True,False,0.0808
0.0799,N,0.24,"Acyltransferase, Transferase",ZDHHC4,Q9NPG8,Palmitoyltransferase ZDHHC4,0.4226,N,"Cell membrane, Endoplasmic reticulum, Golgi apparatus, Membrane",N,Not confident,none,True,True,0.0799
0.0797,N,0.187,"Cell cycle, Cell division, Differentiation, Hydrolase, Neurogenesis, Protein transport, Transport",ARF6,P62330,ADP-ribosylation factor 6,0.333,N,"Cell membrane, Cell projection, Cytoplasm, Endosome, Golgi apparatus, Membrane",N,Not confident,none,True,True,0.0797
