	group	tau	max_tpm	top_organ	partition	omega	rel_rate	rate_shift	coev_excess	coev_n	C_J	axis_tissue	axis_species	axis_coev
NDUFA9	mito/nuclear pairing	0.2271059591077618	25.2501	Skeletal_muscle		0.1754876558365967	0.5518539817829338	0.428611390851934	0.0825553688362189	49.0		0.3843590693662816	0.34954535045587043	0.0825553688362189
NDUFS1	mito/nuclear pairing	0.2914153373000065	51.7623	Skeletal_muscle		0.1285585503693002	-0.2410786128677827	0.7065506714773819	0.05795053805667073	61.0	0.0869418684347381	0.9881756307552553	-0.06651255500959209	0.05795053805667073
NDUFS2	mito/nuclear pairing	0.158517688279928	126.597	Skeletal_muscle		0.11221362083927	-0.8991195032355955	0.2829505350987197				-0.2596330668828697	-1.3029552134176448	
NDUFS3	mito/nuclear pairing	0.1424366385667181	115.397	Skeletal_muscle		0.1710344957404781	-0.03466817709063537	0.07169172095065172	0.131310879410654	49.0		-0.41062199593655635	-0.7243992165853224	0.131310879410654
NDUFS7	mito/nuclear pairing	0.1930572836904493	81.59025	Cerebellum		0.1887200171537441	1.3039008043883353	1.1199744916483905	-0.03693458509857778	104.0		0.06466768549265864	2.044916134458533	-0.03693458509857778
NDUFS8	mito/nuclear pairing	0.1777813139539328	157.241	Adrenal		0.0657105669807528	-0.18136075313124222	0.5230761226527002	1.1658000116960856	56.0		-0.07876214974244189	-0.25657684114744594	1.1658000116960856
NDUFV1	mito/nuclear pairing	0.0923854563246748	211.39	Cerebellum		0.0427187852605847	-0.21778782239067393	1.0933767212339747	-0.2335210050453261	53.0		-0.8805648503752885	0.48372406367930904	-0.2335210050453261
NNT	redox tolerance	0.3697852337738385	46.1617	Skeletal_muscle		0.0450129710292895	-1.396983971037753	0.11279238455602407				1.7240098548676208	-2.0336634620308773	
OGDH	TCA core	0.2379509208472724	228.713	Skeletal_muscle	0.1099706744868035	0.0379225084200041	-1.9960136229329777	0.20342762189539604			0.01237866569055	0.8756007363031739	-2.5105279625156234	
OGDHL	TCA core	0.7343562201498631	73.93889999999999	Cerebellum	0.1099706744868035	0.0514517477767968	-1.1350441916470877	0.22125428534388678				5.536472125607028	-1.6234240571174918	
SDHA	complex II + quinone	0.1800627434412744	229.733	Heart		0.0655947173837775	-0.245509906526107	1.1547127741513494	0.6222501559847252	48.0	0.0012372244086883	-0.05734124742894159	0.5394881514431181	0.6222501559847252
SDHAF1	complex II + quinone	0.1824411030065887	53.6205	Cerebellum		0.1933539473430091	0.15760018550773547	0.7577144256523485				-0.035010244784480726	0.40271432950883074	
SDHAF2	complex II + quinone	0.1292030769836559	56.1284	Pituitary		0.186677462985118	-0.4010617422249753	0.8978437795220219				-0.5348751589220049	0.033720352287967825	
SDHAF3	complex II + quinone	0.2044683287761061	25.5933	Testis		0.3133029216411793	1.4658793430691628	1.0631689393350838				0.17180879304432117	2.1298684110148773	
SDHAF4	complex II + quinone	0.2063767821174332	20.9303	Pituitary								0.1897277306320337	-0.11715988108359657	
SDHB	complex II + quinone	0.1545328284846599	202.383	Skeletal_muscle		0.0601500381122685	-0.6268431992165894	0.2690377244139824	0.5861102092784836	158.0		-0.29704789512149987	-1.0490436170464892	0.5861102092784836
SDHC	complex II + quinone	0.1519185156341854	105.403	Adrenal		0.2603453001987425	0.5784655112066143	1.0624013171735633	1.891300679638597	148.0		-0.32159432116607456	1.239499315248378	1.891300679638597
SDHD	complex II + quinone	0.1286556579233891	97.3461	Skeletal_muscle		0.1467451074882889	0.5686785612684212	0.4402764052139056	2.0528978364241857	100.0		-0.5400150110540062	0.3822950502904661	2.0528978364241857
SIRT3	redox tolerance	0.2492843403996195	30.2362	Testis		0.1442982100123745	0.8004900774277748	0.3373410631946393				0.5925973435537625	0.47439720265745383	
SOD2	redox tolerance	0.3795313810602216	512.52	Skeletal_muscle								1.8155188276905614	-0.11715988108359657	
SUCLA2	SUCL (ATP/GTP split)	0.2849552862183803	27.3448	Skeletal_muscle	-0.16239002932551316	0.0854322712179445	-0.6736575136472519	0.4565994362407139			9.69491283142074e-05	0.3524835056953702	-0.8404808934485939	
SUCLG1	SUCL (ATP/GTP split)	0.1419305870283323	149.79250000000002	Kidney		0.0579244491043308	-1.0011368730123702	0.23837260150297943	0.9065975729408172	63.0		-0.4153734382360025	-1.465911718265644	0.9065975729408172
SUCLG2	SUCL (ATP/GTP split)	0.2120108659129839	87.4896	Liver	-0.16239002932551316	0.1102724708388458	0.17290745051626472	1.115307637690498	0.9065975729408172	63.0		-0.3324095888957389	0.9051321983549694	0.9065975729408172
UQCRB	mito/nuclear pairing	0.2077234091989409	93.4566	Heart		0.368426279337333	1.3952106170093113	0.7256037377839779	0.6730551270896767	84.0		0.2023715433493411	1.5992500952705702	0.6730551270896767
UQCRC1	mito/nuclear pairing	0.1833596006273812	387.897	Skeletal_muscle		0.1905226892679964	0.6855641527506212	0.5839259049045997	1.9728245733756828	203.0		-0.026386244823340427	0.6950971388192849	1.9728245733756828
UQCRC2	mito/nuclear pairing	0.1602142995711728	313.876	Skeletal_muscle		0.1441483629272514	0.08371250653133111	0.1423382877019704	2.23280480789806	99.0		-0.2437031663817217	-0.5095361030679957	2.23280480789806
UQCRFS1	mito/nuclear pairing	0.2424637771324854	147.608	Skeletal_muscle		0.0941622626572565	-0.2684402406721493	0.1861496593894684	1.53665155933492	130.0		0.528557398300591	-0.8027712084700099	1.53665155933492
UQCRQ	mito/nuclear pairing	0.1530984606839212	157.631	Heart					0.6276662247616065	177.0		-0.3105155270214699	-0.11715988108359657	0.6276662247616065
