gene	symbol	stratum	tau	max_tpm	top_organ	enriched_in	group_enriched_in	omega_macaque	dN_macaque	Nd	Sd	omega_mouse	dN_mouse	omega_opossum	dN_opossum	omega_chicken	dN_chicken	n_species
ENSG00000091483	FH	catalytic	0.1682386045688877	61.6971	Skeletal_muscle			0.0816535402114352	0.0059940378985033	7.0	25.0	0.0628649380150242	0.038300574968373	0.0782422748204718	0.0555031257908845	0.0530776572184373	0.0820332002230011	482
ENSG00000146701	MDH2	catalytic	0.217578058570269	372.777	Skeletal_muscle			0.0725156107116835	0.0079470942236213	6.0	26.0	0.0300421193022731	0.0260954066115336	0.0288065015857021	0.0423186279263781	0.0440398606766466	0.0675697826452783	488
ENSG00000101365	IDH3B	subunit	0.1146128656722919	161.8415	Cerebellum			0.2615698036216431	0.0265496915411602	22.33333333333333	24.666666666666668	0.1284744854895282	0.0713211167087478	0.0740719114871875	0.1073256327305049	0.0867420289010088	0.106611985434654	487
ENSG00000067829	IDH3G	subunit	0.1289873871247821	93.8016	Cerebellum			0.2271199837890147	0.0388150136806499	33.666666666666664	42.33333333333333	0.1772873776967743	0.2443024910445531	0.0443993012268309	0.0452140306981835			472
ENSG00000119689	DLST	subunit	0.0828365033286159	131.678	Adrenal			0.1008129508494459	0.006881909665454	7.0	22.0	0.0905254624341395	0.0371561920968591	0.0952866804593088	0.0569282481964536	0.1015546485018588	0.1074766749221341	488
ENSG00000091140	DLD	subunit	0.1863923438605893	75.0164	Skeletal_muscle			0.5852320568799817	0.0433429357924361	49.0	25.0	0.0926775748839228	0.0402544588421218			0.0534064221904274	0.0817133878414161	480
ENSG00000143252	SDHC	subunit	0.1519185156341854	105.403	Adrenal							0.2603453001987425	0.1147706217950698	0.0899462661686682	0.0896865288847411		0.5521870887631333	497
ENSG00000204370	SDHD	subunit	0.1286556579233891	97.3461	Skeletal_muscle			0.2788344551241445	0.0169818575623198	6.0	7.0	0.1467451074882889	0.0900085376226688	0.2587232429087619	0.2366743289196983		0.360457213738421	488
ENSG00000134056	MRPS36	subunit	0.1458243735036458	38.7721	Heart			0.4463870657757228	0.0562222788550914	13.0	8.0	0.2469889691436997	0.1714911363747251	0.3289267052984923	0.1763014377114951	0.4254653121419168	0.4286171937380809	492
ENSG00000165060	FXN	FeS_biogenesis	0.3076992357703283	4.14763	Ovary			0.5267974182164589	0.1423330905247817	61.66666666666666	34.33333333333333	0.3465569562016751	0.3330516755974313	0.2398810094847254	0.3606426346132149		0.4282431666038022	481
ENSG00000244005	NFS1	FeS_biogenesis	0.2296658487812397	36.1809	Testis			0.3641055758132203	0.0421501162135136	42.33333333333333	34.666666666666664	0.1069299418070691	0.0687946491271177	0.054004797592401	0.0650472667012852		0.1268627176476358	484
ENSG00000136003	ISCU	FeS_biogenesis	0.1288784057373731	233.911	Adrenal			0.0617024915089944	0.0053097566910462	2.0	10.0	0.2321698057775874	0.1392196229389648			0.0653944486782552	0.1314561154611094	484
ENSG00000135070	ISCA1	FeS_biogenesis	0.1654690873235143	44.47165	Cerebellum			0.6525801040424124	0.2504004527938344	61.66666666666666	28.333333333333336			0.3222248309822675	0.3660730295163259	0.3752726571667103	0.5740533545934778	493
ENSG00000165898	ISCA2	FeS_biogenesis	0.2356935983663497	21.049	Thyroid			0.1239136419101724	0.0115776539277064	4.0	10.0	0.190182047287044	0.0848532611863874	0.1490950411365787	0.125834735798935	0.1155719647920263	0.2713261725901855	511
ENSG00000214113	LYRM4	FeS_biogenesis	0.2028447717342579	18.6964	Ovary									0.5878297418487638	0.3798349769076233	0.0915376707498604	0.3999738597135366	505
ENSG00000205138	SDHAF1	assembly	0.1824411030065887	53.6205	Cerebellum			0.1083026692054899	0.0121460144399854	3.0	10.0	0.1933539473430091	0.1195583992363378					463
ENSG00000167985	SDHAF2	assembly	0.1292030769836559	56.1284	Pituitary			0.0691636821560185	0.0076989555446961	3.0	11.0	0.186677462985118	0.0869428910653488					485
ENSG00000196636	SDHAF3	assembly	0.2044683287761061	25.5933	Testis			0.3049574552868676	0.0259391847373349	7.5	6.5	0.3133029216411793	0.4746962404251676		0.2553135950599878			472
ENSG00000154079	SDHAF4	assembly	0.2063767821174332	20.9303	Pituitary													484
ENSG00000142082	SIRT3	regulator	0.2492843403996195	30.2362	Testis			0.4385848098935574	0.0319683095505467	28.0	21.0	0.1442982100123745	0.0963466295976592	0.2310448788303267	0.2783628921394927	0.1638651819787004	0.2892245243061661	463
ENSG00000126602	TRAP1	regulator	0.1510282148906862	47.9778	Ovary			0.1518846250719006	0.0202799812139295	32.33333333333333	60.66666666666666	0.1494499866163705	0.1292646426942305	0.0558980184420063	0.1071815958566226	0.0873161987202699	0.1076497831413391	485
ENSG00000214756	CSKMT	regulator	0.3467834404296446	7.0669	Ovary			0.2169661412361489	0.0266525507075905	14.0	21.0			0.129101235568287	0.2345095389815688			427
ENSG00000112992	NNT	regulator	0.3697852337738385	46.1617	Skeletal_muscle			0.0940415468884277	0.0057259991831242	14.0	47.0	0.0450129710292895	0.030499525909793	0.0508987306632024	0.0445955667773738	0.0441971196184218	0.0719356517558938	483
ENSG00000075239	ACAT1	regulator	0.2937808658561042	102.82	Liver							0.1735878391215976	0.0827258970885664	0.1431032547915	0.081832300271038	0.1112709354084873	0.1340084500757757	477
ENSG00000122729	ACO1	cytosolic_paralog	0.2622205144654832	49.15405	Adipose			0.0516852152078392	0.0043888291689275	9.0	49.0	0.0488482863124873	0.0340769395876646	0.0460203941366682	0.0475408297682948	0.0371469399647272	0.0739817269906596	507
ENSG00000138413	IDH1	cytosolic_paralog	0.3608463170282534	269.732	Adrenal			0.1178069567098557	0.0051133656394431	5.0	11.0	0.0970422642624623	0.0524606774672024	0.0670652906078406	0.0579554715384917	0.0349856982557621	0.0692689881105687	483
ENSG00000014641	MDH1	cytosolic_paralog	0.2623143794296723	407.821	Heart			0.0968917861924776	0.0052083542646082	4.0	12.0	0.1113815547828232	0.0612839893971079	0.0660741654061723	0.0508215765756141	0.0445653555536831	0.0579933806785564	489
ENSG00000197444	OGDHL	cytosolic_paralog	0.7343562201498631	73.93889999999999	Cerebellum			0.0786852216956417	0.0075039248796036	17.0	61.0	0.0514517477767968	0.0331263414851773	0.0348398159594059	0.047734779509808		0.0976090959800969	479
ENSG00000131473	ACLY	cytosolic_paralog	0.1324100876258672	67.0371	Nerve_tibial			0.0051378074395322	0.0003944773266484	1.0	56.0	0.0154501452667571	0.008532402362723	0.0279507591233457	0.027680638696505	0.0171472126587253	0.0417139687905232	489
ENSG00000120053	GOT1	cytosolic_paralog	0.3434735086903371	276.0495	Heart			0.1156082003430689	0.0106065052109721	10.0	25.0	0.0753557262831425	0.0450569617815586	0.1128264524214493	0.1135628016274148	0.0749343128359509	0.12426621369346	485
ENSG00000125166	GOT2	catalytic_adjacent	0.2381558297294594	286.632	Skeletal_muscle			0.101279352049218	0.0060585990859041	6.0	17.0	0.110553648887432	0.0794138367467722	0.0321113861505216	0.039258401907578	0.0604908812332291	0.1200596840366672	480
ENSG00000131828	PDHA1	catalytic_adjacent	0.2190096863822595	120.76	Heart			0.0397738942897955	0.0030252141857337	3.0	21.0	0.0995074852139908	0.0828211940200998					489
ENSG00000168291	PDHB	catalytic_adjacent	0.1323104877812092	117.363	Skeletal_muscle			0.5198006365872829	0.0778915049361166	60.33333333333333	32.666666666666664	0.1673371325364803	0.1029734065649995	0.1202197603769019	0.1387259015781449	0.0767551317836413	0.1820229352056351	489
ENSG00000150768	DLAT	catalytic_adjacent	0.2782926336072719	43.1601	Skeletal_muscle							0.1317343477372123	0.0740389441308438	0.1503016248463446	0.1033298853996643	0.0777307096765575	0.1415584618878161	479
ENSG00000100075	SLC25A1	transport	0.1520352439034445	150.9355	Adipose			0.0480001923522954	0.0043165586779654	3.0	20.0	0.0542279573726402	0.0291865621872551	0.0538027345487268	0.0365663814588009	0.1412250934003027	0.1474401406644258	470
ENSG00000108528	SLC25A11	transport	0.1554907105653591	158.954	Skeletal_muscle			0.0602075957434919	0.0059820855525065	4.0	21.0	0.0426050271710147	0.0186925563393426	0.0302741256496614	0.0447458448126128			488
