pdb	gene_a	gene_b	n_contacts	n_informative	n_null	native	mismatch	delta	frac_native_wins	p	null_delta	null_sd	null_frac	n_null_draws	excess	mi_contact	mi_null	entropy_contact	entropy_null	note	complex
5Z62	COX4I1	MT-CO2	50	38	8.0	29.83885615181982	25.164502696028258	4.674353455791563	0.825	1.4729577200711385e-08	3.4757900237078974	1.3453291718642204	0.84375	8.0	1.1985634320836653	0.07448117974047327	0.061838156618117326	1.1881992567525124	1.181759305726782		complex IV (cytochrome c oxidase)
5Z62	COX5B	MT-CO1	76	19	8.0	19.954929800112453	17.291145058379012	2.663784741733443	0.7741935483870968	5.882268073720358e-05	1.485308404719069	0.3818879967031942	0.717741935483871	8.0	1.1784763370143738	0.04138768969885211	0.040605150101022655	1.3414644435038523	1.3101304379738945		complex IV (cytochrome c oxidase)
5XTE	CYC1	UQCRFS1	37	33	8.0	21.59990190420484	17.842092446695066	3.757809457509772	0.8317757009345794	4.353035004601707e-12	2.609830045020379	0.6870665357796006	0.7908878504672898	8.0	1.1479794124893927	0.1127235472638036	0.1017717189220091	1.0221852040832895	0.9708804744383301		complex III (cytochrome bc1)
5XTE	MT-CYB	UQCRFS1	27	21	8.0	20.43406347748657	18.840736613949094	1.593326863537471	0.9354838709677419	4.453369284413204e-08	0.49707301888688754	0.319336970371523	0.7600806451612903	8.0	1.0962538446505836	0.06049122400482396	0.029267070687935364	0.5450512799117113	0.5427447077559034		complex III (cytochrome bc1)
5XTE	CYC1	UQCRQ	49	48	8.0	27.82817908925655	24.698999380673555	3.12917970858299	0.8582089552238806	4.975977815173365e-14	2.0695398135415237	0.3808537151676351	0.8046296296296296	8.0	1.0596398950414665	0.06834645440042333	0.05854319654146501	0.8428900508862819	0.8285176282140769		complex III (cytochrome bc1)
5XTE	CYC1	UQCRB	20	20	8.0	12.702161009490975	11.167496935226804	1.5346640742641746	0.865546218487395	6.165495754541211e-11	0.5355204478068953	0.2422947229053373	0.6864583333333334	8.0	0.9991436264572793	0.08479909917631866	0.04619506853851824	1.0003071855627033	0.9896545884131358		complex III (cytochrome bc1)
5XTE	MT-CYB	UQCRB	67	46	8.0	31.606305786019107	27.70326891298877	3.90303687303034	0.7916666666666666	5.196033324259743e-06	2.969353849388658	0.41411077439704524	0.7621527777777778	8.0	0.9336830236416822	0.10294683673729643	0.08517911878460474	1.3489780399007407	1.333856269080688		complex III (cytochrome bc1)
2FP4	SUCLG1	SUCLG2	143	63	8.0	36.30725257221747	35.25405017116367	1.0532024010538108	0.7582417582417582	1.1247377411973143e-07	0.14660482811299352	0.18314898996267662	0.7548076923076923	8.0	0.9065975729408173	0.0061931318628736945	0.0027617566195118153	0.2166850522982892	0.23259336544483097		succinyl-CoA ligase
5Z62	COX6B1	MT-CO2	65	10	8.0	9.541110157821038	7.812264100115637	1.7288460577054003	0.7906976744186046	0.00013496609511895975	0.9746429125182936	0.38599674112045557	0.7325581395348837	8.0	0.7542031451871067	0.027188411452059837	0.01974175539058955	0.5394213412629484	0.5314247361274425		complex IV (cytochrome c oxidase)
5XTE	UQCRFS1	UQCRQ	33	30	8.0	22.2687187127391	20.705088184772126	1.5636305279669704	0.8252427184466019	8.194048301178085e-09	0.8256457914282873	0.21122520819699267	0.7606132075471699	8.0	0.7379847365386831	0.053947869085110185	0.03444864394104664	0.5961198565670369	0.5874331843162388		complex III (cytochrome bc1)
5Z62	COX5B	MT-CO3	70	31	8.0	29.54672501070059	25.473391115927036	4.073333894773555	0.84375	0.0015766634678722445	3.339422546394044	0.6842192410355499	0.82421875	8.0	0.7339113483795106	0.0768292705871489	0.09073939953325244	1.1451388765944148	1.1173754878904345		complex IV (cytochrome c oxidase)
8GS8	SDHB	SDHD	35	31	8.0	22.627931476324026	20.697200015958273	1.9307314603657633	0.7961165048543689	3.470547554006648e-07	1.201094067654812	0.3346397910331737	0.8016826923076923	8.0	0.7296373927109512	0.05418598026572962	0.05055358984283987	0.5568827538794222	0.5510030037139846		complex II (SDH)
5Z62	COX4I1	COX5A	84	70	8.0	52.89369684166932	51.353018271648004	1.5406785700212944	0.7391304347826086	9.691030241739108e-05	0.8364662767741526	0.2838623137425441	0.7146739130434783	8.0	0.7042122932471417	0.03131531252724678	0.02334299848710614	0.7856855681159827	0.8044677444180857		complex IV (cytochrome c oxidase)
5XTE	UQCRC1	UQCRQ	63	42	8.0	23.85287528766094	20.203954984649183	3.648920303011757	0.8707482993197279	3.7000927908428706e-17	2.983190320105427	0.704107991986947	0.8319256756756757	8.0	0.6657299829063299	0.03987043237809842	0.03950976579016636	0.8621085267246457	0.8530400032678312		complex III (cytochrome bc1)
8GS8	SDHA	SDHB	176	48	8.0	35.796202375789285	34.954156153449496	0.8420462223397802	0.7948717948717948	1.2747732458387086e-05	0.21979606635505497	0.2100823545329466	0.6912393162393162	8.0	0.6222501559847252	0.00666975319432895	0.0036628202897401874	0.2615601535974446	0.27409893746647085		complex II (SDH)
5XTE	MT-CYB	UQCRQ	57	39	8.0	27.315334888288998	21.640253414420936	5.675081473868068	0.782051282051282	2.461794600907185e-08	5.086443695716584	0.8725673702617643	0.8221153846153846	8.0	0.588637778151484	0.11299479745286319	0.08625559574030806	1.3444471433287901	1.3307920171978969		complex III (cytochrome bc1)
8GS8	SDHB	SDHC	114	79	8.0	57.86780918579178	55.372542528391975	2.4952666573997884	0.8	6.725824716709917e-08	2.088823578260014	0.36077152738928453	0.7887500000000001	8.0	0.4064430791397742	0.019886398819077108	0.01802798061694039	0.5713321822820389	0.5602229031999203		complex II (SDH)
5XTD	NDUFS1	NDUFS3	31	8	8.0	5.591289144021906	4.964827246282577	0.626461897739328	0.8923076923076924	2.99882720898119e-13	0.27703981658066046	0.24550317556029103	0.7460852396514162	8.0	0.3494220811586676	0.020500751258899625	0.021300942679779774	0.333141139072431	0.3378716485611911		complex I
5XTD	NDUFA9	NDUFS3	28	23	8.0	13.264023093375089	12.791826069151627	0.4721970242234607	0.9371069182389937	1.166530201141536e-18	0.291712457529575	0.14349323970755445	0.8274539877300613	8.0	0.18048456669388574	0.0238660221478048	0.02260031185605928	0.39135579333202813	0.38762071425352623		complex I
5XTD	MT-ND2	MT-ND5	37	28	8.0	13.170226963383781	9.932802661957194	3.237424301426587	0.7888888888888889	6.514793874201161e-07	3.0878913029254007	0.5821924523043732	0.7416666666666667	8.0	0.1495329985011864	0.16109164430828316	0.1419415548546918	1.9543862099761777	1.936178639627991		complex I
5Z62	COX5A	COX6C	34	20	6.0	22.47605972423252	22.410623855857178	0.06543586837534542	0.8055555555555556	0.0009149806329379462	-0.03596507914962927	0.11025879166636457	0.7268518518518517	6.0	0.1014009475249747	0.018596216289533198	0.001528352887877811	0.5121054603381066	0.510193937387598		complex IV (cytochrome c oxidase)
5XTE	UQCRB	UQCRQ	22	18	8.0	10.934341210042701	9.4976396462815	1.4367015637612013	0.832	9.640761033808038e-12	1.3503628325911325	0.3554833236502453	0.77	8.0	0.08633873117006874	0.07038641496056816	0.06302603601346556	1.1997638655296627	1.1750574816528268		complex III (cytochrome bc1)
5XTD	NDUFS7	NDUFS8	86	30	8.0	20.41752267397499	20.330958957911264	0.08656371606372508	0.8785046728971962	8.439929270604599e-12	0.06514715945995922	0.12184275584803793	0.8555045871559633	8.0	0.02141655660376586	0.0021585651310417953	0.004591891459493245	0.26223022151167946	0.2493421373177586		complex I
5XTD	NDUFA9	NDUFS7	38	26	8.0	13.926701884780739	13.587313476507893	0.3393884082728454	0.7987012987012987	1.0106636520829405e-09	0.35476223729429335	0.24080564143887787	0.7094155844155845	8.0	-0.01537382902144796	0.019080372516169352	0.021247929925106324	0.7879988727682141	0.7543357407315996		complex I
5XTD	MT-ND2	MT-ND4	52	35	8.0	22.753289121787606	19.43620451523397	3.317084606553634	0.8064516129032258	5.809760823220536e-09	3.333253987946133	0.7285357154967435	0.8239247311827956	8.0	-0.016169381392499016	0.0815277248771821	0.07679143214074544	1.1804969250797863	1.1637247812757805		complex I
5XTD	MT-ND1	NDUFS7	83	30	8.0	26.094480506574143	25.7400801521816	0.3544003543925423	0.8333333333333334	6.787381434497139e-06	0.3722074127485801	0.26230229611237693	0.8173076923076923	8.0	-0.017807058356037797	0.011040189822881123	0.011256467882880069	0.32246851207868305	0.38283297648214704		complex I
5XTD	NDUFS3	NDUFS7	35	18	8.0	10.44588559593619	10.554103313346856	-0.10821771741066481	0.9426751592356688	1.883544686392825e-19	0.027756292209926547	0.13239893739718187	0.8615506329113924	8.0	-0.13597400962059136	0.0014999042485215814	0.0022971571778679623	0.2831052800635897	0.2425009671277268		complex I
5XTD	NDUFS1	NDUFV1	92	53	8.0	37.165355710864326	37.1256737918335	0.039681919030826	0.9344262295081968	1.4118094300250315e-13	0.2732029240761521	0.2497097180202418	0.7609126984126984	8.0	-0.2335210050453261	0.005514976460369786	0.003220933710119488	0.23744575836945933	0.21154859655265473		complex I
5Z62	COX6B1	MT-CO3	18	14	8.0	13.183818584072112	13.275079891707732	-0.09126130763561972	0.6976744186046512	0.16106481046207954	0.15383610644199122	0.22860255870871574	0.6308139534883721	8.0	-0.24509741407761093	0.03582712394344731	0.03905674618345352	0.9097236830923434	0.8528561108242817		complex IV (cytochrome c oxidase)
5Z62	COX7A2	MT-CO3	76	39	8.0	30.956237733737716	30.164052247826852	0.79218548591086	0.7049180327868853	0.005748298168385742	1.0927832621098421	0.4958861948243699	0.6864754098360655	8.0	-0.3005977761989821	0.031846714943128414	0.02938528209707602	0.8923078782286108	0.9030297248809179		complex IV (cytochrome c oxidase)
5Z62	COX4I1	MT-CO1	70	58	8.0	39.185605571527404	30.29947926197125	8.88612630955615	0.875	9.181999784427658e-11	9.738246686481686	1.3510467338248104	0.8250000000000001	8.0	-0.8521203769255354	0.13640721034151798	0.13618420525810757	1.6674823864250985	1.6539400553392138		complex IV (cytochrome c oxidase)
5Z62	COX4I1	COX6C	17	1																interface too conserved to test	complex IV (cytochrome c oxidase)
5Z62	COX6C	MT-CO2	78	0																interface too conserved to test	complex IV (cytochrome c oxidase)
5XTD	NDUFS1	NDUFS8	35	4																interface too conserved to test	complex I
