human_gene	organ	dN	dS	omega	tau	identity_cds	fident	tmscore	lddt	plddt_human	plddt_mouse	plddt_min
ENSG00000171495	Testis	0.1019766940221108	0.6957425693857882	0.1465724515205924	0.9918612915376251	0.5591397849462365	0.687	0.8846	0.8787	84.740738170347	84.7062808349146	84.7062808349146
ENSG00000288649	Testis	0.1473534640013965	0.6461118715343701	0.2280618426828549	0.8202862183690137	0.5020408163265306	0.732	0.9442	0.9191	93.56363265306122	88.8107514450867	88.8107514450867
ENSG00000092850	Testis	0.0844463802238905	0.6475552070209949	0.1304080012148718	0.8482960339429428	0.5767441860465117	0.813	0.9691	0.9755	91.2762093023256	90.55376744186046	90.55376744186046
ENSG00000141371	Testis	0.3400596978883773	1.038088561272971	0.3275825498658556	0.9876806987560098	0.4061135371179039	0.78	0.9068	0.8475	68.05813559322034	65.19050847457628	65.19050847457628
ENSG00000219435	Testis	0.453454802748664	0.7896892957569084	0.5742192596317678	0.938526953516146	0.34375	0.256	0.6096	0.7925	62.17265	66.29845360824741	62.17265
ENSG00000152763	Testis	0.1349572591981189	0.7374999589836875	0.1829929040051702	0.7519342303919674	0.5225563909774437	0.42	0.6742	0.9022	67.78201650943396	69.54242874845104	67.78201650943396
ENSG00000168676	Testis	0.0546753328628993	0.5848162654965111	0.0934914708921096	0.97261938216407	0.6468682505399568	0.526	0.7315	0.8472	65.65744060475161	65.73940668824163	65.65744060475161
ENSG00000164334	Testis	0.13287270838306	0.4725960237806788	0.2811549435395234	0.9840603764977408	0.59375	0.385	0.5788	0.7787	56.672000000000004	56.89888888888889	56.672000000000004
ENSG00000120669	Testis	0.335137743203264	0.7778921070312779	0.4308280546543566	0.9285100250170264	0.3380614657210402	0.151	0.4658	0.5778	57.869364705882354	56.68186295503212	56.68186295503212
ENSG00000143195	Testis	0.0499435206093791	0.3781233625494062	0.132082609952072	0.8430975455345439	0.731437598736177	0.234	0.4654	0.7705	56.324444444444445	56.35665658093797	56.324444444444445
ENSG00000165972	Testis	0.181456267140537	1.0105676900481724	0.1795587459677117	0.9717139931097838	0.4418604651162791	0.271	0.5285	0.8272	72.98039076376554	72.92358792184724	72.92358792184724
ENSG00000139537	Testis	0.1167032848116818	1.00907045384084	0.1156542482910607	0.7645029235487841	0.5467775467775468	0.266	0.4649	0.9067	82.91219008264463	81.5792089249493	81.5792089249493
ENSG00000176890	Testis	0.0484622634258816	0.6211303286825818	0.0780226969896481	0.7181012734879688	0.6514657980456026	0.905	0.9916	0.9903	93.79565495207667	93.79915309446255	93.79565495207667
ENSG00000138160	Testis	0.1078712006647771	0.5903257753972415	0.1827316460850596	0.75316552078659	0.5893536121673004	0.443	0.7092	0.7817	74.36906250000001	74.94210076045627	74.36906250000001
ENSG00000137948	Testis	0.1516440296086584	1.0986466776369594	0.1380280236543601	0.9969999834468636	0.4913606911447084	0.207	0.4485	0.7751	62.423822597676875	62.00275104602511	62.00275104602511
ENSG00000105011	Testis	0.0456134661025218	0.5523276842635962	0.0825840663108115	0.792157160032974	0.6881188118811881	0.968	0.9993	0.9835	84.57331683168317	84.7	84.57331683168317
ENSG00000158748	Brain	0.0624229906122928	0.4232512529003018	0.1474844792178247	0.9073004644113842	0.6552511415525114	0.738	0.8928	0.9297	72.64870454545455	72.06579545454545	72.06579545454545
ENSG00000162975	Brain	0.0182637087156733	0.561464855600214	0.032528676609953	0.9022763255040804	0.7038539553752535	0.884	0.9317	0.9475	79.6318016194332	79.34983772819473	79.34983772819473
ENSG00000169006	Brain	0.1566102478045197	0.5613962706750615	0.2789656005662468	0.9337140000062152	0.5463414634146342	0.684	0.8562	0.858	78.8669756097561	80.82076923076923	78.8669756097561
ENSG00000175874	Brain	0.0851768760261731	0.6478714855388309	0.1314718704672302	0.9530068882394856	0.5798611111111112	0.513	0.7661	0.9068	71.86103448275863	72.12142361111111	71.86103448275863
ENSG00000144119	Brain	0.0267956001077502	0.7129247213213425	0.0375854551067986	0.9489510166176656	0.6306620209059234	0.415	0.5681	0.8874	74.05958188153309	75.9808362369338	74.05958188153309
ENSG00000188674	Brain	0.2096105585809425	0.597579268659173	0.3507661151821067	0.9739667511303508	0.5077720207253886	0.338	0.6987	0.7045	53.280414507772015	54.99822510822511	53.280414507772015
ENSG00000164076	Brain	0.0235714627301482	0.4834354537413197	0.0487582417626345	0.9356292437153896	0.7194388777555111	0.607	0.7598	0.9329	70.64708582834332	70.51291015625	70.51291015625
ENSG00000153266	Brain	0.0165269162993853	0.4389789555380501	0.0376485389353768	0.9964941390382592	0.7400881057268722	0.435	0.6435	0.7842	54.034183006535955	53.76778021978022	53.76778021978022
ENSG00000178394	Brain	0.0599992689335898	0.595071951430747	0.1008269147778382	0.9787754440499772	0.6175771971496437	0.702	0.84	0.8993	77.81021327014219	77.32840855106888	77.32840855106888
ENSG00000070808	Brain	0.1568445629147405	0.6234055564916097	0.2515931423476997	0.8480461266792857	0.6089613034623218	0.997	0.992	0.9857	85.78792887029289	86.08661087866108	85.78792887029289
ENSG00000112333	Brain	0.0142321085774934	0.4493701932383912	0.0316712340774755	0.9879524540305132	0.743455497382199	0.662	0.823	0.8755	77.35254545454545	77.94924675324675	77.35254545454545
ENSG00000170419	Brain	0.1661213902901344	0.7791304090261439	0.2132138450324047	0.9570917599748422	0.5687732342007435	0.641	0.789	0.8928	71.12622881355931	71.0135593220339	71.0135593220339
ENSG00000164794	Brain	0.0212434912677763	0.5920492350146482	0.03588129164165	0.9643166559753898	0.69	0.75	0.8191	0.8745	78.5222	78.10840954274353	78.10840954274353
ENSG00000106689	Brain	0.0053201145227442	0.4370542845472186	0.0121726630097123	0.9534149150394948	0.7566909975669099	0.322	0.4971	0.7444	65.53519704433498	65.75448275862068	65.53519704433498
ENSG00000148482	Brain	0.1522793889245537	0.6629127940408058	0.2297125508716312	0.9498869508484548	0.5444947209653092	0.658	0.8471	0.8542	69.3775976845152	68.77174165457184	68.77174165457184
ENSG00000154478	Brain	0.1357304562270967	0.4404338798092137	0.308174421744967	0.927655474605731	0.6542056074766355	0.922	0.9498	0.9569	90.97163204747775	90.82341246290801	90.82341246290801
ENSG00000110786	Brain	0.1270030059235155	0.5749075946742749	0.2209102942803731	0.83245384556048	0.6048237476808905	0.528	0.7258	0.8839	72.03376991150442	74.43251386321627	72.03376991150442
ENSG00000110436	Brain	0.028771183637408	0.5927017162969657	0.0485424334809798	0.8937369988919466	0.6730769230769231	0.894	0.9809	0.9673	77.75621951219512	77.83576923076923	77.75621951219512
ENSG00000166159	Brain	0.0418105937218803	0.6726143967353952	0.0621613125214274	0.9738781419519292	0.6135135135135135	0.634	0.8242	0.9157	79.87624324324324	80.13329729729729	79.87624324324324
ENSG00000139155	Brain	0.1356320033687173	0.7067575752147662	0.1919073924711767	0.874191653602242	0.5627644569816643	0.785	0.9746	0.9475	78.4744382022472	77.00818181818181	77.00818181818181
ENSG00000186297	Brain	0.0202906366999659	0.7639271857459299	0.0265609564348116	0.9591164635960158	0.645021645021645	0.817	0.9517	0.949	81.00019480519481	81.82211663066954	81.00019480519481
ENSG00000006116	Brain	0.0069093072710573	0.5407919765077664	0.0127762754833662	0.976212573573526	0.7301587301587301	0.874	0.9442	0.9577	68.09641269841269	68.20209523809525	68.09641269841269
ENSG00000126733	Brain	0.0325776073209759	0.3990815660278063	0.0816314510470424	0.8999036256311022	0.7328881469115192	0.329	0.5167	0.7955	61.38176961602671	60.24567823343849	60.24567823343849
ENSG00000151025	Cerebellum	0.0657134619757418	0.5584975350289618	0.1176611495202644	0.919409348733767	0.6383333333333333	0.539	0.7799	0.8748	58.03939917695473	58.579925	58.03939917695473
ENSG00000133816	Cerebellum	0.1007300481040661	0.5947529999611327	0.1693645061238008	0.6478029073974095	0.6106666666666667	0.201	0.4505	0.677	56.289121103730196	56.587642234751414	56.289121103730196
ENSG00000180998	Cerebellum	0.0417294283328233	0.380689410083685	0.1096154167347343	0.8253395484160694	0.7257683215130024	0.748	0.8712	0.8962	66.57202797202798	66.93718676122931	66.57202797202798
ENSG00000149970	Cerebellum	0.0051631761120798	0.3335443665461002	0.0154797281259619	0.8779872615278677	0.8207364341085271	0.312	0.5585	0.7768	57.337659574468084	57.76032945736434	57.337659574468084
ENSG00000164742	Cerebellum	0.039300521197836	0.5029590969740823	0.0781386029883484	0.7549600983832501	0.6788908765652951	0.887	0.9654	0.9277	77.42341376228777	77.49459749552771	77.42341376228777
ENSG00000135454	Cerebellum	0.070414779001969	0.560634668606135	0.1255983315784523	0.7109736436402598	0.6060037523452158	0.87	0.9653	0.9653	88.66887429643526	87.73864915572233	87.73864915572233
ENSG00000182389	Cerebellum	0.0088223955265618	0.5870477933109942	0.0150284110205113	0.8236922274864145	0.7109826589595376	0.861	0.9081	0.9567	71.84076923076923	71.78901734104046	71.78901734104046
ENSG00000158815	Cerebellum	0.0070187678017241	0.4720945209770151	0.0148672934970704	0.774394317008724	0.7546296296296297	0.964	0.9619	0.9515	86.16189814814815	85.71569444444445	85.71569444444445
ENSG00000196421	Cerebellum	0.2696830266199371	0.97145509210689	0.2776073014708781	0.8152372395898689	0.3422459893048128	0.478	0.7768	0.7509	71.30359788359789	72.77335106382978	71.30359788359789
ENSG00000140323	Cerebellum	0.1387756390537199	0.6795686981759123	0.2042113467353916	0.9043609803067908	0.5070631970260223	0.561	0.8583	0.9002	67.5374232690935	68.62468401486989	67.5374232690935
ENSG00000142549	Cerebellum	0.0094404483110417	0.4527740372035244	0.0208502421414198	0.8824629522244092	0.7202380952380952	0.95	0.9715	0.9569	83.87601190476191	83.24220238095238	83.24220238095238
ENSG00000149575	Cerebellum	0.0401881846005798	0.5838802721333267	0.0688294955637805	0.8448863686532638	0.6837209302325581	0.821	0.9179	0.9558	85.7840465116279	86.17530232558138	85.7840465116279
ENSG00000267909	Cerebellum	0.0463493598194602	0.5899727760283672	0.0785618620090897	0.9708973232824158	0.6244665718349929	0.041	0.3954	0.8759	73.05923620933522	73.22973087818697	73.05923620933522
ENSG00000164418	Cerebellum	0.0052026063894061	0.4355460536788178	0.0119450201544994	0.886212422623181	0.7742290748898678	0.99	0.9847	0.9807	83.56696035242291	83.32988986784142	83.32988986784142
ENSG00000063015	Cerebellum	0.0472029714172547	0.5036297802923042	0.0937255366230694	0.9292356122278824	0.6589303733602422	0.488	0.6819	0.8603	69.80072434607645	70.07278506559032	69.80072434607645
ENSG00000139767	Cerebellum	0.0650831927767143	0.5721033503319494	0.1137612508980262	0.9572006616037648	0.6231155778894473	0.142	0.384	0.7007	47.880801963993456	47.11993421052631	47.11993421052631
ENSG00000185518	Cerebellum	0.0838274111590809	0.6530996011276622	0.1283531807619265	0.8715936815322811	0.6553755522827688	0.887	0.9626	0.9556	81.9598243045388	82.14247437774524	81.9598243045388
ENSG00000164438	Cerebellum	0.0015321762223502	0.2146243289503626	0.0071388748416521	0.9923754569473512	0.8625429553264605	0.721	0.7896	0.874	66.84037800687285	66.99731958762885	66.84037800687285
ENSG00000183166	Cerebellum	0.0197271646583766	0.6435163678126341	0.0306552647999162	0.9042719669158716	0.6934865900383141	0.449	0.6259	0.5645	53.33762452107279	54.551149425287356	53.33762452107279
ENSG00000198795	Cerebellum	0.0130662515398625	0.8954728565425318	0.0145914546090342	0.5686285952945774	0.6674294431731502	0.076	0.2854	0.481	60.79270022883295	59.59632341723875	59.59632341723875
ENSG00000153233	Cerebellum	0.0923388145251114	0.628264537463528	0.1469744176520099	0.8991376387222914	0.6295731707317073	0.358	0.5956	0.8462	72.24103500761035	71.95195121951218	71.95195121951218
ENSG00000109943	Cerebellum	0.1602068942451811	0.8393641226416376	0.1908669788517762	0.9377771710558586	0.4781491002570694	0.367	0.6921	0.8526	73.51712468193384	72.007048346056	72.007048346056
ENSG00000103269	Cerebellum	0.0206952073002531	0.4882674446152204	0.0423849829196826	0.6660081289438897	0.7057220708446866	0.883	0.9386	0.8972	72.56696347031964	81.15670241286863	72.56696347031964
ENSG00000125492	Cerebellum	0.0103426139114739	0.2851540810116949	0.036270264394532	0.993576925357774	0.8073394495412844	0.654	0.6655	0.8761	65.35529051987767	63.68899082568807	63.68899082568807
ENSG00000119283	Cerebellum	0.0317765673839458	0.659566161295471	0.0481779831177704	0.960638852626726	0.64453125	0.374	0.526	0.8863	76.71388250319283	78.14199218750001	76.71388250319283
ENSG00000128482	Cerebellum	0.0635680111132258	0.692172762522254	0.0918383596626745	0.6749861650875331	0.5904761904761905	0.558	0.7436	0.7956	68.67870047543582	66.74550458715596	66.74550458715596
ENSG00000129159	Cerebellum	0.0521906839584218	0.3342566187437242	0.1561395677206818	0.9526154455084228	0.7741407528641571	0.944	0.964	0.9391	78.57976516634051	78.45673189823874	78.45673189823874
ENSG00000164853	Cerebellum	0.0531275148197127	0.4694901729806498	0.1131600145801185	0.9859695527459604	0.6602687140115163	0.191	0.3408	0.7428	57.42386064030132	57.49316981132075	57.42386064030132
ENSG00000272636	Cerebellum	0.0236197727214511	0.4686046778079119	0.0504044749018344	0.5874860537382717	0.7281553398058253	0.74	0.8491	0.9202	78.19720873786407	78.05444174757282	78.05444174757282
ENSG00000101349	Cerebellum	0.0279582660446071	0.5144208865289378	0.0543490102691124	0.926737443867662	0.7037552155771906	0.326	0.5502	0.8539	62.92513212795549	63.445062586926284	62.92513212795549
ENSG00000106327	Liver	0.0895795094540469	0.6437410833084487	0.1391545634988235	0.8879170862893022	0.5942211055276382	0.747	0.9286	0.9192	83.90207240948814	83.27506265664161	83.27506265664161
ENSG00000106927	Liver	0.1471093506478961	0.7841539570925335	0.1876026376163993	0.9419442423477168	0.5128939828080229	0.66	0.8789	0.8556	81.48244318181818	81.48905444126073	81.48244318181818
ENSG00000147647	Liver	0.0631400616984322	0.5755563158727425	0.109702664981949	0.915635017220082	0.630057803468208	0.867	0.9838	0.9798	95.82287090558766	95.42811175337188	95.42811175337188
ENSG00000135094	Liver	0.0963943070789387	0.6331999773629402	0.1522335921115914	0.8811182995322886	0.5718654434250765	0.828	0.9933	0.9722	95.87689024390245	95.5487767584098	95.5487767584098
ENSG00000183549	Liver	0.0754597187433451	0.651841182245116	0.1157639633682572	0.7445422878796264	0.6020761245674741	0.877	0.9977	0.9816	90.35426597582037	90.23735294117647	90.23735294117647
ENSG00000182327	Liver	0.227589247426351	0.6322283929323537	0.3599794788885767	0.817289311103477	0.4275862068965517	0.492	0.8279	0.8708	82.73670103092783	78.8859813084112	78.8859813084112
ENSG00000196660	Liver	0.11114598234722	0.5289690715829682	0.2101181114703166	0.9264356547310358	0.5872340425531914	0.679	0.8934	0.8935	67.48080412371135	68.85755319148937	67.48080412371135
ENSG00000118514	Liver	0.0563515183321646	0.6961644770545717	0.0809456962966343	0.7919193457661315	0.6160164271047228	0.899	0.9998	0.9953	97.41248459958932	97.41862422997946	97.41248459958932
ENSG00000151790	Liver	0.0605188646212627	1.050093013860789	0.0576319086237495	0.9463973865063724	0.5812807881773399	0.878	0.9798	0.9813	90.0584236453202	89.60684729064039	89.60684729064039
ENSG00000148965	Liver	0.2814275850535929	0.7361231091726992	0.3823104879425381	0.932571679778928	0.3615384615384615	0.528	0.9344	0.9252	85.27646153846153	85.52415384615384	85.27646153846153
ENSG00000132703	Liver	0.2069932538095421	0.9633837501074612	0.2148606448743327	0.9913930387250892	0.4304932735426009	0.656	0.9764	0.9709	94.41896860986547	93.0849107142857	93.0849107142857
ENSG00000137561	Liver	0.0977874818573682	0.6035950544284925	0.1620084212750173	0.9230308664619788	0.6053511705685619	0.897	0.9965	0.9901	94.15420863309352	93.49953237410071	93.49953237410071
ENSG00000131482	Liver	0.0586803262314111	0.731754651737125	0.0801912582203733	0.9805152512328282	0.5994397759103641	0.885	0.9945	0.9855	92.21005602240896	92.74403361344537	92.21005602240896
ENSG00000101981	Liver	0.0905768557580035	0.4679451027515695	0.1935629953714688	0.9996420093551692	0.6399132321041214	0.67	0.8278	0.9205	80.29401301518436	79.39524416135882	79.39524416135882
ENSG00000007933	Liver	0.1102702591080357	0.5927405661379737	0.1860346084063493	0.7674801468463467	0.5714285714285714	0.786	0.986	0.9827	95.64486842105262	94.99234082397004	94.99234082397004
ENSG00000198650	Liver	0.0424072073439884	0.7261253333801292	0.0584020490602937	0.9745325635036926	0.6233480176211453	0.906	0.9843	0.9822	91.73856828193833	91.38856828193833	91.38856828193833
ENSG00000182156	Liver	0.1519720997721744	0.833915114907605	0.1822392915722752	0.9722141587348896	0.5358744394618834	0.812	0.979	0.9803	90.13397379912664	92.05446469248292	90.13397379912664
ENSG00000161031	Liver	0.1664649588094971	0.637681410133266	0.2610472191351923	0.9702638604930456	0.493358633776091	0.616	0.8994	0.8488	78.6498263888889	81.29018867924529	78.6498263888889
ENSG00000129988	Liver	0.2238366939078929	0.7229097710234648	0.3096329623418902	0.923778893507194	0.4303534303534304	0.672	0.9585	0.9321	90.5381288981289	89.41898128898129	89.41898128898129
ENSG00000180210	Liver	0.1120246254890396	0.6317991687135852	0.1773104983932386	0.9746176584085304	0.5883306320907618	0.773	0.9351	0.8468	83.92017684887459	83.64257281553398	83.64257281553398
ENSG00000164344	Liver	0.1348439912670914	0.7680761225780801	0.1755607124128294	0.7256880270858388	0.5078369905956113	0.762	0.9776	0.9473	87.8814420062696	86.84009404388713	86.84009404388713
ENSG00000110169	Liver	0.1413004521527526	0.4880068150882894	0.2895460632597698	0.8673528660718791	0.5754923413566739	0.731	0.9722	0.9279	87.57729437229438	86.26480434782609	86.26480434782609
ENSG00000167701	Liver	0.0718787423963916	0.7895557031546163	0.0910369491464693	0.5624113476830315	0.5584677419354839	0.872	0.9893	0.9846	95.14774193548386	95.18431451612904	95.14774193548386
ENSG00000151655	Liver	0.0902965032525577	0.7847798021765173	0.115059667695484	0.9463180770058586	0.5623678646934461	0.802	0.9555	0.9294	82.53437632135305	82.67179704016914	82.53437632135305
ENSG00000163825	Liver	0.3853351051035661	1.0831393796517506	0.3557576359447466	0.9731036023907766	0.37117903930131	0.24	0.8316	0.8175	77.56366379310344	58.91002109704641	58.91002109704641
ENSG00000140093	Liver	0.1662052634368433	0.7968987840777202	0.2085650860029842	0.96886342957042	0.4954545454545455	0.748	0.9755	0.921	86.72558558558559	84.41651785714286	84.41651785714286
ENSG00000178772	Liver	0.2035512678937754	0.6468968805858022	0.3146579833704688	0.9708950089835726	0.4330275229357798	0.629	0.9396	0.9182	85.59188990825689	86.13990859232176	85.59188990825689
ENSG00000134240	Liver	0.0846351552645169	0.6495319137550157	0.1303017657365468	0.8101411504940914	0.5956607495069034	0.915	0.9993	0.9923	91.95374015748031	91.89994094488189	91.89994094488189
ENSG00000102967	Liver	0.1054831494244399	0.6683307234287658	0.1578307651087401	0.5622003831816434	0.5620253164556962	0.875	1.001	0.9927	96.10840506329114	95.87377215189873	95.87377215189873
ENSG00000204099	Liver	0.1857009964208352	0.9176481099191944	0.2023662386633015	0.8460344784256985	0.445859872611465	0.583	0.8305	0.9351	82.8661570247934	82.01658995815902	82.01658995815902
ENSG00000085265	Blood	0.1572191765471197	0.9015322730138616	0.1743910686874572	0.884075203786548	0.4522292993630573	0.509	0.7893	0.9192	84.92677914110429	84.68464968152865	84.68464968152865
ENSG00000180549	Blood	0.1163907086753119	1.0432868030605742	0.1115615651744749	0.8935846870446129	0.4532163742690058	0.795	0.9683	0.9539	92.32558479532163	84.14539845758354	84.14539845758354
ENSG00000164047	Blood	0.2700094317231479	0.5425339795047068	0.49768206586737	0.8919099744329992	0.3963414634146341	0.449	0.7714	0.7917	79.98417647058824	78.31348837209302	78.31348837209302
ENSG00000166947	Blood	0.1614402033874365	0.5889468521008132	0.2741167608105356	0.9518509374596128	0.5094066570188133	0.73	0.9772	0.9103	89.01578871201158	88.05231548480462	88.05231548480462
ENSG00000100504	Blood	0.0270815298112177	0.6124917826768618	0.0442153357435415	0.4667000357757316	0.69185360094451	0.944	0.9935	0.9617	92.67893742621015	92.2508705882353	92.2508705882353
ENSG00000183625	Blood	0.1906234448075868	0.7150038126552641	0.2666047948747023	0.9519067440811444	0.4647887323943662	0.651	0.942	0.9424	83.4241971830986	82.33261838440112	82.33261838440112
ENSG00000118113	Blood	0.1565681585500356	0.5885071628019825	0.2660429106836833	0.9581471686274023	0.5442764578833693	0.732	0.9855	0.9501	90.37226980728052	90.48984946236558	90.37226980728052
ENSG00000103569	Blood	0.2023965754775003	0.6549446168830783	0.3090285350244088	0.8415840417582001	0.4861111111111111	0.775	0.9874	0.9678	91.5395593220339	92.42840677966102	91.5395593220339
ENSG00000214212	Blood	0.1556774094885367	0.7017614408916041	0.2218380783229483	0.7915884524912137	0.5091743119266054	0.469	0.7546	0.7902	73.86117391304347	73.94256756756755	73.86117391304347
ENSG00000066336	Blood	0.0751671672586759	0.5625152707007777	0.133626891879812	0.632441675333468	0.6479400749063671	0.373	0.5216	0.8763	65.4914814814815	65.87613970588235	65.4914814814815
ENSG00000132965	Blood	0.0696511598909013	0.8124911031522692	0.0857254431718349	0.6424599483989061	0.6012658227848101	0.919	0.9991	0.9929	89.39347826086956	89.14447204968943	89.14447204968943
ENSG00000159339	Blood	0.146896809801855	0.6163824377835228	0.2383208878080431	0.9276474423137892	0.527190332326284	0.73	0.9881	0.9602	94.30257918552036	93.65966966966968	93.65966966966968
ENSG00000178789	Blood	0.3003581749478439	0.6899737164270295	0.4353182850257301	0.8930018527411947	0.3930348258706467	0.48	0.8518	0.8566	79.57293532338308	81.22617224880383	79.57293532338308
ENSG00000147454	Blood	0.0456389402805507	0.4819761649519449	0.094691280605341	0.4618119032916331	0.6863905325443787	0.888	0.9752	0.9062	77.27556213017752	78.54958579881658	77.27556213017752
ENSG00000116701	Blood	0.081032475547577	0.7048313828304182	0.1149671787061635	0.7157223024421491	0.6019047619047619	0.679	0.8727	0.8849	78.54338403041827	78.05335238095238	78.05335238095238
ENSG00000119535	Blood	0.2461631045747434	0.6046332376414008	0.4071279732073533	0.731049908238652	0.4370629370629371	0.318	0.6209	0.8102	73.6751913875598	73.78691756272401	73.6751913875598
ENSG00000104918	Blood	0.3891757783286521	0.8579016601921734	0.4536368168835052	0.8852065493464746	0.3518518518518518	0.569	0.8507	0.9122	89.46055555555556	88.53122807017543	88.53122807017543
ENSG00000103313	Blood	0.3987485562898878	1.1627167681881208	0.342945562668081	0.8587418421141384	0.2980625931445603	0.179	0.5043	0.7761	72.30143405889885	57.0625814863103	57.0625814863103
ENSG00000112212	Blood	0.1966804397084864	0.5412141409809429	0.363405951204464	0.8626834825324353	0.4753086419753086	0.652	0.939	0.8862	68.1755294117647	69.26895061728395	68.1755294117647
ENSG00000162551	Blood	0.1299990234215447	0.9549558813210496	0.1361309207727052	0.6219248308499089	0.5196078431372549	0.92	0.9911	0.9844	93.2885496183206	93.21188931297709	93.21188931297709
ENSG00000077984	Blood	0.2006610634436533	0.6908469160962121	0.2904566247143932	0.7427763992958777	0.5138888888888888	0.75	0.9899	0.972	88.61993103448276	88.20909722222223	88.20909722222223
ENSG00000136167	Blood	0.0151225194342207	0.6334510130483973	0.0238732263785414	0.6033485402611987	0.7017543859649122	0.969	0.9876	0.9862	89.62039872408295	88.96859649122807	88.96859649122807
ENSG00000182885	Blood	0.1894774604762782	0.7441095012166102	0.254636528852924	0.817637207444408	0.4564007421150278	0.635	0.9277	0.8801	80.1153005464481	81.6539667896679	80.1153005464481
ENSG00000188404	Blood	0.1646309622446975	0.8098078532727951	0.2032963271217367	0.8085136155156689	0.5295698924731183	0.665	0.8338	0.9506	85.31569892473118	85.87793010752688	85.31569892473118
ENSG00000141526	Blood	0.0597605593773366	0.6817978131685625	0.0876514389208841	0.5499270388272177	0.5948275862068966	0.77	0.9172	0.9363	83.60253763440862	82.51682978723404	82.51682978723404
ENSG00000013306	Blood	0.0611389266995125	0.5294146547530313	0.1154840088966435	0.3555876891016846	0.6211699164345403	0.822	0.9226	0.9078	73.91350974930363	73.2407799442897	73.2407799442897
ENSG00000008516	Blood	0.1399732901964883	0.8415713618325762	0.1663237326561201	0.8525688582697442	0.4660714285714286	0.776	0.9605	0.9183	78.16129893238434	74.22380487804878	74.22380487804878
ENSG00000204936	Blood	0.3966546806169851	1.1619768710859075	0.3413619414354587	0.8701225097236942	0.2975609756097561	0.137	0.5112	0.753	85.22102974828374	84.05052631578947	84.05052631578947
ENSG00000171051	Blood	0.1553967186339973	0.8534345544147017	0.1820839311346735	0.7813451265489616	0.4885714285714285	0.775	0.9516	0.9215	83.80279999999999	81.27098901098901	81.27098901098901
ENSG00000138136	Skeletal_muscle	0.01272227696073	0.3545406037922868	0.0358838362225602	0.9789718974554842	0.7758007117437722	0.695	0.7776	0.8831	66.86779359430605	66.8245390070922	66.8245390070922
ENSG00000072954	Skeletal_muscle	0.0654988172411218	0.7061327274047035	0.0927570904153586	0.6434974171336741	0.6116504854368932	0.816	0.9584	0.9301	80.54622073578595	80.97879194630873	80.54622073578595
ENSG00000182533	Skeletal_muscle	0.0229683020849501	0.5994402649158697	0.0383162483891097	0.932048460187934	0.6821192052980133	0.947	0.9367	0.9906	88.48344370860926	89.28741721854303	88.48344370860926
ENSG00000175946	Skeletal_muscle	0.0837771542621781	0.6520269930663241	0.1284872484622063	0.9056592532979884	0.5972461273666093	0.832	0.9728	0.9475	90.3934595524957	88.85278829604131	88.85278829604131
ENSG00000196296	Skeletal_muscle	0.0167579772782844	0.5305385912379683	0.0315867263099203	0.8774808317500135	0.704225352112676	0.965	1.001	0.9956	88.70623376623377	89.06862173038229	88.70623376623377
