gene	branch	ensembl	obesity_assoc	bmi_assoc	assoc(max)	genetic_component	degree	betweenness	centrality	measurability	analyte	attribution	cum_coverage	in_minimal_set	clinical_role	role_note
TGFBR1	activin/myostatin-SMAD2/3	ENSG00000106799	0.01	0.052	0.052	0.086	12	0.0189	0.26	0.7	receptor occupancy	0.1124	0.811	False	(below cut / supporting)	
INHBB	activin/myostatin-SMAD2/3	ENSG00000163083	0.01	0	0.01	0.0	9	0.011	0.188	1.0	circulating	0.0791	0.811	False	(below cut / supporting)	
INHBE	activin/myostatin-SMAD2/3	ENSG00000139269	0.022	0.03	0.03	0.049	5	0.0006	0.092	1.0	circulating activin E	0.072	0.811	False	ENROLLMENT	pLOF genotype + AlphaGenome splice-donor evidence — hepatic activin E stratification
WFIKKN2	activin/myostatin-SMAD2/3	ENSG00000173714	0.01	0	0.01	0.0	3	0.0002	0.055	1.0	circulating GASP-1	0.0322	0.811	False	(below cut / supporting)	
WFIKKN1	activin/myostatin-SMAD2/3	ENSG00000127578	0	0	0	0	3	0.0002	0.055	1.0	circulating GASP-2	0.0192	0.811	False	(below cut / supporting)	
DEXA lean/fat mass	phenotype-endpoint	-	-	-	-	-	-	-	-	1.0	imaging/clinical	-	-	endpoint	EFFICACY	downstream of MSTN/ACVR2B/ALK7 muscle-sparing branch
appendicular lean mass	phenotype-endpoint	-	-	-	-	-	-	-	-	1.0	imaging/clinical	-	-	endpoint	EFFICACY	myostatin/ActRIIB output — muscle preservation
MRI-VAT (visceral fat)	phenotype-endpoint	-	-	-	-	-	-	-	-	1.0	imaging/clinical	-	-	endpoint	EFFICACY	GDF15-GFRAL & ALK7 adipose output
fat mass / body weight	phenotype-endpoint	-	-	-	-	-	-	-	-	1.0	imaging/clinical	-	-	endpoint	EFFICACY	integrated appetite/energy-homeostasis output
HbA1c	phenotype-endpoint	-	-	-	-	-	-	-	-	1.0	imaging/clinical	-	-	endpoint	EFFICACY	metabolic downstream readout
