Gene Name,Interacting Partner,AF_Score,RF_Score,confident,Subcellular Locality,Function
LRRTM3,Q86VH5,0.2261,0.3682,Not confident,"Cell membrane, Membrane, Postsynaptic cell membrane, Synapse",
CD53,P19397,0.224,0.644,Not confident,"Cell junction, Cell membrane, Membrane",
NEO1,Q92859,0.2156,0.521,Not confident,"Cell membrane, Membrane",Cell adhesion
MEGF9,Q9H1U4,0.1924,0.393,Not confident,Membrane,
CD63,P08962,0.1663,0.2401,Not confident,"Cell membrane, Endosome, Lysosome, Membrane, Secreted","Protein transport, Transport"
TMIGD1,Q6UXZ0,0.1556,0.4495,Not confident,"Cell membrane, Cytoplasm, Membrane",
PRTG,Q2VWP7,0.1539,0.5796,Not confident,Membrane,Developmental protein
NTSR2,O95665,0.1526,0.2898,Not confident,"Cell membrane, Membrane","G-protein coupled receptor, Receptor, Transducer"
CEND1,Q8N111,0.1526,0.06122,Not confident,Membrane,Differentiation
ARRB1,P49407,0.1505,0.08105,Not confident,"Cell membrane, Cell projection, Coated pit, Cytoplasm, Cytoplasmic vesicle, Membrane, Nucleus","Protein transport, Signal transduction inhibitor, Transcription, Transcription regulation, Transport"
EIF2AK3,Q9NZJ5,0.1412,0.299,Not confident,"Endoplasmic reticulum, Membrane","Kinase, Serine/threonine-protein kinase, Stress response, Transferase, Translation regulation, Unfolded protein response"
GRINA,Q7Z429,0.1356,0.03238,Not confident,Membrane,
LMAN2,Q12907,0.1321,0.3418,Not confident,"Endoplasmic reticulum, Golgi apparatus, Membrane","Protein transport, Transport"
HTR2B,P41595,0.1251,0.27,Not confident,"Cell membrane, Membrane, Synapse, Synaptosome","Behavior, G-protein coupled receptor, Receptor, Transducer"
PLSCR3,Q9NRY6,0.12274,0.03772,Not confident,"Membrane, Mitochondrion, Mitochondrion inner membrane, Nucleus","Apoptosis, Lipid transport, Transport"
DSCAM,O60469,0.11865,0.3345,Not confident,"Cell membrane, Cell projection, Membrane, Secreted, Synapse","Cell adhesion, Neurogenesis"
ASAP1,Q9ULH1,0.1139,0.3542,Not confident,"Cytoplasm, Golgi apparatus, Membrane","Cilium biogenesis/degradation, GTPase activation"
SERP1,Q9Y6X1,0.11365,0.02907,Not confident,"Endoplasmic reticulum, Membrane","Protein transport, Translocation, Transport, Unfolded protein response"
ARRB2,P32121,0.1132,0.0862,Not confident,"Cell membrane, Coated pit, Cytoplasm, Cytoplasmic vesicle, Membrane, Nucleus","Protein transport, Signal transduction inhibitor, Transport"
TMEM199,Q8N511,0.1111,0.353,Not confident,"Cytoplasmic vesicle, Endoplasmic reticulum, Membrane",
CACFD1,Q9UGQ2,0.11017,0.6157,Not confident,"Cell membrane, Cytoplasmic vesicle, Endoplasmic reticulum, Endosome, Golgi apparatus, Membrane, Synapse",
LRRC3B,Q96PB8,0.1082,0.414,Not confident,Membrane,
CLSTN1,O94985,0.1054,0.371,Not confident,"Cell membrane, Cell projection, Endoplasmic reticulum, Golgi apparatus, Membrane, Nucleus, Postsynaptic cell membrane, Synapse",Cell adhesion
MLEC,Q14165,0.1049,0.502,Not confident,"Endoplasmic reticulum, Membrane",Carbohydrate metabolism
TREM2,Q9NZC2,0.1036,0.1373,Not confident,"Cell membrane, Membrane, Secreted",Receptor
DNAJB12,Q9NXW2,0.09955,0.3232,Not confident,"Endoplasmic reticulum, Membrane, Nucleus","Chaperone, Host-virus interaction"
TM4SF4,P48230,0.0995,0.03,Not confident,Membrane,
B3GAT1,Q9P2W7,0.09894,0.3027,Not confident,"Endoplasmic reticulum, Golgi apparatus, Membrane, Secreted",Transferase
COMT,P21964,0.0983,0.0586,Not confident,"Cell membrane, Cytoplasm, Membrane","Catecholamine metabolism, Lipid metabolism, Methyltransferase, Neurotransmitter degradation, Transferase"
VAPB,O95292,0.0983,0.0548,Not confident,"Endoplasmic reticulum, Membrane","Host-virus interaction, Unfolded protein response"
IGF1R,P08069,0.0975,0.2627,Not confident,"Cell membrane, Membrane","Host-virus interaction, Kinase, Receptor, Transferase, Tyrosine-protein kinase"
BACE1,P56817,0.0959,0.319,Not confident,"Cell membrane, Cell projection, Cytoplasmic vesicle, Endoplasmic reticulum, Endosome, Golgi apparatus, Lysosome, Membrane","Aspartyl protease, Hydrolase, Protease"
PTK7,Q13308,0.0918,0.4373,Not confident,"Cell junction, Membrane","Cell adhesion, Receptor, Wnt signaling pathway"
GPSM2,P81274,0.08997,0.486,Not confident,"Cell membrane, Cytoplasm, Cytoskeleton, Membrane","Cell cycle, Cell division, Mitosis, Transport"
SUMO1,P63165,0.0884,0.012,Not confident,"Cell membrane, Cytoplasm, Membrane, Nucleus","Host-virus interaction, Ubl conjugation pathway"
LRIG1,Q96JA1,0.08307,0.3958,Not confident,"Cell membrane, Membrane",
ATP6V0B,Q99437,0.08307,0.2006,Not confident,"Cytoplasmic vesicle, Membrane","Hydrogen ion transport, Ion transport, Transport"
CNIH4,Q9P003,0.0823,0.3135,Not confident,"Endoplasmic reticulum, Membrane","ER-Golgi transport, Protein transport, Transport"
DNAJB14,Q8TBM8,0.08215,0.4016,Not confident,"Endoplasmic reticulum, Membrane, Nucleus","Chaperone, Host-virus interaction"
SRPRB,Q9Y5M8,0.0808,0.474,Not confident,"Endoplasmic reticulum, Membrane",Receptor
SEMA5A,Q13591,0.0802,0.562,Not confident,Membrane,"Developmental protein, Differentiation, Neurogenesis"
AP3B2,Q13367,0.07965,0.3552,Not confident,"Cytoplasmic vesicle, Golgi apparatus, Membrane","Protein transport, Transport"
NOX1,Q9Y5S8,0.07874,0.18,Not confident,"Cell junction, Cell membrane, Cell projection, Membrane","Electron transport, Ion channel, Ion transport, Oxidoreductase, Transport, Voltage-gated channel"
GIPR,P48546,0.07855,0.331,Not confident,"Cell membrane, Membrane","G-protein coupled receptor, Receptor, Transducer"
TSPAN13,O95857,0.0766,0.1439,Not confident,Membrane,
LRP5,O75197,0.07574,0.3108,Not confident,"Endoplasmic reticulum, Membrane","Developmental protein, Endocytosis, Receptor, Wnt signaling pathway"
NTRK2,Q16620,0.0738,0.2847,Not confident,"Cell membrane, Cell projection, Cytoplasm, Endosome, Membrane, Synapse","Developmental protein, Differentiation, Kinase, Neurogenesis, Receptor, Transferase, Tyrosine-protein kinase"
CD81,P60033,0.0727,0.1244,Not confident,"Cell membrane, Membrane","Adaptive immunity, Host cell receptor for virus entry, Host-virus interaction, Immunity, Receptor"
GPR108,Q9NPR9,0.07227,0.1714,Not confident,"Golgi apparatus, Membrane",Host-virus interaction
PLOD1,Q02809,0.07166,0.3318,Not confident,"Endoplasmic reticulum, Membrane","Dioxygenase, Oxidoreductase"
GPR37,O15354,0.0698,0.1278,Not confident,"Cell membrane, Cell projection, Endoplasmic reticulum, Membrane, Synapse","G-protein coupled receptor, Receptor, Transducer"
C4orf3,Q8WVX3,0.06726,0.01211,Not confident,Membrane,
FRMD6,Q96NE9,0.06604,0.1467,Not confident,"Cell membrane, Cytoplasm, Membrane",
RAB5C,P51148,0.06555,0.03247,Not confident,"Cell membrane, Endosome, Membrane","Hydrolase, Protein transport, Transport"
TMEM176B,Q3YBM2,0.0624,0.2568,Not confident,"Membrane, Nucleus",Differentiation
TMBIM6,P55061,0.06238,0.02837,Not confident,"Endoplasmic reticulum, Membrane","Apoptosis, Autophagy, Unfolded protein response"
APLNR,P35414,0.06113,0.251,Not confident,"Cell membrane, Membrane","Angiogenesis, Developmental protein, G-protein coupled receptor, Gastrulation, Host-virus interaction, Receptor, Transducer"
POMT2,Q9UKY4,0.06107,0.1443,Not confident,"Endoplasmic reticulum, Membrane","Glycosyltransferase, Transferase"
G6PC2,Q9NQR9,0.06027,0.282,Not confident,"Endoplasmic reticulum, Membrane","Gluconeogenesis, Hydrolase"
P4HTM,Q9NXG6,0.05722,0.0942,Not confident,"Endoplasmic reticulum, Membrane","Dioxygenase, Oxidoreductase"
SREBF1,P36956,0.05548,0.2927,Not confident,"Cytoplasmic vesicle, Endoplasmic reticulum, Golgi apparatus, Membrane, Nucleus","Activator, Cholesterol metabolism, DNA-binding, Lipid metabolism, Steroid metabolism, Sterol metabolism, Transcription, Transcription regulation"
EPHB3,P54753,0.05524,0.253,Not confident,"Cell membrane, Cell projection, Membrane","Angiogenesis, Developmental protein, Kinase, Neurogenesis, Receptor, Transferase, Tyrosine-protein kinase"
SLC37A4,O43826,0.05487,0.2659,Not confident,"Endoplasmic reticulum, Membrane","Antiport, Sugar transport, Transport"
PXDNL,A1KZ92,0.05435,0.271,Not confident,"Cell membrane, Cytoplasm, Endoplasmic reticulum, Membrane, Secreted","Endonuclease, Hydrolase, Nuclease, Oxidoreductase"
ENTPD1,P49961,0.0538,0.3184,Not confident,Membrane,Hydrolase
OR2D2,Q9H210,0.05368,0.452,Not confident,"Cell membrane, Membrane","G-protein coupled receptor, Olfaction, Receptor, Sensory transduction, Transducer"
TAAR1,Q96RJ0,0.05325,0.3232,Not confident,"Cell membrane, Membrane","G-protein coupled receptor, Receptor, Transducer"
APP,P05067,0.05307,0.3179,Not confident,"Amyloid, Cell membrane, Cell projection, Coated pit, Cytoplasm, Cytoplasmic vesicle, Endoplasmic reticulum, Endosome, Golgi apparatus, Membrane, Nucleus, Secreted","Apoptosis, Cell adhesion, Endocytosis, Heparin-binding, Notch signaling pathway, Protease inhibitor, Serine protease inhibitor"
ATP13A1,Q9HD20,0.05307,0.1372,Not confident,"Endoplasmic reticulum, Membrane","Protein transport, Translocase, Transport"
DAD1,P61803,0.05212,0.002645,Not confident,"Endoplasmic reticulum, Membrane",Apoptosis
CCDC167,Q9P0B6,0.0517,0.01651,Not confident,Membrane,
FDFT1,P37268,0.05115,0.1417,Not confident,"Endoplasmic reticulum, Membrane","Cholesterol biosynthesis, Cholesterol metabolism, Lipid biosynthesis, Lipid metabolism, Multifunctional enzyme, Steroid biosynthesis, Steroid metabolism, Sterol biosynthesis, Sterol metabolism, Transferase"
CPT2,P23786,0.05106,0.2747,Not confident,"Membrane, Mitochondrion, Mitochondrion inner membrane","Acyltransferase, Fatty acid metabolism, Lipid metabolism, Transferase, Transport"
GNAI3,P08754,0.05023,0.0823,Not confident,"Cell membrane, Cytoplasm, Cytoskeleton, Membrane","Cell cycle, Cell division, Transducer"
SPTSSA,Q969W0,0.0501,0.00964,Not confident,"Endoplasmic reticulum, Membrane","Lipid metabolism, Sphingolipid metabolism"
GNB5,O14775,0.04984,0.0947,Not confident,Membrane,Transducer
GLP2R,O95838,0.04944,0.369,Not confident,"Cell membrane, Membrane","G-protein coupled receptor, Receptor, Transducer"
GNAS,Q5JWF2,0.04874,0.0812,Not confident,"Cell membrane, Membrane",Transducer
ALG12,Q9BV10,0.0479,0.4568,Not confident,"Endoplasmic reticulum, Membrane","Glycosyltransferase, Transferase"
ELOVL1,Q9BW60,0.04666,0.04483,Not confident,"Endoplasmic reticulum, Membrane","Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism, Transferase"
AIG1,Q9NVV5,0.04645,0.02448,Not confident,"Cell membrane, Membrane","Hydrolase, Lipid metabolism"
P2RY1,P47900,0.0464,0.1313,Not confident,"Cell membrane, Membrane","Blood coagulation, G-protein coupled receptor, Hemostasis, Receptor, Transducer"
RAB5B,P61020,0.04553,0.0344,Not confident,"Cell membrane, Endosome, Membrane","Hydrolase, Protein transport, Transport"
GCGR,P47871,0.0455,0.1968,Not confident,"Cell membrane, Membrane","G-protein coupled receptor, Receptor, Transducer"
CASR,P41180,0.04514,0.1969,Not confident,"Cell membrane, Membrane","G-protein coupled receptor, Receptor, Transducer"
CCKAR,P32238,0.04468,0.1267,Not confident,"Cell membrane, Membrane","G-protein coupled receptor, Receptor, Transducer"
TMCO3,Q6UWJ1,0.04462,0.1398,Not confident,Membrane,"Antiport, Ion transport, Transport"
SEC11C,Q9BY50,0.04428,0.004925,Not confident,"Endoplasmic reticulum, Membrane","Hydrolase, Protease"
ASGR2,P07307,0.04373,0.06744,Not confident,Membrane,"Endocytosis, Host-virus interaction, Receptor"
CD9,P21926,0.04343,0.3657,Not confident,"Cell membrane, Membrane, Secreted","Cell adhesion, Fertilization"
SYS1,Q8N2H4,0.0431,0.233,Not confident,"Golgi apparatus, Membrane","Protein transport, Transport"
TMEM68,Q96MH6,0.04288,0.3079,Not confident,"Endoplasmic reticulum, Membrane","Acyltransferase, Lipid metabolism, Transferase"
SCTR,P47872,0.04236,0.2463,Not confident,"Cell membrane, Membrane","G-protein coupled receptor, Receptor, Transducer"
TAS1R3,Q7RTX0,0.04196,0.2917,Not confident,"Cell membrane, Membrane","G-protein coupled receptor, Receptor, Sensory transduction, Taste, Transducer"
GNB2,P62879,0.04153,0.05823,Not confident,"Cell membrane, Cytoplasm, Membrane",Transducer
APH1A,Q96BI3,0.0412,0.0695,Not confident,"Endoplasmic reticulum, Golgi apparatus, Membrane",Notch signaling pathway
LRRTM4,Q86VH4,0.04108,0.4265,Not confident,"Cell membrane, Membrane, Postsynaptic cell membrane, Synapse",
PAQR6,Q6TCH4,0.04037,0.04468,Not confident,"Cell membrane, Membrane",Receptor
G6PC1,P35575,0.0402,0.361,Not confident,"Endoplasmic reticulum, Membrane","Gluconeogenesis, Hydrolase"
EMP2,P54851,0.04,0.04984,Not confident,"Cell membrane, Cytoplasm, Golgi apparatus, Membrane, Nucleus",
SLC16A11,Q8NCK7,0.03925,0.3127,Not confident,"Cell membrane, Endoplasmic reticulum, Membrane","Lipid metabolism, Symport, Transport"
EDNRA,P25101,0.03848,0.2676,Not confident,"Cell membrane, Membrane","G-protein coupled receptor, Receptor, Transducer"
OPRD1,P41143,0.03757,0.2654,Not confident,"Cell membrane, Membrane","G-protein coupled receptor, Receptor, Transducer"
ATP6AP2,O75787,0.03687,0.454,high,"Cell membrane, Cell projection, Cytoplasmic vesicle, Endoplasmic reticulum, Endosome, Lysosome, Membrane, Postsynaptic cell membrane, Synapse",Receptor
RNF5,Q99942,0.03616,0.1393,Not confident,"Cell membrane, Endoplasmic reticulum, Membrane, Mitochondrion","Transferase, Ubl conjugation pathway"
DPP4,P27487,0.0356,0.2725,Not confident,"Cell junction, Cell membrane, Cell projection, Membrane, Secreted","Aminopeptidase, Cell adhesion, Host-virus interaction, Hydrolase, Protease, Receptor, Serine protease"
TMEM147,Q9BVK8,0.03552,0.10547,Not confident,"Cell membrane, Endoplasmic reticulum, Membrane, Nucleus",
UGT1A9,O60656,0.03485,0.1483,Not confident,"Endoplasmic reticulum, Membrane","Glycosyltransferase, Lipid metabolism, Transferase"
SLC15A4,Q8N697,0.03436,0.2253,Not confident,"Endosome, Lysosome, Membrane","Immunity, Innate immunity, Peptide transport, Protein transport, Symport, Transport"
SLC26A6,Q9BXS9,0.03406,0.3376,Not confident,"Cell membrane, Cytoplasmic vesicle, Endoplasmic reticulum, Membrane, Microsome","Anion exchange, Antiport, Chloride channel, Ion channel, Ion transport, Transferase, Transport"
MT-ATP6,P00846,0.03363,0.0654,Not confident,"CF(0), Membrane, Mitochondrion, Mitochondrion inner membrane","ATP synthesis, Hydrogen ion transport, Ion transport, Transport"
PRLHR,P49683,0.03278,0.3442,Not confident,"Cell membrane, Membrane","G-protein coupled receptor, Receptor, Transducer"
SYNGR4,O95473,0.0317,0.02687,Not confident,Membrane,
GJB1,P08034,0.03165,0.04947,Not confident,"Cell junction, Cell membrane, Gap junction, Membrane",
RTN3,O95197,0.0313,0.03528,Not confident,"Endoplasmic reticulum, Golgi apparatus, Membrane","Apoptosis, ER-Golgi transport, Host-virus interaction, Stress response, Transport"
GNAQ,P50148,0.03125,0.0901,Not confident,"Cell membrane, Golgi apparatus, Membrane, Nucleus",Transducer
GNG3,P63215,0.02972,0.00839,Not confident,"Cell membrane, Membrane",Transducer
EBP,Q15125,0.02917,0.05017,Not confident,"Cytoplasmic vesicle, Endoplasmic reticulum, Membrane, Nucleus","Cholesterol biosynthesis, Cholesterol metabolism, Isomerase, Lipid biosynthesis, Lipid metabolism, Steroid biosynthesis, Steroid metabolism, Sterol biosynthesis, Sterol metabolism"
SVOP,Q8N4V2,0.02704,0.1747,Not confident,"Cytoplasmic vesicle, Membrane, Synapse",Transport
GNG13,Q9P2W3,0.027,0.0184,Not confident,"Cell membrane, Membrane",Transducer
MTCH2,Q9Y6C9,0.02693,0.1569,Not confident,"Membrane, Mitochondrion, Mitochondrion outer membrane",Transport
NRXN2,Q9P2S2,0.02654,0.3186,Not confident,"Cell membrane, Cell projection, Membrane, Synapse",Cell adhesion
HCRTR1,O43613,0.02623,0.2915,Not confident,"Cell membrane, Membrane","G-protein coupled receptor, Receptor, Transducer"
AP2M1,Q96CW1,0.02524,0.0715,Not confident,"Cell membrane, Coated pit, Membrane","Endocytosis, Protein transport, Transport"
LAPTM4A,Q15012,0.02457,0.2144,Not confident,Membrane,Transport
SYNGR3,O43761,0.02419,0.71,Not confident,"Cytoplasmic vesicle, Membrane, Synapse",
GABBR2,O75899,0.02396,0.1854,Not confident,"Cell membrane, Membrane, Postsynaptic cell membrane, Synapse","G-protein coupled receptor, Receptor, Transducer"
APLP1,P51693,0.02391,0.162,Not confident,"Cell membrane, Cytoplasm, Membrane","Apoptosis, Cell adhesion, Endocytosis, Heparin-binding"
JAGN1,Q8N5M9,0.02362,0.732,Not confident,"Endoplasmic reticulum, Membrane","Immunity, Protein transport, Transport"
CLDN7,O95471,0.0235,0.0854,Not confident,"Cell junction, Cell membrane, Membrane, Tight junction",
SLC25A20,O43772,0.02225,0.3362,Not confident,"Membrane, Mitochondrion, Mitochondrion inner membrane","Lipid transport, Transport"
RTN4,Q9NQC3,0.02145,0.1276,Not confident,"Cell junction, Cell membrane, Endoplasmic reticulum, Membrane, Synapse",Neurogenesis
IFITM3,Q01628,0.02144,0.1509,Not confident,"Cell membrane, Cytoplasm, Endosome, Lysosome, Membrane","Antiviral defense, Immunity, Innate immunity"
IER3,P46695,0.01979,0.05075,Not confident,Membrane,
MT-ND4L,P03901,0.01956,0.01067,Not confident,"Membrane, Mitochondrion, Mitochondrion inner membrane","Electron transport, Respiratory chain, Translocase, Transport"
SLC31A2,O15432,0.01881,0.02943,Not confident,"Cytoplasmic vesicle, Endosome, Lysosome, Membrane","Copper transport, Ion transport, Transport"
ABCB9,Q9NP78,0.01799,0.3403,Not confident,"Lysosome, Membrane","Peptide transport, Protein transport, Translocase, Transport"
GNG12,Q9UBI6,0.01714,0.000788,Not confident,"Cell membrane, Membrane",Transducer
TRPV1,Q8NER1,0.01671,0.306,Not confident,"Cell membrane, Cell projection, Membrane, Postsynaptic cell membrane, Synapse","Calcium channel, Calcium transport, Calmodulin-binding, Ion channel, Ion transport, Transport"
MFSD5,Q6N075,0.01654,0.11084,Not confident,"Cell membrane, Membrane","Ion transport, Transport"
DHRS7,Q9Y394,0.01627,0.1445,Not confident,"Endoplasmic reticulum, Membrane",Oxidoreductase
GNG2,P59768,0.016,0.002583,Not confident,"Cell membrane, Membrane","Host-virus interaction, Transducer"
LRRC15,Q8TF66,0.0159,0.3374,Not confident,"Cell membrane, Membrane",
ATP5MC3,P48201,0.01206,0.00897,Not confident,"CF(0), Membrane, Mitochondrion","Hydrogen ion transport, Ion transport, Transport"
ATP5F1A,P25705,0.010864,0.0864,Not confident,"Cell membrane, CF(1), Membrane, Mitochondrion, Mitochondrion inner membrane","ATP synthesis, Hydrogen ion transport, Ion transport, Transport"
OST4,P0C6T2,0.010345,0.01036,Not confident,"Endoplasmic reticulum, Membrane",
GNGT2,O14610,0.008835,0.00229,Not confident,"Cell membrane, Membrane",Transducer
NDUFB3,O43676,0.00865,0.3518,Not confident,"Membrane, Mitochondrion, Mitochondrion inner membrane","Electron transport, Respiratory chain, Transport"
NOMO3,P69849,0.008064,0.3325,Not confident,"Endoplasmic reticulum, Membrane",
EMC7,Q9NPA0,0.00802,0.0762,Not confident,"Endoplasmic reticulum, Membrane",
GNG8,Q9UK08,0.007736,0.00187,Not confident,"Cell membrane, Membrane",Transducer
TRAV23DV6,A0A075B6W5,0.00629,0.04672,Not confident,"Cell membrane, Membrane, T cell receptor","Adaptive immunity, Immunity, Receptor"
GP2,P55259,0.00576,0.1026,Not confident,"Cell membrane, Cytoplasmic vesicle, Endosome, Membrane, Secreted","Immunity, Innate immunity, Receptor"
GNG11,P61952,0.004944,0.0001366,Not confident,"Cell membrane, Membrane",Transducer
DCST2,Q5T1A1,0.0,0.3647,Not confident,"Cytoplasmic vesicle, Membrane",
STOML2,Q9UJZ1,0.0,0.073,Not confident,"Cell membrane, Cytoplasm, Cytoskeleton, Membrane, Mitochondrion, Mitochondrion inner membrane",
GNG4,P50150,0.0,0.02997,Not confident,"Cell membrane, Membrane",Transducer
CAV1,Q03135,0.0,0.014534,Not confident,"Cell membrane, Golgi apparatus, Membrane",Host-virus interaction
GNGT1,P63211,0.0,0.00429,Not confident,"Cell membrane, Membrane",Transducer
GNG7,O60262,0.0,0.002762,Not confident,"Cell membrane, Membrane",Transducer
GNG5,P63218,0.0,0.00129,Not confident,"Cell membrane, Membrane",Transducer
GNG10,P50151,0.0,0.0003455,Not confident,"Cell membrane, Membrane",Transducer
