Interacting Partner,Gene Name,Protein Name,Subcellular Locality,AF_Score,RF_Score,DCA_Score,confident,Function,pdb
Q5VT99,LRRC38,Leucine-rich repeat-containing protein 38,"Cell membrane, Membrane",0.2622,0.501,0.127,Not confident,"Ion channel, Ion transport, Transport",none
Q8IWE4,DCUN1D3,DCN1-like protein 3,"Cell membrane, Cytoplasm, Membrane, Nucleus",0.2416,0.3433,0.145,Not confident,NA,none
P60660,MYL6,Myosin light polypeptide 6,NA,0.2393,0.06192,0.125,Not confident,"Motor protein, Muscle protein, Myosin",none
O60909,B4GALT2,"Beta-1,4-galactosyltransferase 2","Golgi apparatus, Membrane",0.2386,0.4153,0.134,Not confident,"Glycosyltransferase, Transferase",none
Q9UKF7,PITPNC1,Cytoplasmic phosphatidylinositol transfer protein 1,Cytoplasm,0.2374,0.0891,0.125,Not confident,"Lipid transport, Transport",none
Q86YD5,LDLRAD3,Low-density lipoprotein receptor class A domain-containing protein 3,"Cell membrane, Membrane",0.2356,0.4434,0.137,Not confident,"Host-virus interaction, Receptor",none
Q96B49,TOMM6,Mitochondrial import receptor subunit TOM6 homolog,"Membrane, Mitochondrion, Mitochondrion outer membrane",0.2299,0.03317,0.054,Not confident,"Protein transport, Transport",none
Q86VH5,LRRTM3,Leucine-rich repeat transmembrane neuronal protein 3,"Cell membrane, Membrane, Postsynaptic cell membrane, Synapse",0.2261,0.3682,0.123,Not confident,NA,none
P19397,CD53,Leukocyte surface antigen CD53,"Cell junction, Cell membrane, Membrane",0.224,0.644,0.136,Not confident,NA,none
Q92859,NEO1,Neogenin,"Cell membrane, Membrane",0.2156,0.521,0.121,Not confident,Cell adhesion,none
Q8WW18,C17orf50,Uncharacterized protein C17orf50,NA,0.197,0.0544,0.011,Not confident,NA,none
Q9H1U4,MEGF9,Multiple epidermal growth factor-like domains protein 9,Membrane,0.1924,0.393,0.155,Not confident,NA,none
P08962,CD63,CD63 antigen,"Cell membrane, Endosome, Lysosome, Membrane, Secreted",0.1663,0.2401,0.145,Not confident,"Protein transport, Transport",none
Q6UXZ0,TMIGD1,Transmembrane and immunoglobulin domain-containing protein 1,"Cell membrane, Cytoplasm, Membrane",0.1556,0.4495,0.138,Not confident,NA,none
Q2VWP7,PRTG,Protogenin,Membrane,0.1539,0.5796,0.144,Not confident,Developmental protein,none
O95665,NTSR2,Neurotensin receptor type 2,"Cell membrane, Membrane",0.1526,0.2898,0.105,Not confident,"G-protein coupled receptor, Receptor, Transducer",none
Q8N111,CEND1,Cell cycle exit and neuronal differentiation protein 1,Membrane,0.1526,0.06122,0.027,Not confident,Differentiation,none
P49407,ARRB1,Beta-arrestin-1,"Cell membrane, Cell projection, Coated pit, Cytoplasm, Cytoplasmic vesicle, Membrane, Nucleus",0.1505,0.08105,0.1,Not confident,"Protein transport, Signal transduction inhibitor, Transcription, Transcription regulation, Transport",none
Q9BTY7,HGH1,Protein HGH1 homolog,NA,0.146,0.3098,0.141,Not confident,NA,none
Q9NZJ5,EIF2AK3,Eukaryotic translation initiation factor 2-alpha kinase 3,"Endoplasmic reticulum, Membrane",0.1412,0.299,0.106,Not confident,"Kinase, Serine/threonine-protein kinase, Stress response, Transferase, Translation regulation, Unfolded protein response",none
Q7Z429,GRINA,Protein lifeguard 1,Membrane,0.1356,0.03238,0.152,Not confident,NA,none
Q12907,LMAN2,Vesicular integral-membrane protein VIP36,"Endoplasmic reticulum, Golgi apparatus, Membrane",0.1321,0.3418,0.121,Not confident,"Protein transport, Transport",none
P41595,HTR2B,5-hydroxytryptamine receptor 2B,"Cell membrane, Membrane, Synapse, Synaptosome",0.1251,0.27,0.113,Not confident,"Behavior, G-protein coupled receptor, Receptor, Transducer",none
Q9NRY6,PLSCR3,Phospholipid scramblase 3,"Membrane, Mitochondrion, Mitochondrion inner membrane, Nucleus",0.12274,0.03772,0.113,Not confident,"Apoptosis, Lipid transport, Transport",none
O60469,DSCAM,Cell adhesion molecule DSCAM,"Cell membrane, Cell projection, Membrane, Secreted, Synapse",0.11865,0.3345,0.086,Not confident,"Cell adhesion, Neurogenesis",none
Q9ULH1,ASAP1,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1","Cytoplasm, Golgi apparatus, Membrane",0.1139,0.3542,0.129,Not confident,"Cilium biogenesis/degradation, GTPase activation",none
Q9Y6X1,SERP1,Stress-associated endoplasmic reticulum protein 1,"Endoplasmic reticulum, Membrane",0.11365,0.02907,0.158,Not confident,"Protein transport, Translocation, Transport, Unfolded protein response",none
P32121,ARRB2,Beta-arrestin-2,"Cell membrane, Coated pit, Cytoplasm, Cytoplasmic vesicle, Membrane, Nucleus",0.1132,0.0862,0.105,Not confident,"Protein transport, Signal transduction inhibitor, Transport",none
Q8N511,TMEM199,Transmembrane protein 199,"Cytoplasmic vesicle, Endoplasmic reticulum, Membrane",0.1111,0.353,0.144,Not confident,NA,none
Q9UGQ2,CACFD1,Calcium channel flower homolog,"Cell membrane, Cytoplasmic vesicle, Endoplasmic reticulum, Endosome, Golgi apparatus, Membrane, Synapse",0.11017,0.6157,0.133,Not confident,NA,none
Q96PB8,LRRC3B,Leucine-rich repeat-containing protein 3B,Membrane,0.1082,0.414,0.146,Not confident,NA,none
Q9NVN3,RIC8B,Synembryn-B,Cytoplasm,0.1055,0.2532,0.115,Not confident,Guanine-nucleotide releasing factor,none
O94985,CLSTN1,Calsyntenin-1,"Cell membrane, Cell projection, Endoplasmic reticulum, Golgi apparatus, Membrane, Nucleus, Postsynaptic cell membrane, Synapse",0.1054,0.371,0.131,Not confident,Cell adhesion,none
Q14165,MLEC,Malectin,"Endoplasmic reticulum, Membrane",0.1049,0.502,0.126,Not confident,Carbohydrate metabolism,none
Q9NZC2,TREM2,Triggering receptor expressed on myeloid cells 2,"Cell membrane, Membrane, Secreted",0.1036,0.1373,0.036,Not confident,Receptor,none
P81172,HAMP,Hepcidin,Secreted,0.10034,0.0589,0.021,Not confident,"Antibiotic, Antimicrobial, Fungicide, Hormone",none
Q92686,NRGN,Neurogranin,NA,0.0996,0.004395,0.095,Not confident,Calmodulin-binding,none
Q9NXW2,DNAJB12,DnaJ homolog subfamily B member 12,"Endoplasmic reticulum, Membrane, Nucleus",0.09955,0.3232,0.134,Not confident,"Chaperone, Host-virus interaction",none
P48230,TM4SF4,Transmembrane 4 L6 family member 4,Membrane,0.0995,0.03,0.067,Not confident,NA,none
Q9P2W7,B3GAT1,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1,"Endoplasmic reticulum, Golgi apparatus, Membrane, Secreted",0.09894,0.3027,0.129,Not confident,Transferase,none
P21964,COMT,Catechol O-methyltransferase,"Cell membrane, Cytoplasm, Membrane",0.0983,0.0586,0.059,Not confident,"Catecholamine metabolism, Lipid metabolism, Methyltransferase, Neurotransmitter degradation, Transferase",none
O95292,VAPB,Vesicle-associated membrane protein-associated protein B/C,"Endoplasmic reticulum, Membrane",0.0983,0.0548,0.142,Not confident,"Host-virus interaction, Unfolded protein response",none
P08069,IGF1R,Insulin-like growth factor 1 receptor,"Cell membrane, Membrane",0.0975,0.2627,0.102,Not confident,"Host-virus interaction, Kinase, Receptor, Transferase, Tyrosine-protein kinase",none
Q9Y575,ASB3,Ankyrin repeat and SOCS box protein 3,NA,0.0968,0.355,0.125,Not confident,Ubl conjugation pathway,none
Q9NZ72,STMN3,Stathmin-3,"Cell projection, Cytoplasm, Golgi apparatus",0.096,0.0469,0.134,Not confident,NA,none
P56817,BACE1,Beta-secretase 1,"Cell membrane, Cell projection, Cytoplasmic vesicle, Endoplasmic reticulum, Endosome, Golgi apparatus, Lysosome, Membrane",0.0959,0.319,0.073,Not confident,"Aspartyl protease, Hydrolase, Protease",none
Q13795,ARFRP1,ADP-ribosylation factor-related protein 1,Golgi apparatus,0.0939,0.0629,0.116,Not confident,NA,none
Q13308,PTK7,Inactive tyrosine-protein kinase 7,"Cell junction, Membrane",0.0918,0.4373,0.122,Not confident,"Cell adhesion, Receptor, Wnt signaling pathway",none
P81274,GPSM2,G-protein-signaling modulator 2,"Cell membrane, Cytoplasm, Cytoskeleton, Membrane",0.08997,0.486,0.125,Not confident,"Cell cycle, Cell division, Mitosis, Transport",none
P63165,SUMO1,Small ubiquitin-related modifier 1,"Cell membrane, Cytoplasm, Membrane, Nucleus",0.0884,0.012,0.091,Not confident,"Host-virus interaction, Ubl conjugation pathway",none
P01275,GCG,Pro-glucagon,Secreted,0.0831,0.1066,0.055,Not confident,Hormone,none
Q96JA1,LRIG1,Leucine-rich repeats and immunoglobulin-like domains protein 1,"Cell membrane, Membrane",0.08307,0.3958,0.144,Not confident,NA,none
Q99437,ATP6V0B,V-type proton ATPase 21 kDa proteolipid subunit c'',"Cytoplasmic vesicle, Membrane",0.08307,0.2006,0.131,Not confident,"Hydrogen ion transport, Ion transport, Transport",none
Q9P003,CNIH4,Protein cornichon homolog 4,"Endoplasmic reticulum, Membrane",0.0823,0.3135,0.143,Not confident,"ER-Golgi transport, Protein transport, Transport",none
Q8TBM8,DNAJB14,DnaJ homolog subfamily B member 14,"Endoplasmic reticulum, Membrane, Nucleus",0.08215,0.4016,0.123,Not confident,"Chaperone, Host-virus interaction",none
Q9Y5M8,SRPRB,Signal recognition particle receptor subunit beta,"Endoplasmic reticulum, Membrane",0.0808,0.474,0.139,Not confident,Receptor,none
Q13591,SEMA5A,Semaphorin-5A,Membrane,0.0802,0.562,0.124,Not confident,"Developmental protein, Differentiation, Neurogenesis",none
Q9P2K1,CC2D2A,Coiled-coil and C2 domain-containing protein 2A,"Cell projection, Cilium, Cytoplasm, Cytoskeleton",0.0798,0.1678,0.092,Not confident,Cilium biogenesis/degradation,none
Q13367,AP3B2,AP-3 complex subunit beta-2,"Cytoplasmic vesicle, Golgi apparatus, Membrane",0.07965,0.3552,0.123,Not confident,"Protein transport, Transport",none
Q9Y5S8,NOX1,NADPH oxidase 1,"Cell junction, Cell membrane, Cell projection, Membrane",0.07874,0.18,0.104,Not confident,"Electron transport, Ion channel, Ion transport, Oxidoreductase, Transport, Voltage-gated channel",none
P48546,GIPR,Gastric inhibitory polypeptide receptor,"Cell membrane, Membrane",0.07855,0.331,0.747,Not confident,"G-protein coupled receptor, Receptor, Transducer",none
Q8N3C7,CLIP4,CAP-Gly domain-containing linker protein 4,NA,0.0784,0.0985,0.088,Not confident,NA,none
Q5T6S3,PHF19,PHD finger protein 19,Nucleus,0.077,0.1222,0.093,Not confident,"Chromatin regulator, Repressor, Transcription, Transcription regulation",none
O95857,TSPAN13,Tetraspanin-13,Membrane,0.0766,0.1439,0.122,Not confident,NA,none
P07478,PRSS2,Trypsin-2,Secreted,0.0758,0.10474,0.139,Not confident,"Digestion, Hydrolase, Protease, Serine protease",none
O75197,LRP5,Low-density lipoprotein receptor-related protein 5,"Endoplasmic reticulum, Membrane",0.07574,0.3108,0.123,Not confident,"Developmental protein, Endocytosis, Receptor, Wnt signaling pathway",none
Q9H1E3,NUCKS1,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,"Chromosome, Nucleus",0.0756,0.06082,0.045,Not confident,"DNA damage, DNA repair",none
Q00987,MDM2,E3 ubiquitin-protein ligase Mdm2,"Cytoplasm, Nucleus",0.0741,0.3386,0.079,Not confident,"Apoptosis, Host-virus interaction, Transferase, Ubl conjugation pathway",none
P50053,KHK,Ketohexokinase,NA,0.074,0.11237,0.118,Not confident,"Carbohydrate metabolism, Kinase, Transferase",none
Q16620,NTRK2,BDNF/NT-3 growth factors receptor,"Cell membrane, Cell projection, Cytoplasm, Endosome, Membrane, Synapse",0.0738,0.2847,0.062,Not confident,"Developmental protein, Differentiation, Kinase, Neurogenesis, Receptor, Transferase, Tyrosine-protein kinase",none
P60033,CD81,CD81 antigen,"Cell membrane, Membrane",0.0727,0.1244,0.105,Not confident,"Adaptive immunity, Host cell receptor for virus entry, Host-virus interaction, Immunity, Receptor",none
Q9NPR9,GPR108,Protein GPR108,"Golgi apparatus, Membrane",0.07227,0.1714,0.094,Not confident,Host-virus interaction,none
Q02809,PLOD1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1","Endoplasmic reticulum, Membrane",0.07166,0.3318,0.135,Not confident,"Dioxygenase, Oxidoreductase",none
O15354,GPR37,Prosaposin receptor GPR37,"Cell membrane, Cell projection, Endoplasmic reticulum, Membrane, Synapse",0.0698,0.1278,0.089,Not confident,"G-protein coupled receptor, Receptor, Transducer",none
Q9H4L4,SENP3,Sentrin-specific protease 3,"Cytoplasm, Nucleus",0.068,0.114,0.122,Not confident,"Hydrolase, Protease, Thiol protease, Ubl conjugation pathway",none
Q8WVX3,C4orf3,Uncharacterized protein C4orf3,Membrane,0.06726,0.01211,0.057,Not confident,NA,none
Q96NE9,FRMD6,FERM domain-containing protein 6,"Cell membrane, Cytoplasm, Membrane",0.06604,0.1467,0.088,Not confident,NA,none
Q9H8H2,DDX31,Probable ATP-dependent RNA helicase DDX31,Nucleus,0.0658,0.1384,0.104,Not confident,"Helicase, Hydrolase, RNA-binding",none
P51148,RAB5C,Ras-related protein Rab-5C,"Cell membrane, Endosome, Membrane",0.06555,0.03247,0.12,Not confident,"Hydrolase, Protein transport, Transport",none
P23284,PPIB,Peptidyl-prolyl cis-trans isomerase B,"Endoplasmic reticulum, Virion",0.0646,0.02634,0.131,Not confident,"Isomerase, Rotamase",none
Q13416,ORC2,Origin recognition complex subunit 2,Nucleus,0.064,-,0.189,Not confident,DNA replication,none
Q3YBM2,TMEM176B,Transmembrane protein 176B,"Membrane, Nucleus",0.0624,0.2568,0.025,Not confident,Differentiation,none
P55061,TMBIM6,Bax inhibitor 1,"Endoplasmic reticulum, Membrane",0.06238,0.02837,0.138,Not confident,"Apoptosis, Autophagy, Unfolded protein response",none
P35414,APLNR,Apelin receptor,"Cell membrane, Membrane",0.06113,0.251,0.106,Not confident,"Angiogenesis, Developmental protein, G-protein coupled receptor, Gastrulation, Host-virus interaction, Receptor, Transducer",none
Q9UKY4,POMT2,Protein O-mannosyl-transferase 2,"Endoplasmic reticulum, Membrane",0.06107,0.1443,0.106,Not confident,"Glycosyltransferase, Transferase",none
P35568,IRS1,Insulin receptor substrate 1,NA,0.06036,0.256,0.107,Not confident,Transducer,none
Q9NQR9,G6PC2,Glucose-6-phosphatase 2,"Endoplasmic reticulum, Membrane",0.06027,0.282,0.094,Not confident,"Gluconeogenesis, Hydrolase",none
P08861,CELA3B,Chymotrypsin-like elastase family member 3B,NA,0.0598,0.0626,0.124,Not confident,"Hydrolase, Protease, Serine protease",none
P06307,CCK,Cholecystokinin,Secreted,0.05725,0.0728,0.076,Not confident,Hormone,none
Q9NXG6,P4HTM,Transmembrane prolyl 4-hydroxylase,"Endoplasmic reticulum, Membrane",0.05722,0.0942,0.103,Not confident,"Dioxygenase, Oxidoreductase",none
P36956,SREBF1,Sterol regulatory element-binding protein 1,"Cytoplasmic vesicle, Endoplasmic reticulum, Golgi apparatus, Membrane, Nucleus",0.05548,0.2927,0.082,Not confident,"Activator, Cholesterol metabolism, DNA-binding, Lipid metabolism, Steroid metabolism, Sterol metabolism, Transcription, Transcription regulation",none
P54753,EPHB3,Ephrin type-B receptor 3,"Cell membrane, Cell projection, Membrane",0.05524,0.253,0.089,Not confident,"Angiogenesis, Developmental protein, Kinase, Neurogenesis, Receptor, Transferase, Tyrosine-protein kinase",none
O43826,SLC37A4,Glucose-6-phosphate exchanger SLC37A4,"Endoplasmic reticulum, Membrane",0.05487,0.2659,0.088,Not confident,"Antiport, Sugar transport, Transport",none
A1KZ92,PXDNL,Probable oxidoreductase PXDNL,"Cell membrane, Cytoplasm, Endoplasmic reticulum, Membrane, Secreted",0.05435,0.271,0.101,Not confident,"Endonuclease, Hydrolase, Nuclease, Oxidoreductase",none
P49961,ENTPD1,Ectonucleoside triphosphate diphosphohydrolase 1,Membrane,0.0538,0.3184,0.103,Not confident,Hydrolase,none
Q9H210,OR2D2,Olfactory receptor 2D2,"Cell membrane, Membrane",0.05368,0.452,0.131,Not confident,"G-protein coupled receptor, Olfaction, Receptor, Sensory transduction, Transducer",none
Q96RJ0,TAAR1,Trace amine-associated receptor 1,"Cell membrane, Membrane",0.05325,0.3232,0.122,Not confident,"G-protein coupled receptor, Receptor, Transducer",none
P05067,APP,Amyloid-beta precursor protein,"Amyloid, Cell membrane, Cell projection, Coated pit, Cytoplasm, Cytoplasmic vesicle, Endoplasmic reticulum, Endosome, Golgi apparatus, Membrane, Nucleus, Secreted",0.05307,0.3179,0.079,Not confident,"Apoptosis, Cell adhesion, Endocytosis, Heparin-binding, Notch signaling pathway, Protease inhibitor, Serine protease inhibitor",none
Q9HD20,ATP13A1,Endoplasmic reticulum transmembrane helix translocase,"Endoplasmic reticulum, Membrane",0.05307,0.1372,0.122,Not confident,"Protein transport, Translocase, Transport",none
Q9BWS9,CHID1,Chitinase domain-containing protein 1,"Lysosome, Secreted",0.05255,-,0.151,Not confident,"Immunity, Innate immunity",none
Q56VL3,OCIAD2,OCIA domain-containing protein 2,Endosome,0.05225,0.002504,0.095,Not confident,NA,none
P61803,DAD1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,"Endoplasmic reticulum, Membrane",0.05212,0.002645,0.142,Not confident,Apoptosis,none
Q9P0B6,CCDC167,Coiled-coil domain-containing protein 167,Membrane,0.0517,0.01651,0.075,Not confident,NA,none
P37268,FDFT1,Squalene synthase,"Endoplasmic reticulum, Membrane",0.05115,0.1417,0.051,Not confident,"Cholesterol biosynthesis, Cholesterol metabolism, Lipid biosynthesis, Lipid metabolism, Multifunctional enzyme, Steroid biosynthesis, Steroid metabolism, Sterol biosynthesis, Sterol metabolism, Transferase",none
P16520,GNB3,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3,NA,0.0511,0.1088,0.09,Not confident,Transducer,none
P23786,CPT2,"Carnitine O-palmitoyltransferase 2, mitochondrial","Membrane, Mitochondrion, Mitochondrion inner membrane",0.05106,0.2747,0.125,Not confident,"Acyltransferase, Fatty acid metabolism, Lipid metabolism, Transferase, Transport",none
O43824,GTPBP6,Putative GTP-binding protein 6,NA,0.0506,0.3088,0.168,Not confident,NA,none
P08754,GNAI3,Guanine nucleotide-binding protein G(i) subunit alpha-3,"Cell membrane, Cytoplasm, Cytoskeleton, Membrane",0.05023,0.0823,0.115,Not confident,"Cell cycle, Cell division, Transducer",none
Q969W0,SPTSSA,Serine palmitoyltransferase small subunit A,"Endoplasmic reticulum, Membrane",0.0501,0.00964,0.067,Not confident,"Lipid metabolism, Sphingolipid metabolism",none
O14775,GNB5,Guanine nucleotide-binding protein subunit beta-5,Membrane,0.04984,0.0947,0.098,Not confident,Transducer,none
Q96CB9,NSUN4,5-methylcytosine rRNA methyltransferase NSUN4,Mitochondrion,0.0497,0.05536,0.157,Not confident,"Methyltransferase, Ribosome biogenesis, RNA-binding, rRNA processing, rRNA-binding, Transferase",none
O95838,GLP2R,Glucagon-like peptide 2 receptor,"Cell membrane, Membrane",0.04944,0.369,0.55,Not confident,"G-protein coupled receptor, Receptor, Transducer",none
Q5JWF2,GNAS,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,"Cell membrane, Membrane",0.04874,0.0812,0.112,Not confident,Transducer,none
Q9BV10,ALG12,"Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase","Endoplasmic reticulum, Membrane",0.0479,0.4568,0.13,Not confident,"Glycosyltransferase, Transferase",none
P48556,PSMD8,26S proteasome non-ATPase regulatory subunit 8,Proteasome,0.04736,0.05844,0.129,Not confident,NA,none
Q9BW60,ELOVL1,Very long chain fatty acid elongase 1,"Endoplasmic reticulum, Membrane",0.04666,0.04483,0.142,Not confident,"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism, Transferase",none
Q9NVV5,AIG1,Androgen-induced gene 1 protein,"Cell membrane, Membrane",0.04645,0.02448,0.133,Not confident,"Hydrolase, Lipid metabolism",none
P47900,P2RY1,P2Y purinoceptor 1,"Cell membrane, Membrane",0.0464,0.1313,0.091,Not confident,"Blood coagulation, G-protein coupled receptor, Hemostasis, Receptor, Transducer",none
P61020,RAB5B,Ras-related protein Rab-5B,"Cell membrane, Endosome, Membrane",0.04553,0.0344,0.116,Not confident,"Hydrolase, Protein transport, Transport",none
P47871,GCGR,Glucagon receptor,"Cell membrane, Membrane",0.0455,0.1968,0.563,Not confident,"G-protein coupled receptor, Receptor, Transducer",none
P41180,CASR,Extracellular calcium-sensing receptor,"Cell membrane, Membrane",0.04514,0.1969,0.099,Not confident,"G-protein coupled receptor, Receptor, Transducer",none
P32238,CCKAR,Cholecystokinin receptor type A,"Cell membrane, Membrane",0.04468,0.1267,0.119,Not confident,"G-protein coupled receptor, Receptor, Transducer",none
Q6UWJ1,TMCO3,Transmembrane and coiled-coil domain-containing protein 3,Membrane,0.04462,0.1398,0.038,Not confident,"Antiport, Ion transport, Transport",none
Q9BY50,SEC11C,Signal peptidase complex catalytic subunit SEC11C,"Endoplasmic reticulum, Membrane",0.04428,0.004925,0.11,Not confident,"Hydrolase, Protease",none
P07307,ASGR2,Asialoglycoprotein receptor 2,Membrane,0.04373,0.06744,0.098,Not confident,"Endocytosis, Host-virus interaction, Receptor",none
P21926,CD9,CD9 antigen,"Cell membrane, Membrane, Secreted",0.04343,0.3657,0.124,Not confident,"Cell adhesion, Fertilization",none
A8MXY4,ZNF99,Zinc finger protein 99,Nucleus,0.04337,0.1126,0.178,Not confident,"DNA-binding, Transcription, Transcription regulation",none
Q8N2H4,SYS1,Protein SYS1 homolog,"Golgi apparatus, Membrane",0.0431,0.233,0.131,Not confident,"Protein transport, Transport",none
Q96MH6,TMEM68,DGAT1/2-independent enzyme synthesizing storage lipids,"Endoplasmic reticulum, Membrane",0.04288,0.3079,0.138,Not confident,"Acyltransferase, Lipid metabolism, Transferase",none
Q08830,FGL1,Fibrinogen-like protein 1,Secreted,0.04248,0.10474,0.116,Not confident,"Adaptive immunity, Immunity",none
P47872,SCTR,Secretin receptor,"Cell membrane, Membrane",0.04236,0.2463,0.58,Not confident,"G-protein coupled receptor, Receptor, Transducer",none
Q7RTX0,TAS1R3,Taste receptor type 1 member 3,"Cell membrane, Membrane",0.04196,0.2917,0.101,Not confident,"G-protein coupled receptor, Receptor, Sensory transduction, Taste, Transducer",none
P62879,GNB2,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,"Cell membrane, Cytoplasm, Membrane",0.04153,0.05823,0.097,Not confident,Transducer,none
Q96BI3,APH1A,Gamma-secretase subunit APH-1A,"Endoplasmic reticulum, Golgi apparatus, Membrane",0.0412,0.0695,0.131,Not confident,Notch signaling pathway,none
Q86VH4,LRRTM4,Leucine-rich repeat transmembrane neuronal protein 4,"Cell membrane, Membrane, Postsynaptic cell membrane, Synapse",0.04108,0.4265,0.127,Not confident,NA,none
Q6TCH4,PAQR6,Membrane progestin receptor delta,"Cell membrane, Membrane",0.04037,0.04468,0.088,Not confident,Receptor,none
P35575,G6PC1,Glucose-6-phosphatase catalytic subunit 1,"Endoplasmic reticulum, Membrane",0.0402,0.361,0.081,Not confident,"Gluconeogenesis, Hydrolase",none
P54851,EMP2,Epithelial membrane protein 2,"Cell membrane, Cytoplasm, Golgi apparatus, Membrane, Nucleus",0.04,0.04984,0.068,Not confident,NA,none
Q8TCD1,C18orf32,UPF0729 protein C18orf32,"Endoplasmic reticulum, Lipid droplet",0.03928,0.0208,0.098,Not confident,NA,none
Q8NCK7,SLC16A11,Monocarboxylate transporter 11,"Cell membrane, Endoplasmic reticulum, Membrane",0.03925,0.3127,0.14,Not confident,"Lipid metabolism, Symport, Transport",none
P25101,EDNRA,Endothelin-1 receptor,"Cell membrane, Membrane",0.03848,0.2676,0.103,Not confident,"G-protein coupled receptor, Receptor, Transducer",none
P41143,OPRD1,Delta-type opioid receptor,"Cell membrane, Membrane",0.03757,0.2654,0.124,Not confident,"G-protein coupled receptor, Receptor, Transducer",none
Q9HAV0,GNB4,Guanine nucleotide-binding protein subunit beta-4,NA,0.03714,0.0755,0.099,Not confident,Transducer,none
O75787,ATP6AP2,Renin receptor,"Cell membrane, Cell projection, Cytoplasmic vesicle, Endoplasmic reticulum, Endosome, Lysosome, Membrane, Postsynaptic cell membrane, Synapse",0.03687,0.454,0.113,high,Receptor,['O75787_S0__P43220_S0.pdb']
Q99942,RNF5,E3 ubiquitin-protein ligase RNF5,"Cell membrane, Endoplasmic reticulum, Membrane, Mitochondrion",0.03616,0.1393,0.122,Not confident,"Transferase, Ubl conjugation pathway",none
P27487,DPP4,Dipeptidyl peptidase 4,"Cell junction, Cell membrane, Cell projection, Membrane, Secreted",0.0356,0.2725,0.119,Not confident,"Aminopeptidase, Cell adhesion, Host-virus interaction, Hydrolase, Protease, Receptor, Serine protease",none
Q9BVK8,TMEM147,BOS complex subunit TMEM147,"Cell membrane, Endoplasmic reticulum, Membrane, Nucleus",0.03552,0.10547,0.107,Not confident,NA,none
P02792,FTL,Ferritin light chain,NA,0.03534,0.03983,0.125,Not confident,Iron storage,none
O60656,UGT1A9,UDP-glucuronosyltransferase 1A9,"Endoplasmic reticulum, Membrane",0.03485,0.1483,0.117,Not confident,"Glycosyltransferase, Lipid metabolism, Transferase",none
