cell_type	disease	n_cells	C4A_pct	C4A_mean	C4B_pct	C4B_mean	C3_pct	C3_mean	CR1_pct	CR1_mean	C1QA_pct	C1QA_mean	PADI4_pct	PADI4_mean	IFI44L_pct	IFI44L_mean	ISG15_pct	ISG15_mean	MS4A1_pct	MS4A1_mean
lymphocyte	normal	1858	0.0	0.0	0.0	0.0	0.108	9.82941301685969e-08	0.592	9.816936881179572e-07	0.431	1.1722775070666103e-06	1.83	4.385905413073488e-06	4.198	1.1261978215770796e-05	59.742	0.00031993069569580257	5.651	1.1932708730455488e-05
lymphocyte	systemic lupus erythematosus	6407	0.0	0.0	0.0	0.0	0.031	4.073427817274933e-08	0.265	4.710631742455007e-07	0.858	2.1249320525384974e-06	1.498	4.193176664557541e-06	29.655	0.00013447280798573047	81.177	0.0010055711027234793	3.559	9.51808033278212e-06
natural killer cell	normal	38304	0.0	0.0	0.0	0.0	0.029	2.0643713583012868e-07	0.162	8.079737767729966e-07	0.436	2.50969401349721e-06	1.044	6.251284503377974e-06	2.681	1.842456913436763e-05	22.992	0.00017157864931505173	2.666	1.479346065025311e-05
natural killer cell	systemic lupus erythematosus	54250	0.0	0.0	0.0	0.0	0.02	1.1611712835701837e-07	0.12	6.423339300454245e-07	0.409	2.4777809812803753e-06	1.097	6.74748753226595e-06	23.644	0.0002094697701977566	44.437	0.00047998226364143193	1.539	9.540945939079393e-06
non-classical monocyte	normal	15091	0.0	0.0	0.0	0.0	1.802	5.14304929311038e-06	2.723	7.491308679163922e-06	24.571	0.00018886626639869064	1.047	2.694510385481408e-06	7.607	2.632800897117704e-05	47.479	0.00026334021822549403	4.327	1.1436115528340451e-05
non-classical monocyte	systemic lupus erythematosus	33709	0.003	5.501790578676946e-09	0.0	0.0	1.807	5.474413228512276e-06	2.183	6.494048193417257e-06	27.073	0.00035424111410975456	0.86	2.580658929218771e-06	37.038	0.00017720606410875916	77.368	0.0011877665529027581	2.415	7.397249646601267e-06
plasmablast	normal	490	0.0	0.0	0.0	0.0	0.0	0.0	6.939	1.1326059393468313e-05	0.816	9.862097840596107e-07	1.02	1.1607091892074095e-06	3.673	1.0064710295409895e-05	55.51	0.00024011265486478806	17.143	7.029240805422887e-05
plasmablast	systemic lupus erythematosus	921	0.0	0.0	0.0	0.0	0.109	1.6268718638912105e-07	4.777	8.066331247391645e-06	2.497	4.3504664972715545e-06	1.194	1.1674638926706393e-06	18.35	4.6657769416924566e-05	79.153	0.0008667772053740919	16.069	6.240765651455149e-05
plasmacytoid dendritic cell	normal	2965	0.0	0.0	0.0	0.0	0.067	1.9949212060055288e-07	0.169	4.5658867975362227e-07	0.573	1.359281213808572e-06	7.42	2.190181658079382e-05	11.568	4.1255691030528396e-05	13.862	4.490630090003833e-05	4.722	1.2741780665237457e-05
plasmacytoid dendritic cell	systemic lupus erythematosus	2268	0.0	0.0	0.0	0.0	0.0	0.0	0.441	1.0090313935506856e-06	0.617	1.8435891888657352e-06	7.584	2.2804390027886257e-05	47.928	0.0003446218615863472	44.444	0.0002970171335618943	2.513	7.611934506712714e-06
progenitor cell	normal	339	0.0	0.0	0.0	0.0	0.0	0.0	1.77	3.0842545584164327e-06	0.59	5.638375455419009e-07	9.44	2.0565783415804617e-05	8.555	2.277184830745682e-05	32.153	7.548740541096777e-05	5.31	8.755253475101199e-06
progenitor cell	systemic lupus erythematosus	468	0.0	0.0	0.0	0.0	0.0	0.0	1.068	1.297244807574316e-06	1.282	2.7153705559612717e-06	8.333	1.8351125618210062e-05	27.778	0.00010461390775162727	40.812	0.0001704468741081655	3.632	5.483673248818377e-06
