chembl_id,BRD4,CTSK,EZH2,HDAC1,HDAC6,HSP90AA1,IDO1,KDM1A,NAMPT,PARP1,PDE4B,PDE5A,PRMT5,PTP1B,PTPN11,SIRT1
CHEMBL105060,out_of_domain,borderline,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,borderline,out_of_domain,borderline,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,borderline
CHEMBL1051,out_of_domain,borderline,out_of_domain,borderline,borderline,borderline,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline
CHEMBL105184,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline
CHEMBL105318,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL1054,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL105442,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,borderline,borderline,borderline,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain
CHEMBL1055,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,high,borderline,borderline
CHEMBL1057,borderline,out_of_domain,out_of_domain,borderline,borderline,borderline,borderline,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,borderline
CHEMBL1059,out_of_domain,borderline,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL106,borderline,out_of_domain,out_of_domain,high,high,out_of_domain,borderline,out_of_domain,borderline,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL106258,borderline,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,borderline,borderline,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,borderline
CHEMBL10634,borderline,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL1064,out_of_domain,out_of_domain,out_of_domain,high,high,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL1065,borderline,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL106502,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,borderline,out_of_domain,borderline,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL1068,borderline,out_of_domain,out_of_domain,high,high,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,borderline
CHEMBL1069,borderline,borderline,out_of_domain,borderline,borderline,out_of_domain,high,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,out_of_domain
CHEMBL106939,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain
CHEMBL106971,borderline,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL107,borderline,borderline,out_of_domain,high,high,borderline,borderline,borderline,borderline,borderline,borderline,borderline,out_of_domain,borderline,out_of_domain,out_of_domain
CHEMBL1070,borderline,borderline,borderline,high,high,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline
CHEMBL1071,borderline,borderline,out_of_domain,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,out_of_domain,borderline,borderline,borderline
CHEMBL1072,borderline,borderline,borderline,borderline,borderline,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,out_of_domain,borderline,borderline,borderline
CHEMBL1073,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,out_of_domain,borderline,borderline,borderline
CHEMBL107360,borderline,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,borderline,out_of_domain,borderline,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain
CHEMBL107367,borderline,borderline,out_of_domain,borderline,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,high,borderline,borderline
CHEMBL107400,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,out_of_domain
CHEMBL107430,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,out_of_domain
CHEMBL1075,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,high,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline
CHEMBL1075733,out_of_domain,borderline,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL10758,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline
CHEMBL1075834,borderline,borderline,out_of_domain,high,high,high,high,high,borderline,borderline,high,borderline,borderline,borderline,borderline,borderline
CHEMBL1076211,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline
CHEMBL1076256,borderline,borderline,borderline,high,high,borderline,borderline,high,borderline,high,borderline,borderline,borderline,borderline,high,borderline
CHEMBL1076263,borderline,borderline,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,borderline,borderline,borderline,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain
CHEMBL1076347,borderline,borderline,out_of_domain,high,high,borderline,high,borderline,borderline,borderline,borderline,borderline,out_of_domain,borderline,borderline,borderline
CHEMBL1076903,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL1077,borderline,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,borderline,borderline,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,out_of_domain
CHEMBL107747,borderline,borderline,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,borderline,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,borderline
CHEMBL1077896,borderline,high,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline
CHEMBL1078178,borderline,high,borderline,high,high,borderline,borderline,high,high,high,borderline,borderline,borderline,borderline,borderline,borderline
CHEMBL1078261,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,out_of_domain
CHEMBL1078685,borderline,borderline,out_of_domain,out_of_domain,borderline,out_of_domain,borderline,borderline,out_of_domain,borderline,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,out_of_domain
CHEMBL107874,borderline,borderline,out_of_domain,high,borderline,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,borderline,borderline,out_of_domain,high,borderline,borderline
CHEMBL1079,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain
CHEMBL1079175,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,borderline,out_of_domain,borderline,out_of_domain
CHEMBL1079446,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,high,borderline,out_of_domain
CHEMBL1079576,borderline,high,out_of_domain,high,high,borderline,high,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline
CHEMBL1079604,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL1079787,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline
CHEMBL1079905,borderline,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,borderline
CHEMBL1079935,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline
CHEMBL108,borderline,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,borderline
CHEMBL108030,borderline,borderline,out_of_domain,high,borderline,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,borderline,borderline,out_of_domain,high,borderline,borderline
CHEMBL1080884,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain
CHEMBL1080983,borderline,borderline,borderline,borderline,borderline,borderline,out_of_domain,out_of_domain,borderline,out_of_domain,borderline,borderline,out_of_domain,borderline,borderline,borderline
CHEMBL108111,out_of_domain,borderline,out_of_domain,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,out_of_domain,out_of_domain
CHEMBL1081506,borderline,borderline,out_of_domain,high,high,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,out_of_domain,borderline
CHEMBL1082,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain
CHEMBL1082354,borderline,borderline,out_of_domain,high,high,borderline,borderline,borderline,borderline,borderline,borderline,borderline,out_of_domain,borderline,borderline,borderline
CHEMBL1082407,out_of_domain,out_of_domain,borderline,high,high,borderline,out_of_domain,borderline,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL1082462,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL1082508,borderline,borderline,out_of_domain,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,out_of_domain,borderline,borderline,borderline,out_of_domain
CHEMBL1082723,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,borderline,out_of_domain,borderline
CHEMBL1083390,borderline,borderline,out_of_domain,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,borderline,out_of_domain,borderline,borderline
CHEMBL108358,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,borderline,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,borderline
CHEMBL1083659,borderline,out_of_domain,out_of_domain,borderline,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL1084430,out_of_domain,out_of_domain,borderline,out_of_domain,borderline,high,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,borderline
CHEMBL1084513,out_of_domain,borderline,borderline,borderline,borderline,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,borderline,out_of_domain,borderline,borderline,out_of_domain,borderline
CHEMBL1084546,high,borderline,out_of_domain,borderline,borderline,out_of_domain,borderline,out_of_domain,borderline,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL1084617,high,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,high,borderline,borderline
CHEMBL1085,borderline,borderline,out_of_domain,high,high,borderline,out_of_domain,high,borderline,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain
CHEMBL108545,high,borderline,borderline,borderline,borderline,borderline,high,high,borderline,borderline,borderline,borderline,borderline,borderline,high,borderline
CHEMBL1085699,borderline,borderline,out_of_domain,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline
CHEMBL1086,borderline,borderline,borderline,borderline,borderline,high,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline
CHEMBL1086440,borderline,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,borderline,borderline,out_of_domain,borderline,out_of_domain,out_of_domain,borderline,borderline,borderline,out_of_domain
CHEMBL1087,borderline,borderline,borderline,high,borderline,borderline,borderline,borderline,borderline,high,borderline,borderline,borderline,borderline,borderline,borderline
CHEMBL1087630,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline
CHEMBL10878,borderline,borderline,borderline,high,high,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,high,borderline,borderline
CHEMBL1088,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,high,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL108821,borderline,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL1088750,high,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL1088751,borderline,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,out_of_domain,borderline,borderline,out_of_domain
CHEMBL1088752,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,out_of_domain
CHEMBL1088977,out_of_domain,out_of_domain,high,out_of_domain,borderline,high,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,high,out_of_domain,out_of_domain,borderline
CHEMBL1089,borderline,borderline,borderline,high,high,borderline,high,high,borderline,borderline,out_of_domain,borderline,out_of_domain,borderline,borderline,borderline
CHEMBL1089221,borderline,borderline,borderline,high,high,borderline,borderline,borderline,borderline,borderline,borderline,high,borderline,borderline,borderline,borderline
CHEMBL1089318,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL1090089,borderline,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,borderline,borderline,out_of_domain,borderline,out_of_domain,out_of_domain
CHEMBL1090090,borderline,out_of_domain,out_of_domain,borderline,borderline,borderline,out_of_domain,out_of_domain,borderline,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,borderline,borderline
CHEMBL1090173,borderline,borderline,out_of_domain,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline
CHEMBL1090479,borderline,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,borderline,out_of_domain,borderline,borderline,borderline,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain
CHEMBL1090488,out_of_domain,borderline,out_of_domain,borderline,borderline,out_of_domain,borderline,borderline,borderline,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,out_of_domain
CHEMBL1090771,out_of_domain,borderline,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain
CHEMBL1091,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,out_of_domain
CHEMBL1091250,borderline,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,borderline,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,high,high,borderline
CHEMBL1091644,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,borderline,out_of_domain,borderline,out_of_domain
