chembl_id,pref_name,max_phase,pains_alert,n_targets_high_ad,best_target,best_pred_pAffinity,second_best_pred,selectivity_gap_log,n_targets_top_decile,frequent_hitter,BRD4,CTSK,EZH2,HDAC1,HDAC6,HSP90AA1,IDO1,KDM1A,NAMPT,PARP1,PDE4B,PDE5A,PRMT5,PTP1B,PTPN11,SIRT1
CHEMBL3622533,FIMEPINOSTAT,2.0,,3,HDAC1,8.92,7.638,1.282,9,True,6.566,6.599,5.931,8.92,7.638,6.129,6.158,5.791,7.407,7.02,7.105,6.605,6.871,5.132,5.54,5.412
CHEMBL4297458,EZOBRESIB,2.0,,1,BRD4,8.892,,,3,False,8.892,6.284,6.373,5.902,6.269,5.915,6.356,6.376,6.976,5.691,5.427,6.217,5.998,5.088,4.601,4.959
CHEMBL1928262,GISADENAFIL,2.0,,4,PDE5A,8.868,7.337,1.531,6,True,5.854,6.988,6.538,6.194,6.338,5.729,6.246,5.985,7.093,6.569,7.337,8.868,6.513,5.135,5.128,5.354
CHEMBL371064,BALICATIB,2.0,,1,CTSK,8.856,,,1,False,5.25,8.856,5.957,5.787,5.799,6.108,6.028,5.283,7.102,6.651,5.815,6.043,5.742,4.839,5.14,5.152
CHEMBL1173055,RUCAPARIB,4.0,,1,PARP1,8.849,,,1,False,5.628,6.033,6.177,5.824,6.387,5.522,5.689,5.643,5.556,8.849,6.175,5.979,5.375,4.886,4.732,4.842
CHEMBL3126832,OBP-801,1.0,,3,HDAC1,8.659,5.846,2.813,3,False,5.511,6.257,6.526,8.659,5.846,6.441,5.274,5.589,6.476,5.337,6.738,5.631,5.519,4.825,5.301,5.316
CHEMBL4112930,PAMIPARIB,3.0,,1,PARP1,8.645,,,1,False,5.82,6.045,6.271,5.563,6.223,6.395,5.819,5.047,5.531,8.645,6.22,5.741,6.109,5.061,5.209,4.911
CHEMBL3987016,MIVEBRESIB,2.0,,3,BRD4,8.597,6.603,1.994,8,True,8.597,5.455,6.538,6.394,6.603,6.188,6.423,5.955,7.481,6.705,7.077,6.58,5.297,4.811,5.7,4.871
CHEMBL17289,CHS-828,1.0,,1,NAMPT,8.595,,,1,False,5.439,6.027,5.947,6.17,5.97,5.63,5.843,5.762,8.595,5.624,6.341,5.557,5.673,4.846,4.293,4.972
CHEMBL3137320,TALAZOPARIB,4.0,,1,PARP1,8.593,,,4,True,5.716,5.592,6.352,5.764,6.836,5.179,5.728,5.845,6.253,8.593,5.341,5.886,6.779,5.178,5.361,5.154
CHEMBL3930624,FLUZOPARIB,3.0,,4,PARP1,8.544,6.139,2.405,4,True,5.766,6.038,6.406,5.834,5.942,6.374,5.643,6.233,6.139,8.544,6.439,5.867,6.469,5.078,4.496,4.93
CHEMBL4297463,CPI-1205,1.0,,1,EZH2,8.533,,,5,True,5.861,6.71,8.533,5.669,6.155,5.685,6.444,6.059,6.981,6.404,6.247,6.669,6.386,5.06,5.044,5.028
CHEMBL4098253,AZD2461,1.0,,4,PARP1,8.525,6.607,1.918,2,False,5.426,6.638,6.286,5.953,6.607,6.417,5.834,5.578,5.948,8.525,6.144,5.945,6.139,5.16,4.666,4.966
CHEMBL5095245,NESUPARIB,2.0,,1,PARP1,8.509,,,8,True,5.762,7.924,6.579,7.017,6.512,5.896,6.041,6.168,6.556,8.509,6.266,6.569,7.559,4.954,4.962,5.167
CHEMBL1801250,NANATINOSTAT,2.0,,3,HDAC1,8.495,5.969,2.526,6,True,5.821,5.913,6.058,8.495,5.969,5.621,6.108,5.502,6.464,7.123,7.776,6.812,6.864,5.931,4.92,5.005
CHEMBL506871,VELIPARIB,3.0,,1,PARP1,8.485,,,2,False,5.347,5.68,5.988,5.202,6.453,5.913,5.606,5.497,4.938,8.485,5.665,5.042,5.037,4.607,4.696,4.9
CHEMBL3654384,ORISMILAST,2.0,,1,PDE4B,8.484,,,4,True,5.962,6.459,6.402,6.037,5.577,6.061,6.393,5.946,7.189,5.9,8.484,5.796,6.012,4.962,4.531,4.908
CHEMBL5314581,BOCODEPSIN,2.0,,2,HDAC1,8.462,5.435,3.027,7,True,5.784,6.889,6.511,8.462,5.435,6.643,5.812,5.495,6.603,5.096,7.666,5.925,6.643,4.965,5.25,5.266
CHEMBL5095220,SARUPARIB,3.0,,1,PARP1,8.453,,,3,False,6.026,7.797,6.429,6.217,6.339,5.508,6.056,5.377,6.541,8.453,5.866,6.196,6.122,4.995,4.642,5.072
CHEMBL5095164,OSUNPROTAFIB,2.0,,1,PTP1B,8.429,,,2,False,5.159,6.667,6.187,5.705,5.883,5.978,6.356,5.877,6.418,6.341,6.834,4.956,5.603,8.429,4.546,5.315
CHEMBL598797,CUDC-101,1.0,,4,HDAC1,8.424,7.516,0.908,4,True,6.125,5.749,5.742,8.424,7.516,6.382,5.91,5.149,6.538,6.487,7.051,6.647,6.161,5.232,5.328,4.951
CHEMBL1094636,NIRAPARIB,4.0,,2,PARP1,8.401,6.472,1.929,2,False,5.335,5.605,6.107,5.893,6.472,5.289,5.241,5.73,5.684,8.401,6.337,5.167,5.799,5.022,3.819,4.989
CHEMBL1879463,DACTOLISIB,3.0,,1,HDAC6,8.373,,,4,True,6.352,6.046,6.278,6.074,8.373,5.87,5.535,6.445,6.358,6.398,6.025,6.322,5.565,5.626,5.224,4.792
CHEMBL4802152,SENAPARIB,2.0,,1,PARP1,8.367,,,5,True,6.004,6.327,6.471,6.292,6.108,5.607,5.592,5.395,6.538,8.367,6.22,6.598,6.306,5.342,4.688,4.951
CHEMBL4297359,BIIB-028,1.0,,1,HSP90AA1,8.367,,,6,True,6.075,6.782,6.245,6.034,6.638,8.367,6.123,5.703,6.643,7.231,7.186,7.297,6.57,4.989,5.287,5.063
CHEMBL4650351,PARPI,3.0,,4,PARP1,8.354,6.567,1.787,4,True,5.844,6.144,6.312,6.152,6.452,6.681,5.694,5.572,6.567,8.354,6.318,5.944,6.864,5.253,4.561,4.804
CHEMBL192,SILDENAFIL,4.0,,4,PDE5A,8.353,6.05,2.303,5,True,6.019,6.707,6.562,5.778,6.05,5.485,5.746,5.767,6.743,6.503,4.789,8.353,6.388,5.556,5.656,5.301
CHEMBL483254,PANOBINOSTAT,4.0,indol_3yl_alk(461),5,HDAC1,8.337,7.927,0.41,3,False,7.513,5.442,6.158,8.337,7.927,5.351,5.513,5.506,5.392,6.668,5.635,5.75,5.292,5.06,5.239,4.864
CHEMBL779,TADALAFIL,4.0,indol_3yl_alk(461),4,PDE5A,8.335,6.369,1.966,3,False,5.886,5.686,6.349,5.689,6.369,5.794,5.606,5.326,6.048,6.835,5.173,8.335,6.132,4.917,4.986,5.088
CHEMBL3644587,2X-121,2.0,,1,PARP1,8.335,,,2,False,5.464,5.986,6.417,6.189,6.08,5.377,4.91,5.521,5.449,8.335,4.954,5.535,6.056,4.586,5.013,5.005
CHEMBL5095223,AZD-9574,1.0,,1,PARP1,8.33,,,5,True,5.579,7.617,6.426,6.093,6.143,6.295,6.45,5.361,5.759,8.33,5.483,6.279,6.25,5.471,5.252,5.172
CHEMBL521686,OLAPARIB,4.0,,4,PARP1,8.319,6.555,1.764,4,True,5.304,7.27,6.288,6.056,6.555,6.239,5.831,5.679,6.093,8.319,5.925,6.111,6.358,5.044,4.353,4.985
CHEMBL485629,MK-0873,2.0,,1,PDE4B,8.273,,,4,True,7.156,6.225,6.117,6.319,6.399,6.153,6.31,5.882,6.608,6.056,8.273,6.273,5.775,5.158,4.433,4.928
CHEMBL4597193,VALEMETOSTAT,2.0,,2,EZH2,8.267,5.513,2.754,2,False,5.628,6.587,8.267,5.331,5.863,5.643,6.27,5.513,6.782,6.198,7.347,5.569,6.172,5.003,5.245,5.063
CHEMBL4297598,LINRODOSTAT,3.0,,1,IDO1,8.233,,,1,False,5.929,6.002,6.266,5.03,5.873,5.761,8.233,5.955,6.877,5.608,6.267,5.597,5.196,5.192,5.055,4.923
CHEMBL189963,PALBOCICLIB,4.0,,2,PARP1,8.203,5.709,2.494,6,True,6.073,7.283,6.404,5.709,5.531,5.787,6.022,5.928,6.569,8.203,6.742,6.499,6.724,5.15,5.561,5.233
CHEMBL5543051,PF-07284892,1.0,,1,PTPN11,8.201,,,5,True,5.658,6.866,6.251,7.398,6.727,6.235,5.915,5.954,6.868,6.23,6.546,5.472,7.434,5.103,8.201,5.092
CHEMBL3919831,AMREDOBRESIB,2.0,,1,BRD4,8.19,,,7,True,8.19,6.999,5.889,6.412,6.705,6.0,5.246,6.258,6.078,6.835,6.117,6.695,6.213,5.101,4.699,4.833
CHEMBL3115681,NARAZACICLIB,2.0,anil_di_alk_A(478),4,CTSK,8.18,6.995,1.185,7,True,5.991,8.18,6.175,6.404,6.604,5.665,5.892,6.298,7.297,6.995,6.624,6.242,6.437,5.129,5.234,5.039
CHEMBL3693786,CITARINOSTAT,2.0,,3,HDAC6,8.172,7.386,0.786,5,True,5.94,6.084,6.029,7.386,8.172,5.609,6.032,5.499,7.541,6.172,6.658,7.022,6.38,5.064,5.15,4.965
CHEMBL4297520,OGLEMILAST,2.0,,1,PDE4B,8.167,,,3,False,6.601,5.734,6.266,5.537,5.191,6.461,6.219,6.48,7.026,6.059,8.167,5.876,5.217,4.75,5.167,4.837
CHEMBL5314520,IGERMETOSTAT,2.0,,2,EZH2,8.164,5.981,2.183,4,True,5.817,6.247,8.164,5.716,5.66,5.95,6.791,5.981,7.181,5.915,6.863,7.037,6.089,5.088,4.871,5.12
CHEMBL2364628,RICOLINOSTAT,2.0,,4,HDAC6,8.147,7.437,0.71,4,True,5.997,6.598,5.871,7.437,8.147,5.887,6.0,5.584,7.601,6.253,6.517,6.458,6.174,5.133,4.872,5.018
CHEMBL5314427,VOCIPROTAFIB,2.0,,1,PTPN11,8.139,,,6,True,6.075,6.921,6.287,6.813,6.822,6.203,6.212,5.841,7.006,6.393,6.686,6.148,6.965,4.945,8.139,5.394
CHEMBL3982690,ALOBRESIB,2.0,,1,BRD4,8.107,,,6,True,8.107,5.94,6.68,5.646,6.779,6.784,5.988,6.034,6.749,6.52,6.432,6.126,6.332,5.051,5.235,5.118
CHEMBL609583,R-306465,1.0,,5,HDAC1,8.105,6.416,1.689,4,True,5.266,6.099,6.013,8.105,6.362,4.861,5.714,6.416,6.612,6.523,6.817,5.889,6.528,5.515,4.56,4.987
CHEMBL353581,PYROXAMIDE,1.0,,6,HDAC1,8.104,7.895,0.209,2,False,5.814,5.326,6.051,8.104,7.895,5.358,5.522,5.258,5.487,5.562,6.263,5.05,5.583,4.974,4.483,4.834
CHEMBL4466233,PEMRAMETOSTAT,2.0,,1,PRMT5,8.095,,,2,False,5.424,6.604,5.885,5.633,5.911,6.163,6.324,5.666,6.127,6.079,6.89,5.698,8.095,5.069,4.05,5.257
CHEMBL4778760,LY-3381916,1.0,,1,IDO1,8.095,,,3,False,5.625,6.835,6.065,6.172,5.952,6.359,8.095,5.505,6.246,6.029,5.712,5.635,5.372,5.466,4.542,4.892
CHEMBL5939817,ZEPRUMETOSTAT,2.0,,2,EZH2,8.085,5.341,2.744,5,True,5.651,6.533,8.085,5.74,5.973,5.755,6.63,5.341,7.093,6.175,6.637,7.353,6.389,5.36,5.432,5.266
CHEMBL566757,DAPORINAD,2.0,,4,NAMPT,8.083,6.426,1.657,2,False,5.446,5.928,5.951,6.129,5.594,5.814,5.782,5.557,8.083,6.426,5.569,5.237,5.632,5.102,4.231,5.243
CHEMBL2103849,UDENAFIL,3.0,,4,PDE5A,8.079,6.342,1.737,5,True,6.179,6.737,6.513,5.993,6.291,5.832,6.24,5.567,6.75,6.437,6.342,8.079,6.673,5.135,5.58,5.397
CHEMBL2103879,GANETESPIB,3.0,,1,HSP90AA1,8.063,,,6,True,6.624,5.74,6.494,5.72,5.989,8.063,5.327,5.566,6.605,6.784,6.775,5.732,6.302,5.526,5.049,4.879
CHEMBL3545110,RIBOCICLIB,4.0,,5,CTSK,8.061,6.767,1.294,5,True,6.206,8.061,6.067,6.083,5.899,5.809,5.844,6.273,6.342,6.767,6.14,5.682,6.717,4.962,5.028,5.187
CHEMBL5314526,LERZEPARIB,2.0,,1,PARP1,8.012,,,7,True,6.189,5.421,6.35,6.817,6.476,6.84,6.54,5.617,6.364,8.012,6.414,6.35,5.934,5.306,5.408,4.89
CHEMBL4297460,DOVRAMILAST,2.0,,1,PDE4B,8.001,,,2,False,6.102,6.637,6.306,5.725,6.011,5.946,6.279,5.519,6.678,5.755,8.001,6.375,6.178,5.182,5.299,4.961
CHEMBL5314444,TUNODAFIL,2.0,,4,PDE5A,7.995,7.083,0.912,5,True,5.996,6.929,6.646,5.928,6.184,5.319,5.875,5.774,6.66,6.593,7.083,7.995,6.162,5.105,5.279,5.215
CHEMBL356066,DACINOSTAT,2.0,,5,HDAC1,7.991,7.815,0.176,3,False,6.402,5.715,6.056,7.991,7.815,5.64,5.78,5.882,5.896,6.609,5.932,5.522,5.493,4.567,5.136,5.037
CHEMBL4650521,BATOPROTAFIB,2.0,,1,PTPN11,7.983,,,5,True,5.753,6.668,6.283,6.867,6.251,5.936,6.281,5.776,6.71,6.816,7.062,5.716,6.824,4.77,7.983,5.237
CHEMBL3287735,GSK2816126,1.0,,5,EZH2,7.983,7.025,0.958,6,True,6.068,7.46,7.983,6.053,5.757,5.612,6.344,6.078,7.021,7.025,7.671,7.052,6.203,4.866,5.142,4.897
CHEMBL3414621,TAZEMETOSTAT,4.0,,3,EZH2,7.956,5.772,2.184,6,True,5.952,7.069,7.956,5.48,5.772,5.431,6.954,5.556,7.198,6.959,6.861,7.401,6.018,5.293,5.437,5.053
CHEMBL99,TRICHOSTATIN,1.0,,2,HDAC6,7.932,7.319,0.613,2,False,6.009,6.577,5.988,7.319,7.932,5.472,5.561,5.82,5.779,5.982,7.029,4.846,5.641,5.105,4.655,4.658
CHEMBL4297423,RO-6870810,1.0,,5,BRD4,7.927,7.111,0.816,6,True,7.927,7.538,6.331,6.162,5.884,6.321,5.895,6.084,7.111,6.75,6.093,6.556,6.519,5.355,5.303,5.109
CHEMBL2103863,ABEXINOSTAT,3.0,,3,HDAC1,7.895,7.751,0.144,3,False,5.67,5.914,6.058,7.895,7.751,5.684,5.548,6.176,6.53,6.398,7.065,5.596,6.057,4.89,5.115,4.981
CHEMBL1232461,MOLIBRESIB,2.0,,5,HSP90AA1,7.869,7.454,0.415,4,True,6.615,5.452,6.066,6.354,6.125,7.869,6.044,5.659,7.454,6.093,5.701,6.298,5.869,5.395,5.034,5.009
CHEMBL217899,TOFIMILAST,2.0,,1,PDE4B,7.866,,,2,False,5.91,6.673,6.256,5.275,5.64,6.364,5.399,5.921,6.518,6.88,7.866,5.72,5.707,4.816,5.199,4.954
CHEMBL154139,TAGORIZINE,2.0,,4,NAMPT,7.863,6.314,1.549,4,True,6.215,7.184,6.023,5.902,6.107,5.539,6.244,5.406,7.863,6.314,5.192,6.719,5.454,5.094,5.095,4.953
CHEMBL408513,BELINOSTAT,4.0,,5,HDAC6,7.859,7.565,0.294,4,True,6.669,5.492,5.961,7.565,7.859,5.497,6.384,5.037,5.542,6.255,6.507,4.824,4.969,4.865,4.999,4.813
CHEMBL4594382,DEURUXOLITINIB PHOSPHATE,4.0,,2,HDAC6,7.852,5.656,2.196,4,True,5.488,7.182,6.163,5.656,7.852,5.728,6.458,5.884,6.066,6.998,5.997,6.168,6.158,5.071,4.311,5.057
CHEMBL4297641,SECLIDEMSTAT,2.0,hzone_phenol_A(479),2,KDM1A,7.838,6.338,1.5,5,True,6.338,6.033,6.038,5.72,5.324,5.55,6.021,7.838,7.142,6.988,5.961,5.597,6.149,5.184,5.7,4.896
CHEMBL3989941,TINOSTAMUSTINE,2.0,,2,HDAC1,7.835,7.202,0.633,5,True,6.149,6.578,5.929,7.835,7.202,6.198,5.634,6.66,7.432,5.765,6.284,5.6,5.67,5.12,4.677,4.82
CHEMBL502,DONEPEZIL,4.0,,5,PDE5A,7.791,6.344,1.447,1,False,5.395,6.082,5.825,5.106,6.344,6.152,5.721,5.619,6.489,6.417,5.007,7.791,5.03,5.054,5.32,5.023
CHEMBL4297454,ABBV-744,1.0,,3,BRD4,7.78,7.091,0.689,4,True,7.78,6.417,6.564,7.091,5.944,5.795,6.067,5.838,7.113,6.565,7.237,6.215,5.61,5.373,5.639,5.033
CHEMBL190412,TEGLARINAD CHLORIDE,2.0,,1,NAMPT,7.775,,,7,True,5.756,6.171,5.876,6.305,6.036,5.686,6.213,6.088,7.775,5.233,7.679,6.589,5.844,5.69,4.544,5.249
CHEMBL252164,LUMINESPIB,2.0,,3,HSP90AA1,7.754,6.32,1.434,6,True,6.428,6.506,6.422,6.32,5.948,7.754,6.499,5.641,6.829,6.691,6.127,7.855,5.831,5.138,5.46,5.122
CHEMBL3218390,GGTI-2418,1.0,,1,CTSK,7.743,,,5,True,6.036,7.743,6.345,6.631,5.889,5.669,6.424,5.477,6.258,6.61,6.672,6.337,6.183,5.15,4.187,5.234
CHEMBL1214827,ONALESPIB,2.0,,5,HSP90AA1,7.742,6.793,0.949,3,False,5.662,7.369,6.248,5.161,5.849,7.742,5.928,5.799,6.793,7.248,5.165,6.244,5.879,5.047,5.431,4.908
CHEMBL98,VORINOSTAT,4.0,,9,HDAC6,7.738,7.535,0.203,3,False,6.508,5.118,5.904,7.535,7.738,5.257,5.535,5.239,5.873,5.479,5.693,4.996,5.267,5.182,4.566,4.767
CHEMBL515668,ESORUBICIN,2.0,quinone_A(370),2,HDAC1,7.719,6.675,1.044,8,True,6.277,6.805,6.421,7.719,6.675,6.541,6.391,5.749,6.741,6.558,7.161,6.364,6.271,4.886,6.284,5.045
CHEMBL1213492,GIVINOSTAT,4.0,,2,HDAC6,7.71,6.946,0.764,2,False,5.691,6.153,5.937,6.946,7.71,5.897,5.902,5.401,6.818,5.982,6.515,5.944,5.399,4.775,5.629,4.974
CHEMBL4080228,MEVROMETOSTAT,2.0,,1,EZH2,7.708,,,3,False,5.894,6.67,7.708,4.988,6.545,5.993,5.703,5.842,6.99,6.263,6.598,6.754,5.893,5.017,4.988,4.984
CHEMBL5095177,DS-2248,1.0,,1,HSP90AA1,7.704,,,8,True,5.892,7.053,6.094,6.37,6.711,7.704,5.975,5.325,6.458,7.211,7.236,6.716,6.802,5.167,5.193,4.95
CHEMBL2107326,DASANTAFIL,2.0,,1,PDE5A,7.695,,,5,True,5.675,7.43,6.124,6.16,6.002,5.821,5.82,5.794,6.388,6.816,6.999,7.695,6.292,4.608,4.6,5.257
CHEMBL5314471,MIGOPROTAFIB,2.0,,1,PTPN11,7.693,,,5,True,6.091,6.566,6.303,5.604,6.382,6.405,7.069,5.098,6.324,5.926,6.504,5.59,7.359,5.161,7.693,5.313
CHEMBL4078100,AZD-5153,1.0,,1,BRD4,7.69,,,5,True,7.69,6.416,6.061,6.925,6.778,5.568,5.82,5.689,7.242,6.203,6.355,7.042,6.112,5.42,4.575,5.109
CHEMBL4297461,CEP-9722,1.0,,2,PARP1,7.676,6.278,1.398,5,True,6.144,7.242,6.358,5.977,6.918,6.165,5.984,5.411,6.356,7.676,5.116,6.278,5.975,4.685,5.597,5.112
CHEMBL5314919,JBI-802,1.0,,4,HDAC6,7.635,7.284,0.351,5,True,6.136,5.557,5.813,7.284,7.635,5.559,5.444,7.001,6.359,7.056,6.568,5.84,6.069,5.27,5.096,4.905
CHEMBL1789941,RUXOLITINIB,4.0,,2,HDAC6,7.622,5.839,1.783,3,False,5.444,7.459,6.063,5.839,7.622,5.607,6.18,5.818,6.072,6.929,5.961,6.325,6.251,5.145,4.291,5.106
CHEMBL5591580,IBUZATRELVIR,2.0,,1,CTSK,7.611,,,6,True,5.026,7.611,6.296,5.788,5.764,6.351,6.132,5.354,7.308,5.597,7.19,6.408,6.493,5.729,4.432,5.326
CHEMBL5095025,PANULISIB,2.0,,1,HDAC6,7.597,,,8,True,6.187,6.267,6.349,6.463,7.597,5.966,5.701,6.903,6.509,6.756,7.892,6.46,6.828,5.049,5.668,5.037
CHEMBL4802161,DALPICICLIB,3.0,,1,PARP1,7.595,,,6,True,5.935,6.866,6.501,5.396,5.358,5.957,6.345,5.91,7.181,7.595,7.185,6.383,6.847,5.3,5.279,5.07
CHEMBL91704,K-777,2.0,,1,CTSK,7.585,,,4,True,6.023,7.585,6.127,6.557,5.61,5.645,5.595,5.334,6.603,6.191,6.569,5.806,6.579,5.498,4.792,5.129
CHEMBL5095246,KA-2507,2.0,,3,HDAC6,7.58,5.819,1.761,1,False,5.298,6.037,5.97,5.819,7.58,5.154,5.297,5.495,5.797,6.275,5.945,4.732,5.895,4.989,4.909,4.931
CHEMBL4297384,GSK-356278,1.0,,1,PDE4B,7.565,,,6,True,6.558,6.628,6.114,6.288,6.225,6.157,6.27,6.398,7.158,6.093,7.565,7.701,6.268,4.939,4.267,5.003
CHEMBL4521078,PLX-51107,1.0,,1,BRD4,7.564,,,2,False,7.564,5.245,6.466,5.652,6.238,6.308,5.501,5.788,7.02,5.223,6.282,5.828,6.102,5.231,4.833,4.861
CHEMBL1230227,SABARUBICIN,2.0,quinone_A(370),2,HDAC1,7.557,6.097,1.46,5,True,6.241,6.66,6.1,7.557,6.097,6.546,6.128,6.076,6.377,6.361,6.887,6.296,6.136,5.248,6.028,5.095
CHEMBL5095240,MUFEMILAST,3.0,,1,PDE4B,7.548,,,5,True,6.392,6.377,6.163,5.582,6.221,6.817,5.642,4.849,6.687,5.949,7.548,6.909,5.895,5.233,5.734,5.001
CHEMBL191482,AR-42,2.0,,7,HDAC6,7.545,7.282,0.263,3,False,5.666,5.817,5.878,7.282,7.545,5.192,5.271,5.154,5.316,5.472,5.821,5.018,5.66,5.034,5.78,4.826
CHEMBL514800,APREMILAST,4.0,,1,PDE4B,7.543,,,3,False,6.18,6.539,6.156,5.707,6.12,6.876,6.284,4.827,6.659,5.681,7.543,6.318,5.849,5.249,5.352,4.922
CHEMBL487253,BENDAMUSTINE,4.0,,2,HDAC6,7.504,7.109,0.395,3,False,5.662,6.018,5.967,7.109,7.504,6.357,4.683,6.235,6.439,5.92,6.141,5.633,5.604,4.819,4.721,4.864
CHEMBL4802155,VAFIDEMSTAT,2.0,,1,KDM1A,7.483,,,2,False,5.96,5.792,5.86,6.741,6.198,5.571,5.558,7.483,5.822,6.693,6.356,5.986,6.275,4.859,4.833,4.886
CHEMBL4303404,PELABRESIB,3.0,,1,BRD4,7.479,,,2,False,7.479,5.539,6.344,5.413,6.015,6.064,5.494,5.513,6.94,5.72,5.688,5.52,6.025,5.069,4.819,4.96
CHEMBL1963681,AVANAFIL,4.0,,1,PDE5A,7.47,,,5,True,5.782,7.115,6.093,6.386,5.98,6.071,5.871,5.808,7.052,7.157,6.395,7.47,6.516,4.69,4.619,5.041
CHEMBL3781751,IADADEMSTAT,2.0,,2,KDM1A,7.459,6.232,1.227,1,False,4.671,5.724,5.763,5.908,6.232,5.417,5.359,7.459,5.419,6.45,5.811,5.439,4.981,5.002,5.05,5.109
CHEMBL522892,DOVITINIB,3.0,,1,PARP1,7.454,,,6,True,6.454,5.752,6.417,6.142,7.048,6.057,5.508,5.469,5.42,7.454,6.339,5.984,6.673,5.295,6.252,5.005
CHEMBL1195136,SNX 5422,2.0,,1,HSP90AA1,7.45,,,7,True,6.725,7.099,6.203,5.532,5.423,7.45,6.179,5.467,7.072,7.005,7.711,6.05,6.74,5.205,5.183,5.228
CHEMBL3545369,EPACADOSTAT,3.0,,4,IDO1,7.449,6.398,1.051,3,False,5.08,5.387,6.071,6.089,6.398,6.014,7.449,6.548,6.081,6.654,6.884,4.931,4.512,4.977,4.674,5.019
CHEMBL2104924,SIMETRIDE,2.0,,1,NAMPT,7.437,,,4,True,5.688,7.196,5.88,5.637,5.941,5.69,6.419,5.542,7.437,6.733,6.341,6.454,5.844,4.908,5.641,4.988
CHEMBL2354444,PIRARUBICIN,3.0,quinone_A(370),2,HDAC1,7.433,6.078,1.355,5,True,6.245,6.97,6.219,7.433,6.078,6.504,6.324,5.826,6.595,6.61,6.815,6.543,6.08,5.133,5.598,5.137
