head,linker,tail,n_tails,mw,smiles
H1_DMAEA,amide,T6_C16,2,679.2,CCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCN(C)C
H1_DMAEA,amide,T7_C18,2,735.3,CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCN(C)C
H1_DMAEA,amide,T10_C12i,2,595.0,CC(C)CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCN(C)C
H1_DMAEA,amide,T11_oleyl,2,731.3,CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCN(C)C
H1_DMAEA,amide,T12_linoleyl,2,727.2,CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCN(C)C
H1_DMAEA,amide,T13_C9,2,482.8,CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN(C)C
H1_DMAEA,amide,T14_thioC8,2,575.0,CCSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSCC)CCN(C)C
H1_DMAEA,amide,T15_OC8,2,542.9,CCOCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCOCC)CCN(C)C
H1_DMAEA,amide,T16_C11,2,538.9,CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN(C)C
H2_DEAEA,ester,T1_C6,2,428.7,CCCCCCOC(=O)CCN(CCC(=O)OCCCCCC)CCN(CC)CC
H2_DEAEA,ester,T2_C8,2,484.8,CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC)CCN(CC)CC
H2_DEAEA,ester,T3_C10,2,540.9,CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN(CC)CC
H2_DEAEA,ester,T4_C12,2,597.0,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN(CC)CC
H2_DEAEA,ester,T5_C14,2,653.1,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN(CC)CC
H2_DEAEA,ester,T6_C16,2,709.2,CCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCN(CC)CC
H2_DEAEA,ester,T7_C18,2,765.3,CCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CCN(CC)CC
H2_DEAEA,ester,T10_C12i,2,625.0,CCN(CC)CCN(CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C
H2_DEAEA,ester,T11_oleyl,2,761.3,CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCN(CC)CC
H2_DEAEA,ester,T12_linoleyl,2,757.2,CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCN(CC)CC
H2_DEAEA,ester,T13_C9,2,512.8,CCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCC)CCN(CC)CC
H2_DEAEA,ester,T14_thioC8,2,605.0,CCSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSCC)CCN(CC)CC
H2_DEAEA,ester,T15_OC8,2,572.9,CCOCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCOCC)CCN(CC)CC
H2_DEAEA,ester,T16_C11,2,568.9,CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN(CC)CC
H2_DEAEA,amide,T1_C6,2,426.7,CCCCCCNC(=O)CCN(CCC(=O)NCCCCCC)CCN(CC)CC
H2_DEAEA,amide,T2_C8,2,482.8,CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC)CCN(CC)CC
H2_DEAEA,amide,T3_C10,2,538.9,CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)CCN(CC)CC
H2_DEAEA,amide,T4_C12,2,595.0,CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CC)CC
H2_DEAEA,amide,T5_C14,2,651.1,CCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCN(CC)CC
H2_DEAEA,amide,T6_C16,2,707.2,CCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCN(CC)CC
H2_DEAEA,amide,T7_C18,2,763.3,CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCN(CC)CC
H2_DEAEA,amide,T10_C12i,2,623.1,CCN(CC)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C
H2_DEAEA,amide,T11_oleyl,2,759.3,CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCN(CC)CC
H2_DEAEA,amide,T12_linoleyl,2,755.3,CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCN(CC)CC
H2_DEAEA,amide,T13_C9,2,510.9,CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN(CC)CC
H2_DEAEA,amide,T14_thioC8,2,603.0,CCSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSCC)CCN(CC)CC
H2_DEAEA,amide,T15_OC8,2,570.9,CCOCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCOCC)CCN(CC)CC
H2_DEAEA,amide,T16_C11,2,567.0,CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN(CC)CC
H3_MPZ,ester,T1_C6,2,455.7,CCCCCCOC(=O)CCN(CCC(=O)OCCCCCC)CCN1CCN(C)CC1
H3_MPZ,ester,T2_C8,2,511.8,CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC)CCN1CCN(C)CC1
H3_MPZ,ester,T3_C10,2,567.9,CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN1CCN(C)CC1
H3_MPZ,ester,T4_C12,2,624.0,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN1CCN(C)CC1
H3_MPZ,ester,T5_C14,2,680.1,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN1CCN(C)CC1
H3_MPZ,ester,T6_C16,2,736.2,CCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCN1CCN(C)CC1
H3_MPZ,ester,T7_C18,2,792.3,CCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CCN1CCN(C)CC1
H3_MPZ,ester,T10_C12i,2,652.1,CC(C)CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC(C)C)CCN1CCN(C)CC1
H3_MPZ,ester,T11_oleyl,2,788.3,CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCN1CCN(C)CC1
H3_MPZ,ester,T12_linoleyl,2,784.3,CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCN1CCN(C)CC1
H3_MPZ,ester,T13_C9,2,539.8,CCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCC)CCN1CCN(C)CC1
H3_MPZ,ester,T14_thioC8,2,632.0,CCSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSCC)CCN1CCN(C)CC1
H3_MPZ,ester,T15_OC8,2,599.9,CCOCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCOCC)CCN1CCN(C)CC1
H3_MPZ,ester,T16_C11,2,596.0,CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN1CCN(C)CC1
H3_MPZ,amide,T1_C6,2,453.7,CCCCCCNC(=O)CCN(CCC(=O)NCCCCCC)CCN1CCN(C)CC1
H3_MPZ,amide,T2_C8,2,509.8,CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC)CCN1CCN(C)CC1
H3_MPZ,amide,T3_C10,2,565.9,CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)CCN1CCN(C)CC1
H3_MPZ,amide,T4_C12,2,622.0,CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN1CCN(C)CC1
H3_MPZ,amide,T5_C14,2,678.1,CCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCN1CCN(C)CC1
H3_MPZ,amide,T6_C16,2,734.3,CCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCN1CCN(C)CC1
H3_MPZ,amide,T7_C18,2,790.4,CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCN1CCN(C)CC1
H3_MPZ,amide,T10_C12i,2,650.1,CC(C)CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCN1CCN(C)CC1
H3_MPZ,amide,T11_oleyl,2,786.3,CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCN1CCN(C)CC1
H3_MPZ,amide,T12_linoleyl,2,782.3,CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCN1CCN(C)CC1
H3_MPZ,amide,T13_C9,2,537.9,CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN1CCN(C)CC1
H3_MPZ,amide,T14_thioC8,2,630.1,CCSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSCC)CCN1CCN(C)CC1
H3_MPZ,amide,T15_OC8,2,597.9,CCOCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCOCC)CCN1CCN(C)CC1
H3_MPZ,amide,T16_C11,2,594.0,CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN1CCN(C)CC1
H4_AEPZ,ester,T1_C6,3,597.9,CCCCCCOC(=O)CCN(CCC(=O)OCCCCCC)CCN1CCN(CCC(=O)OCCCCCC)CC1
H4_AEPZ,ester,T2_C8,3,682.0,CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCC)CC1
H4_AEPZ,ester,T3_C10,3,766.2,CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCC)CC1
H4_AEPZ,ester,T4_C12,3,850.4,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCCCC)CC1
H4_AEPZ,ester,T5_C14,3,934.5,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCCCCCC)CC1
H4_AEPZ,ester,T6_C16,3,1018.7,CCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CC1
H4_AEPZ,ester,T7_C18,3,1102.9,CCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CC1
H4_AEPZ,ester,T10_C12i,3,892.4,CC(C)CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC(C)C)CCN1CCN(CCC(=O)OCCCCCCCCCCC(C)C)CC1
H4_AEPZ,ester,T11_oleyl,3,1096.8,CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CC1
H4_AEPZ,ester,T12_linoleyl,3,1090.8,CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCN1CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CC1
H4_AEPZ,ester,T13_C9,3,724.1,CCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCC)CC1
H4_AEPZ,ester,T14_thioC8,3,862.4,CCSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSCC)CCN1CCN(CCC(=O)OCCCCCCCCSCC)CC1
H4_AEPZ,ester,T15_OC8,3,814.2,CCOCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCOCC)CCN1CCN(CCC(=O)OCCCCCCCCOCC)CC1
H4_AEPZ,ester,T16_C11,3,808.3,CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCCC)CC1
H4_AEPZ,amide,T1_C6,3,594.9,CCCCCCNC(=O)CCN(CCC(=O)NCCCCCC)CCN1CCN(CCC(=O)NCCCCCC)CC1
H4_AEPZ,amide,T2_C8,3,679.1,CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCC)CC1
H4_AEPZ,amide,T3_C10,3,763.3,CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCC)CC1
H4_AEPZ,amide,T4_C12,3,847.4,CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCCC)CC1
H4_AEPZ,amide,T5_C14,3,931.6,CCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCCCCC)CC1
H4_AEPZ,amide,T6_C16,3,1015.7,CCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CC1
H4_AEPZ,amide,T7_C18,3,1099.9,CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CC1
H4_AEPZ,amide,T10_C12i,3,889.5,CC(C)CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCN1CCN(CCC(=O)NCCCCCCCCCCC(C)C)CC1
H4_AEPZ,amide,T11_oleyl,3,1093.9,CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CC1
H4_AEPZ,amide,T12_linoleyl,3,1087.8,CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCN1CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CC1
H4_AEPZ,amide,T13_C9,3,721.2,CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCC)CC1
H4_AEPZ,amide,T14_thioC8,3,859.5,CCSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSCC)CCN1CCN(CCC(=O)NCCCCCCCCSCC)CC1
H4_AEPZ,amide,T15_OC8,3,811.3,CCOCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCOCC)CCN1CCN(CCC(=O)NCCCCCCCCOCC)CC1
H4_AEPZ,amide,T16_C11,3,805.3,CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCC)CC1
H5_bAE,ester,T1_C6,4,729.1,CCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCC)CCC(=O)OCCCCCC)CCC(=O)OCCCCCC
H5_bAE,ester,T2_C8,4,841.3,CCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCC)CCC(=O)OCCCCCCCC)CCC(=O)OCCCCCCCC
H5_bAE,ester,T3_C10,4,953.5,CCCCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC
H5_bAE,ester,T4_C12,4,1065.7,CCCCCCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC
H5_bAE,ester,T5_C14,4,1177.9,CCCCCCCCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC
H5_bAE,ester,T6_C16,4,1290.1,CCCCCCCCCCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCC
H5_bAE,ester,T10_C12i,4,1121.8,CC(C)CCCCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C
H5_bAE,ester,T11_oleyl,4,1394.3,CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCC(=O)OCCCCCCCC/C=C\CCCCCCCC
H5_bAE,ester,T12_linoleyl,4,1386.2,CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC
H5_bAE,ester,T13_C9,4,897.4,CCCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCCC)CCC(=O)OCCCCCCCCC)CCC(=O)OCCCCCCCCC
H5_bAE,ester,T14_thioC8,4,1081.8,CCSCCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCCSCC)CCC(=O)OCCCCCCCCSCC)CCC(=O)OCCCCCCCCSCC
H5_bAE,ester,T15_OC8,4,1017.5,CCOCCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCCOCC)CCC(=O)OCCCCCCCCOCC)CCC(=O)OCCCCCCCCOCC
H5_bAE,ester,T16_C11,4,1009.6,CCCCCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC
H5_bAE,amide,T1_C6,4,725.1,CCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCC)CCC(=O)NCCCCCC)CCC(=O)NCCCCCC
H5_bAE,amide,T2_C8,4,837.3,CCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCC)CCC(=O)NCCCCCCCC)CCC(=O)NCCCCCCCC
H5_bAE,amide,T3_C10,4,949.5,CCCCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCCCC)CCC(=O)NCCCCCCCCCC)CCC(=O)NCCCCCCCCCC
H5_bAE,amide,T4_C12,4,1061.8,CCCCCCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC
H5_bAE,amide,T5_C14,4,1174.0,CCCCCCCCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCC
H5_bAE,amide,T6_C16,4,1286.2,CCCCCCCCCCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCCCC
H5_bAE,amide,T7_C18,4,1398.4,CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCCCCCC
H5_bAE,amide,T10_C12i,4,1117.9,CC(C)CCCCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C
H5_bAE,amide,T11_oleyl,4,1390.3,CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCC(=O)NCCCCCCCC/C=C\CCCCCCCC
H5_bAE,amide,T12_linoleyl,4,1382.3,CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC
H5_bAE,amide,T13_C9,4,893.4,CCCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC
H5_bAE,amide,T14_thioC8,4,1077.8,CCSCCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCCSCC)CCC(=O)NCCCCCCCCSCC)CCC(=O)NCCCCCCCCSCC
H5_bAE,amide,T15_OC8,4,1013.5,CCOCCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCCOCC)CCC(=O)NCCCCCCCCOCC)CCC(=O)NCCCCCCCCOCC
H5_bAE,amide,T16_C11,4,1005.7,CCCCCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC
H6_DAP,ester,T1_C6,4,699.0,CCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCC)CCC(=O)OCCCCCC)CCC(=O)OCCCCCC
H6_DAP,ester,T2_C8,4,811.2,CCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCC)CCC(=O)OCCCCCCCC)CCC(=O)OCCCCCCCC
H6_DAP,ester,T3_C10,4,923.5,CCCCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC
H6_DAP,ester,T4_C12,4,1035.7,CCCCCCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC
H6_DAP,ester,T5_C14,4,1147.9,CCCCCCCCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC
H6_DAP,ester,T6_C16,4,1260.1,CCCCCCCCCCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCC
H6_DAP,ester,T7_C18,4,1372.3,CCCCCCCCCCCCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCCCC
H6_DAP,ester,T10_C12i,4,1091.8,CC(C)CCCCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C
H6_DAP,ester,T11_oleyl,4,1364.3,CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCC(=O)OCCCCCCCC/C=C\CCCCCCCC
