smiles,ens_mean,ens_std,head,linker,tail,n_tails,mw,lite_pred,ens_rank,lite_rank,lcb,confidence
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCC(=O)OCCCCCCCC/C=C\CCCCCCCC,0.8436748495261333,0.320802388868675,H7_MePr,ester,T11_oleyl,3,1055.8,0.3890637574054948,21,23,0.5228724606574582,high
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC,0.834776524806691,0.9620679045315226,H6_DAP,amide,T12_linoleyl,4,1352.3,0.7754866779548755,22,2,-0.12729137972483162,low
CC(C)CCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C,0.8184582654622012,0.7944072363390267,H6_DAP,amide,T10_C12i,4,1087.8,0.3026869113329759,23,55,0.024051029123174583,low
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCN(CC)CC,0.7974677176054923,0.4832122845439409,H2_DEAEA,amide,T12_linoleyl,2,755.3,0.6481699202453971,24,9,0.3142554330615514,medium
CCCCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,0.7948037030596448,1.0110819534067577,H6_DAP,amide,T4_C12,4,1031.7,0.3228219107900104,25,36,-0.2162782503471129,low
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCN(CC)CC,0.7807554414012371,0.2712919519729033,H2_DEAEA,ester,T12_linoleyl,2,757.2,0.6591073748586126,26,7,0.5094634894283339,high
CCCCCCCCCCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCCCCCC,0.7727082918324486,0.4533019484338055,H7_MePr,amide,T7_C18,3,1058.8,0.3050239006655886,27,52,0.3194063433986431,medium
CC(C)CCCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C,0.7686691289963287,0.4098847907114053,H7_MePr,ester,T10_C12i,3,851.4,0.2742779946233862,28,84,0.35878433828492334,medium
CCCCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC,0.7678277596410539,0.3181122543886665,H7_MePr,ester,T16_C11,3,767.2,0.2734935586417808,29,85,0.44971550525238735,high
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCC(=O)NCCCCCCCC/C=C\CCCCCCCC,0.7643594425038345,0.9870650862915258,H6_DAP,amide,T11_oleyl,4,1360.3,0.4293791378820478,30,17,-0.2227056437876913,low
CCCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC,0.7639333257340049,0.35243937212264,H7_MePr,ester,T3_C10,3,725.2,0.270085312477519,31,88,0.41149395361136487,high
CCCCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCCCC,0.7612664438331915,0.3557392523378004,H10_DMPDA,amide,T4_C12,2,581.0,0.1877846477224508,32,167,0.4055271914953911,high
CCCCCCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCCCCCC,0.7606642671402121,0.3400876551734422,H10_DMPDA,amide,T5_C14,2,637.1,0.1987247537439327,33,156,0.4205766119667699,high
CCCCCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC,0.741661913380521,0.2565168767548862,H7_MePr,ester,T4_C12,3,809.3,0.2776249214782362,34,80,0.4851450366256348,high
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC,0.7388695772687248,0.656155219886602,H6_DAP,ester,T12_linoleyl,4,1356.2,0.7809369772415978,35,1,0.08271435738212285,medium
CCCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCCC,0.7222298572486491,0.3375919564324949,H10_DMPDA,amide,T16_C11,2,552.9,0.1822252744801909,36,174,0.3846379008161542,high
CCSCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCSCC)CCC(=O)OCCCCCCCCSCC,0.7014220786897318,0.3673883460961717,H7_MePr,ester,T14_thioC8,3,821.4,0.2491894467399883,37,95,0.3340337325935601,high
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCN(C)C,0.6989138015541794,0.4374267600328964,H1_DMAEA,amide,T11_oleyl,2,731.3,0.3367135029693593,38,25,0.261487041521283,medium
CCCCCCCCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCCCCCCCC,0.6955243981451567,0.3113928792834687,H10_DMPDA,amide,T6_C16,2,693.2,0.2077841470332696,39,145,0.38413151886168795,high
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCN(C)C,0.6939708061259002,0.4601086445528111,H1_DMAEA,amide,T12_linoleyl,2,727.2,0.652132618359309,40,8,0.23386216157308914,medium
CC(C)CCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCCC(C)C,0.6921641893494404,0.32412300833935,H10_DMPDA,amide,T10_C12i,2,609.0,0.2008293420149549,41,154,0.36804118101009037,high
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCN(CC)CC,0.6873709415753873,0.2583939350756521,H2_DEAEA,ester,T11_oleyl,2,761.3,0.3321009901001903,42,31,0.42897700649973514,high
CCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCC)CCC(=O)OCCCCCCCCC,0.6750635814115331,0.3192572670645037,H7_MePr,ester,T13_C9,3,683.1,0.2651686933342486,43,90,0.3558063143470294,high
CCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCN(CC)CC,0.6727890726637705,0.4271353232414565,H2_DEAEA,amide,T5_C14,2,651.1,0.2220359498715854,44,122,0.24565374942231405,medium
CCCCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCCCC,0.6719937023667973,0.1517065551331272,H10_DMPDA,ester,T4_C12,2,583.0,0.18830763434085,45,166,0.5202871472336701,high
CC(C)CCCCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C,0.669820376448002,0.5303942954524635,H6_DAP,ester,T10_C12i,4,1091.8,0.3060574225375996,46,51,0.13942608099553844,medium
CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CC)CC,0.6622740585253812,0.4593771169918371,H2_DEAEA,amide,T4_C12,2,595.0,0.2125605638090341,47,138,0.20289694153354415,medium
CCCCCCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCCCCCC,0.6558437772360729,0.0943523012794765,H10_DMPDA,ester,T5_C14,2,639.1,0.1981255354757057,48,158,0.5614914759565964,high
CCCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCCC,0.644889283511564,0.1878630267339931,H10_DMPDA,ester,T16_C11,2,554.9,0.1826078243524528,49,173,0.4570262567775709,high
CC(C)CCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCCC(C)C,0.6436214543746164,0.2328497588399773,H10_DMPDA,ester,T10_C12i,2,611.0,0.200127978609478,50,155,0.4107716955346391,high
