smiles,pred_delivery,head,linker,tail,n_tails,mw
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCN1CCN(C)CC1,0.6191161107318075,H3_MPZ,ester,T12_linoleyl,2,784.3
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCN1CCN(C)CC1,0.614682838920919,H3_MPZ,amide,T12_linoleyl,2,782.3
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC,0.6007609240061467,H10_DMPDA,amide,T12_linoleyl,2,741.2
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC,0.5980987929172742,H10_DMPDA,ester,T12_linoleyl,2,743.2
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCO)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC,0.592637829402828,H8_AEEA,amide,T12_linoleyl,3,1062.8
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCO)CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC,0.5863271261606327,H8_AEEA,ester,T12_linoleyl,3,1065.7
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCC(=O)NCCCCCCCC/C=C\CCCCCCCC,0.4293791378820478,H6_DAP,amide,T11_oleyl,4,1360.3
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCC(=O)OCCCCCCCC/C=C\CCCCCCCC,0.4293546453150778,H6_DAP,ester,T11_oleyl,4,1364.3
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CC1,0.403874553279442,H4_AEPZ,ester,T11_oleyl,3,1096.8
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CC1,0.4030953322223828,H4_AEPZ,amide,T11_oleyl,3,1093.9
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CC(CO)(CO)N(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC,0.4014159800318466,H12_TRIS,amide,T12_linoleyl,4,1398.3
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCC(=O)NCCCCCCCC/C=C\CCCCCCCC,0.3966626056052711,H7_MePr,amide,T11_oleyl,3,1052.8
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCC(=O)OCCCCCCCC/C=C\CCCCCCCC,0.3890637574054948,H7_MePr,ester,T11_oleyl,3,1055.8
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC,0.3781312247435365,H5_bAE,amide,T12_linoleyl,4,1382.3
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCN(C)C,0.3367135029693593,H1_DMAEA,amide,T11_oleyl,2,731.3
CCCCCCCCCCCCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCCCC,0.3356379101330314,H6_DAP,ester,T7_C18,4,1372.3
CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCCCCCC,0.3350526666906952,H6_DAP,amide,T7_C18,4,1368.4
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC,0.3348975959287666,H5_bAE,ester,T12_linoleyl,4,1386.2
CCCCCCCCCCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCC,0.3337454491719929,H6_DAP,ester,T6_C16,4,1260.1
CCCCCCCCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCCCC,0.3322545081036865,H6_DAP,amide,T6_C16,4,1256.2
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCN(CC)CC,0.3321009901001903,H2_DEAEA,ester,T11_oleyl,2,761.3
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCN1CCN(C)CC1,0.3301381276577775,H3_MPZ,ester,T11_oleyl,2,788.3
CCCCCCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCC,0.3289967037233853,H6_DAP,amide,T5_C14,4,1144.0
CCCCCCCCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC,0.3283577582771544,H6_DAP,ester,T5_C14,4,1147.9
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCN(C)C,0.3267722454311217,H1_DMAEA,ester,T11_oleyl,2,733.2
CCCCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,0.3228219107900104,H6_DAP,amide,T4_C12,4,1031.7
CCCCCCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC,0.3221749085783288,H6_DAP,ester,T4_C12,4,1035.7
CCCCCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC,0.3202783459912428,H6_DAP,ester,T16_C11,4,979.6
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCN(CC)CC,0.3198222744720774,H2_DEAEA,amide,T11_oleyl,2,759.3
CCCCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC,0.3195210979308672,H6_DAP,ester,T3_C10,4,923.5
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCN1CCN(C)CC1,0.3195061855904512,H3_MPZ,amide,T11_oleyl,2,786.3
CCCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCCC)CCC(=O)OCCCCCCCCC)CCC(=O)OCCCCCCCCC,0.3194866442720672,H6_DAP,ester,T13_C9,4,867.4
CCCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC,0.3189511476942228,H6_DAP,amide,T16_C11,4,975.6
CCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCC)CCC(=O)NCCCCCCCCCC)CCC(=O)NCCCCCCCCCC,0.314769569236013,H6_DAP,amide,T3_C10,4,919.5
CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CC1,0.3131979140265555,H4_AEPZ,amide,T7_C18,3,1099.9
CCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CC1,0.3125896721810238,H4_AEPZ,ester,T7_C18,3,1102.9
CCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC,0.3101283449845107,H6_DAP,amide,T13_C9,4,863.4
CCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCC)CCC(=O)OCCCCCCCC)CCC(=O)OCCCCCCCC,0.3091303900697982,H6_DAP,ester,T2_C8,4,811.2
CCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CC1,0.3078550480449516,H4_AEPZ,amide,T6_C16,3,1015.7
CCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CC1,0.3078510929055486,H4_AEPZ,ester,T6_C16,3,1018.7
CC(C)CCCCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C,0.3060574225375996,H6_DAP,ester,T10_C12i,4,1091.8
CCCCCCCCCCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCCCCCC,0.3050239006655886,H7_MePr,amide,T7_C18,3,1058.8
CCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCC)CCC(=O)NCCCCCCCC)CCC(=O)NCCCCCCCC,0.3044286082394358,H6_DAP,amide,T2_C8,4,807.3
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCCCCCC)CC1,0.3037851217072235,H4_AEPZ,ester,T5_C14,3,934.5
CC(C)CCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C,0.3026869113329759,H6_DAP,amide,T10_C12i,4,1087.8
CCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCCCCC)CC1,0.3020129848760246,H4_AEPZ,amide,T5_C14,3,931.6
CCCCCCCCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCCCC,0.301257377466068,H7_MePr,amide,T6_C16,3,974.7
CCSCCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCCSCC)CCC(=O)OCCCCCCCCSCC)CCC(=O)OCCCCCCCCSCC,0.2994850941482246,H6_DAP,ester,T14_thioC8,4,1051.7
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCCCC)CC1,0.2980854142594776,H4_AEPZ,ester,T4_C12,3,850.4
CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCCC)CC1,0.2964459650309188,H4_AEPZ,amide,T4_C12,3,847.4
CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCCC)CC1,0.295913573969939,H4_AEPZ,ester,T16_C11,3,808.3
CCCCCCCCCCCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCCCC,0.2950098978596637,H7_MePr,ester,T7_C18,3,1061.8
CCCCCCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCC,0.2946716601973804,H7_MePr,amide,T5_C14,3,890.5
CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCC)CC1,0.2934362211345113,H4_AEPZ,ester,T3_C10,3,766.2
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCC/C=C\CCCCCCCC,0.2924218304182794,H10_DMPDA,ester,T11_oleyl,2,747.2
CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCC)CC1,0.2923847692972064,H4_AEPZ,amide,T16_C11,3,805.3
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCC/C=C\CCCCCCCC,0.2922381361660043,H10_DMPDA,amide,T11_oleyl,2,745.3
CCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCC)CC1,0.2899512745631592,H4_AEPZ,ester,T13_C9,3,724.1
CCCCCCCCCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCC,0.2899166744177148,H7_MePr,ester,T6_C16,3,977.6
CCSCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCSCC)CCC(=O)NCCCCCCCCSCC)CCC(=O)NCCCCCCCCSCC,0.2890063478137766,H6_DAP,amide,T14_thioC8,4,1047.8
CCCCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,0.2883056435982001,H7_MePr,amide,T4_C12,3,806.4
CC(C)CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC(C)C)CCN1CCN(CCC(=O)OCCCCCCCCCCC(C)C)CC1,0.2882200661004497,H4_AEPZ,ester,T10_C12i,3,892.4
CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCC)CC1,0.2881866964428194,H4_AEPZ,amide,T3_C10,3,763.3
CC(C)CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCN1CCN(CCC(=O)NCCCCCCCCCCC(C)C)CC1,0.2875183364783614,H4_AEPZ,amide,T10_C12i,3,889.5
CCCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC,0.2850149383175314,H7_MePr,amide,T16_C11,3,764.3
CCCCCCCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC,0.2844232201655057,H7_MePr,ester,T5_C14,3,893.5
CC(C)CCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C,0.2841322097974278,H7_MePr,amide,T10_C12i,3,848.4
CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCC)CC1,0.2837095079358926,H4_AEPZ,amide,T13_C9,3,721.2
CCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCC)CCC(=O)NCCCCCCCCCC,0.2812385126208387,H7_MePr,amide,T3_C10,3,722.2
CCCCCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC,0.2776249214782362,H7_MePr,ester,T4_C12,3,809.3
CCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC,0.2772125908711357,H7_MePr,amide,T13_C9,3,680.1
CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCC)CC1,0.2761222321810364,H4_AEPZ,amide,T2_C8,3,679.1
CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCC)CC1,0.2745385357693962,H4_AEPZ,ester,T2_C8,3,682.0
CC(C)CCCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C,0.2742779946233862,H7_MePr,ester,T10_C12i,3,851.4
CCCCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC,0.2734935586417808,H7_MePr,ester,T16_C11,3,767.2
CCSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSCC)CCN1CCN(CCC(=O)OCCCCCCCCSCC)CC1,0.2715492707058979,H4_AEPZ,ester,T14_thioC8,3,862.4
CCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCC)CCC(=O)NCCCCCCCC,0.2708886159389435,H7_MePr,amide,T2_C8,3,638.0
CCCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC,0.270085312477519,H7_MePr,ester,T3_C10,3,725.2
CCSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSCC)CCN1CCN(CCC(=O)NCCCCCCCCSCC)CC1,0.2668273616105733,H4_AEPZ,amide,T14_thioC8,3,859.5
CCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCC)CCC(=O)OCCCCCCCCC,0.2651686933342486,H7_MePr,ester,T13_C9,3,683.1
CCSCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCSCC)CCC(=O)NCCCCCCCCSCC,0.2606254686479552,H7_MePr,amide,T14_thioC8,3,818.4
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCO)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCC(=O)NCCCCCCCC/C=C\CCCCCCCC,0.254023403469735,H8_AEEA,amide,T11_oleyl,3,1068.8
CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCN(C)C,0.2527868657570317,H1_DMAEA,amide,T7_C18,2,735.3
CCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCC)CCC(=O)OCCCCCCCC,0.2502378516550864,H7_MePr,ester,T2_C8,3,641.0
CCSCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCSCC)CCC(=O)OCCCCCCCCSCC,0.2491894467399883,H7_MePr,ester,T14_thioC8,3,821.4
CCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCC)CCC(=O)NCCCCCC)CCC(=O)NCCCCCC,0.2483490821574908,H6_DAP,amide,T1_C6,4,695.1
CCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CCN(CC)CC,0.2476311950585078,H2_DEAEA,ester,T7_C18,2,765.3
CCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CCN1CCN(C)CC1,0.2470597653067534,H3_MPZ,ester,T7_C18,2,792.3
CCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCN(C)C,0.2467024697320132,H1_DMAEA,amide,T6_C16,2,679.2
CCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CCN(C)C,0.2452679113731971,H1_DMAEA,ester,T7_C18,2,737.3
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCO)CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCC(=O)OCCCCCCCC/C=C\CCCCCCCC,0.2439761921414889,H8_AEEA,ester,T11_oleyl,3,1071.8
CCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCN(CC)CC,0.2409536453123471,H2_DEAEA,ester,T6_C16,2,709.2
CCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCN1CCN(C)CC1,0.2404998589848368,H3_MPZ,ester,T6_C16,2,736.2
CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCN1CCN(C)CC1,0.2403159889485882,H3_MPZ,amide,T7_C18,2,790.4
CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCN(CC)CC,0.2386822526991672,H2_DEAEA,amide,T7_C18,2,763.3
CCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCN(C)C,0.2378942277947701,H1_DMAEA,amide,T5_C14,2,623.1
CCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCN(C)C,0.2374222038800124,H1_DMAEA,ester,T6_C16,2,681.1
CC(C)CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCN(C)C,0.2349613600894264,H1_DMAEA,amide,T10_C12i,2,595.0
CCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCN1CCN(C)CC1,0.2334346323338546,H3_MPZ,amide,T6_C16,2,734.3
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN(CC)CC,0.2330296114103176,H2_DEAEA,ester,T5_C14,2,653.1
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN1CCN(C)CC1,0.2328144811241204,H3_MPZ,ester,T5_C14,2,680.1
CCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCN(CC)CC,0.2305868880176633,H2_DEAEA,amide,T6_C16,2,707.2
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN(C)C,0.2294950351637894,H1_DMAEA,ester,T5_C14,2,625.0
CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(C)C,0.2287347987758649,H1_DMAEA,amide,T4_C12,2,567.0
CCN(CC)CCN(CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C,0.2273042834484385,H2_DEAEA,ester,T10_C12i,2,625.0
CC(C)CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC(C)C)CCN(C)C,0.2261773909891865,H1_DMAEA,ester,T10_C12i,2,597.0
CCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCN1CCN(C)CC1,0.2256848735928552,H3_MPZ,amide,T5_C14,2,678.1
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCN1CCN(CCO)CC1,0.2253071284825347,H9_PZE,ester,T12_linoleyl,2,814.3
CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN(C)C,0.2243032408587177,H1_DMAEA,amide,T16_C11,2,538.9
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN(CC)CC,0.2241536926432889,H2_DEAEA,ester,T4_C12,2,597.0
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN1CCN(C)CC1,0.2232780833741109,H3_MPZ,ester,T4_C12,2,624.0
CCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCN(CC)CC,0.2220359498715854,H2_DEAEA,amide,T5_C14,2,651.1
