smiles,head,linker,tail,n_tails,mw,HeLa,lung,liver,spleen
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCN(C)C,H1_DMAEA,amide,T11_oleyl,2,731.3,0.6989138015541794,0.053315408959076216,0.027393196304561447,0.12265312563877293
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCN(C)C,H1_DMAEA,amide,T12_linoleyl,2,727.2,0.6939708061259002,0.05308127858651024,0.029258304764221532,0.1314616634476336
CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN(C)C,H1_DMAEA,amide,T13_C9,2,482.8,0.24290606347930122,0.14430374451467226,0.14532334734122643,0.4376333540080535
CCSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSCC)CCN(C)C,H1_DMAEA,amide,T14_thioC8,2,575.0,0.30419387802662917,0.1444980870688167,0.13893576391663415,0.4046096011576714
CCOCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCOCC)CCN(C)C,H1_DMAEA,amide,T15_OC8,2,542.9,-0.07561601808220342,-0.013003913674873946,-0.06733633415525404,0.2425247041121747
CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN(C)C,H1_DMAEA,amide,T16_C11,2,538.9,0.4615935692155858,0.13985517333457337,0.13101953432499494,0.34100222982237005
CCCCCCOC(=O)CCN(CCC(=O)OCCCCCC)CCN(CC)CC,H2_DEAEA,ester,T1_C6,2,428.7,-0.093447137146081,0.04101363466261658,-0.10329501000842956,0.23587981890472248
CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC)CCN(CC)CC,H2_DEAEA,ester,T2_C8,2,484.8,0.03241989807477502,0.08950644633878453,-0.04235191356193407,0.2735015667586926
CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN(CC)CC,H2_DEAEA,ester,T3_C10,2,540.9,0.31094147366479036,0.12481476662435101,0.023144313567966004,0.28312835396052444
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN(CC)CC,H2_DEAEA,ester,T4_C12,2,597.0,0.42760005740379814,0.12070089927506825,0.030837495214951337,0.20693890519473457
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN(CC)CC,H2_DEAEA,ester,T5_C14,2,653.1,0.44773198234760364,0.10457503458582021,0.017078675256026937,0.12556695263459977
CCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCN(CC)CC,H2_DEAEA,ester,T6_C16,2,709.2,0.41367203754778015,0.07471769109426886,-0.016351765251886946,0.04580359934090115
CCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CCN(CC)CC,H2_DEAEA,ester,T7_C18,2,765.3,0.37580809709844065,0.03286673075519718,-0.06240647223262533,-0.031200647062829108
CCN(CC)CCN(CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C,H2_DEAEA,ester,T10_C12i,2,625.0,0.40564291473472114,0.14367053381293443,0.08081239613871208,0.3049644344669293
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCN(CC)CC,H2_DEAEA,ester,T11_oleyl,2,761.3,0.6873709415753873,0.08692500132529374,-0.0016356463085057588,0.06381289962930117
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCN(CC)CC,H2_DEAEA,ester,T12_linoleyl,2,757.2,0.7807554414012371,0.07517787136069738,0.001467433248083863,0.06801091505085724
CCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCC)CCN(CC)CC,H2_DEAEA,ester,T13_C9,2,512.8,0.16398885184722167,0.12564420512434615,0.014656177238647344,0.3151464837160449
CCSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSCC)CCN(CC)CC,H2_DEAEA,ester,T14_thioC8,2,605.0,0.23326909903148793,0.1280465913665377,0.015100554313544243,0.29746496152080687
CCOCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCOCC)CCN(CC)CC,H2_DEAEA,ester,T15_OC8,2,572.9,-0.09987434644902413,-0.038628993723960656,-0.18803946967904742,0.10636927098113771
CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN(CC)CC,H2_DEAEA,ester,T16_C11,2,568.9,0.3951018325531127,0.12232225656670355,0.029695298870433217,0.24664244544320998
CCCCCCNC(=O)CCN(CCC(=O)NCCCCCC)CCN(CC)CC,H2_DEAEA,amide,T1_C6,2,426.7,-0.07472854459033808,0.11311344362384046,-0.05091087730396694,0.33645683229706547
CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC)CCN(CC)CC,H2_DEAEA,amide,T2_C8,2,482.8,0.005197290374123282,0.11002833428956316,-0.024976369374284678,0.32843243314783416
CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)CCN(CC)CC,H2_DEAEA,amide,T3_C10,2,538.9,0.5230372374228109,0.2228918828996866,0.1529423864706913,0.43041998300942674
CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CC)CC,H2_DEAEA,amide,T4_C12,2,595.0,0.6622740585253812,0.21031925465710777,0.1439237722789159,0.3411061781142922
CCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCN(CC)CC,H2_DEAEA,amide,T5_C14,2,651.1,0.6727890726637705,0.18870376989461052,0.11678420915604834,0.2586521303970476
CCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCN(CC)CC,H2_DEAEA,amide,T6_C16,2,707.2,0.6147710472982546,0.1564114682362587,0.08009715844000298,0.1715256387673037
CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCN(CC)CC,H2_DEAEA,amide,T7_C18,2,763.3,0.541008489069478,0.1139606438155945,0.03367965892403322,0.07996778895735561
CCN(CC)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C,H2_DEAEA,amide,T10_C12i,2,623.1,0.5039987714267455,0.22991636637202087,0.1744086142309822,0.4265776353852987
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCN(CC)CC,H2_DEAEA,amide,T11_oleyl,2,759.3,0.8593156306946963,0.16056356048561846,0.08537604854432268,0.17931087349124303
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCN(CC)CC,H2_DEAEA,amide,T12_linoleyl,2,755.3,0.7974677176054923,0.12969573416730662,0.04971730931639603,0.15242480346839674
CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN(CC)CC,H2_DEAEA,amide,T13_C9,2,510.9,0.37827679492136534,0.22133495836051864,0.14368255750055783,0.4715226166439158
CCSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSCC)CCN(CC)CC,H2_DEAEA,amide,T14_thioC8,2,603.0,0.4343951756847522,0.21595490361682307,0.1346877593000857,0.43546010344277
CCOCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCOCC)CCN(CC)CC,H2_DEAEA,amide,T15_OC8,2,570.9,-0.03562992735531627,0.016660619184608465,-0.10506022697638799,0.2121058393939192
CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN(CC)CC,H2_DEAEA,amide,T16_C11,2,567.0,0.6097663186728437,0.2199735021888868,0.15188049843007337,0.38607290162213165
CCCCCCOC(=O)CCN(CCC(=O)OCCCCCC)CCN1CCN(C)CC1,H3_MPZ,ester,T1_C6,2,455.7,-0.06394669355115831,-0.09591697175822866,-0.08993136159863632,0.11868675243405338
CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC)CCN1CCN(C)CC1,H3_MPZ,ester,T2_C8,2,511.8,0.01949513818685452,-0.04788958668858414,-0.04395954982491841,0.13082835214426564
CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN1CCN(C)CC1,H3_MPZ,ester,T3_C10,2,567.9,0.11506387517708283,-0.0186768225889039,-0.016044790519662573,0.1080754567532479
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN1CCN(C)CC1,H3_MPZ,ester,T4_C12,2,624.0,0.16326705731779492,-0.034083016880664646,-0.04276177325337886,0.037957524053382465
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN1CCN(C)CC1,H3_MPZ,ester,T5_C14,2,680.1,0.13927469972200052,-0.0555811686158182,-0.0833046245277341,-0.024987567388367958
CCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCN1CCN(C)CC1,H3_MPZ,ester,T6_C16,2,736.2,0.08476835677001604,-0.08717314410367885,-0.12780842157732383,-0.09027710919536953
CCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CCN1CCN(C)CC1,H3_MPZ,ester,T7_C18,2,792.3,0.038815113903465884,-0.12682871234525833,-0.17835701077127228,-0.15324195925411774
CC(C)CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC(C)C)CCN1CCN(C)CC1,H3_MPZ,ester,T10_C12i,2,652.1,0.23747120003106853,0.014223287196585338,0.05453123310593337,0.19472638149101398
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCN1CCN(C)CC1,H3_MPZ,ester,T11_oleyl,2,788.3,0.3078566072012709,-0.07017568760477462,-0.1271354098492135,-0.08467766781166676
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCN1CCN(C)CC1,H3_MPZ,ester,T12_linoleyl,2,784.3,0.38039399267590934,-0.06481193086700092,-0.11498395799437107,-0.07627360411443193
CCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCC)CCN1CCN(C)CC1,H3_MPZ,ester,T13_C9,2,539.8,0.07097384866549705,-0.01705186965617054,-0.017201766428048364,0.1383847478461815
CCSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSCC)CCN1CCN(C)CC1,H3_MPZ,ester,T14_thioC8,2,632.0,0.09857703366175137,-0.006272041382066681,-0.01509847136477883,0.1322134278242276
CCOCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCOCC)CCN1CCN(C)CC1,H3_MPZ,ester,T15_OC8,2,599.9,-0.062014683232116855,-0.12056848379984766,-0.13311039106819056,0.04708034794223448
CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN1CCN(C)CC1,H3_MPZ,ester,T16_C11,2,596.0,0.14904688933056548,-0.02442219781144308,-0.025433516915268694,0.07159708415371625
CCCCCCNC(=O)CCN(CCC(=O)NCCCCCC)CCN1CCN(C)CC1,H3_MPZ,amide,T1_C6,2,453.7,-0.17496626060305406,-0.051394986743435636,-0.06974586202070929,0.1881963723261222
CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC)CCN1CCN(C)CC1,H3_MPZ,amide,T2_C8,2,509.8,-0.10742190513548341,-0.03707498356888562,-0.034446903959120964,0.1744902062934018
CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)CCN1CCN(C)CC1,H3_MPZ,amide,T3_C10,2,565.9,0.09153778625768991,0.010552887845697134,0.030146730673832924,0.1820716271941841
CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN1CCN(C)CC1,H3_MPZ,amide,T4_C12,2,622.0,0.17409872281655203,0.0017228481908305587,0.006496431271924646,0.11423463390378559
CCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCN1CCN(C)CC1,H3_MPZ,amide,T5_C14,2,678.1,0.19581103047867865,-0.01629900691662638,-0.029419587291136157,0.046844589030608036
CCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCN1CCN(C)CC1,H3_MPZ,amide,T6_C16,2,734.3,0.15887332085130867,-0.04039100922455754,-0.07310683248924447,-0.01996928693316006
CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCN1CCN(C)CC1,H3_MPZ,amide,T7_C18,2,790.4,0.11828212657802568,-0.07457075350312739,-0.12268076404481379,-0.0852207936955555
CC(C)CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCN1CCN(C)CC1,H3_MPZ,amide,T10_C12i,2,650.1,0.20991104529370902,0.043781628619766415,0.09688313505182448,0.26724724723241144
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCN1CCN(C)CC1,H3_MPZ,amide,T11_oleyl,2,786.3,0.3562984160893555,-0.03664328194847392,-0.07865289608241481,-0.021943264533241878
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCN1CCN(C)CC1,H3_MPZ,amide,T12_linoleyl,2,782.3,0.3199587903796823,-0.03658468781985684,-0.07895566927992323,-0.012685150963784374
CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN1CCN(C)CC1,H3_MPZ,amide,T13_C9,2,537.9,0.032942937248736245,0.008882606728552516,0.028881429155072746,0.21052246582997375
CCSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSCC)CCN1CCN(C)CC1,H3_MPZ,amide,T14_thioC8,2,630.1,0.06461526233852861,0.019047604591525887,0.029267670210806028,0.20099296738052658
CCOCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCOCC)CCN1CCN(C)CC1,H3_MPZ,amide,T15_OC8,2,597.9,-0.09153645096673182,-0.09053666070776614,-0.09846398474343437,0.09921610161543835
CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN1CCN(C)CC1,H3_MPZ,amide,T16_C11,2,594.0,0.14122911247703024,0.007512177225525838,0.02233005591169534,0.14919148723042863
CCCCCCOC(=O)CCN(CCC(=O)OCCCCCC)CCN1CCN(CCC(=O)OCCCCCC)CC1,H4_AEPZ,ester,T1_C6,3,597.9,-0.09502321822536401,-0.0307463087379176,-0.1361370884808108,0.06633519964484653
CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCC)CC1,H4_AEPZ,ester,T2_C8,3,682.0,0.005852087332388964,0.008531094563013486,-0.10552138396360397,0.05974578821039439
CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCC)CC1,H4_AEPZ,ester,T3_C10,3,766.2,0.1820907942344502,0.020338061170460536,-0.10684769366835419,0.010500760932484398
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCCCC)CC1,H4_AEPZ,ester,T4_C12,3,850.4,0.21391547666341473,-0.01786282747309128,-0.1624511968188438,-0.08943351095123196
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCCCCCC)CC1,H4_AEPZ,ester,T5_C14,3,934.5,0.15755577517170927,-0.06808183359994832,-0.21897922112073007,-0.17938429956697827
CCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CC1,H4_AEPZ,ester,T6_C16,3,1018.7,0.07947468530355556,-0.13533790898845877,-0.28352912083263104,-0.2631572514835646
CCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CC1,H4_AEPZ,ester,T7_C18,3,1102.9,0.012336790176927414,-0.1973882179185747,-0.3465924115532775,-0.3324221133910127
CC(C)CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC(C)C)CCN1CCN(CCC(=O)OCCCCCCCCCCC(C)C)CC1,H4_AEPZ,ester,T10_C12i,3,892.4,0.31075652820369704,0.06178811401939861,0.0557884568311699,0.17472889121336022
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CC1,H4_AEPZ,ester,T11_oleyl,3,1096.8,0.377103322280233,-0.09835468867633815,-0.27043794616249156,-0.23351316517594878
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCN1CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CC1,H4_AEPZ,ester,T12_linoleyl,3,1090.8,0.5175845484846592,-0.08336677605565744,-0.289305966233966,-0.21456760221910884
CCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCC)CC1,H4_AEPZ,ester,T13_C9,3,724.1,0.09496038431125513,0.03400141476134911,-0.08794622076617106,0.06154261913111079
CCSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSCC)CCN1CCN(CCC(=O)OCCCCCCCCSCC)CC1,H4_AEPZ,ester,T14_thioC8,3,862.4,0.16735257273975115,0.03955322005847108,-0.08787783818911901,0.05210808432031118
CCOCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCOCC)CCN1CCN(CCC(=O)OCCCCCCCCOCC)CC1,H4_AEPZ,ester,T15_OC8,3,814.2,-0.08340237202247298,-0.10665431991974846,-0.25697633113127455,-0.08768487328076262
CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCCC)CC1,H4_AEPZ,ester,T16_C11,3,808.3,0.21832323165560621,0.0030603410183289853,-0.13387139863172973,-0.041279857338377066
CCCCCCNC(=O)CCN(CCC(=O)NCCCCCC)CCN1CCN(CCC(=O)NCCCCCC)CC1,H4_AEPZ,amide,T1_C6,3,594.9,-0.10357272364245436,0.08129148580218648,0.013079117034932086,0.23017551121566243
CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCC)CC1,H4_AEPZ,amide,T2_C8,3,679.1,-0.010669793320749027,0.0740387327965012,0.010900157034319879,0.17321992589940458
CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCC)CC1,H4_AEPZ,amide,T3_C10,3,763.3,0.37692439394064625,0.14135434706955752,0.08935606865018954,0.1782912302446222
CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCCC)CC1,H4_AEPZ,amide,T4_C12,3,847.4,0.4452908439129663,0.10881051155679233,-0.0010644840139011186,0.06011478337128849
CCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCCCCC)CC1,H4_AEPZ,amide,T5_C14,3,931.6,0.41321688092717873,0.047862887478039975,-0.08043093781160711,-0.04462929821253479
CCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CC1,H4_AEPZ,amide,T6_C16,3,1015.7,0.3375969014369965,-0.014494759628001022,-0.16066532630527453,-0.14244915953017395
CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CC1,H4_AEPZ,amide,T7_C18,3,1099.9,0.24642765947261963,-0.08185274806225465,-0.22916515948380475,-0.2250014095193383
CC(C)CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCN1CCN(CCC(=O)NCCCCCCCCCCC(C)C)CC1,H4_AEPZ,amide,T10_C12i,3,889.5,0.44443113031813253,0.16276862762814698,0.1927906351824912,0.32217976764717493
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CC1,H4_AEPZ,amide,T11_oleyl,3,1093.9,0.6058362164290741,0.005351510208543802,-0.15529468150311226,-0.11781081277533553
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCN1CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CC1,H4_AEPZ,amide,T12_linoleyl,3,1087.8,0.597599313759216,0.017459533507903156,-0.1741695381688493,-0.09830196971598112
CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCC)CC1,H4_AEPZ,amide,T13_C9,3,721.2,0.28253954542290627,0.15130600388519128,0.12303559444539051,0.24532890831076976
CCSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSCC)CCN1CCN(CCC(=O)NCCCCCCCCSCC)CC1,H4_AEPZ,amide,T14_thioC8,3,859.5,0.3227980363741224,0.15186606885864287,0.10663447549617207,0.2103735536912727
CCOCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCOCC)CCN1CCN(CCC(=O)NCCCCCCCCOCC)CC1,H4_AEPZ,amide,T15_OC8,3,811.3,-0.04406121274312622,-0.03554575113988158,-0.15177213820423602,0.012752479348699197
CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCC)CC1,H4_AEPZ,amide,T16_C11,3,805.3,0.4301946231112083,0.13054494009881792,0.04326932726584006,0.11733267511757603
CCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCC)CCC(=O)OCCCCCC)CCC(=O)OCCCCCC,H5_bAE,ester,T1_C6,4,729.1,-0.25681818446249655,-0.2586534143962558,-0.4456412436834186,-0.20844171036330322
