smiles,ens_mean,ens_std,head,linker,tail,n_tails,mw,lite_pred,ens_rank,lite_rank
CCCCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,0.7948037030596448,1.0110819534067577,H6_DAP,amide,T4_C12,4,1031.7,0.3228219107900104,25,36
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCN(CC)CC,0.7807554414012371,0.2712919519729033,H2_DEAEA,ester,T12_linoleyl,2,757.2,0.6591073748586126,26,7
CCCCCCCCCCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCCCCCC,0.7727082918324486,0.45330194843380556,H7_MePr,amide,T7_C18,3,1058.8,0.3050239006655886,27,52
CC(C)CCCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C,0.7686691289963287,0.4098847907114053,H7_MePr,ester,T10_C12i,3,851.4,0.2742779946233862,28,84
CCCCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC,0.7678277596410539,0.3181122543886665,H7_MePr,ester,T16_C11,3,767.2,0.2734935586417808,29,85
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCC(=O)NCCCCCCCC/C=C\CCCCCCCC,0.7643594425038345,0.9870650862915258,H6_DAP,amide,T11_oleyl,4,1360.3,0.4293791378820478,30,17
CCCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC,0.7639333257340049,0.35243937212264,H7_MePr,ester,T3_C10,3,725.2,0.270085312477519,31,88
CCCCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCCCC,0.7612664438331915,0.3557392523378004,H10_DMPDA,amide,T4_C12,2,581.0,0.1877846477224508,32,167
CCCCCCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCCCCCC,0.7606642671402121,0.34008765517344225,H10_DMPDA,amide,T5_C14,2,637.1,0.1987247537439327,33,156
CCCCCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC,0.741661913380521,0.2565168767548862,H7_MePr,ester,T4_C12,3,809.3,0.2776249214782362,34,80
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC,0.7388695772687248,0.656155219886602,H6_DAP,ester,T12_linoleyl,4,1356.2,0.7809369772415978,35,1
CCCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCCC,0.7222298572486491,0.3375919564324949,H10_DMPDA,amide,T16_C11,2,552.9,0.1822252744801909,36,174
CCSCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCSCC)CCC(=O)OCCCCCCCCSCC,0.7014220786897318,0.3673883460961717,H7_MePr,ester,T14_thioC8,3,821.4,0.2491894467399883,37,95
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCN(C)C,0.6989138015541794,0.43742676003289643,H1_DMAEA,amide,T11_oleyl,2,731.3,0.3367135029693593,38,25
CCCCCCCCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCCCCCCCC,0.6955243981451567,0.3113928792834687,H10_DMPDA,amide,T6_C16,2,693.2,0.2077841470332696,39,145
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCN(C)C,0.6939708061259002,0.46010864455281114,H1_DMAEA,amide,T12_linoleyl,2,727.2,0.652132618359309,40,8
CC(C)CCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCCC(C)C,0.6921641893494404,0.32412300833935004,H10_DMPDA,amide,T10_C12i,2,609.0,0.2008293420149549,41,154
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCN(CC)CC,0.6873709415753873,0.2583939350756521,H2_DEAEA,ester,T11_oleyl,2,761.3,0.3321009901001903,42,31
CCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCC)CCC(=O)OCCCCCCCCC,0.6750635814115331,0.3192572670645037,H7_MePr,ester,T13_C9,3,683.1,0.2651686933342486,43,90
CCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCN(CC)CC,0.6727890726637705,0.4271353232414565,H2_DEAEA,amide,T5_C14,2,651.1,0.2220359498715854,44,122
CCCCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCCCC,0.6719937023667973,0.1517065551331272,H10_DMPDA,ester,T4_C12,2,583.0,0.18830763434085,45,166
CC(C)CCCCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C,0.669820376448002,0.5303942954524635,H6_DAP,ester,T10_C12i,4,1091.8,0.3060574225375996,46,51
CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CC)CC,0.6622740585253812,0.4593771169918371,H2_DEAEA,amide,T4_C12,2,595.0,0.2125605638090341,47,138
CCCCCCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCCCCCC,0.6558437772360729,0.09435230127947652,H10_DMPDA,ester,T5_C14,2,639.1,0.1981255354757057,48,158
CCCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCCC,0.644889283511564,0.1878630267339931,H10_DMPDA,ester,T16_C11,2,554.9,0.1826078243524528,49,173
CC(C)CCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCCC(C)C,0.6436214543746164,0.23284975883997738,H10_DMPDA,ester,T10_C12i,2,611.0,0.200127978609478,50,155
CCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCC,0.6393575008293073,0.3074207755638166,H10_DMPDA,amide,T3_C10,2,524.9,0.1759351965575492,51,177
CCCCCCCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC,0.6388053716975483,0.17421802217530316,H7_MePr,ester,T5_C14,3,893.5,0.2844232201655057,52,76
CCCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCCC)CCC(=O)OCCCCCCCCC)CCC(=O)OCCCCCCCCC,0.6212555549966774,0.5676631158145272,H6_DAP,ester,T13_C9,4,867.4,0.3194866442720672,53,42
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCN(C)C,0.6184086324938727,0.383205613423508,H1_DMAEA,ester,T12_linoleyl,2,729.2,0.6364642310734643,54,10
CCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCN(CC)CC,0.6147710472982546,0.3476902031968326,H2_DEAEA,amide,T6_C16,2,707.2,0.2305868880176633,55,112
CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCCCCCCCCCC,0.6121729426205047,0.3187893069930306,H10_DMPDA,amide,T7_C18,2,749.3,0.2157926890805444,56,134
CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN(CC)CC,0.6097663186728437,0.4405619794546252,H2_DEAEA,amide,T16_C11,2,567.0,0.2073813527067299,57,146
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CC1,0.6058362164290741,0.5331375878869037,H4_AEPZ,amide,T11_oleyl,3,1093.9,0.4030953322223828,58,20
CCCCCCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCC,0.59782060382066,0.8664958207731878,H6_DAP,amide,T5_C14,4,1144.0,0.3289967037233853,59,33
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCN1CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CC1,0.597599313759216,0.499109994836893,H4_AEPZ,amide,T12_linoleyl,3,1087.8,0.7385926102512788,60,5
CCCCCCCCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCCCCCCCC,0.5948285012826169,0.17844035080100323,H10_DMPDA,ester,T6_C16,2,695.2,0.2078274484854008,61,144
CCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCC,0.5786027065434298,0.19170653376689192,H10_DMPDA,ester,T3_C10,2,526.8,0.1763912680767146,62,176
CCSCCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCCSCC)CCC(=O)OCCCCCCCCSCC)CCC(=O)OCCCCCCCCSCC,0.5742492185262311,0.5445671873607186,H6_DAP,ester,T14_thioC8,4,1051.7,0.2994850941482246,63,58
CCCCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC,0.5495640955780123,0.5544808001578222,H6_DAP,ester,T3_C10,4,923.5,0.3195210979308672,64,40
CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCN(CC)CC,0.541008489069478,0.2608576386008643,H2_DEAEA,amide,T7_C18,2,763.3,0.2386822526991672,65,105
CCSCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCSCC,0.5409167147972626,0.3112508727251786,H10_DMPDA,amide,T14_thioC8,2,589.0,0.1627307732278196,66,181
CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)CCN(CC)CC,0.5230372374228109,0.3964211959440548,H2_DEAEA,amide,T3_C10,2,538.9,0.2018503685761852,67,150
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCN1CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CC1,0.5175845484846592,0.2902888449332301,H4_AEPZ,ester,T12_linoleyl,3,1090.8,0.7393091643217963,68,4
CCCCCCCCCCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCCCCCCCCCC,0.5151675596416627,0.2868190858460674,H10_DMPDA,ester,T7_C18,2,751.3,0.2159052347695579,69,133
CCCCCCCCCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCC,0.5054850205112118,0.20156677079081264,H7_MePr,ester,T6_C16,3,977.6,0.2899166744177148,70,69
CCN(CC)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C,0.5039987714267455,0.42860057330324836,H2_DEAEA,amide,T10_C12i,2,623.1,0.219031479494382,71,128
CCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCC,0.5034045366273632,0.2548637602577731,H10_DMPDA,amide,T13_C9,2,496.8,0.1694707848792197,72,178
CCSCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCSCC,0.5016292910741277,0.21897359599098826,H10_DMPDA,ester,T14_thioC8,2,591.0,0.1615030833084476,73,182
CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(C)C,0.4999375388159176,0.23883680378883976,H1_DMAEA,amide,T4_C12,2,567.0,0.2287347987758649,74,114
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCN(C)C,0.49541822894101434,0.3359430836199162,H1_DMAEA,ester,T11_oleyl,2,733.2,0.3267722454311217,75,35
CC(C)CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCN(C)C,0.48292719612324697,0.2077103181527335,H1_DMAEA,amide,T10_C12i,2,595.0,0.2349613600894264,76,108
CCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCC)CCC(=O)NCCCCCCCC,0.48172665318886904,0.41418244451202013,H7_MePr,amide,T2_C8,3,638.0,0.2708886159389435,77,87
CCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCN(C)C,0.4742302817495375,0.22276668408145947,H1_DMAEA,amide,T5_C14,2,623.1,0.2378942277947701,78,106
CCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCC)CCC(=O)OCCCCCCCC,0.47214380186919697,0.342851453980498,H7_MePr,ester,T2_C8,3,641.0,0.2502378516550864,79,94
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCC(=O)OCCCCCCCC/C=C\CCCCCCCC,0.4690522845422606,0.5880056542038298,H6_DAP,ester,T11_oleyl,4,1364.3,0.4293546453150778,80,18
CCCCCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC,0.4627364242735837,0.5036413684844451,H6_DAP,ester,T16_C11,4,979.6,0.3202783459912428,81,38
CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN(C)C,0.4615935692155858,0.2160943458400574,H1_DMAEA,amide,T16_C11,2,538.9,0.2243032408587177,82,119
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN(CC)CC,0.44773198234760364,0.24005404511839606,H2_DEAEA,ester,T5_C14,2,653.1,0.2330296114103176,83,110
CCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCC,0.4462920747155762,0.14608910751048937,H10_DMPDA,ester,T13_C9,2,498.8,0.1692428956062815,84,179
CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCCC)CC1,0.4452908439129663,0.36217058495288806,H4_AEPZ,amide,T4_C12,3,847.4,0.2964459650309188,85,60
CC(C)CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCN1CCN(CCC(=O)NCCCCCCCCCCC(C)C)CC1,0.44443113031813253,0.30125504523516305,H4_AEPZ,amide,T10_C12i,3,889.5,0.2875183364783614,86,74
CCSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSCC)CCN(CC)CC,0.4343951756847522,0.37590788027817934,H2_DEAEA,amide,T14_thioC8,2,603.0,0.1883448712458965,87,165
CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCC)CC1,0.4301946231112083,0.3256061264289169,H4_AEPZ,amide,T16_C11,3,805.3,0.2923847692972064,88,66
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN(CC)CC,0.42760005740379814,0.263278890943315,H2_DEAEA,ester,T4_C12,2,597.0,0.2241536926432889,89,120
CCCCCCCCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCCCC,0.4229428099426221,0.7282211335641958,H6_DAP,amide,T6_C16,4,1256.2,0.3322545081036865,90,30
CCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCN(CC)CC,0.41367203754778015,0.24430085584563863,H2_DEAEA,ester,T6_C16,2,709.2,0.2409536453123471,91,102
CCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCCCCC)CC1,0.41321688092717873,0.3714626872320572,H4_AEPZ,amide,T5_C14,3,931.6,0.3020129848760246,92,56
CCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCN(C)C,0.4130387146028268,0.22486773799638285,H1_DMAEA,amide,T6_C16,2,679.2,0.2467024697320132,93,99
CCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCC)CCC(=O)OCCCCCCCC)CCC(=O)OCCCCCCCC,0.406878142725242,0.5647329086412831,H6_DAP,ester,T2_C8,4,811.2,0.3091303900697982,94,48
CCN(CC)CCN(CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C,0.40564291473472114,0.3131635339516631,H2_DEAEA,ester,T10_C12i,2,625.0,0.2273042834484385,95,115
CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN(CC)CC,0.3951018325531127,0.260497381352553,H2_DEAEA,ester,T16_C11,2,568.9,0.2186479921075949,96,129
CCCCCCCCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC,0.3818151003014401,0.45687655571757557,H6_DAP,ester,T4_C12,4,1035.7,0.3221749085783288,97,37
CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCN1CCN(C)CC1,0.38039399267590934,0.35749979005587074,H3_MPZ,ester,T12_linoleyl,2,784.3,0.6191161107318075,98,11
CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN(CC)CC,0.37827679492136534,0.33517687830689163,H2_DEAEA,amide,T13_C9,2,510.9,0.1952599783835362,99,160
CCCCCCCCCCCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCCCC,0.3772905382522539,0.27207760980997514,H7_MePr,ester,T7_C18,3,1061.8,0.2950098978596637,100,62
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CC1,0.377103322280233,0.23703810852413787,H4_AEPZ,ester,T11_oleyl,3,1096.8,0.403874553279442,101,19
CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCC)CC1,0.37692439394064625,0.2759470454508244,H4_AEPZ,amide,T3_C10,3,763.3,0.2881866964428194,102,73
CCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CCN(CC)CC,0.37580809709844065,0.26313405647762805,H2_DEAEA,ester,T7_C18,2,765.3,0.2476311950585078,103,97
CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)CCN(C)C,0.37508992571009203,0.18534967888029516,H1_DMAEA,amide,T3_C10,2,510.9,0.2193306931145552,104,127
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCN1CCN(C)CC1,0.3562984160893555,0.4795643764946259,H3_MPZ,amide,T11_oleyl,2,786.3,0.3195061855904512,105,41
CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCN(C)C,0.34105866323784484,0.2654588469648156,H1_DMAEA,amide,T7_C18,2,735.3,0.2527868657570317,106,93
CC(C)CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC(C)C)CCN(C)C,0.33888368700668636,0.09748493195909383,H1_DMAEA,ester,T10_C12i,2,597.0,0.2261773909891865,107,116
CCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CC1,0.3375969014369965,0.3185832253810526,H4_AEPZ,amide,T6_C16,3,1015.7,0.3078550480449516,108,49
