record_id,use_or_organism,product_name,manufacturer,submission_no,pathway,status_note,fda_link
NAT011,B-cell chronic lymphocytic leukemia,CEP 12 SpectrumOrange Direct Labeled Chromosome Enumeration DNA Probe,Vysis,K962873,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K962873
NAT012,Bladder Cancer,Vysis UroVysion Bladder Cancer Recurrence Kit,Vysis,K011031; K013785; K033982,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K011031
NAT013,Breast Cancer,23andMe PGS Genetic Health Risk Report for BRCA1/BRCA2 (Selected Variants),23andMe,DEN170046,De Novo,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170046
NAT014,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K130010
NAT015,Breast Cancer,MammaPrint,Agendia BV,K062694; K070675; K080252; K081092; K101454,510(k); 历史K号：路径待核对,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K062694
NAT016,Breast Cancer,MammaPrint FFPE NGS Kit,"Agendia, Inc.",K210973,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210973
NAT017,Breast Cancer,INFORM HER2 Dual ISH DNA Probe Cocktail,"Ventana Medical Systems, Inc.",P100027,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P100027
NAT018,Breast Cancer,HER2 CISH pharmDxTM Kit,Dako Denmark A/S,P100024,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P100024
NAT019,Breast Cancer,HER2 Dual ISH DNA Probe Cocktail,"Ventana Medical Systems, Inc.",P190031,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P190031
NAT020,Breast Cancer,GeneSearch Breast Lymph Node (BLN) Test Kit,"Veridex, LLC.",P060017,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P060017
NAT021,Breast Cancer,Dako TOP2A FISH PharmDx Kit,Dako Denmark A/S,P050045,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P050045
NAT022,Breast Cancer,HER2 IQFISH PHARMDX,DAKO DENMARK A/S,P040005,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P040005
NAT023,Breast Cancer,INSITE HER-2/NEU KIT,"BIOGENEX LABORATORIES, INC.",P040030,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P040030
NAT024,Breast Cancer,SPOT-LIGHT HER2 CISH KIT,INVITROGEN CORPORATION,P050040,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P050040
NAT025,Breast Cancer,INFORM HER-2/NEU,"VENTANA MEDICAL SYSTEMS, INC.",P940004,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P940004
NAT026,Breast Cancer,DAKO HERCEPTEST,DAKO A/S,P980018,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P980018
NAT027,Breast Cancer,PATH VYSION HER-2 DNA PROBE KIT,"ABBOTT MOLECULAR, INC.",P980024,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P980024
NAT028,Breast Cancer,DakoCytomation Her2 FISH pharmDx™ Kit,DakoCytomation Denmark A/S,P040005,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P040005
NAT029,Breast Cancer,Therascreen PIK3CA RGQ PCR Kit,QIAGEN GMBH,P190001,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P190001
NAT030,Breast Cancer,Therascreen PIK3CA RGQ PCR Kit,QIAGEN GMBH,P190004,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P190004
NAT031,Cell-free DNA blood collection device,Cell-Free DNA BCT,"Streck, Inc.",DEN200001,De Novo,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN200001
NAT032,Chromosome abnormalities,Affymetrix CytoScan Dx Assay,"Affymetrix, Inc.",K130313,历史K号：路径待核对,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K130313
NAT033,Chromosome abnormalities,AneuVysion,Vysis,K010288; K972200,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K010288
NAT034,Chromosome abnormalities,CYTOSCAN(R) DX,"Affymetrix, Inc.",DEN130018,De Novo,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN130018
NAT035,Chromosome abnormalities,GenetiSure Dx Postnatal Assay,"Agilent Technologies, Inc.",K163367,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K163367
NAT036,Chromosome abnormalities,CEP 8 Spectrumorange DNA Probe Kit,Vysis,K953591,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K953591
NAT037,Chromosome abnormalities,CEP X SpectrumOrange/ Y SpectrumGreen DNA Probe Kit,Vysis,K954214,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K954214
NAT038,Chronic Myeloid Leukemia,Quantidex qPCR BCR-ABL IS Kit,"ASURAGEN, INC.",DEN160003,De Novo,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN160003
NAT039,Chronic Myeloid Leukemia,"Xpert BCR-ABL Ultra, GeneXpert Dx System, GeneXpert Infinity-48s And GeneXpert Infinity-80 Systems",Cepheid,K190076,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K190076
NAT040,Chronic Myeloid Leukemia,QXDx BCR-ABL %IS Kit For Use On The QXDx AutoDG DdPCR System,"Bio-Rad Laboratories, Inc.",K181661,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K181661
NAT041,Chronic Myeloid Leukemia,"MRDx BCR-ABL Test, MRDx BCR-ABL Test Software",MolecularMD Corporation,K173492,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K173492
NAT042,Coagulation Factors,Invader Factor V,"Hologic, Inc.",K100980,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K100980
NAT043,Coagulation Factors,Invader Factor II,"Hologic, Inc.",K100943,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K100943
NAT044,Coagulation Factors,Illumina VeraCode Genotyping Test for Factor V and Factor II,"Illumina, Inc.",K093129,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K093129
NAT045,Coagulation Factors,"eSensor Thrombophilia Risk Test, eSensor FII-FV Genotyping Test, eSensor Fll Genotyping Test, eSensor FV Genotyping Test, eSensor MTHFR Genotyping Test",Osmetech Molecular Diagnostics,K093974,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K093974
NAT046,Coagulation Factors,Xpert HemosIL FII & FV,Cepheid,K082118,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K082118
NAT047,Coagulation Factors,Verigene F5 Nucleic Acid Test Verigene F2 Nucleic Acid Test Verigene MTHFR Nucleic Acid Test,"Nanosphere, Inc.",K070597,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K070597
NAT048,Coagulation Factors,INFINITI System,"Autogenomics, Inc.",K060564,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K060564
NAT049,Coagulation Factors,Factor II (Prothrombin) G20210A Kit,Roche Diagnostics Corporation,K033612,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K033612
NAT050,Coagulation Factors,Factor V leiden Kit,Roche Diagnostics Corporation,K033607,历史K号：路径待核对,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K033607
NAT051,Coagulation Factors,Invader MTHFR 677,"Hologic, Inc.",K100987,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K100987
NAT052,Coagulation Factors,Invader MTHFR 1298,"Hologic, Inc.",K100496,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K100496
NAT053,"COAGULATION, LATE-ONSET ALHEIMER'S DISEASE, PARKINSON'S DISEASE, CELIAC DISEASE, ALPHA-1 ANTITRYPSIN DEFICIENCY, EARLY-ONSET PRIMARY DYSTONIA, FACTOR IX DEFICIENCY, GAUCHER DISEASE TYPE 1, GLUCOSE-6-PHOPHATE DEHYDROGENASE DEFICIENCY, HERDITARY HEMOCHROMATOSIS, HEREDITARY THROMBOPHILIA",PERSONAL GENOME SERVICE (PGS) GENETIC HEALTH RISK TEST FOR HEREDITARY THROMBOPHILIA,23andME,DEN160026,De Novo,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN160026
NAT054,Health Risk Assessment System,AncestryDNA Factor V Leiden Genetic Health Risk Test,"Ancestry Genomics, Inc.",K192944,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192944
NAT055,Colorectal Cancer,ColoSense,"Geneoscopy, Inc.",P230001,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P230001
NAT056,Colorectal Cancer,Cologuard,Exact Sciences Corporation,P130017,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P130017
NAT057,Colorectal Cancer,Therascreen KRAS RGQ PCR Kit,QIAGEN MANCHESTER LTD,P110027; P110030,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P110027
NAT058,Colorectal Cancer,Therascreen BRAF V600E RGQ PCR Kit,QIAGEN MANCHESTER LTD,P190026,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P190026
NAT059,Colorectal Cancer,Epi ProColon®,Epigenomics AG,P130001,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P130001
NAT060,Colorectal Cancer,Cobas KRAS MUTATION TEST,"Roche Molecular Systems, Inc.",P140023,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P140023
NAT061,Colorectal Cancer,Praxis Extended RAS Panel,"Illumina, Inc.",P160038,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P160038
NAT062,Colorectal Cancer,"VENTANA ANTI-MLH-1(M1) MOUSE MONOCLONAL PRIMARY ANTIBODY, VENTANA ANTI-PMS2 (A16-4) MOUSE MONOCLONAL PRIMARY ANTIBODY, VENTANA ANTI-MSH2 (G219-1129) MOUSE MONOCLONAL PRIMARY ANTIBODY, VENTANA ANTI-MSH6 (SP 93) MOUSE MONOCLONAL PRIMARY ANTIBODY, VENTANA ANTI-BRAF V600E (VE1) MOUSE MONOCLONAL PRIMARY ANTIBODY",Ventana Medical Systems,DEN170030,De Novo,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170030
NAT063,Colorectal Cancer,Shield,"Guardant Health, Inc.",P230009,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P230009
NAT064,Colorectal Cancer Predisposition,MUTYH-Associated Polyposis (MAP),23andMe,K182784,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182784
NAT065,Cystic Fibrosis,Illumina MiSeqDx Cystic Fibrosis Clinical Sequencing Assay,"Illumina, Inc",K132750,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K132750
NAT066,Cystic Fibrosis,Illumina MiSeqDx Cystic Fibrosis 139-Variant Assay,"Illumina, Inc",K124006,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K124006
NAT067,Cystic Fibrosis,"xTAG Cystic Fibrosis 60 Kit v2, xTAG Data Analysis Software (TDAS) CFTR","Luminex Molecular Diagnostics, Inc.",K163336,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K163336
NAT068,Cystic Fibrosis,xTAG Cystic Fibrosis 39 Kit v2,"Luminex Molecular Diagnostics, Inc.",K163347,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K163347
NAT069,Cystic Fibrosis,eSensor CF Genotyping Test,Osmetech Molecular Diagnostics,K090901,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K090901
NAT070,Cystic Fibrosis,xTAG Cystic Fibrosis 60 Kit v2,Luminex Molecular Diagnostics Inc.,K083845,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K083845
NAT071,Cystic Fibrosis,xTAG Cystic Fibrosis 39 Kit v2,Luminex Molecular Diagnostics Inc.,K083846,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K083846
NAT072,Cystic Fibrosis,Verigene CFTR and Verigene CFTR PolyT Nucleic Acid Tests,"Nanosphere, Inc",K083294,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K083294
NAT073,Cystic Fibrosis,InPlex CF Molecular Test,"Third Wave Technology, Inc.",K063787,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K063787
NAT074,Cystic Fibrosis,Cystic Fibrosis Genotyping Assay,Celera Diagnostics,K062028,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K062028
NAT075,Cystic Fibrosis,Tag-It Cystic Fibrosis Kit,Tm Bioscience Corporation,K043011; K060627,510(k); 历史K号：路径待核对,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K043011
NAT076,Cystic Fibrosis,eSensor Cystic Fibrosis Carrier Detection System,"Clinical Micro Sensors, Inc.",K051435; K060543,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K051435
NAT077,Drug Metabolizing enzymes,xTAG CYP2D6 Kit v3,"Luminex Molecular Diagnostics, Inc.",K093420; K130189,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K093420
NAT078,Drug Metabolizing enzymes,xTAG CYP2D6 Kit v3,"Luminex Molecular Diagnostics, Inc.",K130189; K131565,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K130189
NAT079,Drug Metabolizing enzymes,Spartan RX CYP2C19 Test System,Akonni Biosystems Inc.,K183530,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183530
NAT080,Drug Metabolizing enzymes,TruDiagnosis System,Akonni Biosystems Inc,K183530,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183530
NAT081,Drug Metabolizing enzymes,Verigene CYP2C 19 Nucleic Acid Test,"Nanosphere, Inc.",K120466,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K120466
NAT082,Drug Metabolizing enzymes,INFINITI CYP2C19 Assay,"AutoGenomics, Inc.",K101683,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K101683
NAT083,Drug Metabolizing enzymes,Invader UGT1A1 Molecular Assay,Third Wave Technologies Inc.,K051824,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K051824
NAT084,Drug Metabolizing enzymes,Roche AmpliChip CYP450 microarray,"Roche Molecular Systems, Inc.",K042259; K043576,510(k); 历史K号：路径待核对,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K042259
NAT085,Drug Metabolizing enzymes,eSensor Warfarin Sensitivity Saliva Test,GenMark Diagnostics,K110786,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K110786
NAT086,Drug Metabolizing enzymes,eQ-PCR LC Warfarin Genotyping kit,TrimGen Corporation,K073071,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K073071
NAT087,Drug Metabolizing enzymes,eSensor Warfarin Sensitivity Test and XT-8 Instrument,Osmetech Molecular Diagnostics,K073720,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K073720
NAT088,Drug Metabolizing enzymes,Gentris Rapid Genotyping Assay - CYP2C9 & VKORCI,"ParagonDx, LLC",K071867,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K071867
NAT089,Drug Metabolizing enzymes,INFINITI 2C9 & VKORC1 Assay for Warfarin,"AutoGenomics, Inc.",K073014,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K073014
NAT090,Drug Metabolizing enzymes,Verigene Warfarin Metabolism Nucleic Acid Test and Verigene System,"Nanosphere, Inc.",K070804,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K070804
NAT091,Endometrial Cancer,VENTANA MMR RxDx Panel,"Ventana Medical Systems, Inc.",P200019,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P200019
NAT092,Follicular Lymphoma (Somatic Gene Mutation Detection System),Cobas EZH2 Mutation Test,"Roche Molecular System, Inc.",P200014,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P200014
NAT093,Fragile X,AmplideX Fragile X Dx & Carrier Screen Kit,"Asuragen, Inc",DEN190023,De Novo,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN190023
NAT094,Heart Transplant,AlloMap Molecular Expression Testing,xDx,K073482,历史K号：路径待核对,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K073482
NAT095,Hematologic Malignancies,"MLL (KMT2A) BREAKAPART FISH PROBE KIT; AML1 (RUNX1) BREAKAPART FISH PROBE KIT, P53 (TP53) DELETION FISH PROBE KIT; EVI1 (MECOM) BREAKAPART FISH PROBE KIT, DEL(20Q) DELETION FISH PROBE KIT; AML1/ETO (RUNX1/RUNXIT1)) TRANSLOCATION, DUAL FUSI, CBFB (CBFB) /MYH11 TRANSLOCATION, DUAL FUSION FISH PROBE KIT, DEL(5Q)DELETION FISH PROBE KIT; DEL(7Q)DELETION FISH PROBE KIT",CYTOCELL LTD,DEN170070,De Novo,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170070
NAT096,Hematologic Malignancies,Adaptive Biotechnologies ClonoSEQ Assay,Adaptive Biotechnologies Corporation,K200009,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200009
NAT097,HEREDITARY THROMBOPHILIA,IMPACT DX FACTOR V LEIDEN AND FACTOR II GENOTYPING TEST,"SEQUENOM, INC./AGENA Bioscience",K132978,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K132978
NAT098,Lung and Colon Cancer Assay,ONCO/Reveal Dx Lung & Colon Cancer Assay,"Pillar Biosciences, Inc.",P200011,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P200011
NAT099,Lynch Syndrome Test System,OncoMate MSI Dx Analysis System,Promega Corporation,K200129,510(k),用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200129
NAT100,Melanoma,"Roche cobas DNA Sample Preparation Kit, COBAS 4800 BRAF V600 MUTATION TEST","Roche Molecular Systems, Inc.",P110020,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P110020
NAT101,Melanoma,THXID-BRAF KIT,"BioMerieux, Inc.",P120014,PMA,用途或微生物名称；不是已拆解基因表,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P120014
