marker_id,category_cn,label,tier,n_510k,n_denovo,n_pma,link_status,ex_510k,ex_denovo,ex_pma,clia_analyte_id,n_clia,clia_doc_examples,notes,official_link,source
M0011,临床生化,3-Methylhistidine,分析物／抗原／病原体标签,2,0,0,已关联历史获准记录（目录／数据库级）,K925093; K943978,,,553,2,K925093; K943978,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K925093,catalog_v1
M0012,临床生化,5'Nucleotidase,分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,707,41,CDC000006; CDC000031; CDC000052; CDC000071; CDC000075,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0013,内分泌与生殖,"5-Hydroxyindolacetic acid, urine (5-HIAA)",分析物／抗原／病原体标签,2,0,0,已关联历史获准记录（目录／数据库级）,K934977; K952817,,,46,5,CDC000006; K934977; K952817; X030026,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K934977,catalog_v1
M0014,毒理与治疗药物监测,6-Acetylmorphine,分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,1086,193,CR140294; CR170468; CR170580; CR180021; CR180059,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0015,输血与免疫血液学,"ABH secretor status, saliva",分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,728,7,CDC000019; CDC000029; CDC000083; CDC000115,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0016,输血与免疫血液学,ABO group - determination of A and B antigens,抗体／免疫反应性,0,0,0,仅CLIA记录：三路径待核实,,,,1160,10,CR190634; CR200230; CR200556; CR210095; CR210322,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0017,输血与免疫血液学,"ABO group - determination of A, B, D antigens",抗体／免疫反应性,0,0,0,仅CLIA记录：三路径待核实,,,,1161,9,CR190634; CR200230; CR200556; CR210095,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0018,输血与免疫血液学,ABO group - RBC,分析物／抗原／病原体标签,2,0,0,已关联历史获准记录（目录／数据库级）,K790282; K900355,,,38,91,BK030023; BK040013; BK040070; BK070016; BK100001,路线为空表示本次未建立直接关联，不表示没有获准产品。 含CBER编号，需单独核实。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K790282,catalog_v1
M0019,输血与免疫血液学,"ABO group confirmation - serum, plasma",分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,39,25,BK030023; BK040013; BK040070; BK070016; BK100001,路线为空表示本次未建立直接关联，不表示没有获准产品。 含CBER编号，需单独核实。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0020,输血与免疫血液学,ABO reverse typing,遗传／核酸／分型,0,0,0,仅CLIA记录：三路径待核实,,,,1120,9,CR180687; CR180805; CR190142; CR210202,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0021,输血与免疫血液学,ABO/Rh type,分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,1115,23,CR180687; CR180723; CR180810; CR180914; CR190142,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0022,输血与免疫血液学,ABO/Rh type + K,分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,1132,9,CR180723; CR180810; CR180914; CR190509; CR190634,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0023,输血与免疫血液学,ABO/Rh Type - forward and reverse grouping,分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,1159,7,CR190634; CR190745; CR200230; CR200556; CR210006,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0024,寄生虫,Acanthamoeba,分析物／抗原／病原体标签,1,0,0,已关联历史获准记录（目录／数据库级）,K960090,,,661,1,K960090,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K960090,catalog_v1
M0025,毒理与治疗药物监测,Acetaminophen,分析物／抗原／病原体标签,40,0,0,已关联历史获准记录（目录／数据库级）,K000494; K002974; K010061,,,106,227,CDC000006; CDC000016; CDC000031; CDC000052; CDC000055,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K000494,catalog_v1
M0026,临床生化,Acetoacetate,分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,814,1,CDC000231,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0027,毒理与治疗药物监测,Acetylcholine/choline,分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,743,5,CDC000045; CDC000201,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0028,临床生化,Acid phosphatase,分析物／抗原／病原体标签,30,0,0,已关联历史获准记录（目录／数据库级）,K010061; K023840; K042475,,,183,167,CDC000006; CDC000023; CDC000030; CDC000031; CDC000035,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K010061,catalog_v1
M0029,临床生化,Acid-sphingomyelinase (ASM),分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,1106,2,CR170666; CR190041,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0030,血液学与凝血,Activated clotting time (ACT),功能／计数／检测对象组,20,0,0,已关联历史获准记录（目录／数据库级）,K001387; K013078; K020798,,,181,45,CDC000131; CDC000147; CDC000185; CDC000220; CDC000245,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K001387,catalog_v1
M0031,血液学与凝血,Activated factor XII (FXIIa),分析物／抗原／病原体标签,1,0,0,已关联历史获准记录（目录／数据库级）,K980885,,,684,1,K980885,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K980885,catalog_v1
M0032,血液学与凝血,Activated partial thromboplastin time (APTT),功能／计数／检测对象组,77,0,0,已关联历史获准记录（目录／数据库级）,K000053; K014008; K014028,,,228,301,CDC000028; CDC000032; CDC000038; CDC000052; CDC000071,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K000053,catalog_v1
M0033,血液学与凝血,Activated plasma clotting time (APCT),功能／计数／检测对象组,1,0,0,已关联历史获准记录（目录／数据库级）,K926012,,,592,1,K926012,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K926012,catalog_v1
M0034,血液学与凝血,Activated protein C (APC) resistance,分析物／抗原／病原体标签,15,0,0,已关联历史获准记录（目录／数据库级）,K000053; K002080; K041438,,,231,34,CR160007; CR170161; CR230694; CR240022; K000053,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K000053,catalog_v1
M0035,临床生化,Acute kidney injury test,分析物／抗原／病原体标签,0,1,0,已关联历史获准记录（目录／数据库级）,,DEN130031,,1022,4,CR210105; CR230099; CR230547; K131650,路线为空表示本次未建立直接关联，不表示没有获准产品。 De Novo依据见目录映射表；未回填panel内部成员。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN130031,catalog_v1
M0036,临床生化,Acylcarnitines,分析物／抗原／病原体标签,2,0,0,已关联历史获准记录（目录／数据库级）,K083130; K093916,,,944,6,CR170626; CR190676; K031878; K083130; K093916,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K083130,catalog_v1
M0037,毒理与治疗药物监测,Adalimumab,分析物／抗原／病原体标签,0,1,0,已关联历史获准记录（目录／数据库级）,,DEN220023,,1259,1,CR220125,路线为空表示本次未建立直接关联，不表示没有获准产品。 De Novo依据见目录映射表；未回填panel内部成员。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN220023,catalog_v1
M0038,血液学与凝血,ADAMTS13,分析物／抗原／病原体标签,0,1,0,已关联历史获准记录（目录／数据库级）,,DEN230024,,1263,1,CR230177,路线为空表示本次未建立直接关联，不表示没有获准产品。 De Novo依据见目录映射表；未回填panel内部成员。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN230024,catalog_v1
M0039,免疫与自身免疫,Adenine triphosphate (ATP),分析物／抗原／病原体标签,1,0,0,已关联历史获准记录（目录／数据库级）,K013169,,,381,1,K013169,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K013169,catalog_v1
M0040,免疫与自身免疫,Adeno-associated virus (AAV) antibodies,抗体／免疫反应性,0,0,0,仅CLIA记录：三路径待核实,,,,1249,3,CR190780; CR230435; CR250039,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0041,临床生化,Adenosine (ADO),分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,1110,2,CR170626; CR190676,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0042,内分泌与生殖,"Adenosine monophosphate, cyclic (cAMP)",分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,764,1,CDC000098,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0043,病毒,Adenovirus,分析物／抗原／病原体标签,9,0,0,已关联历史获准记录（目录／数据库级）,K052092; K093415; K102952,,,546,37,CDC000020; CDC000061; CDC000120; CDC000290; CDC000388,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K052092,catalog_v1
M0044,免疫与自身免疫,Adenovirus antibodies,抗体／免疫反应性,0,0,0,仅CLIA记录：三路径待核实,,,,737,1,CDC000036,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0045,内分泌与生殖,Adrenocorticotropic hormone (ACTH),分析物／抗原／病原体标签,12,0,0,已关联历史获准记录（目录／数据库级）,K002638; K021032; K022603,,,279,36,CDC000090; CDC000091; CDC000141; CDC000197; CR170224,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K002638,catalog_v1
M0046,细菌与耐药,Aerobic &/or anaerobic organisms-unlimited sources,功能／计数／检测对象组,44,0,0,已关联历史获准记录（目录／数据库级）,K001516; K001887; K001953,,,65,127,BK040031; CDC000006; CDC000020; CDC000030; CDC000032,路线为空表示本次未建立直接关联，不表示没有获准产品。 含CBER编号，需单独核实。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K001516,catalog_v1
M0047,细菌与耐药,Aerobic and facultative anaerobic organisms from platelets,功能／计数／检测对象组,0,0,0,仅CLIA记录：三路径待核实,,,,920,5,BK070004; BK070044; CR180291; CR200251,路线为空表示本次未建立直接关联，不表示没有获准产品。 含CBER编号，需单独核实。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0048,细菌与耐药,Aerobic organisms from anterior nares specimens only,功能／计数／检测对象组,0,0,0,仅CLIA记录：三路径待核实,,,,1224,2,CR200172; CR210402,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0049,细菌与耐药,Aerobic organisms from salivary specimens only,功能／计数／检测对象组,1,0,0,已关联历史获准记录（目录／数据库级）,K851164,,,517,1,K851164,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K851164,catalog_v1
M0050,细菌与耐药,Aerobic organisms from throat specimens only,功能／计数／检测对象组,0,0,0,仅CLIA记录：三路径待核实,,,,824,4,CDC000265,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0051,细菌与耐药,Aerobic organisms from urine specimens only,功能／计数／检测对象组,3,0,0,已关联历史获准记录（目录／数据库级）,K000718; K921045; K972676,,,142,54,A000004; CDC000008; CDC000020; CDC000039; CDC000076,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K000718,catalog_v1
M0052,细菌与耐药,Aerobic/anaerobic organ.-other than ureth/endocerv,分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,789,1,CDC000131,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0053,细菌与耐药,Aerobic/anaerobic organisms - endocervical,功能／计数／检测对象组,0,0,0,仅CLIA记录：三路径待核实,,,,778,1,CDC000131,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0054,细菌与耐药,Aerobic/anaerobic organisms - urethral,功能／计数／检测对象组,0,0,0,仅CLIA记录：三路径待核实,,,,779,1,CDC000131,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0055,细菌与耐药,Aerobic/anaerobic organisms - vaginal,功能／计数／检测对象组,2,0,0,已关联历史获准记录（目录／数据库级）,K050755; K993732,,,257,4,K050755; K993732,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K050755,catalog_v1
M0056,细菌与耐药,Aerobic/anaerobic organisms and associated resistance markers,组合／谱／比值：成员待展开,2,0,0,已关联历史获准记录（目录／数据库级）,K130914; K132843,,,1009,17,CR140429; CR160061; CR160460; CR180293; CR180425,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K130914,catalog_v1
M0057,细菌与耐药,Aerobic/anaerobic organisms from blood culture,功能／计数／检测对象组,7,0,0,已关联历史获准记录（目录／数据库级）,K083572; K113558; K120994,,,994,32,CR140265; CR150007; CR150347; CR160242; CR160369,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K083572,catalog_v1
M0058,免疫与自身免疫,AFP-L3%,分析物／抗原／病原体标签,1,1,0,已关联历史获准记录（目录／数据库级）,K100464,DEN050002,,840,3,CR210369; K041847; K100464,路线为空表示本次未建立直接关联，不表示没有获准产品。 De Novo依据见目录映射表；未回填panel内部成员。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K100464,catalog_v1
M0059,临床生化,Alanine,分析物／抗原／病原体标签,5,0,0,已关联历史获准记录（目录／数据库级）,K003721; K083130; K093916,,,843,9,CR170626; CR190676; K003721; K031878; K083130,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K003721,catalog_v1
M0060,临床生化,Alanine aminotransferase (ALT) (SGPT),分析物／抗原／病原体标签,81,0,0,已关联历史获准记录（目录／数据库级）,K010061; K010864; K010877,,,12,457,CDC000006; CDC000016; CDC000023; CDC000030; CDC000031,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K010061,catalog_v1
M0061,临床生化,Albumin,分析物／抗原／病原体标签,107,0,0,已关联历史获准记录（目录／数据库级）,K000483; K003327; K010061,,,5,491,CDC000006; CDC000016; CDC000023; CDC000030; CDC000031,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K000483,catalog_v1
M0062,临床生化,"Albumin, glycated",分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,804,3,CDC000149; CR170024; CR180839,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0063,临床生化,"Albumin, urinary",分析物／抗原／病原体标签,7,0,0,已关联历史获准记录（目录／数据库级）,K002674; K011843; K022538,,,281,62,CR140308; CR170349; CR180230; CR180515; CR180570,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K002674,catalog_v1
M0064,临床生化,Albumin/globulin (A/G) ratio,组合／谱／比值：成员待展开,1,0,0,已关联历史获准记录（目录／数据库级）,K980055,,,682,1,K980055,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K980055,catalog_v1
M0065,毒理与治疗药物监测,"Alcohol, saliva",分析物／抗原／病原体标签,5,0,0,已关联历史获准记录（目录／数据库级）,K093879; K121247; K121256,,,252,8,CR250105; K093879; K121247; K121256; K894001,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K093879,catalog_v1
M0066,临床生化,Aldolase,分析物／抗原／病原体标签,1,0,0,已关联历史获准记录（目录／数据库级）,K942364,,,623,12,CDC000033; CDC000052; CDC000231; CDC000246; CDC000407,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K942364,catalog_v1
M0067,内分泌与生殖,Aldosterone,分析物／抗原／病原体标签,4,0,0,已关联历史获准记录（目录／数据库级）,K032188; K050784; K130321,,,467,12,CDC000090; CR140418; CR220412; CR260395; CR260396,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K032188,catalog_v1
M0068,临床生化,Alkaline phosphatase (ALP),分析物／抗原／病原体标签,105,0,0,已关联历史获准记录（目录／数据库级）,K002285; K003093; K003721,,,164,437,CDC000006; CDC000016; CDC000023; CDC000030; CDC000031,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K002285,catalog_v1
M0069,临床生化,Alkaline phosphatase bone specific (BAP),分析物／抗原／病原体标签,10,0,0,已关联历史获准记录（目录／数据库级）,K023049; K023764; K042291,,,355,24,CR200120; CR230571; CR250316; CR260395; CR260396,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K023049,catalog_v1
M0070,临床生化,Alkaline phosphatase isoenzymes,分析物／抗原／病原体标签,4,0,0,已关联历史获准记录（目录／数据库级）,K011113; K020625; K033185,,,350,11,CDC000031; CDC000123; CDC000149; K011113; K020625,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K011113,catalog_v1
M0071,免疫与自身免疫,Allergen specific IgE,抗体／免疫反应性,65,0,0,已关联历史获准记录（目录／数据库级）,K000132; K013134; K013135,,,99,299,CDC000002; CDC000044; CDC000071; CDC000087; CDC000090,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K000132,catalog_v1
M0072,免疫与自身免疫,Allergen specific IgE and/or mixed allergen panel IgE,组合／谱／比值：成员待展开,5,0,0,已关联历史获准记录（目录／数据库级）,K013135; K021206; K022603,,,392,5,K013135; K021206; K022603; K051677; K970227,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K013135,catalog_v1
M0073,免疫与自身免疫,Allergen specific IgG,抗体／免疫反应性,0,0,0,仅CLIA记录：三路径待核实,,,,742,3,CDC000044; CDC000210,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0074,细菌与耐药,Alpha defensin,分析物／抗原／病原体标签,0,1,0,已关联历史获准记录（目录／数据库级）,,DEN180032,,1190,1,CR180439,路线为空表示本次未建立直接关联，不表示没有获准产品。 De Novo依据见目录映射表；未回填panel内部成员。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN180032,catalog_v1
M0075,免疫与自身免疫,Alpha-1 microglobulin,分析物／抗原／病原体标签,4,0,0,已关联历史获准记录（目录／数据库级）,K933078; K943997; K962294,,,6,13,CDC000033; K933078; K943997; K962294; K965033,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K933078,catalog_v1
M0076,免疫与自身免疫,Alpha-1-acid glycoprotein (orosomucoid),分析物／抗原／病原体标签,10,0,0,已关联历史获准记录（目录／数据库级）,K011720; K060373; K922417,,,363,102,CDC000031; CDC000033; CDC000130; CDC000157; CDC000232,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K011720,catalog_v1
M0077,免疫与自身免疫,Alpha-1-antitrypsin,分析物／抗原／病原体标签,28,0,0,已关联历史获准记录（目录／数据库级）,K001647; K010978; K011663,,,215,132,CDC000006; CDC000031; CDC000033; CDC000052; CDC000071,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K001647,catalog_v1
