pma_no,product_name,generic_name,product_code,classification_def,decision_date,decision_code,n_records,status_note,approval_order_excerpt,fda_link
P060030,COBAS AMPLIPREP/COBAS TAQMAN HCV TEST,"Assay, hybridization and/or nucleic acid amplification for detection of hepatitis c rna,hepatitis c virus",MZP,,2008-10-30,APRL,84,历史记录；未核实当前销售状态,APPROVAL FOR THE COBASAMPLIPREP/COBAS TAQMAN HCV TEST. THIS DEVICE IS AN IN VITRO NUCLEIC ACID AMPLIFICATION LESTFOR THE QUANTITATION OF HEPATITIS C VIRAL (HCV) RNA IN HUMAN PLASMA OR SERUM OF HCV-INFECTEDINDIVIDUALS USING THE COBAS AMPLIPREP INSTRUMENT FOR AUTOMATED SPECIMEN PROCESSING AND THECOBAS TAQMAN ANALYZER OR THE COBAS TAQMAN 48 ANALYZER FOR AUTOMATED AMPLIFICATION ANDDETECTION. SPECIMENS CONTAINING HCV GENOTYPES 1 - 6 HAVE BEEN VALIDATED FOR QUANTITATION INTHE ASSAY.  THE COBAS AMPLIPREP/COBAS TAQMAN HCV TEST IS INTENDED FOR USE AS AN AID IN THEMANAGEMENT OF HCV-INFECTED INDIVIDUALS UNDERGOING ANTI-VIRAL THERAPY. THE ASSAY MEASURESHCV RNA LEVELS AT BASELINE AND DURING TREATMENT AND CAN BE UTILIZED TO PREDICT SUSTAINED ANDNON-SUSTAINED VIROLOGICAL RESPONSE TO HCV THERAPY. THE RESULTS FROM THE COBASAMPIPREP/COBAS TAQMAN HCV TEST MUST BE INTERPRETED WITHIN THE CONTEXT OF ALL RELEVANT CLINICAL AND LABORATORY FINDINGS.ASSAY PERFORMANCE CHARACTERISTICS HAVE BEEN ESTABLISHED FOR IND〔节选〕,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P060030
P060031,BIO-RAD MONOLISA ANTI-HBC EIA,Qualitative and Quantitative Hepatitis B Virus Antibody assays,SEI,In vitro diagnostic devices intended for use in the detection of antibodies to HBV. These devices are intended to aid in the diagnosis of HBV infection in persons with signs and symptoms of hepatitis and in persons at risk for HBV infection. Anti-HBs assay results may be used as an aid in the determination of susceptibility to HBV infection in individuals prior to or following HBV vaccination or when vaccination status is unknown.,2007-04-27,APRL,8,历史记录；未核实当前销售状态,"APPROVAL FOR THE BIO-RAD MONOLISA ANTI-HBC EIA.  THE DEVICE IS INDICATED FOR:  THE MONOLISA ANTI-HBC EIA IS AN ENZYME IMMUNOASSAY INTENDED FOR USE IN THE QUALITATIVE DETECTION OF TOTAL ANTIBODIES (IGG/IGM) TO HEPATITIS B CORE ANTIGEN (ANTI-HBC) IN HUMAN SERUM AND PLASMA (POTASSIUM EDTA, SODIUM CITRATE, ACD (ACID CITRATE DEXTROSE), LITHIUM HEPARIN AND SODIUM HEPARIN).  ASSAY RESULTS MAY BE USED WITH OTHER HBV SEROLOGICAL MARKETS FOR THE LABORATORY DIAGNOSIS OF HBV DISEASE ASSOCIATED WITH HBV INFECTION.",https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P060031
P060034,BIO RAD MONOLISA ANTI-HBC IGM EIA,Qualitative and Quantitative Hepatitis B Virus Antibody assays,SEI,In vitro diagnostic devices intended for use in the detection of antibodies to HBV. These devices are intended to aid in the diagnosis of HBV infection in persons with signs and symptoms of hepatitis and in persons at risk for HBV infection. Anti-HBs assay results may be used as an aid in the determination of susceptibility to HBV infection in individuals prior to or following HBV vaccination or when vaccination status is unknown.,2007-05-31,APRL,8,历史记录；未核实当前销售状态,"APPROVAL FOR THE BIO-RAD MONOLISA ANTI-HBC IGM EIA.  THE DEVICE IS INDICATED FOR:  THE BIO-RAD MONOLISA ANTI-HBC IGM EIA IS AN ENZYME IMMUNOASSAY INTENDED FOR USE IN THE QUALITATIVE DETECTION OF IGM ANTIBODIES TO HEPATITIS B CORE ANTIGEN (ANTI-HBC IGM) IN HUMAN SERUM OR PLASMA (POTASSIUM EDTA, SODIUM CITRATE, ACD [ACID CITRATE DEXTROSE], LITHIUM HEPARIN AND SODIUM HEPARIN).  ASSAY RESULTS MAY BE USED WITH OTHER HBV SEROLOGICAL MARKERS FOR THE LABORATORY DIAGNOSIS OF HBV DISEASE ASSOCIATED WITH HBV INFECTION.",https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P060034
P060035,ARCHITECT CORE-M REAGENT KIT/CALIBRATORS/CONTROLS,Qualitative and Quantitative Hepatitis B Virus Antibody assays,SEI,In vitro diagnostic devices intended for use in the detection of antibodies to HBV. These devices are intended to aid in the diagnosis of HBV infection in persons with signs and symptoms of hepatitis and in persons at risk for HBV infection. Anti-HBs assay results may be used as an aid in the determination of susceptibility to HBV infection in individuals prior to or following HBV vaccination or when vaccination status is unknown.,2007-11-06,APRL,44,历史记录；未核实当前销售状态,"APPROVAL FOR THE ARCHITECT CORE-M REAGENT KITARCHITECT CORE-M CALIBRATORS ANDARCHITECT CORE-M CONTROLS.  THE DEVICES IS INDICTED FOR: THE ARCHITECT CORE-M ASSAY IS A CHEMILUMINESCENT MICROPARTICLE IMMUNOASSAY (CMIA) FOR THE QUALITATIVE DETECTION OF IGM ANTIBODY TO HEPATITIS B CORE ANTIGEN (IGM ANTI-HBC) IN HUMAN ADULT AND PEDIATRIC SERUM OR PLASMA (DIPOTASSIUM EDTA, LITHIUM HEPARIN, AND SODIUM HEPARIN) AND NEONATAL SERUM. A TEST FOR IGM ANTI-HBC IS INDICATED AS AN AID IN THE DIAGNOSIS OF ACUTE OR RECENT HEPATITIS B VIRUS (HBV) INFECTION IN CONJUNCTION WITH OTHER LABORATORY RESULTS AND CLINICAL INFORMATION.  THE ARCHITECT CORE-M CALIBRATORS ARE USED FOR THE CALIBRATION OF THE ARCHITECT I SYSTEM WHEN THE SYSTEM IS USED FOR THE QUALITATIVE DETECTION OF IGM ANTIBODY TO HEPATITIS B CORE ANTIGEN (IGM ANTI-HBC) USING THE ARCHITECT CORE-M REAGENT KIT. THE PERFORMANCE OF THE ARCHITECT CORE-M CALIBRATORS HAS NOT BEEN ESTABLISHED WITH ANY OTHER IGM ANTI-HBC ASSAYS. THE ARCHITECT CORE-M CONTROLS A〔节选〕",https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P060035
P070006,T SPOT-TB TEST,"Mycobacterium tuberculosis, Cell mediated immune response, enzyme-linked immunospot test",OJN,"For the detection of effector T cells that respond to stimulation by Mycobacterium tuberculosis antigens ESAT-6 and CFP-10 and indicated for use as an aid in the diagnosis of M. tuberculosis infection in conjunction with risk assesment, radiography and other medical diagnostic evaluations.",2008-07-30,APPR,28,历史记录；未核实当前销售状态,"APPROVAL FOR THE T-SPOT-TB.  THIS DEVICE IS INDICATED FOR USE AS AN IN VITRO DIAGNOSTIC TEST FOR THE DETECTION OF EFFECTOR T CELLS THAT RESPOND TO STIMULATION BY MYCOBACTERIUM TUBERCULOSIS ANTIGENS ESAT-6 AND CFP-10 BY CAPTURING INTERFERON GAMMA (IFN-¿) IN THE VICINITY OF T CELLS IN HUMAN WHOLE BLOOD COLLECTED IN SODIUM CITRATE OR SODIUM OR LITHIUM HEPARIN.  IT IS INTENDED FOR USE AS AN AID IN THE DIAGNOSIS OF M. TUBERCULOSIS INFECTION.  T-SPOT-TB IS AN INDIRECT TEST FOR M. TUBERCULOSIS INFECTION (INCLUDING DISEASE) AND IS INTENDED FOR USE IN CONJUNCTION WITH RISK ASSESSMENT, RADIOGRAPHY AND OTHER MEDICAL AND DIAGNOSTIC EVALUATIONS.",https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P070006
P080008,VIDAS FREE PSA RT ASSAY,"Test, prostate specific antigen, free, (noncomplexed) to distinguish prostate cancer from benign conditions",MTG,,2009-10-08,APWD,3,存在原始PMA撤回记录,"APPROVAL FOR THE VIDASFREE PSA RT ASSAY. THE VIDAS FPSA RT IS AN AUTOMATED QUANTITATIVETEST FOR USE ON THE VIDAS INSTRUMENTS, FOR THE QUANTITATIVE MEASUREMENT OF THE FREE FRACTION OFPROSTATE SPECIFIC ANTIGEN (PSA) IN HUMAN SERUM USING THE ELFA TECHNIQUE (ENZYME LINKEDFLUORESCENT ASSAY). THE VIDAS FPSA RT IS INTENDED TO BE USED IN CONJUNCTION WITH THE VIDASTPSA ASSAY IN MEN AGE 50 YEARS OR OLDER WHO HAVE DIGITAL RECTAL EXAMINATION (DRE) THAT IS NOTSUSPICIOUS FOR PROSTATE CANCER AND VIDAS TPSA VALUES BETWEEN 4 AND 10 NG/ML TO DETERMINE THE %FREE PSA VALUE. THE VIDAS %FPSA VALUE CAN BE USED AS AN AID IN DISCRIMINATING BETWEEN PROSTATE CANCER AND BENIGN DISEASE. PROSTATE BIOPSY IS REQUIRED FOR DIAGNOSIS OF PROSTATE CANCER.",https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P080008
P080014,CERVISTA HPV HR AND GENFIND DNA EXTRACTION KIT,"KIT, DNA DETECTION, HUMAN PAPILLOMAVIRUS",MAQ,,2009-03-12,APWD,25,存在原始PMA撤回记录,"APPROVAL FOR THE CERVISTA HPV HR AND GENFIND DNA EXTRACTION KIT.  CERVISTA HPV HR INDICATIONS FOR USE: THE CERVISTA HPV HR TEST IS AN IN VITRO DIAGNOSTIC TEST FOR THE QUALITATIVE DETECTION OF DNAFROM 14 HIGH-RISK- HUMAN PAPILLOMAVIRUS (HPV) TYPES (16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58,59, 66, AND 68) IN CERVICAL SPECIMENS. THE CERVISTA HPV HR TEST CANNOT DETERMINE THESPECIFIC HPV TYPE PRESENT.THE CERVISTA HPV HR TEST USES THE INVADER CHEMISTRY, A SIGNAL AMPLIFICATION METHOD FORDETECTION OF SPECIFIC NUCLEIC ACID SEQUENCES. THIS METHOD USES TWO TYPES OF ISOTHERMAL REACTIONS:A PRIMARY REACTION THAT OCCURS ON THE TARGETED DNA SEQUENCE AND A SECONDARY REACTION THAT PRODUCES A FLUORESCENT SIGNAL.  THE CERVISTA HPV HR TEST IS INDICATED:1) TO SCREEN PATIENTS WITH ATYPICAL SQUAMOUS CELLS OF UNDETERMINED SIGNIFICANCE (ASCUS)CERVICAL CYTOLOGY RESULTS TO DETERMINE THE NEED FOR REFERRAL TO COLPOSCOPY.2) IN WOMEN 30 YEARS AND OLDER THE CERVISTA HPV HR TEST CAN BE USED WITH CERVICALCYTOLOGY TO A〔节选〕",https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P080014
P080015,CERVISTA HPV 16/18,"KIT, DNA DETECTION, HUMAN PAPILLOMAVIRUS",MAQ,,2009-03-12,APWD,17,存在原始PMA撤回记录,"APPROVAL FOR THECERVISTA HPV 16/18.CERVISTA HPV 16/18 INDICATIONS FOR USE:THE CERVISTA HPV 16/18 TEST IS AN IN VITRO DIAGNOSTIC TEST FOR THE QUALITATIVE DETECTION OF DNA FROM HUMAN PAPILLOMAVIRUS (HPV) TYPE 16 AND TYPE 18 IN CERVICAL SPECIMENS.THE CERVISTA HPV 16/18 TEST USES THE INVADER CHEMISTRY, A SIGNAL AMPLIFICATION METHOD FORDETECTION OF SPECIFIC NUCLEIC ACID SEQUENCES. THIS METHOD USES TWO TYPES OF ISOTHERMAL REACTIONS:A PRIMARY REACTION THAT OCCURS ON THE TARGETED DNA SEQUENCE AND A SECONDARY REACTION THAT PRODUCES A FLUORESCENT SIGNAL.CERVISTA HPV 16/18 TEST IS INDICATED:1) IN WOMEN 30 YEARS AND OLDER THE CERVISTA HPV 16/1S TEST CAN BE USED ADJUNCTIVELYWITH THE CERVISTA HPV HR TEST IN COMBINATION WITH CERVICAL CYTOLOGY TO SCREEN TO ASSESS THE PRESENCE OR ABSENCE OF HIGH-RISK HPV TYPES 16 AND 18. THIS INFORMATION,TOGETHER WITH THE PHYSICIAN'S ASSESSMENT OF CYTOLOGY HISTORY, OTHER RISK FACTORS, AND PROFESSIONAL GUIDELINES, MAY BE USED TO GUIDE PATIENT MANAGEMENT.  2) TO BE USED 〔节选〕",https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P080015
P080023,"ARCHITECT CORE REAGENT KIT, ARCHITECT CORE CALIBRATOR AND ARCHITECT CORE CONTROLS",Qualitative and Quantitative Hepatitis B Virus Antibody assays,SEI,In vitro diagnostic devices intended for use in the detection of antibodies to HBV. These devices are intended to aid in the diagnosis of HBV infection in persons with signs and symptoms of hepatitis and in persons at risk for HBV infection. Anti-HBs assay results may be used as an aid in the determination of susceptibility to HBV infection in individuals prior to or following HBV vaccination or when vaccination status is unknown.,2009-04-10,APRL,47,历史记录；未核实当前销售状态,"APPROVAL FOR THE ARCHITECT CORE REAGENT KIT, ARCHITECT CORE CALIBRATOR AND ARCHITECT CORE CONTROLS.  THESE DEVICES ARE INDICATED FOR:ARCHITECT CORE REAGENT KIT:THE ARCHITECT CORE ASSAY IS A CHEMILUMINESCENT MICROPARTICLE IMMUNOASSAY(CMIA) FOR THE QUALITATIVE DETECTION OF IGG AND IGM ANTIBODIES TO HEPATITIS B COREANTIGEN (ANTI-HBC) IN HUMAN ADULT AND PEDIATRIC SERUM AND PLASMA (DIPOTASSIUM EDTA,LITHIUM HEPARIN, SODIUM HEPARIN) AND NEONATAL SERUM. IT IS INTENDED AS AN AID IN THE DIAGNOSIS OF ACUTE, CHRONIC, OR RESOLVED HEPATITIS B VIRUS (HBV) INFECTION IN CONJUNCTION WITH OTHER LABORATORY RESULTS AND CLINICAL INFORMATION.ARCHITECT CORE CALIBRATOR:THE ARCHITECT CORE CALIBRATOR IS USED FOR THE CALIBRATION OF THE ARCHITECT ISYSTEM WHEN THE SYSTEM IS USED FOR THE QUALITATIVE DETECTION OF IGG AND IGM ANTIBODIES TOHEPATITIS B CORE ANTIGEN (ANTI-HBC) WITH THE ARCHITECT CORE REAGENT KIT. THE PERFORMANCE OF THE ARCHITECT CORE CALIBRATOR HAS NOT BEEN ESTABLISHED WITH ANY OTHER ANTI-HBC ASSAYS.ARCH〔节选〕",https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P080023
P080026,ABBOTT REALTIME HBV ASSAY,Hepatitis Viral B DNA Detection,MKT,Nucleic acid assay for detection of Hepatitis B Virus (HBV) DNA is an in vitro nucleic acid assay for detection and quantitation of HBV DNA in human serum or plasma. The assay can be used to measure HBV DNA levels at baseline and during treatment to aid in assessing response to treatment.  The test results must be interpreted within the context of all relevant clinical and laboratory findings.,2010-08-13,APRL,25,历史记录；未核实当前销售状态,APPROVAL FOR THE ABBOTTREALTIME HBV. THE DEVICE IS INDICATED FOR:ABBOTT REALTIME HBV ASSAY:ABBOTT REALTIME HBV ASSAY IS AN IN VITRO POLYMERASE CHAIN REACTION (PCR) ASSAY FOR USE WITH THE ABBOTT M2000 SYSTEMDNA REAGENTS AND WITH THE ABBOTT M200SP AND M2OOORT INSTRUMENTSFOR THE QUANTITATION OF HEPATITIS B VIRUS (HBV) DNA IN HUMAN SERUM OR PLASMA (EDTA) FROM CHRONICALLY HBV-INFECTED INDIVIDUALS. THE ASSAY IS INTENDED FOR USE AS AN AID IN THEMANAGEMENT OF PATIENTS WITH CHRONIC HBV INFECTION UNDERGOING ANTI-VIRAL THERAPY. THE ASSAY CAN BE USED TO MEASURE HBV DNA LEVELS AT BASELINE AND DURING TREATMENT TO AID IN ASSESSING RESPONSE TO TREATMENT. THE RESULTS FROM THE ABBOTT REALTIME HBV ASSAY MUST BE INTERPRETED WITHIN THE CONTEXT OF ALL RELEVANT CLINICAL AND LABORATORY FINDINGS. ASSAY PERFORMANCE FOR DETERMINING THE CLINICAL STAGE OF HBV INFECTION HAS NOT BEEN ESTABLISHED. CLINICAL PERFORMANCECHARACTERISTICS HAVE BEEN ESTABLISHED FOR INDIVIDUALS TREATED WITH ADEFOVIR DIPIVOXIL. THIS ASSAYIS N〔节选〕,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P080026
P080027,ORAQUICK HCV RAPID ANTIBODY TEST,"Assay, enzyme linked immunosorbent, hepatitis c virus",MZO,,2010-06-25,APRL,36,历史记录；未核实当前销售状态,"APPROVAL FOR THE ORAQUICK RAPID HCV ANTIBODY TEST.  THE DEVICE IS INDICATED FOR THE QUALITATIVE DETECTION OF ANTIBODIES TO HEPATITIS C VIRUS (ANTI-HCV) IN VENIPUNCTURE WHOLE BLOOD SPECIMENS (EDTA, SODIUM HEPARIN, LITHIUM HEPARIN, AND SODIUM CITRATE) FROM INDIVIDUALS 15 YEARS OR OLDER.  THE ORAQUICK HCV RAPID ANTIBODY TEST RESULTS, IN CONJUNCTION WITH OTHER LABORATORY RESULTS AND CLINICAL INFORMATION, MAY BE USED TO PROVIDE PRESUMPTIVE EVIDENCE OF INFECTION WITH HCV (STATE OF INFECTION OR ASSOCIATED DISEASE NOT DETERMINED) IN PERSONS WITH SIGNS OR SYMPTOMS OF HEPATITIS AND IN PERSONS AT RISK FOR HEPATITIS C INFECTION.",https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P080027
P090007,"ELECSYS ANTI-HCV IMMUNOASSAY, ELECSYS PRECICONTROL ANTI-HCV FOR USE ON COBAS E411 IMMUNOSSAY ANALYZER","Assay, enzyme linked immunosorbent, hepatitis c virus",MZO,,2010-04-29,APRL,19,历史记录；未核实当前销售状态,"APPROVAL FOR THE ELECSYSANTI-HCV IMMUNOASSAY & ELECSYS PRECICONTROL ANTI-HCV ASSAY FOR USE ON COBAS E 411IMMUNOASSAY ANALYZER. THIS DEVICE IS INDICATED FOR:ELECSYS ANTI-HCV IMMUNOASSAYTHE ROCHE ELECSYS ANTI-HCV ASSAY IS AN IN VITRO DIAGNOSTIC TEST FOR THE QUALITATIVEDETECTION OF TOTAL ANTIBODIES TO HEPATITIS C VIRUS (ANTI-HCV) IN HUMAN SERUM OR PLASMA(POTASSIUM EDTA, LITHIUM HEPARIN AND SODIUM HEPARIN). ASSAY RESULTS, IN CONJUNCTION WITHOTHER LABORATORY RESULTS AND CLINICAL INFORMATION, MAY BE USED TO AID IN THE PRESUMPTIVEDIAGNOSIS OF HCV INFECTION IN PERSONS WITH SIGNS AND SYMPTOMS OF HEPATITIS AND IN PERSONS AT RISK FOR HEPATITIS C INFECTION. THE TEST DOES NOT DETERMINE THE STATE OF INFECTION OR ASSOCIATED DISEASE.  THE ELECTROCHEMILUMI-NESCENCE IMMUNOASSAY ""ECLIA"" IS INTENDED FOR USE ON THE COBAS E411 IMMUNOASSAY ANALYZER.ELECSYS PRECICONTROL ANTI-HCVELECSYS PRECICONTROL ANTI-HCV IS USED FOR QUALITY CONTROL OF THE ELECSYS ANTI-HCV IMMUNOASSAY ON THE COBAS E 411 IMMUNOASSAY ANALYZER〔节选〕",https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P090007
P090008,ELECSYS ANTI-HCV IMMUNOASSAY & ELECSYS PRECICONTROL ANTI-HCV FOR USE ON COBAS E601 IMMUNOSSAY ANALYZER,"Assay, enzyme linked immunosorbent, hepatitis c virus",MZO,,2010-04-29,APRL,21,历史记录；未核实当前销售状态,"APPROVAL FOR THE ELECSYSANTI-HCV IMMUNOASSAY & ELECSYS PRECICONTROL ANTI-HCV ASSAY FOR USE ON COBAS E 601IMMUNOASSAY ANALYZER. THIS DEVICE IS INDICATED FOR:ELECSYS ANTI-HCV IMMUNOASSAYTHE ROCHE ELECSYS ANTI-HCV ASSAY IS AN IN VITRO DIAGNOSTIC TEST FOR THE QUALITATIVEDETECTION OF TOTAL ANTIBODIES TO HEPATITIS C VIRUS (ANTI-HCV) IN HUMAN SERUM OR PLASMA(POTASSIUM EDTA, LITHIUM HEPARIN AND SODIUM HEPARIN). ASSAY RESULTS, IN CONJUNCTION WITHOTHER LABORATORY RESULTS AND CLINICAL INFORMATION, MAY BE USED TO AID IN THE PRESUMPTIVE DIAGNOSIS OF HCV INFECTION IN PERSONS WITH SIGNS AND SYMPTOMS OF HEPATITIS AND IN PERSONS AT RISK FOR HEPATITIS C INFECTION. THE TEST DOES NOT DETERMINE THE STATE OF INFECTION OR ASSOCIATED DISEASE.  THE ELECTROCHEMILUMI-NESCENCE IMMUNOASSAY ""ECLIA"" IS INTENDED FOR USE ON THE COBAS E601 IMMUNOASSAY ANALYZER.",https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P090008
P090009,ELECSYS ANTI-HCV IMMUNOASSAY & ELECSYS PRECICONTROL ANTI-HCV FOR USE ON MODULAR ANALYTICS E170 IMMUNOSSAY ANALYZER,"Assay, enzyme linked immunosorbent, hepatitis c virus",MZO,,2010-04-29,APRL,18,历史记录；未核实当前销售状态,"APPROVAL FOR THE ELECSYSANTI-HCV IMMUNOASSAY & ELECSYS PRECICONTROL ANTI-HCV ASSAY FOR USE ON MODULAR ANALYTICS E170 ANALYZER. THIS DEVICE IS INDICATED FOR:ELECSYS ANTI-HCV IMMUNOASSAYTHE ROCHE ELECSYS ANTI-HCV ASSAY IS AN IN VITRO DIAGNOSTIC TEST FOR THE QUALITATIVEDETECTION OF TOTAL ANTIBODIES TO HEPATITIS C VIRUS (ANTI-HCV) IN HUMAN SERUM OR PLASMA (POTASSIUM EDTA, LITHIUM HEPARIN AND SODIUM HEPARIN). ASSAY RESULTS, IN CONJUNCTION WITHOTHER LABORATORY RESULTS AND CLINICAL INFORMATION, MAY BE USED TO AID IN THE PRESUMPTIVE DIAGNOSIS OF HCV INFECTION IN PERSONS WITH SIGNS AND SYMPTOMS OF HEPATITIS AND IN PERSONS AT RISK FOR HEPATITIS C INFECTION. THE TEST DOES NOT DETERMINE THE STATE OF INFECTION OR ASSOCIATED DISEASE.  THE ELECTROCHEMILUMI-NESCENCE IMMUNOASSAY ""ECLIA"" IS INTENDED FOR USE ON THE MODULAR ANALYTICS E170 IMMUNOASSAY ANALYZER.",https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P090009
P090015,BOND ORACLE HER2 IHC SYSTEM,"SYSTEM, TEST, HER-2/NEU, IHC",MVC,,2012-04-18,APPR,15,历史记录；未核实当前销售状态,"APPROVAL FOR THE BOND ORACLE HER2 IHC SYSTEM.  THIS DEVICE IS INDICATED FOR:  BOND ORACLE HER2 IHC SYSTEM IS A SEMI-QUANTITATIVE IMMUNOHISTOCHEMICAL (IHC) ASSAY TO DETERMINE HER2 (HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2) ONCOPROTEIN STATUS IN FORMALIN-FIXED, PARRAFIN EMBEDDED BREAST CANCER TISSUE PROCESSED FOR HISTOLOGICAL EVALUATION FOLLOWING AUTOMATED STAINING ON THE BOND-MAX SLIDE STAINING INSTRUMENT.  THE BOND ORACLE HER2 IHC SYSTEM IS INDICATED AS AN AID IN THE ASSESSMENT OF PATIENTS FOR WHOM HERCEPTIN (TRASTUZUMAB) TREATMENT IS BEING CONSIDERED.",https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P090015
P090024,ADVIA CENTAUR HBEAG ASSAY AND QUALITY CONTROL MATERIAL,"Test, Hepatitis B (B Antigen, B Surface Antigen, Be Antigen)",LOM,In vitro diagnostic device intended for aid in the diagnosis of chronic or acute HBV infection. HBV surface antigen (HbsAg) is also used for screening of HBV infection in pregnant women to identify neonates who are at risk of acquiring hepatitis B during perinatal period.,2011-10-11,APRL,14,历史记录；未核实当前销售状态,"APPROVAL FOR ADVIA CENTAUR HBEAG ASSAY & ADVIA CENTAUR HBEAG QUALITY CONTROL MATERIAL. THIS DEVICE IS INDICATED FOR:ADVIA CENTAUR HBEAG ASSAY:THE ADVIA CENTAUR HBEAG ASSAY IS AN IN-VITRO DIAGNOSTIC IMMUNOASSAY FOR THE QUALITATIVE DETERMINATION OF THE HEPATITIS B E ANTIGEN (HBEAG) IN HUMAN SERUM AND PLASMA (POTASSIUM EDTA, LITHIUM OR SODIUM HEPARIN) FROM INDIVIDUALS WHO HAVE SIGNS ANDSYMPTOMS OF HEPATITIS OR WHO MAY BE AT RISK FOR HEPATITIS B VIRUS (HBV) INFECTION USING THE ADVIA CENTAUR AND ADVIA CENTAUR XP SYSTEMS. THIS ASSAY, IN CONJUNCTION WITH OTHER SEROLOGICAL AND CLINICAL INFORMATION, IS INTENDED ONLY FOR THE DETERMINATION OF CHRONIC INFECTION WITH HEPATITIS B VIRUS.ADVIA CENTAUR HBEAG QUALITY CONTROL MATERIAL:THE CONTROLS ARE USED FOR MONITORING THE PERFORMANCE OF THE HBEAG ASSAY ON THE ADVIA CENTAUR SYSTEMS. THE PERFORMANCE OF THE HBEAG QUALITY CONTROL MATERIAL HAS NOT BEEN ESTABLISHED WITH ANY OTHER HBEAG ASSAY.",https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P090024
P090026,ACCESS HYBRITECH P2PSA ON THE ACCESS IMMUNOASSAY SYSTEMS,P2psa,OYA,Quantitative determination of [-2]proPSA antigen in human serum to be used in combination with total PSA and free PSA to calculate the Prostate Health Index (phi),2012-06-14,APPR,29,历史记录；未核实当前销售状态,"APPROVAL FOR THE ACCESS HYBRITECH P2PSA ON THE ACCESS IMMUNOASSAY SYSTEMS. THIS DEVICE IS INDICATED FOR:  THE ACCESS HYBRITECH P2PSA ASSAY IS A PARAMAGNETIC PARTICLE, CHEMILUMINESCENT IMMUNOASSAY FOR THE QUANTITATIVE DETERMINATION OF [-2]PROPSA ANTIGEN, AN ISOFORM OF FREEPSA, IN HUMAN SERUM USING THE ACCESS IMMUNOASSAY SYSTEMS.  ACCESS HYBRITECH P2PSA IS INTENDED TO BE USED IN COMBINATION WITH ACCESS HYBRITECH (TOTAL) PSA AND ACCESS HYBRITECH FREE PSA TO CALCULATE THE BECKMAN COULTER PROSTATE HEALTH INDEX (PHI), AN IN VITRO DIAGNOSTIC MULTIVARIATE INDEX ASSAY (IVDMIA).  BECKMAN COULTER PHI AS CALCULATED USING THE ACCESS HYBRITECH ASSAYS IS INDICATED FOR USE ASAN AID IN DISTINGUISHING PROSTATE CANCER FROM BENIGN PROSTATIC CONDITIONS, FOR PROSTATE CANCER DETECTION IN MEN AGED 50 YEARS AND OLDER WITH TOTAL PSA >= 4.0 TO <= 10.0 NG/ML, AND WITH DIGITAL RECTAL EXAMINATION FINDINGS THAT ARE NOT SUSPICIOUS FOR CANCER.  PROSTATIC BIOPSYIS REQUIRED FOR DIAGNOSIS OF CANCER.",https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P090026
