den_no,product_name,product_code,classification_name,classification_def,specialty,decision_date,tier_note,fda_link
DEN110001,RIDASCREEN NOROVIRUS 3RD GENERATION EIA,OUC,Norovirus Serological Reagent,"Norovirus serological reagents are devices that consist of antigens and antisera for the detection of anti-norovirus antibodies or norovirus antigens. The detection aids in the clinical laboratory diagnosis of norovirus infection in individuals with signs and/or symptoms of acute gastroenteritis, or in the determining the etiology of acute gastroenteritis outbreaks.",MI,2011-02-23,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN110001
DEN110012,APTIMA TRICHOMONAS VAGINALIS ASSAY,OUY,Trichomonas Vaginalis Nucleic Acid Amplification Test System,"In vitro nucleic acid amplification test for the qualitative detection of ribosomal rna from trichomonas vaginalis as an aid in the diagnosis of trichomoniasis from vaginal, cervical, urogenital and gynecological specimens from symptomatic patients",MI,2011-04-19,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN110012
DEN120001,"IMMUNOCAP TRYPTASE, CALIBRATORS, CURVE CONTROL, CONJUGATE 50, CALIBRATOR STRIP, CURVE CONTROL STRIP, ANTI-TRYPTASE",OYL,Tryptase Assay System,An in vitro diagnostic device intended as an aid in the clinical diagnosis of patients with a suspicion of systemic mastocytosis in conjunction with other clinical and laboratory findings.,IM,2012-02-15,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN120001
DEN120008,STRATIFY JCV(TM) ANTIBODY,OYP,Anti-Jcv Antibody Detection Assay,The anti-jcv antibody detection assay is intended for the detection of antibodies to the john cunningham virus (jcv) in serum or plasma samples from multiple sclerosis (ms) and crohn's disease (cd) patients receiving immunomodulatory  therapies.,MI,2012-01-20,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN120008
DEN120012,CDC DENV-1-4 REAL TIME RT-PCT ASSAY,OZB,Dengue Nucleic Acid Amplification Assay (Naat),"A qualitative in vitro diagnostic assay for the detection of dengue  virus serotypes 1, 2, 3 or 4 in serum or plasma specimens collected from human patients with signs and symptoms consistent with dengue (mild or severe).",MI,2012-05-24,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN120012
DEN120013,PORTRAIT ANALYZER,OMN,C. Difficile Nucleic Acid Amplification Test Assay,In vitro diagnostic test for the qualitative detection of toxigenic clostridium difficile nucleic acids isolated and purified from stool specimens obtained from symptomatic patients.,MI,2012-04-30,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN120013
DEN120014,VERIGENE GRAM POSITIVE BLOOD CULTURE NUCLEIC ACID TEST (BC-GP),PAM,Gram-Positive Bacteria And Their Resistance Markers,A qualitive multiplexed in vitro diagnostic device to detect and identify Gram positive bacteria and resistant markers in positive blood cultures.,MI,2012-06-26,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN120014
DEN130002,TINA-QUANT HBA1C GEN. 2 TEST SYSTEM,PDJ,Hemoglobin A1c Test System,Quantitative determination of Hemoglobin A1c to aid in the diagnosis of diabetes.,CH,2013-05-23,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN130002
DEN130003,XTAG GASTROINTESTINAL PATHOGEN PANEL (GPP) XTAG DATA ANALYSIS SOFTWARE FOR GPP (TDAS),PCH,Gastrointestinal Pathogen Panel Multiplex Nucleic Acid-Based Assay System,A gastrointestinal pathogen panel multiplex nucleic acid assay is a qualitative in vitro diagnostic device intended to simultaneously detect and identify multiple gastrointestinal microbial nucleic acids extracted from human stool specimens. The detection and identification of a specific gastrointestinal microbial nucleic acid from individuals exhibiting signs and/or symptoms of gastrointestinal infection aids in the diagnosis of gastrointestinal infection when used in conjunction with clinical evaluation and other laboratory findings.,MI,2013-01-14,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN130003
DEN130005,QUANTITATION OF ORGANOPHOSPHATE  METABOLITES IN URINE BY LC/MS/MS,PDY,Organophosphate Test System,For the quantitation of specific organophosphate metabolites in human urine from individuals who have signs and symptoms consistent with cholinesterase poisoning.  The data obtained by this device is intended to aid in the confirmation and investigation of organophosphate exposure.,TX,2013-08-08,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN130005
DEN130010,VYSIS EGR1 FISH PROBE KIT - SC (SPECIMEN CHARACTERIZATION),PDO,Early Growth Response Gene 1 (Egr1) Fish Probe Kit For Specimen Characterization,The EGR1 FISH Probe Kit for specimen characterization  detects the LSI EGR1 probe target on chromosome 5q in bone marrow specimens.  This assay is used to characterize bone marrow specimens from patients with acute myeloid leukemia (AML) or myelodysplastic syndrome.  The assay results are to be interpreted by a qualified pathologist or cytogeneticist.,PA,2013-07-29,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN130010
DEN130011,ILLUMINA MISEQDX PLATFORM,PFF,High Throughput Dna Sequence Analyzer,A high throughput sequencing technology performing targeted DNA sequencing of amplicons from a defined genetic region or a subset of genes in human genomic DNA from a clinical sample.,CH,2013-11-19,配套器械／软件／质控：不计作独立marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN130011
DEN130012,FERRISCAN R2-MRI ANALYSIS SYSTEM,PCS,Liver Iron Concentration Imaging Companion Diagnostic For Deferasirox,"Intended for diagnostic use to present images that reflect the magnetic resonance spectra for the determination of iron in the liver for any indication where an assessment of liver iron concentration is needed.  For non-transfusion-dependent thalassemia (NTDT) patients, is intended as an aid in the assessment of NTDT patients for whom deferasirox therapy is being considered and for monitoring of NTDT patients receiving deferasirox therapy.",RA,2013-01-23,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN130012
DEN130013,VITEK MS,PEX,"System, Mass Spectrometry, Maldi Tof, Microorganism Identification, Cultured Isolates",A mass spectrometer system using matrix-assisted laser desorption/ ionization - time of flight (MALDI-TOF) for the identification of microorganisms cultured from human specimens.,MI,2013-08-21,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN130013
DEN130018,CYTOSCAN(R) DX,PFX,"System, Microarray-Based, Genome-Wide, Postnatal Chromosomal Abnormality Detection","A microarray-based, genome-wide, postnatal chromosomal abnormality detection system is used to qualitatively detect constitutional gains and losses in chromosomal copy numbers across the human genome using microarray methods.  It is intended as an aid in the postnatal diagnosis of developmental delay and/or intellectual disability (DD/ID), congenital anomalies, and dysmorphic features in conjunction with other clinical information currently used in postnatal diagnosis.  It is not intended to be used for standalone diagnostic purposes, prenatal or pre-implantation testing or screening, population screening, or for the detection of, or screening for, acquired or somatic genetic aberrations.",PA,2014-01-17,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN130018
DEN130031,NEPHROCHECK TEST SYSTEM,PIG,Acute Kidney Injury Test System,"An acute kidney injury test system is intended to measure one or more analytes in human samples as an aid in the assessment of a patient's risk for developing acute kidney injury.  Test results are intended to be used in conjunction with other clinical and diagnostic findings, consistent with professional standards of practice, including conifmration by alternative methods.",CH,2014-09-05,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN130031
DEN130032,XPERT MTB/RIF ASSAY,PEU,"System, Nucleic Acid-Based, Mycobacterium Tuberculosis Complex, Resistance Marker, Direct Specimen","The [test] is intended for use with specimens from patients for whom there is clinical suspicion of tuberculosis (TB) and who have received no antituberculosis therapy, or less than 3 days of therapy. This [test] is intended as an aid in the diagnosis of pulmonary tuberculosis when used in conjunction with clinical and other laboratory findings.",MI,2013-07-25,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN130032
DEN130042,MISEQDX UNIVERSAL KIT 1.0,PFT,Reagents For Molecular Diagnostic Test Systems,"A kit that is a set of reagents and consumables used in the processing of human genomic DNA samples derived from peripheral whole blood, and in the subsequent targeted re-sequencing of the resulting sample libraries. User-supplied analyte specific reagents are required for the preparation of libraries targeting specific genomic regions of interest. The kit is intended for use as part of molecular diagnostic test systems.",CH,2013-11-19,配套器械／软件／质控：不计作独立marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN130042
DEN130049,SIMPLEXA HSV 1&2 DIRECT,PGH,Hsv-1 And Hsv-2 Cns Nucleic-Acid Based Panel,Intended for the qualitative detection and differentiation of HSV-1 and HSV-2 in cerebrospinal fluid (CSF) from patients with signs and symptoms of Herpes Simplex Virus (HSV) central nervous system (CNS) infection.  This test is an aid in the diagnosis of HSV-1 and HSV-2 CNS infections in conjunction with other clinical and laboratory findings. Negative results do not preclude HSV-1 or HSV-2 infection and should not be used as the sole basis for treatment or other patient management decisions.,MI,2014-03-21,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN130049
DEN140001,ZINC TRANSPORTER 8 ANTIBODY (ZNT8AB) ELISA ASSAY KIT,PHF,Zinc Transporter 8 Auto-Antibody,The Zinc Transporter 8 Autoantibody (ZnT8Ab) ELISA Assay is for the semi-quantitative determination of autoantibodies to Zinc Transporter 8 (ZnT8) in human serum. The Zinc Transporter 8 Autoantibody (ZnT8Ab) ELISA Assay may be useful as an aid in the diagnosis of Type 1 diabetes mellitus (autoimmune mediated diabetes). The ZnT8Ab assay is not to be used alone and is to be used in conjunction with other clinical and laboratory findings.,IM,2014-08-20,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN140001
DEN140002,EUROIMMUN ANTI-PLA2R IFA,PGV,Anti-Phospholipase A2 Receptor,"The test system is intended for the qualitative determination of IgG class autoantibodies against phospholipase A2 receptor (PLA2R) in human serum. It is used as an aid in the diagnosis of primary membranous glomerulonephritis (pMGN), in conjunction with other  laboratory and clinical findings.",IM,2014-05-29,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN140002
DEN140004,QUIDEL MOLECULAR DIRECT HSV 1 +2/VZV ASSAY,PGI,"Herpes Virus (Vzv, Hsv1, Hsv2), Dna Detection Assay For Cutaneous And Mucocutaneous Lesion Samples","For the qualitative detection and differentiation of VZV, HSV1, HSV2- DNA in cutaneous and mucocutaneous lesion samples from symptomatic patients. The assay is not intended for use with cerebral spinal fluid.",MI,2014-05-13,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN140004
DEN140005,LYRA DIRECT STREP ASSAY,PGX,"Groups A, C And G Beta-Hemolytic Streptococcus Nucleic Acid Amplification System","An in vitro diagnostic test for the detection of Group A, C and G beta hemolytic Streptococcus in throat swab specimens from symptomatic patients.",MI,2014-04-16,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN140005
DEN140010,PERKINELMER ENLITE NEONATAL TREC TEST SYSTEM,PJI,Severe Combined Immunodeficiency Disorder (Scid) Newborn Screening Test System,A newborn screening test for severe combined immunodeficiency (SCID) intended for the detection of T-cell receptor excision circle (TREC) genomic DNA isolated from newborn blood specimens dried on filter paper.  It is intended as an aid in screening newborns for severe combined immunodeficiency (SCID).,PA,2014-12-15,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN140010
DEN140016,STUDIO ON THE CLOUD DATA MANAGEMENT SOFTWARE,PHV,Continuous Glucose Monitor Retrospective Data Analysis Software,Continuous glucose monitor retrospective data analysis software is intended to analyze and correlate retrospective data from a continuous glucose monitoring device.,CH,2014-08-19,配套器械／软件／质控：不计作独立marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN140016
DEN140019,T2CANDIDA AND T2DX INSTRUMENT,PII,Candida Species Nucleic Acid Detection System,"The Candida species nucleic acid detection system is a qualitative panel for the direct detection of Candida species in whole blood specimens from patients with symptoms of, or medical conditions predisposing the patients to, invasive fungal infections.  The test is indicated for the presumptive diagnosis of candidemia. The test is performed independent of blood culture. Concomitant blood cultures are necessary to recover organisms for susceptibility testing or further identification.",MI,2014-09-22,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN140019
