product_code,device_name,regulation_number,device_class,medical_specialty,review_panel,n_510k_total,definition
CHH,"Enzymatic Esterase--Oxidase, Cholesterol",862.1175,1,Clinical Chemistry,CH,230,
CHI,"Lipase-Esterase, Enzymatic, Photometric, Lipase",862.1465,1,Clinical Chemistry,CH,20,
CHJ,"Mercuric Thiocyanate, Colorimetry, Chloride",862.1170,2,Clinical Chemistry,CH,53,
CHL,"Electrode Measurement, Blood-Gases (Pco2, Po2) And Blood Ph",862.1120,2,Clinical Chemistry,CH,188,
CHN,"Immunochemical, Ceruloplasmin",866.5210,2,Immunology,IM,3,
CHP,"Radioimmunoassay, Estradiol",862.1260,1,Clinical Chemistry,CH,50,
CHQ,"Chromatographic/Fluorometric Method, Catecholamines",862.1165,1,Clinical Chemistry,CH,10,
CHW,"Titrimetric With Edta And Indicator, Calcium",862.1145,2,Clinical Chemistry,CH,3,
CIB,"Radioimmunoassay, Angiotensin I And Renin",862.1085,2,Clinical Chemistry,CH,16,
CIC,"Cresolphthalein Complexone, Calcium",862.1145,2,Clinical Chemistry,CH,99,
CIG,"Diazo Colorimetry, Bilirubin",862.1110,2,Clinical Chemistry,CH,235,
CIJ,"Saccharogenic, Amylase",862.1070,2,Clinical Chemistry,CH,31,
CIN,"Electrophoretic Separation, Alkaline Phosphatase Isoenzymes",862.1050,2,Clinical Chemistry,CH,26,
CIO,"Thymolphthalein Monophosphate, Alkaline Phosphatase Or Isoenzymes",862.1050,2,Clinical Chemistry,CH,11,
CIS,"Hydrazone Colorimetry, Ast/Sgot",862.1100,2,Clinical Chemistry,CH,5,
CIT,"Nadh Oxidation/Nad Reduction, Ast/Sgot",862.1100,2,Clinical Chemistry,CH,139,
CIW,"Starch-Dye Bound Polymer, Amylase",862.1070,2,Clinical Chemistry,CH,8,
CIX,"Bromcresol Green Dye-Binding, Albumin",862.1035,2,Clinical Chemistry,CH,120,
CIZ,"Radioimmunoassay, Androstenedione",862.1075,1,Clinical Chemistry,CH,10,
CJA,"Amyloclastic, Amylase",862.1070,2,Clinical Chemistry,CH,10,
CJE,"Nitrophenylphosphate, Alkaline Phosphatase Or Isoenzymes",862.1050,2,Clinical Chemistry,CH,124,
CJG,"Tetrabromo-M-Cresolsulfonphthalein, Albumin",862.1035,2,Clinical Chemistry,CH,1,
CJJ,"Diazo, Alt/Sgpt",862.1030,1,Clinical Chemistry,CH,2,
CJM,"Radioimmunoassay, Aldosterone",862.1045,2,Clinical Chemistry,CH,12,
CJO,"Alpha-Naphthyl Phosphate, Alkaline Phosphatase Or Isoenzymes",862.1050,2,Clinical Chemistry,CH,4,
CJW,"Bromcresol Purple Dye-Binding, Albumin",862.1035,2,Clinical Chemistry,CH,18,
CJY,"Azo Dye, Calcium",862.1145,2,Clinical Chemistry,CH,47,
CKA,"Nadh Oxidation/Nad Reduction, Alt/Sgpt",862.1030,1,Clinical Chemistry,CH,127,
CKB,"Acid Phosphatase, Naphthyl Phosphate",862.1020,2,Clinical Chemistry,CH,24,
CKD,"Hydrazone Colorimetry, Alt/Sgpt",862.1030,1,Clinical Chemistry,CH,11,
CKE,"Acid Phosphatase, Thymolphthale Inmonophosphate",862.1020,2,Clinical Chemistry,CH,9,
CKF,"Phenylphosphate, Alkaline Phosphatase Or Isoenzymes",862.1050,2,Clinical Chemistry,CH,2,
CKG,"Radioimmunoassay, Acth",862.1025,2,Clinical Chemistry,CH,30,
CZJ,"Igd, Antigen, Antiserum, Control",866.5510,2,Immunology,IM,8,
CZP,"Iga, Antigen, Antiserum, Control",866.5510,2,Immunology,IM,54,
CZS,"Retinol-Binding Protein, Antigen, Antiserum, Control",866.5765,1,Immunology,IM,3,
CZW,"Complement C3, Antigen, Antiserum, Control",866.5240,2,Immunology,IM,44,
DAD,"Haptoglobin, Antigen, Antiserum, Control",866.5460,2,Immunology,IM,18,
DAE,"Complement C9, Antigen, Antiserum, Control",866.5240,2,Immunology,IM,6,
DAH,"Gamma Globulin, Antigen, Antiserum, Control",866.5510,2,Immunology,IM,7,
DAK,"Complement C1q, Antigen, Antiserum, Control",866.5240,2,Immunology,IM,28,
DAO,"Igm (Mu Chain Specific), Antigen, Antiserum, Control",866.5550,2,Immunology,IM,8,
DAP,"Fibrinogen And Fibrin Split Products, Antigen, Antiserum, Control",864.7320,2,Hematology,HE,58,
DAS,"Igg (Fc Fragment Specific), Antigen, Antiserum, Control",866.5530,1,Immunology,IM,8,
DAT,"Fibrinogen And Split Products, Peroxidase, Antigen, Antiserum, Control",864.7340,2,Hematology,HE,2,
DAY,"Complement C5, Antigen, Antiserum, Control",866.5240,2,Immunology,IM,3,
DBA,"Complement C1 Inhibitor (Inactivator), Antigen, Antiserum, Control",866.5250,2,Immunology,IM,13,
DBF,"Ferritin, Antigen, Antiserum, Control",866.5340,2,Immunology,IM,87,
DBI,"Complement C4, Antigen, Antiserum, Control",866.5240,2,Immunology,IM,34,
DBJ,"Antiparietal Antibody, Indirect Immunofluorescent, Antigen, Control",866.5110,2,Immunology,IM,2,
DBL,"Multiple Autoantibodies, Indirect Immunofluorescent, Antigen, Control",866.5660,2,Immunology,IM,24,
DBM,"Antimitochondrial Antibody, Indirect Immunofluorescent, Antigen, Control",866.5090,2,Immunology,IM,27,
DCF,"Albumin, Antigen, Antiserum, Control",866.5040,2,Immunology,IM,37,
DCK,"C-Reactive Protein, Antigen, Antiserum, And Control",866.5270,2,Immunology,IM,126,
DCN,"System, Test, C-Reactive Protein",866.5270,2,Immunology,IM,70,
DDB,"Ceruloplasmin, Antigen, Antiserum, Control",866.5210,2,Immunology,IM,19,
DDC,"Thyroglobulin, Antigen, Antiserum, Control",866.5870,2,Immunology,IM,13,
DDD,"Transferrin, Rhodamine, Antigen, Antiserum, Control",866.5880,2,Immunology,IM,1,
DDG,"Transferrin, Antigen, Antiserum, Control",866.5880,2,Immunology,IM,48,
DDQ,"Antigen, Antiserum, Control, Antithrombin Iii",864.7060,2,Hematology,HE,4,
DDR,"Myoglobin, Antigen, Antiserum, Control",866.5680,2,Immunology,IM,46,
DDS,"Prealbumin, Fitc, Antigen, Antiserum, Control",866.5060,1,Immunology,IM,4,
DDX,"Plasminogen, Antigen, Antiserum, Control",866.5715,1,Immunology,HE,10,
DDZ,"Albumin, Fitc, Antigen, Antiserum, Control",866.5040,2,Immunology,IM,4,
DEB,"Alpha-2-Macroglobulin, Antigen, Antiserum, Control",866.5620,2,Immunology,IM,13,
DEF,"Alpha-2-Hs-Glycoprotein, Antigen, Antiserum, Control",866.5425,1,Immunology,IM,1,
DEG,"Lactoferrin, Antigen, Antiserum, Control",866.5570,1,Immunology,IM,8,
DEH,"Lambda, Antigen, Antiserum, Control",866.5550,2,Immunology,IM,53,
DEL,"Lipoprotein X, Antigen, Antiserum, Control",866.5590,1,Immunology,IM,5,
DEM,"Alpha-1-Antitrypsin, Antigen, Antiserum, Control",866.5130,2,Immunology,IM,30,
DER,"Alpha-1-Lipoprotein, Antigen, Antiserum, Control",866.5580,2,Immunology,IM,17,
DEW,"Igg, Antigen, Antiserum, Control",866.5510,2,Immunology,IM,76,
DEY,"Igm, Peroxidase, Antigen, Antiserum, Control",866.5550,2,Immunology,PA,3,
DFC,"Lipoprotein, Low-Density, Antigen, Antiserum, Control",866.5600,2,Immunology,IM,43,
DFH,"Kappa, Antigen, Antiserum, Control",866.5550,2,Immunology,IM,63,
DFT,"Igm, Antigen, Antiserum, Control",866.5550,2,Immunology,IM,33,
DFZ,"Igg (Gamma Chain Specific), Antigen, Antiserum, Control",866.5510,2,Immunology,IM,9,
DGC,"Ige, Antigen, Antiserum, Control",866.5510,2,Immunology,IM,114,
DGE,"Igd, Rhodamine, Antigen, Antiserum, Control",866.5510,2,Immunology,IM,2,
DGO,"Ige, Peroxidase, Antigen, Antiserum, Control",866.5510,2,Immunology,PA,15,
DGP,"Ige, Fitc, Antigen, Antiserum, Control",866.5510,2,Immunology,IM,4,
DHA,"System, Test, Human Chorionic Gonadotropin",862.1155,2,Clinical Chemistry,CH,72,
DHB,"System, Test, Radioallergosorbent (Rast) Immunological",866.5750,2,Immunology,IM,269,
DHC,"System, Test, Systemic Lupus Erythematosus",866.5820,2,Immunology,IM,16,
DHN,"Antinuclear Antibody, Indirect Immunofluorescent, Antigen, Control",866.5100,2,Immunology,IM,110,
DHR,"System, Test, Rheumatoid Factor",866.5775,2,Immunology,IM,144,
DHX,"System, Test, Carcinoembryonic Antigen",866.6010,2,Immunology,IM,28,
DIC,"Alcohol Dehydrogenase, Specific Reagent For Ethanol Enzyme Method",862.3040,2,Clinical Toxicology,TX,33,
DIH,"Colorimetry, Cholinesterase",862.3240,1,Clinical Toxicology,TX,26,
DIO,"Enzyme Immunoassay, Cocaine And Cocaine Metabolites",862.3250,2,Clinical Toxicology,TX,145,
DIP,"Enzyme Immunoassay, Diphenylhydantoin",862.3350,2,Clinical Toxicology,TX,44,
DIS,"Enzyme Immunoassay, Barbiturate",862.3150,2,Clinical Toxicology,TX,100,
DIT,"Thin Layer Chromatography, Amphetamine",862.3100,2,Clinical Toxicology,TX,4,
DIW,"Hemagglutination Inhibition, Methadone",862.3620,2,Clinical Toxicology,TX,4,
DJC,"Thin Layer Chromatography, Methamphetamine",862.3610,2,Clinical Toxicology,TX,31,
DJD,"Enzyme Immunoassay, Primidone",862.3680,2,Clinical Toxicology,TX,8,
DJG,"Enzyme Immunoassay, Opiates",862.3650,2,Clinical Toxicology,TX,215,
DJJ,"Fluorometry, Morphine",862.3640,2,Clinical Toxicology,TX,1,
DJP,"Radioimmunoassay, Amphetamine",862.3100,2,Clinical Toxicology,TX,9,
DJR,"Enzyme Immunoassay, Methadone",862.3620,2,Clinical Toxicology,TX,63,
DKB,"Calibrators, Drug Mixture",862.3200,2,Clinical Toxicology,TX,94,
DKE,"Reagents, Test, Tetrahydrocannabinol",862.3870,2,Clinical Toxicology,TX,12,
DKJ,"Colorimetry, Salicylate",862.3830,2,Clinical Toxicology,TX,29,
DKZ,"Enzyme Immunoassay, Amphetamine",862.3100,2,Clinical Toxicology,TX,225,
DLB,"Radioimmunoassay, Lsd (125-I)",862.3580,2,Clinical Toxicology,TX,7,
DLF,"Enzyme Immunoassay, Ethosuximide",862.3380,2,Clinical Toxicology,TX,9,
DLG,"Coating, Liquid, Glc",862.2250,1,Clinical Chemistry,TX,7,
DLI,"Acetylcholine Chloride, Specific Reagent For Pseudo Cholinesterase",862.3240,1,Clinical Toxicology,TX,6,
DLJ,"Calibrators, Drug Specific",862.3200,2,Clinical Toxicology,TX,123,
DLN,"Hemagglutination, Cocaine Metabolites (Benzoylecgnonine)",862.3250,2,Clinical Toxicology,TX,4,
DLZ,"Enzyme Immunoassay, Phenobarbital",862.3660,2,Clinical Toxicology,TX,35,
DMB,"Gas Chromatography, Methadone",862.3620,2,Clinical Toxicology,TX,1,
DML,"Nad-Nadh, Specific Reagent For Alcohol Enzyme Method",862.3040,2,Clinical Toxicology,TX,13,
DMN,"Thin Layer Chromatography, Cocaine",862.3250,2,Clinical Toxicology,TX,2,
DMT,"Enzymatic Method, Alcohol Dehydrogenase, Ultraviolet",862.3040,2,Clinical Toxicology,TX,8,
DMY,"Gas Chromatography, Morphine",862.3640,2,Clinical Toxicology,TX,1,
DNI,"Liquid Chromatography, Amphetamine",862.3100,2,Clinical Toxicology,TX,1,
DNK,"Thin Layer Chromatography, Morphine",862.3640,2,Clinical Toxicology,TX,4,
DNO,"Hemagglutination Inhibition, Gentamicin",862.3450,2,Clinical Toxicology,TX,1,
DOE,"Radioimmunoassay, Morphine (125-I), Goat Antibody Ammonium Sulfate Sep.",862.3640,2,Clinical Toxicology,TX,12,
DOF,"Lead, Atomic Absorption",862.3550,2,Clinical Toxicology,TX,6,
DPK,"Liquid Chromatography, Morphine",862.3640,2,Clinical Toxicology,TX,2,
DQA,Oximeter,870.2700,2,Cardiovascular,AN,726,
DQK,"Computer, Diagnostic, Programmable",870.1425,2,Cardiovascular,CV,437,
DRR,"Amplifier And Signal Conditioner, Biopotential",870.2050,2,Cardiovascular,CV,24,
DXN,"System, Measurement, Blood-Pressure, Non-Invasive",870.1130,2,Cardiovascular,CV,1225,
EJT,"Alloy, Gold-Based Noble Metal",872.3060,2,Dental,DE,627,
EKJ,"Burnisher, Operative",872.4565,1,Dental,DE,72,
ESD,"Hearing Aid, Air-Conduction, Prescription",874.3300,1,"Ear, Nose, Throat",EN,1367,An air-conduction hearing aid is a wearable sound amplifying device intended to compensate for impaired hearing that conducts sound to the ear through the air. This is a prescription hearing aid.
FPK,"Tubing, Fluid Delivery",880.5440,2,General Hospital,HO,64,
GAA,"Needle, Aspiration And Injection, Disposable",878.4800,1,"General, Plastic Surgery",SU,107,
GFI,"Osteotome, Manual",878.4800,1,"General, Plastic Surgery",SU,6,
GFO,Activated Partial Thromboplastin,864.7925,2,Hematology,HE,52,
GGJ,"Fluid, Diluting, White-Cell",864.8200,1,Hematology,HE,1,
GGN,"Plasma, Coagulation Control",864.5425,2,Hematology,HE,99,
GGO,"Reagent, Thromboplastin And Control",864.7925,2,Hematology,HE,1,
GGP,"Test, Qualitative And Quantitative Factor Deficiency",864.7290,2,Hematology,HE,190,
GGT,"Assay, Erythropoietin",864.7250,2,Hematology,HE,20,
GGW,"Test, Time, Partial Thromboplastin",864.7925,2,Hematology,HE,32,
GHH,Fibrin Split Products,864.7320,2,Hematology,HE,28,
GHM,"Test, Sickle Cell",864.7825,2,Hematology,HE,18,
GHR,"Reagent, Platelet Aggregation",864.5700,2,Hematology,HE,11,
GIA,"Test, Leukocyte Peroxidase",864.7675,1,Hematology,PA,3,
GIG,Hemoglobinometer,864.7500,2,Hematology,HE,3,
GIQ,Hemoglobin S,864.7415,2,Hematology,HE,3,
GIR,"Reagent, Russel Viper Venom",864.8950,1,Hematology,HE,16,
GIS,"Test, Fibrinogen",864.7340,2,Hematology,HE,13,
GIZ,"Plasma, Control, Normal",864.5425,2,Hematology,HE,20,
GJA,"Test, Thrombin Time",864.7875,2,Hematology,HE,20,
GJS,"Test, Time, Prothrombin",864.7750,2,Hematology,HE,127,
GJT,"Plasma, Coagulation Factor Deficient",864.7290,2,Hematology,HE,79,
GJZ,Cyanomethemoglobin Reagent And Standard Solution,864.7500,2,Hematology,HE,2,
GKA,Abnormal Hemoglobin Quantitation,864.7415,2,Hematology,HE,23,
GKF,"Instrument, Hematocrit, Automated",864.5600,2,Hematology,HE,15,
GKG,"Centrifuge, Hematocrit",864.6400,2,Hematology,HE,11,
GKH,"Apparatus, Automated Blood Cell Diluting",864.5240,1,Hematology,HE,14,
GKL,"Counter, Cell, Automated (Particle Counter)",864.5200,2,Hematology,HE,130,
GKN,"Timer, Clot, Automated",864.5400,2,Hematology,HE,3,
GKP,"Instrument, Coagulation, Automated",864.5400,2,Hematology,HE,49,
GKR,"System, Hemoglobin, Automated",864.5620,2,Hematology,HE,39,
GKX,"Instrument, Automated Platelet Counting",864.5200,2,Hematology,HE,2,
GKZ,"Counter, Differential Cell",864.5220,2,Hematology,HE,380,
GLY,Oximeter To Measure Hemoglobin,864.7500,2,Hematology,HE,5,
GLZ,"Antigens, If, Toxoplasma Gondii",866.3780,2,Microbiology,MI,18,
GMD,"Antisera, Latex Agglutination, Cryptococcus Neoformans",866.3165,2,Microbiology,MI,10,
GMM,"Antigens, Iha, Toxoplasma Gondii",866.3780,2,Microbiology,MI,8,
GMQ,"Antigens, Nontreponemal, All",866.3820,2,Microbiology,MI,32,
GMT,"Antigens, Ha, Treponema Pallidum",866.3830,2,Microbiology,MI,9,
GMZ,"Antigens, All Types, Escherichia Coli",866.3255,1,Microbiology,MI,14,
GNA,"Antisera, All Types, Escherichia Coli",866.3255,1,Microbiology,MI,12,
GNB,"Antisera, All Types, Shigella Spp.",866.3660,2,Microbiology,MI,41,
GNC,"Antigens, Febrile, Slide And Tube, All Groups, Salmonella Spp.",866.3550,2,Microbiology,MI,60,
GNM,"Antisera, Fluorescent, Coxsackievirus A 1-24, B 1-6",866.3145,1,Microbiology,MI,9,
GNP,"Antiserum, Cf, Epstein-Barr Virus",866.3235,1,Microbiology,MI,20,
GNR,"Antisera, Neutralization, Influenza Virus A, B, C",866.3330,1,Microbiology,MI,1,
GNT,"Antigens, Ha (Including Ha Control), Influenza Virus A, B, C",866.3330,1,Microbiology,MI,5,
GNW,"Antisera, Cf, Influenza Virus A, B, C",866.3330,1,Microbiology,MI,16,
GNX,"Antigens, Cf (Including Cf Control), Influenza Virus A, B, C",866.3330,1,Microbiology,MI,18,
GNY,"Antisera, Fluorescent, Adenovirus 1-33",866.3020,1,Microbiology,MI,4,
GOD,"Antigens, Cf (Including Cf Control), Adenovirus 1-33",866.3020,1,Microbiology,MI,11,
GOE,"Antisera, Fluorescent, Poliovirus 1-3",866.3405,1,Microbiology,MI,7,
GOG,"Antisera, Cf, Poliovirus 1-3",866.3405,1,Microbiology,MI,3,
GPJ,"Antiserum, Fluorescent, Q Fever",866.3500,1,Microbiology,MI,2,
GPN,"Antiserum, Typhus Fever",866.3500,1,Microbiology,MI,1,
GPO,"Antigen, Cf, Typhus Fever Group",866.3500,1,Microbiology,MI,1,
GQC,"Antisera, Cf, Equine Encephalitis Virus, Eee, Wee",866.3240,1,Microbiology,MI,2,
GQG,"Antigen, Cf (Including Cf Controls), Respiratory Syncytial Virus",866.3480,1,Microbiology,MI,32,
GQH,"Antigen, Cf (Including Cf Control), Cytomegalovirus",866.3175,2,Microbiology,MI,19,
GQI,"Antiserum, Cf, Cytomegalovirus",866.3175,2,Microbiology,MI,18,
GQL,"Antisera, Fluorescent, Herpesvirus Hominis 1,2",866.3305,2,Microbiology,MI,37,
GQN,"Antigen, Cf (Including Cf Control), Herpesvirus Hominis 1,2",866.3305,2,Microbiology,MI,34,
GQP,"Antisera, Neutralization, Parainfluenza Virus 1-4",866.3400,1,Microbiology,MI,2,
GQS,"Antigens, Cf (Including Cf Control), Parainfluenza Virus 1-4",866.3400,1,Microbiology,MI,11,
GQW,"Antigen, Cf, (Including Cf Control), Varicella-Zoster",866.3900,2,Microbiology,MI,10,
GQX,"Antiserum, Cf, Varicella-Zoster",866.3900,2,Microbiology,MI,11,
GRM,"Antisera, All Groups, Salmonella Spp.",866.3550,2,Microbiology,MI,69,
GRY,"Antigens, All, Leptospira Spp.",866.3350,2,Microbiology,MI,2,
GRZ,"Antisera, Fluorescent, All, Mycoplasma Spp.",866.3375,1,Microbiology,MI,5,
GSA,"Antisera, All Mycoplasma Spp.",866.3375,1,Microbiology,MI,6,
GSO,"Antigens (Febrile), Agglutination, Brucella Spp.",866.3085,2,Microbiology,MI,12,
GSQ,"Antiserum, Vibrio Cholerae, All Varieties",866.3930,2,Microbiology,MI,3,
GTJ,"Antisera, All Groups, N. Meningitidis",866.3390,2,Microbiology,MI,16,
GTQ,Antistreptolysin - Titer/Streptolysin O Reagent,866.3720,1,Microbiology,MI,37,
GTY,"Antigens, All Groups, Streptococcus Spp.",866.3740,1,Microbiology,MI,44,
GTZ,"Antisera, All Groups, Streptococcus Spp.",866.3740,1,Microbiology,MI,105,
GWM,"Device, Monitoring, Intracranial Pressure",882.1620,2,Neurology,NE,105,
HIO,"Sampler, Amniotic Fluid (Amniocentesis Tray)",884.1550,1,Obstetrics/Gynecology,OB,20,
HWC,"Screw, Fixation, Bone",888.3040,2,Orthopedic,OR,1065,
IFT,Glutaraldehyde,864.4010,1,Pathology,PA,1,
IGC,Formalin-Saline,864.4010,1,Pathology,PA,2,
ILO,"Pack, Hot Or Cold, Water Circulating",890.5720,2,Physical Medicine,PM,93,
JBB,"Solubility, Hemoglobin, Abnormal",864.7825,2,Hematology,HE,2,
JBD,"System, Analysis, Electrophoretic Hemoglobin",864.7440,2,Hematology,HE,26,
JBF,"Glucose-6-Phosphate Dehydrogenase (Erythrocytic), Screening",864.7360,2,Hematology,HE,5,
JBL,"Glucose-6-Phosphate Dehydrogenase (Erythrocytic), Quantitative",864.7360,2,Hematology,HE,2,
JBP,Activated Whole Blood Clotting Time,864.7140,2,Hematology,HE,24,
JBQ,Antithrombin Iii Quantitation,864.7060,2,Hematology,HE,56,
JCM,"Control, Hemoglobin, Abnormal",864.7415,2,Hematology,HE,12,
JCO,Bothrops Atrox Reagent,864.8100,2,Hematology,HE,7,
JFH,"Acid Phosphatase (Prostatic), Tartrate Inhibited",862.1020,2,Clinical Chemistry,CH,45,
JFJ,"Catalytic Methods, Amylase",862.1070,2,Clinical Chemistry,CH,99,
JFL,"Ph Rate Measurement, Carbon-Dioxide",862.1160,2,Clinical Chemistry,CH,28,
JFM,"Enzymatic Method, Bilirubin",862.1110,2,Clinical Chemistry,CH,11,
JFP,"Electrode, Ion Specific, Calcium",862.1145,2,Clinical Chemistry,CH,29,
JFR,"Indirect Copper Assay, Ceruloplasmin",866.5210,2,Immunology,IM,2,
JFS,"Coulometric, Chloride",862.1170,2,Clinical Chemistry,CH,19,
JFT,"Fluorometric, Cortisol",862.1205,2,Clinical Chemistry,CH,20,
JFY,"Enzymatic Method, Creatinine",862.1225,2,Clinical Chemistry,CH,49,
JGE,"Turbidimetric Method, Globulin",862.1330,1,Clinical Chemistry,CH,1,
JGF,"Differential Rate Kinetic Method, Lactate Dehydrogenase Isoenzymes",862.1445,2,Clinical Chemistry,CH,6,
JGJ,"Photometric Method, Magnesium",862.1495,1,Clinical Chemistry,CH,90,
JGP,"Lowry (Colorimetric), Total Protein",862.1635,2,Clinical Chemistry,CH,5,
JGQ,"Turbidimetric, Total Protein",862.1635,2,Clinical Chemistry,CH,13,
JGS,"Electrode, Ion Specific, Sodium",862.1665,2,Clinical Chemistry,CH,162,
JGY,"Colorimetric Method, Triglycerides",862.1705,1,Clinical Chemistry,CH,22,
JHG,"Chromatographic Separation, Lecithin/Sphingomyelin Ratio",862.1455,2,Clinical Chemistry,CH,7,
JHI,"Visual, Pregnancy Hcg, Prescription Use",862.1155,2,Clinical Chemistry,CH,375,
JHJ,"Agglutination Method, Human Chorionic Gonadotropin",862.1155,2,Clinical Chemistry,CH,96,
JHM,"Colorimetric Method, Lipoproteins",862.1475,1,Clinical Chemistry,CH,9,
JHN,"Turbidimetric Method, Lipoproteins",862.1475,1,Clinical Chemistry,CH,7,
JHO,"Electrophoretic Separation, Lipoproteins",862.1475,1,Clinical Chemistry,CH,26,
JHR,"Radioimmunoassay, Immunoglobulins (D, E)",866.5510,2,Immunology,IM,9,
JHS,"Differential Rate Kinetic Method, Cpk Or Isoenzymes",862.1215,2,Clinical Chemistry,CH,38,
