# Structure-ready predicted PPIs touching the immune/exhaustion module.
# Source: Grishin lab humanPPI (RF2-PPI/AF2), 90% set. Templates = PDB IDs.
# Feed a template PDB ID to interface_residues.py to extract binding-site residues.
name1	name2	rfprob	afprob	pdbtemp	exact	ortho	homo
BTLA	TNFRSF14	0.998	0.9985	exact	2aw2	none	6nyp
FOS	JUNB	0.998	0.9976	homolog	none	none	1s9k,7ucd,5vpa,5vpf
FOSL1	FOSB	0.9976	0.04504	homolog	none	none	6uci,6ucm
IFNG	IFNGR1	0.9976	0.9585	exact	1fyh,6e3k,6e3l,1fg9	none	none
TCF4	ID3	0.997	0.0	homolog	none	none	6mgn
ID2	NHLH2	0.997	0.01487	homolog	none	none	6mgm,4aya,6u2u
ATF7	FOSB	0.997	0.02582	homolog	none	none	1s9k,7ucd,5vpa,5vpf
FOS	ATF7	0.995	0.02197	homolog	none	none	1s9k,7ucd,5vpa,5vpf
FOS	FOSL1	0.995	0.0635	homolog	none	none	6uci,6ucm
FOSB	CREB5	0.9946	0.03763	homolog	none	none	7ucd,5vpa,5vpf,5vpd
CD226	TIGIT	0.9937	0.999	homolog	none	none	4fmf,6isc,5b21,3udw
FOSL2	FOSB	0.985	0.06244	homolog	none	none	6uci,6ucm
ID3	TCF12	0.9824	0.0	homolog	none	none	6mgn
B2M	PDCD1	0.9814	0.09265	homolog	none	none	6vmx,6mng,6cqq,7jwi
FOS	ATF2	0.978	0.01488	homolog	none	none	1s9k,7ucd,5vpa,5vpf
IFNG	IFNGR2	0.97	0.831	exact	6e3k,6e3l	none	none
TCF3	ID3	0.9697	0.003292	homolog	none	none	6mgn
IL7	IL7R	0.9634	0.9976	exact	3di3,3di2	none	none
FOS	CREB5	0.9556	0.04147	homolog	none	none	7ucd,5vpa,5vpf,5vpd
TCF3	ID2	0.9404	0.0	homolog	none	none	6mgn,2ypa,2ypb
JUN	ATF2	0.938	0.07526	exact	1t2k	none	none
TNFSF14	TNFRSF14	0.932	0.7197	exact	4rsu,7msg	none	6a3v,3k51,4j6g,7kp7
CD226	NECTIN4	0.9126	0.986	homolog	none	none	6arq,4fmf,6isc,5b21
PDCD1	PDCD1LG2	0.835	0.999	exact	6umt	3bp6,3rnk,3rnq,3bp5	3sbw,5ius,3bik,4zqk
IL7R	IL2RG	0.777	0.9727	ortholog	none	8ddc	8ent,5j11,5j12
CTLA4	LCN12	0.753	0.3933	homolog	none	none	3bx7
IFNGR1	IFNGR2	0.6567	0.565	exact	6e3k,6e3l	none	none
CD80	CD274	0.5703	0.01692	exact	7tps	none	none
CD28	CD274	0.4705	0.2146	homolog	none	none	1i85
CTLA4	CD274	0.4495	0.036	homolog	none	none	1i85
IL7R	MPL	0.3552	0.945	homolog	none	none	8ent,3tgx,4nzd,7z0l
CD226	NECTIN2	0.2976	0.9956	homolog	none	none	6arq,3j9f,4fmf,6isc
HLA-DRB5	CD274	0.2644	0.986	homolog	none	none	7c88,5ggt,4zso,7yds
IL7R	CRLF2	0.2054	0.959	exact	5j11	5j12	8ent,4nn7,4nn6
BCL6	KLHL20	0.1671	0.999	homolog	none	none	2ihc,8h34,8w4j,4cp3
PVR	CD96	0.151	0.995	exact	6arq	none	5b22
BCL6	BCL6B	0.1378	0.9863	homolog	none	none	2ihc,8h34,8w4j,4cp3
BCL6	KLHL12	0.1214	0.999	homolog	none	none	2ihc,8h34,8w4j,4cp3
BCL6	ZBTB16	0.1123	0.999	homolog	none	none	2ihc,8h34,4cp3,3ga1
BCL6	ZBTB17	0.1004	0.9976	homolog	none	none	2ihc,8h34,8w4j,4cp3
CD28	CD80	0.1	0.9663	homolog	none	none	1i8l
BCL6	NACC1	0.09247	0.998	homolog	none	none	2ihc,8h34,8w4j,4cp3
ZBTB7B	BCL6	0.082	0.9995	homolog	none	none	2ihc,8h34,4cp3,3ga1
ZBTB7A	BCL6	0.0689	1.0	homolog	none	none	2ihc,8h34,8w4j,4cp3
CD28	CD86	0.063	0.998	homolog	none	none	1i8l,1i85
TIGIT	NECTIN2	0.03287	0.9907	exact	5v52	none	3j9f,4fmf,5b21,4frw
IL2RG	IL21	0.02869	0.9897	exact	8ent	none	none
CD86	ICOS	0.01042	0.9307	homolog	none	none	6x4g
CTLA4	CD86	0.004723	0.9937	exact	1i85	none	1i8l
