gene,depmap_mean_gene_effect,depmap_n_cell_lines
ADAM12,-0.05239563735096686,1100.0
ADAM15,-0.04755542186205111,1100.0
ADAM17,0.0416633270743164,1100.0
ADAM18,0.22451515867603433,1100.0
ADAM19,0.1815791765111783,1100.0
ADAM2,-0.05314857396363561,1100.0
ADAM20,0.11248163021147722,1100.0
ADAM21,-0.02592399387717213,1100.0
ADAM22,-0.14077845419110036,1100.0
ADAM23,-0.03488650924549824,1100.0
ADAM28,0.12910254723225162,1100.0
ADAM29,0.07286023551688985,1100.0
ADAM30,-0.11648824306132109,1100.0
ADAM32,0.06045998915481882,1100.0
ADAM33,-0.06091142273518699,1100.0
ADAM7,0.06590630226693249,1100.0
ADAM8,0.15231700602242382,1100.0
ADAM9,-0.021340607945771774,1100.0
ADAMDEC1,0.08645692536461455,1100.0
ADAMTS1,-0.01929313519372304,1100.0
ADAMTS10,-0.1394743663926161,1100.0
ADAMTS12,0.09320087681247066,1100.0
ADAMTS13,0.02690288657053493,1100.0
ADAMTS14,0.032859282429742676,1100.0
ADAMTS15,0.008457708629143737,1100.0
ADAMTS16,0.17534404470999046,1100.0
ADAMTS17,-0.02751956283123426,1100.0
ADAMTS18,0.0890221225861055,1100.0
ADAMTS19,0.06684577555419574,1100.0
ADAMTS2,0.006368931534159111,1100.0
ADAMTS20,-0.16354601012989597,1100.0
ADAMTS3,-0.16541353486428687,1100.0
ADAMTS4,-0.19181485157197548,1100.0
ADAMTS5,0.04924689278545309,1100.0
ADAMTS6,-0.024142975788745812,1100.0
ADAMTS7,0.1152628461229255,324.0
ADAMTS8,0.0717153501945064,1100.0
ADAMTS9,-0.13131308395269808,1100.0
ADAMTSL1,0.0528513698529076,1100.0
ADAMTSL2,0.03918034190350967,1100.0
ADAMTSL3,0.017765869987992716,1100.0
ADAMTSL4,-0.23605824003491302,1100.0
ADAMTSL5,-0.19808896880585983,1100.0
ADAP1,-0.009064839534738658,1100.0
ADAP2,-0.12237301293960898,1100.0
ADAR,-0.5489187944125448,1100.0
ADARB1,0.09486319505436348,1100.0
ADARB2,-0.02167071506547215,1100.0
ADAT1,-0.02104933039791886,1100.0
ADAT2,-0.20225529502979045,1100.0
ADAT3,-0.30303990340213516,1100.0
ADCK1,0.02593095716393145,1100.0
ADCK2,-0.13273196813733365,1100.0
ADCK5,-0.03929455885047485,1100.0
ADCY1,0.026959695519483896,1100.0
ADCY10,0.06438985138777889,1100.0
ADCY2,0.1000374972779032,1100.0
ADCY3,-0.08211508907577122,1100.0
ADCY4,-0.1841043433216648,1100.0
ADCY5,0.293456347838238,1100.0
ADCY6,-0.036857970737621454,1100.0
ADCY7,0.12787638979854096,1100.0
ADCY8,-0.02762906588896601,1100.0
ADCY9,0.19318367817264423,1100.0
ADCYAP1,0.34314346355991515,1100.0
ADCYAP1R1,0.08129530179443986,1100.0
ADD1,-0.05904681853069946,1100.0
ADD2,-0.03842557753899626,1100.0
ADD3,0.031080408845032246,1100.0
ADGRA1,0.014333867683846794,1100.0
ADGRA2,0.03403018633657714,1100.0
ADGRA3,-0.10738619468728085,1100.0
ADGRB1,0.21941116261289004,1100.0
ADGRB2,-0.12844841201643298,1100.0
ADGRB3,-0.013118145085301621,1100.0
ADGRD1,-0.026331689822005927,1100.0
ADGRD2,-0.2808273483373577,15.0
ADGRE1,-0.040327130887748266,1100.0
ADGRE2,-0.14205970911463836,1100.0
ADGRE3,-0.026199020023882354,1100.0
ADGRE5,0.05336488781301675,1100.0
ADGRF1,0.019319471645413082,1100.0
ADGRF3,0.0761380613377594,1100.0
ADGRF4,0.057160362348914764,1100.0
ADGRF5,-0.15695237543129617,1100.0
ADGRG1,-0.03188443942821257,1100.0
ADGRG2,0.11930105864234405,1100.0
ADGRG3,-0.08910293161871477,1100.0
ADGRG4,0.08423370828607735,1100.0
ADGRG5,0.01742067259231569,1100.0
ADGRG6,0.1476690220457685,1100.0
ADGRG7,-0.04831574531485991,1100.0
ADGRL1,-0.007061132119816532,1100.0
ADGRL2,-0.0829934307178703,1100.0
ADGRL3,-0.08388375168971182,1100.0
ADGRL4,0.026803143305768343,1100.0
ADGRV1,-0.016602931046389043,1100.0
ADH1A,0.033754835826905326,1100.0
ADH1B,0.060630914703111834,1100.0
ADH1C,-0.39732080987673396,15.0
ADH4,0.11065520825072396,1100.0
ADH5,-0.28056056634921855,1100.0
ADH6,-0.010028609109113072,1100.0
ADH7,0.11619580154118754,1100.0
ADHFE1,-0.17200901970401192,1100.0
ADI1,0.05577264788946638,1100.0
ADIG,0.017220301717517116,1100.0
ADIPOQ,0.13464113418956827,1100.0
ADIPOR1,0.051271302406763024,1100.0
ADIPOR2,-0.023137946664055577,1100.0
ADIRF,-0.051640180123603836,1100.0
ADK,0.0782768502685063,1100.0
ADM,0.03360255999587759,1100.0
ADM2,0.08538627583504758,1100.0
ADM5,-0.06936941568471305,1100.0
ADNP,-0.1729369417731985,1100.0
ADNP2,-0.03411540773643912,1100.0
ADO,0.037332140437277526,1100.0
ADORA1,-0.016643650774762327,1100.0
ADORA2A,0.08950852962773291,1100.0
ADORA2B,0.04501219309283013,1100.0
ADORA3,0.19018316725090198,324.0
ADPGK,0.06522166575230878,1100.0
ADPRH,-0.030541210519777696,1100.0
ADPRHL1,-0.05287932240980777,1100.0
ADPRM,0.020641547330621717,1100.0
ADPRS,-0.15654237280450423,1100.0
ADRA1A,0.11286852386411787,1100.0
ADRA1B,-0.026285607353652294,1100.0
ADRA1D,0.0287252716116954,1100.0
ADRA2A,0.20072728232151155,1100.0
ADRA2B,-0.09165617972454454,1100.0
ADRA2C,0.011015818960360977,1100.0
ADRB1,0.16374712454752338,1100.0
ADRB2,0.02590052397725771,1100.0
ADRB3,0.011108267235056314,1100.0
ADRM1,-0.365592163841684,1100.0
ADSL,-0.9617764797771513,1100.0
ADSS1,0.00613309563850952,1100.0
ADSS2,-0.518667969434061,1100.0
ADTRP,0.09100169255327338,1100.0
AEBP1,0.08019155062263494,1100.0
AEBP2,0.01993085570476125,1100.0
AEN,-0.008071420037275864,1100.0
AFAP1,0.08365801939253387,1100.0
AFAP1L1,-0.003708842359289564,1100.0
AFAP1L2,-0.006790200463193149,1100.0
AFDN,-0.01871615062478159,1100.0
AFF1,0.024255080380308346,1100.0
AFF2,0.03961035397668333,1100.0
AFF3,-0.1962192610943263,1100.0
AFF4,-0.06975314573288573,1100.0
AFG1L,0.13859520487467428,1100.0
AFG3L2,-1.2209825508867056,1100.0
AFM,0.04111768045320787,1100.0
AFMID,-0.03654884048544773,1100.0
AFP,-0.04102057001536798,1100.0
AFTPH,0.04874051788205459,1100.0
AGA,0.06288849407161688,1100.0
AGAP1,0.03038617524868543,1100.0
AGAP2,-0.2694836698204833,1100.0
AGAP3,0.14711768570934958,1100.0
AGAP5,-0.5496295519913557,975.0
AGAP6,-0.5356591054069697,1100.0
AGAP9,-0.32312875742821523,975.0
AGBL1,0.045516772261577465,1100.0
AGBL2,0.025713968091217627,1100.0
AGBL3,-0.16151370044213903,1100.0
AGBL4,-0.1531865684138639,1100.0
AGBL5,-0.06646789276120915,1100.0
AGER,0.09415777374284422,1100.0
AGFG1,0.08161236156606719,1100.0
AGFG2,-0.03301851503432863,1100.0
AGGF1,0.13023356699105115,1100.0
AGK,-0.015152097476547546,1100.0
AGL,-0.13901368209714232,1100.0
AGMAT,-0.00038902659622663935,1100.0
AGMO,0.04005581833956519,1100.0
AGO1,-0.1286325481226277,1100.0
AGO2,0.08109865663022084,1100.0
AGO3,-0.19669369264567704,1100.0
AGO4,-0.0622495574895134,1100.0
AGPAT1,-0.12000064015315749,1100.0
AGPAT2,-0.12128522444253494,1100.0
AGPAT3,0.02453401524653567,1100.0
AGPAT4,0.11148366386699324,1100.0
AGPAT5,0.04143990664616936,1100.0
AGPS,0.007278542310091105,1100.0
AGR2,-0.010685508018852145,1100.0
AGR3,0.000934398632637966,1100.0
AGRN,-0.08243014792610204,1100.0
AGRP,-0.09946420423870729,1100.0
AGT,0.027186901976326092,1100.0
AGTPBP1,0.022180833544503127,1100.0
AGTR1,-0.09969048445870878,1100.0
AGTR2,0.04208353379347968,1100.0
AGTRAP,0.1066382261027606,1100.0
AGXT,0.0879345623558276,1100.0
AGXT2,0.12299298806642603,1100.0
AHCTF1,-1.1095167673189532,1100.0
AHCY,-0.56995780406405,1100.0
AHCYL1,-0.41206861565574077,1100.0
AHCYL2,-0.09578216025254722,1100.0
AHDC1,-0.13904606338685466,1100.0
AHI1,-0.13058040194817797,1100.0
AHNAK,-0.21607632220316275,1100.0
AHNAK2,0.09986481713337036,1100.0
AHR,-0.012705514704724521,1100.0
AHRR,-0.07463484310974783,1100.0
AHSA1,-0.04966254690850613,1100.0
AHSG,-0.022227028578899972,1100.0
AHSP,0.10157106595359576,1100.0
AICDA,0.02989434603888214,1100.0
AIDA,0.029369873028195617,1100.0
AIF1,-0.18834161274736738,1100.0
AIF1L,-0.0667657472288894,1100.0
AIFM1,-0.3782700926560796,1100.0
AIFM2,-0.016195058458634736,1100.0
AIFM3,-0.09605715480599217,1100.0
AIG1,0.06833139951281421,1100.0
AIM2,0.0558990210826106,1100.0
AIMP1,-0.07022604522957257,1100.0
AIMP2,-0.17123707454840206,1100.0
AIP,-0.09812287973384592,1100.0
AIPL1,-0.0885135915584803,1100.0
AIRE,0.16298195716960587,1100.0
AJAP1,0.062107560729835934,1100.0
AJM1,-0.20171624320470935,1100.0
AJUBA,0.023258144501699718,1100.0
AK1,-0.19681437893713047,1100.0
AK2,-0.08498252835665518,1100.0
AK3,-0.07185951303129999,1100.0
AK4,-0.4324961593857317,1100.0
AK5,0.061299766648575386,1100.0
AK6,-1.1301351197566187,1100.0
AK7,0.0014634101378309628,1100.0
AK8,-0.08573652475557036,1100.0
AK9,0.06053918223073838,1100.0
AKAIN1,0.15515521869211496,1100.0
AKAP1,-0.0946292451620444,1100.0
AKAP10,-0.06314962726875148,1100.0
AKAP11,-0.023370949837917286,1100.0
AKAP12,-0.06683903761091187,1100.0
AKAP13,-0.0010643915450222268,1100.0
AKAP14,0.048319528076466056,1100.0
AKAP17A,-0.18805680547950052,15.0
AKAP3,-0.11670392391627837,1100.0
AKAP4,-0.027760776559175117,1100.0
AKAP5,-0.03802068162428897,1100.0
AKAP6,-0.04388403479443502,1100.0
AKAP7,0.025127510258229773,1100.0
AKAP8,-0.040958986582361974,1100.0
AKAP8L,-0.21362508038601158,1100.0
AKAP9,-0.03406265777145397,1100.0
AKIP1,-0.10977334731631364,1100.0
AKIRIN1,-0.25940192694516057,1100.0
AKIRIN2,-1.1097477505559084,1100.0
AKNA,-0.05560580633129715,1100.0
AKNAD1,-0.1010372392955159,1100.0
AKR1A1,0.06732159847780261,1100.0
AKR1B1,0.04562200542769593,1100.0
AKR1B10,0.08933929197220689,1100.0
AKR1B15,-0.2519761962748559,1100.0
AKR1C2,0.004679164151568199,1100.0
AKR1C3,0.04041687549158906,1100.0
AKR1C4,0.14482002924036974,1100.0
AKR1D1,-0.1498631184540754,1100.0
AKR1E2,0.15311446960371702,1100.0
AKR7A2,0.026123833233140895,1100.0
AKR7A3,-0.13840887968592383,1100.0
AKT1,-0.06337255734554878,1100.0
AKT1S1,0.05420126909481712,1100.0
AKT2,0.09774651628925016,1100.0
AKT3,0.09520909137119993,1100.0
AKTIP,-0.34661055195405155,1100.0
ALAD,-0.08302448939988079,1100.0
ALAS1,-0.20635956142177886,1100.0
ALAS2,0.11585664382562964,1100.0
ALB,0.07276957645889343,1100.0
ALCAM,-0.08229062288060962,1100.0
ALDH16A1,0.02611703601223411,1100.0
ALDH18A1,-0.16344797229603347,1100.0
ALDH1A1,0.046168849767219876,1100.0
ALDH1A2,-0.04779604446801062,1100.0
ALDH1A3,0.09184012394929442,1100.0
ALDH1B1,0.008526354878293228,1100.0
ALDH1L1,0.07474840787113708,1100.0
ALDH1L2,-0.046657654328876745,1100.0
ALDH2,0.03747282392899877,1100.0
ALDH3A1,0.055679559754212384,1100.0
ALDH3A2,0.027830796498717753,1100.0
ALDH3B1,-0.886216627855927,15.0
ALDH3B2,0.16614246501836927,1100.0
ALDH4A1,-0.03387266049648006,1100.0
ALDH5A1,-0.020181057029510903,1100.0
ALDH6A1,-0.03875640169705278,1100.0
ALDH7A1,-0.05793139637731151,1100.0
ALDH8A1,0.01894661224917053,1100.0
ALDH9A1,-0.11815288630357534,1100.0
ALDOA,-1.250761307368719,1100.0
ALDOB,-0.045837504815888934,1100.0
ALDOC,-0.30914437414279566,1100.0
ALG1,-0.9875528083384626,1100.0
ALG10,-0.17144556885178214,1100.0
ALG10B,-0.3568947676962461,1100.0
ALG11,-1.4228745449211262,1100.0
ALG12,-0.07537884258171781,1100.0
ALG13,-0.7751170557822274,1100.0
ALG14,-0.8548897524231583,1100.0
ALG2,-1.4718382684510625,1100.0
ALG3,-0.06708995817628463,1100.0
ALG5,-0.3005075849870088,1100.0
ALG6,-0.2108094443530843,1100.0
ALG8,-0.31304711561241655,1100.0
ALG9,-0.17280906558859796,1100.0
ALK,-0.03568121015949172,1100.0
ALKAL1,-0.1321826753050229,1100.0
ALKAL2,0.21319734457950187,1100.0
ALKBH1,-0.06152538250512412,1100.0
ALKBH2,-0.029537816060618026,1100.0
ALKBH3,-0.1589012807254674,1100.0
ALKBH4,-0.1729982326200989,1100.0
ALKBH5,-0.1894341939659403,1100.0
ALKBH6,0.19475743209295496,1100.0
ALKBH7,-0.22648330449727472,1100.0
ALKBH8,-0.10582040846046352,1100.0
ALLC,-0.11757945541791005,1100.0
ALMS1,-0.17645890916029247,1100.0
ALOX12,0.11976238425556415,1100.0
ALOX12B,0.023130618951588355,1100.0
ALOX15,0.013099131151200849,1100.0
ALOX15B,0.04481231514654003,1100.0
ALOX5,-0.12338656915035744,1100.0
ALOX5AP,0.07657043522240704,1100.0
ALOXE3,-0.07181670177635072,1100.0
ALPG,-0.043780701664058036,1098.0
ALPI,0.07222377359097829,1100.0
ALPK1,-0.05713345463945106,1100.0
ALPK2,0.2141150899349873,1100.0
ALPK3,-0.15356619440739905,324.0
ALPL,0.008749589421791987,1100.0
ALPP,0.11018921422415778,1100.0
ALS2,-0.03820127649473725,1100.0
ALS2CL,-0.04455811307306079,1100.0
ALX1,0.04800578610322082,1100.0
ALX3,-0.31564797481754386,1100.0
ALX4,-0.0035352641117952456,1100.0
ALYREF,-1.3061929057580735,1100.0
AMACR,-0.017414995073862582,1100.0
AMBN,-0.020312051589866327,1100.0
AMBP,0.028713016169955,1100.0
AMBRA1,-0.07494811896521976,1100.0
AMD1,-0.4680510147789837,1100.0
AMDHD1,-0.10344415593567358,1100.0
AMDHD2,-0.038842749075557306,1100.0
AMELX,0.048114807855893386,1100.0
AMELY,0.2843313361372209,324.0
AMER1,0.007935299890541722,1100.0
AMER2,-0.08142062148268289,1100.0
AMER3,-0.10336233190969066,1100.0
AMFR,0.007530684426782554,1100.0
AMH,0.07345689821911862,1100.0
AMHR2,0.01815835857643564,1100.0
AMIGO1,-0.12278067929229883,1100.0
AMIGO2,0.021792211528139368,1100.0
AMIGO3,-0.08216318440097851,1100.0
AMMECR1,0.08128418625193043,1100.0
AMMECR1L,-0.14669912914336927,1100.0
AMN,0.0362328760488031,1100.0
AMN1,0.17538982535962022,1100.0
AMOT,0.09092014839420627,1100.0
AMOTL1,-0.004564010654428448,1100.0
AMOTL2,0.1448534046034162,1100.0
AMPD1,-0.23924414628459628,1100.0
AMPD2,-0.07308850075468704,1100.0
AMPD3,-0.007853082310208396,1100.0
AMPH,0.05040947678729497,1100.0
AMT,-0.02078803504785413,1100.0
AMTN,0.07626327293768287,1100.0
AMY2A,-0.3322160641835255,1098.0
AMZ1,0.00931133552762025,1100.0
AMZ2,-0.06837661921028947,1100.0
ANAPC1,-1.6160225485519952,1100.0
ANAPC10,-1.5284197784071398,1100.0
ANAPC11,-1.5138149156851077,1100.0
ANAPC13,-0.4562072826781896,1100.0
ANAPC15,-0.46422123074717025,1100.0
ANAPC16,-0.03777444670838036,1100.0
ANAPC2,-1.345293169313609,1100.0
ANAPC4,-1.1589618269140183,1100.0
ANAPC5,-1.3569668118920077,1100.0
ANAPC7,-0.17690033184236983,1100.0
ANG,-0.08508091259009155,1100.0
ANGEL1,-0.020200510369071282,1100.0
ANGEL2,-0.132538461212149,1100.0
ANGPT1,-0.050742877446208506,1100.0
ANGPT2,0.07586449747611039,1100.0
ANGPT4,0.1920869375169673,1100.0
ANGPTL1,-0.0212516131985742,1100.0
ANGPTL2,0.061857460136536195,1100.0
ANGPTL3,0.02169651159101222,1100.0
ANGPTL4,-0.036943708042833805,1100.0
ANGPTL5,0.008898057841470504,1100.0
ANGPTL6,-0.14102790382250213,1100.0
ANGPTL7,0.03249653581246473,1100.0
ANGPTL8,0.0181581344897924,1100.0
ANHX,-0.029738120826287243,1100.0
ANK1,0.014579216169821928,1100.0
ANK2,-0.000995343483433928,1100.0
ANK3,-0.13914295428155107,1100.0
ANKAR,0.015378857858170017,1100.0
ANKDD1A,-0.06096432983273316,1100.0
ANKDD1B,0.11889069100306932,1100.0
ANKEF1,0.10841556488754636,1100.0
ANKFN1,-0.03204505682937125,1100.0
ANKFY1,-0.14013270960382995,1100.0
ANKH,0.03039697099798426,1100.0
ANKHD1,-0.10408422070113935,1100.0
ANKIB1,-0.044061858556417074,1100.0
ANKK1,0.08759007312827613,1100.0
ANKLE1,-0.05444747899774935,1100.0
ANKLE2,-2.2566452756734163,1100.0
ANKMY1,-0.0183216205344122,1100.0
ANKMY2,-0.16373371563920927,1100.0
ANKRA2,-0.11368494157460776,1100.0
ANKRD1,-0.07438616442066287,1100.0
