gene,protein_name,topology_class,max_ecd_segment,uniprot_subcellular,exclusion_reason
CHPT1,Cholinephosphotransferase 1,multi-pass (8 TM),34,Golgi apparatus membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (golgi apparatus membrane)
CHRM1,Muscarinic acetylcholine receptor M1,multi-pass (7 TM),24,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)",no extracellular segment >= 25 aa
CHRM2,Muscarinic acetylcholine receptor M2,multi-pass (7 TM),22,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)",no extracellular segment >= 25 aa
CLN3,Battenin,multi-pass (6 TM),65,Late endosome;Lysosome membrane (Multi- pass membrane protein),localisation: no plasma-membrane entry (late endosome; lysosome membrane)
CUZD1,CUB and zona pellucida-like domain-containing protein 1,type I,544,"Cytoplasmic vesicle, secretory vesicle membrane (Single-pass type I membrane protein)","localisation: no plasma-membrane entry (cytoplasmic vesicle, secretory vesicle membrane)"
DAGLA,Sn1-specific diacylglycerol lipase alpha,multi-pass (4 TM),17,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
DAGLB,Sn1-specific diacylglycerol lipase beta,multi-pass (4 TM),12,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
DCT,L-dopachrome tautomerase,type I,447,Melanosome membrane (Single-pass type I membrane protein),localisation: no plasma-membrane entry (melanosome membrane)
DIRC2,Disrupted in renal carcinoma protein 2,multi-pass (12 TM),24,Lysosome membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (lysosome membrane)
EBP,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",multi-pass (5 TM),36,Endoplasmic reticulum membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (endoplasmic reticulum membrane)
EQTN,Equatorin,type I,162,"Cytoplasmic vesicle, secretory vesicle, acrosome inner membrane (Single-pass type I membrane protein);Cytoplasmic vesicle, secretory vesicle, acrosome membrane (Single-pass type I membrane protein);Cytoplasmic vesicle, secretory vesicle, acrosome outer membrane (Single-pass type I membrane protein)","localisation: no plasma-membrane entry (cytoplasmic vesicle, secretory vesicle, acrosome inner membrane; cytoplasmic vesicle, secretory vesicle, acrosome membrane; cytoplasmic vesicle, secretory vesicle, acrosome outer membrane)"
ERMP1,Endoplasmic reticulum metallopeptidase 1,multi-pass (9 TM),311,Endoplasmic reticulum membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (endoplasmic reticulum membrane)
ESYT3,Extended synaptotagmin-3,multi-pass (2 TM),5,Cell membrane (Peripheral membrane protein);Endoplasmic reticulum membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
FAIM2,Protein lifeguard 2,multi-pass (7 TM),12,"Cell junction, synapse, postsynaptic cell membrane;Cell membrane (Multi-pass membrane protein);Membrane raft",no extracellular segment >= 25 aa
FLVCR1,Feline leukemia virus subgroup C receptor-related protein 1,multi-pass (12 TM),19,Cell membrane (Multi-pass membrane protein);Mitochondrion membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
FLVCR2,Feline leukemia virus subgroup C receptor-related protein 2,multi-pass (12 TM),19,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
GALR3,Galanin receptor type 3,multi-pass (7 TM),22,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
GFY,Golgi-associated olfactory signaling regulator,type I,384,Golgi apparatus membrane (Single-pass type I membrane protein),localisation: no plasma-membrane entry (golgi apparatus membrane)
GPBAR1,G-protein coupled bile acid receptor 1,multi-pass (7 TM),20,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
GPR107,Protein GPR107,multi-pass (7 TM),246,"Golgi apparatus, trans-Golgi network membrane (Multi-pass membrane protein)","localisation: no plasma-membrane entry (golgi apparatus, trans-golgi network membrane)"
GPR119,Glucose-dependent insulinotropic receptor,multi-pass (7 TM),20,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
GPR123,Probable G-protein coupled receptor 123,multi-pass (7 TM),23,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
GPR137B,Integral membrane protein GPR137B,multi-pass (7 TM),46,Lysosome membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (lysosome membrane)
GPR153,Probable G-protein coupled receptor 153,multi-pass (7 TM),20,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
GPR160,Probable G-protein coupled receptor 160,multi-pass (7 TM),24,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
GPR162,Probable G-protein coupled receptor 162,multi-pass (7 TM),19,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
GPR26,G-protein coupled receptor 26,multi-pass (7 TM),19,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
GPR35,G-protein coupled receptor 35,multi-pass (7 TM),22,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
GPR55,G-protein coupled receptor 55,multi-pass (7 TM),23,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
GPR62,Probable G-protein coupled receptor 62,multi-pass (7 TM),24,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
GPR78,G-protein coupled receptor 78,multi-pass (7 TM),19,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
GPR84,G-protein coupled receptor 84,multi-pass (7 TM),22,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
GPRC5B,G-protein coupled receptor family C group 5 member B,multi-pass (7 TM),23,Cell membrane (Multi-pass membrane protein);Cytoplasmic vesicle membrane (Multi- pass membrane protein),no extracellular segment >= 25 aa
GPRC5D,G-protein coupled receptor family C group 5 member D,multi-pass (7 TM),23,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
GSG1,Germ cell-specific gene 1 protein,multi-pass (3 TM),121,Endoplasmic reticulum membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (endoplasmic reticulum membrane)
HEPACAM2,HEPACAM family member 2,type I,319,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome;Cytoplasm, cytoskeleton, spindle;Golgi apparatus membrane (Single-pass type I membrane protein);Midbody","localisation: no plasma-membrane entry (cytoplasm, cytoskeleton, microtubule organizing center, centrosome; cytoplasm, cytoskeleton, spindle; golgi apparatus membrane)"
HLA-DMA,"HLA class II histocompatibility antigen, DM alpha chain",type I,206,Late endosome membrane (Single-pass type I membrane protein);Lysosome membrane (Single-pass type I membrane protein),localisation: no plasma-membrane entry (late endosome membrane; lysosome membrane)
HLA-DMB,"HLA class II histocompatibility antigen, DM beta chain",type I,198,Late endosome membrane (Single-pass type I membrane protein);Lysosome membrane (Single-pass type I membrane protein),localisation: no plasma-membrane entry (late endosome membrane; lysosome membrane)
HLA-DOA,"HLA class II histocompatibility antigen, DO alpha chain",type I,193,Endosome membrane (Single-pass type I membrane protein);Lysosome membrane (Single-pass type I membrane protein),localisation: no plasma-membrane entry (endosome membrane; lysosome membrane)
HLA-DOB,"HLA class II histocompatibility antigen, DO beta chain",type I,206,Endosome membrane (Single-pass type I membrane protein);Lysosome membrane (Single-pass type I membrane protein),localisation: no plasma-membrane entry (endosome membrane; lysosome membrane)
HRH4,Histamine H4 receptor,multi-pass (7 TM),19,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
HTR1E,5-hydroxytryptamine receptor 1E,multi-pass (7 TM),22,Cell membrane (Multi- pass membrane protein),no extracellular segment >= 25 aa
HTR1F,5-hydroxytryptamine receptor 1F,multi-pass (7 TM),23,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
HTR2C,5-hydroxytryptamine receptor 2C,multi-pass (7 TM),23,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
IGF2R,Cation-independent mannose-6-phosphate receptor,type I,2262,Lysosome membrane (Single-pass type I membrane protein),localisation: no plasma-membrane entry (lysosome membrane)
KCNG4,Potassium voltage-gated channel subfamily G member 4,multi-pass (6 TM),24,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
KCNJ12,ATP-sensitive inward rectifier potassium channel 12,multi-pass (2 TM),16,Cell membrane (Multi-pass membrane protein);Membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
KCNJ3,G protein-activated inward rectifier potassium channel 1,multi-pass (2 TM),24,Membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
LAMP3,Lysosome-associated membrane glycoprotein 3,type I,354,Cytoplasmic vesicle membrane (Single-pass type I membrane protein);Lysosome membrane (Single-pass type I membrane protein),localisation: no plasma-membrane entry (cytoplasmic vesicle membrane; lysosome membrane)
LDLRAD4,Low-density lipoprotein receptor class A domain-containing protein 4,type I,64,Early endosome membrane (Single-pass membrane protein),localisation: no plasma-membrane entry (early endosome membrane)
LMAN2,Vesicular integral-membrane protein VIP36,type I,278,Endoplasmic reticulum membrane (Single-pass type I membrane protein);Endoplasmic reticulum-Golgi intermediate compartment membrane (Single-pass type I membrane protein);Golgi apparatus membrane (Single-pass membrane protein),localisation: no plasma-membrane entry (endoplasmic reticulum membrane; endoplasmic reticulum-golgi intermediate compartment membrane; golgi apparatus membrane)
LMAN2L,VIP36-like protein,type I,267,Endoplasmic reticulum membrane (Single-pass type I membrane protein);Golgi apparatus membrane (Single-pass type I membrane protein),localisation: no plasma-membrane entry (endoplasmic reticulum membrane; golgi apparatus membrane)
LMBR1,Limb region 1 protein homolog,multi-pass (9 TM),24,Membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
LMBRD1,Probable lysosomal cobalamin transporter,multi-pass (9 TM),58,Lysosome membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (lysosome membrane)
LRIT1,"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 1",type I,505,Endoplasmic reticulum membrane (Single-pass type I membrane protein),localisation: no plasma-membrane entry (endoplasmic reticulum membrane)
LRIT3,"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 3",type I,557,Endoplasmic reticulum membrane (Single-pass membrane protein),localisation: no plasma-membrane entry (endoplasmic reticulum membrane)
M6PR,Cation-dependent mannose-6-phosphate receptor,type I,161,Lysosome membrane (Single-pass type I membrane protein),localisation: no plasma-membrane entry (lysosome membrane)
MFSD11,UNC93-like protein MFSD11,multi-pass (12 TM),23,Membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
MFSD2B,Major facilitator superfamily domain-containing protein 2B,multi-pass (10 TM),21,Membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
MFSD7,Major facilitator superfamily domain-containing protein 7,multi-pass (12 TM),20,Membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
MFSD8,Major facilitator superfamily domain-containing protein 8,multi-pass (12 TM),54,Lysosome membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (lysosome membrane)
MIP,Lens fiber major intrinsic protein,multi-pass (6 TM),19,"Cell junction, gap junction;Cell membrane (Multi-pass membrane protein)",no extracellular segment >= 25 aa
MRGPRE,Mas-related G-protein coupled receptor member E,multi-pass (7 TM),22,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
MRGPRG,Mas-related G-protein coupled receptor member G,multi-pass (7 TM),22,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
MTNR1A,Melatonin receptor type 1A,multi-pass (7 TM),24,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
NAGPA,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,type I,424,"Golgi apparatus, Golgi stack membrane (Single-pass type I membrane protein);Golgi apparatus, trans-Golgi network","localisation: no plasma-membrane entry (golgi apparatus, golgi stack membrane; golgi apparatus, trans-golgi network)"
NPC1,Niemann-Pick C1 protein,multi-pass (13 TM),249,Late endosome membrane (Multi-pass membrane protein);Lysosome membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (late endosome membrane; lysosome membrane)
NUP210,Nuclear pore membrane glycoprotein 210,type I,1782,"Endoplasmic reticulum membrane (Single-pass type I membrane protein);Nucleus membrane (Single-pass type I membrane protein);Nucleus, nuclear pore complex","localisation: no plasma-membrane entry (endoplasmic reticulum membrane; nucleus membrane; nucleus, nuclear pore complex)"
OR5G3,Olfactory receptor 5G3,multi-pass (7 TM),24,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
OSTM1,Osteopetrosis-associated transmembrane protein 1,type I,252,Lysosome membrane (Single-pass type I membrane protein),localisation: no plasma-membrane entry (lysosome membrane)
PCSK5,Proprotein convertase subtilisin/kexin type 5,type I,1711,Secreted;Endomembrane system (Single- pass type I membrane protein),localisation: no plasma-membrane entry (secreted; endomembrane system)
PGAP1,GPI inositol-deacylase,multi-pass (7 TM),605,Endoplasmic reticulum membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (endoplasmic reticulum membrane)
PIGO,GPI ethanolamine phosphate transferase 3,multi-pass (13 TM),426,Endoplasmic reticulum membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (endoplasmic reticulum membrane)
PIGT,GPI transamidase component PIG-T,type I,500,Endoplasmic reticulum membrane (Single-pass type I membrane protein),localisation: no plasma-membrane entry (endoplasmic reticulum membrane)
PMEL,Melanocyte protein PMEL,type I,572,"Endoplasmic reticulum membrane (Single-pass type I membrane protein);Endosome, multivesicular body;Golgi apparatus;Melanosome;Secreted","localisation: no plasma-membrane entry (endoplasmic reticulum membrane; endosome, multivesicular body; golgi apparatus)"
PMEPA1,Protein TMEPAI,type I,40,Early endosome membrane (Single-pass membrane protein);Golgi apparatus membrane (Single-pass membrane protein),localisation: no plasma-membrane entry (early endosome membrane; golgi apparatus membrane)
PQLC2,Lysosomal amino acid transporter 1 homolog,multi-pass (7 TM),38,Lysosome membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (lysosome membrane)
PSEN2,Presenilin-2,multi-pass (8 TM),30,Endoplasmic reticulum membrane (Multi-pass membrane protein);Golgi apparatus membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (endoplasmic reticulum membrane; golgi apparatus membrane)
PTGFRN,Prostaglandin F2 receptor negative regulator,type I,805,"Endoplasmic reticulum membrane (Single-pass type I membrane protein);Golgi apparatus, trans-Golgi network membrane (Single-pass type I membrane protein)","localisation: no plasma-membrane entry (endoplasmic reticulum membrane; golgi apparatus, trans-golgi network membrane)"
PTPRN2,Receptor-type tyrosine-protein phosphatase N2,type I,593,"Cytoplasmic vesicle, secretory vesicle membrane (Single-pass type I membrane protein)","localisation: no plasma-membrane entry (cytoplasmic vesicle, secretory vesicle membrane)"
QSOX1,Sulfhydryl oxidase 1,type I,676,"Golgi apparatus membrane (Single- pass membrane protein);Secreted, extracellular space","localisation: no plasma-membrane entry (golgi apparatus membrane; secreted, extracellular space)"
RHAG,Ammonium transporter Rh type A,multi-pass (12 TM),24,Membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
RNF128,E3 ubiquitin-protein ligase RNF128,type I,167,"Cytoplasm, cytoskeleton;Cytoplasm, perinuclear region;Endomembrane system (Single- pass membrane protein)","localisation: no plasma-membrane entry (cytoplasm, cytoskeleton; cytoplasm, perinuclear region; endomembrane system)"
RNF13,E3 ubiquitin-protein ligase RNF13,type I,148,Endoplasmic reticulum membrane;Golgi apparatus membrane;Late endosome membrane (Single- pass membrane protein);Lysosome membrane;Nucleus inner membrane,localisation: no plasma-membrane entry (endoplasmic reticulum membrane; golgi apparatus membrane; late endosome membrane)
RNF167,E3 ubiquitin-protein ligase RNF167,type I,146,Endomembrane system (Single-pass membrane protein),localisation: no plasma-membrane entry (endomembrane system)
RPN1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,type I,413,Endoplasmic reticulum membrane (Single-pass type I membrane protein);Melanosome,localisation: no plasma-membrane entry (endoplasmic reticulum membrane; melanosome)
SCAP,Sterol regulatory element-binding protein cleavage-activating protein,multi-pass (8 TM),234,"Cytoplasmic vesicle, COPII-coated vesicle membrane (Multi-pass membrane protein);Endoplasmic reticulum membrane (Multi-pass membrane protein);Golgi apparatus membrane (Multi-pass membrane protein)","localisation: no plasma-membrane entry (cytoplasmic vesicle, copii-coated vesicle membrane; endoplasmic reticulum membrane; golgi apparatus membrane)"
SCARB2,Lysosome membrane protein 2,multi-pass (2 TM),404,Lysosome membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (lysosome membrane)
SERINC1,Serine incorporator 1,multi-pass (10 TM),32,Endoplasmic reticulum membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (endoplasmic reticulum membrane)
SERINC5,Serine incorporator 5,multi-pass (9 TM),55,Endoplasmic reticulum membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (endoplasmic reticulum membrane)
SIDT2,SID1 transmembrane family member 2,multi-pass (10 TM),274,Lysosome membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (lysosome membrane)
SIT1,Signaling threshold-regulating transmembrane adapter 1,type I,15,Cell membrane (Single-pass type I membrane protein),no extracellular segment >= 25 aa
SLC10A1,Sodium/bile acid cotransporter,multi-pass (9 TM),24,Membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
SLC11A2,Natural resistance-associated macrophage protein 2,multi-pass (12 TM),39,Endosome membrane (Multi-pass membrane protein);Mitochondrion outer membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (endosome membrane; mitochondrion outer membrane)
SLC13A1,Solute carrier family 13 member 1,multi-pass (11 TM),22,Membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
SLC13A4,Solute carrier family 13 member 4,multi-pass (10 TM),21,Membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
SLC14A2,Urea transporter 2,multi-pass (20 TM),19,Apical cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
SLC15A3,Solute carrier family 15 member 3,multi-pass (12 TM),41,Lysosome membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (lysosome membrane)
SLC16A1,Monocarboxylate transporter 1,multi-pass (12 TM),22,Cell membrane (Multi- pass membrane protein),no extracellular segment >= 25 aa
SLC16A4,Monocarboxylate transporter 5,multi-pass (12 TM),19,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
SLC16A5,Monocarboxylate transporter 6,multi-pass (12 TM),15,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
SLC16A6,Monocarboxylate transporter 7,multi-pass (12 TM),19,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
SLC16A7,Monocarboxylate transporter 2,multi-pass (12 TM),21,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
SLC16A8,Monocarboxylate transporter 3,multi-pass (12 TM),21,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
SLC18A1,Chromaffin granule amine transporter,multi-pass (12 TM),92,Cytoplasmic vesicle membrane (Multi-pass membrane protein);Endoplasmic reticulum membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (cytoplasmic vesicle membrane; endoplasmic reticulum membrane)
SLC18A2,Synaptic vesicular amine transporter,multi-pass (12 TM),86,Cytoplasmic vesicle membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (cytoplasmic vesicle membrane)
SLC19A1,Folate transporter 1,multi-pass (12 TM),19,Membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
SLC22A12,Solute carrier family 22 member 12,multi-pass (11 TM),12,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
SLC24A5,Sodium/potassium/calcium exchanger 5,multi-pass (11 TM),39,"Golgi apparatus, trans-Golgi network membrane (Multi-pass membrane protein);Melanosome","localisation: no plasma-membrane entry (golgi apparatus, trans-golgi network membrane; melanosome)"
SLC2A10,"Solute carrier family 2, facilitated glucose transporter member 10",multi-pass (12 TM),88,"Cytoplasm, perinuclear region;Endomembrane system (Multi-pass membrane protein)","localisation: no plasma-membrane entry (cytoplasm, perinuclear region; endomembrane system)"
SLC2A12,"Solute carrier family 2, facilitated glucose transporter member 12",multi-pass (12 TM),97,"Cytoplasm, perinuclear region;Endomembrane system (Multi- pass membrane protein)","localisation: no plasma-membrane entry (cytoplasm, perinuclear region; endomembrane system)"
SLC32A1,Vesicular inhibitory amino acid transporter,multi-pass (10 TM),50,Cytoplasmic vesicle membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (cytoplasmic vesicle membrane)
SLC33A1,Acetyl-coenzyme A transporter 1,multi-pass (11 TM),24,Endoplasmic reticulum membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (endoplasmic reticulum membrane)
SLC37A4,Glucose-6-phosphate translocase,multi-pass (10 TM),35,Endoplasmic reticulum membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (endoplasmic reticulum membrane)
SLC38A11,Putative sodium-coupled neutral amino acid transporter 11,multi-pass (10 TM),20,Membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
SLC45A2,Membrane-associated transporter protein,multi-pass (12 TM),28,Melanosome membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (melanosome membrane)
SLC45A4,Solute carrier family 45 member 4,multi-pass (12 TM),20,Membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
SLC47A1,Multidrug and toxin extrusion protein 1,multi-pass (13 TM),19,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
SLC6A17,Sodium-dependent neutral amino acid transporter SLC6A17,multi-pass (12 TM),101,"Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane (Multi-pass membrane protein)","localisation: no plasma-membrane entry (cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane)"
SLC7A10,Asc-type amino acid transporter 1,multi-pass (12 TM),22,Membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
SLC7A14,Probable cationic amino acid transporter,multi-pass (15 TM),129,Lysosome membrane (Multi- pass membrane protein),localisation: no plasma-membrane entry (lysosome membrane)
SLC7A5,Large neutral amino acids transporter small subunit 1,multi-pass (12 TM),22,"Apical cell membrane (Multi-pass membrane protein);Cytoplasm, cytosol",no extracellular segment >= 25 aa
SLC9A6,Sodium/hydrogen exchanger 6,multi-pass (11 TM),48,Endosome membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (endosome membrane)
SLC9A7,Sodium/hydrogen exchanger 7,multi-pass (13 TM),83,"Golgi apparatus, trans-Golgi network membrane (Multi-pass membrane protein);Recycling endosome membrane (Multi-pass membrane protein)","localisation: no plasma-membrane entry (golgi apparatus, trans-golgi network membrane; recycling endosome membrane)"
SPPL2B,Signal peptide peptidase-like 2B,multi-pass (9 TM),147,Golgi apparatus membrane (Multi- pass membrane protein),localisation: no plasma-membrane entry (golgi apparatus membrane)
SSR1,Translocon-associated protein subunit alpha,type I,186,Endoplasmic reticulum membrane (Single-pass type I membrane protein),localisation: no plasma-membrane entry (endoplasmic reticulum membrane)
STS,Steryl-sulfatase,multi-pass (2 TM),346,Endoplasmic reticulum membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (endoplasmic reticulum membrane)
STT3B,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,multi-pass (11 TM),267,Endoplasmic reticulum membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (endoplasmic reticulum membrane)
SUCO,SUN domain-containing ossification factor,type I,982,Rough endoplasmic reticulum membrane (Single-pass type I membrane protein),localisation: no plasma-membrane entry (rough endoplasmic reticulum membrane)
SV2B,Synaptic vesicle glycoprotein 2B,multi-pass (12 TM),125,"Cytoplasmic vesicle, secretory vesicle, acrosome;Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane (Multi-pass membrane protein)","localisation: no plasma-membrane entry (cytoplasmic vesicle, secretory vesicle, acrosome; cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane)"
SV2C,Synaptic vesicle glycoprotein 2C,multi-pass (12 TM),125,"Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane (Multi-pass membrane protein)","localisation: no plasma-membrane entry (cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane)"
