gene,uniprot,protein_name,ensembl_gene,surface_evidence,cspa_confirmed,topology,topology_class,n_tm,ecd_length,max_ecd_segment,cyto_length,has_signal_peptide,accessible_sites,almen_class,uniprot_subcellular,ml_score
ABCA9,Q8IUA7,ATP-binding cassette sub-family A member 9,ENSG00000154258,machine_learning,False,CY:1-30;TM:31-49;NC:50-224;TM:225-245;CY:246-264;TM:265-288;NC:289-293;TM:294-320;CY:321-328;TM:329-351;NC:352-356;TM:357-377;CY:378-396;TM:397-420;NC:421-862;TM:863-884;CY:885-1025;TM:1026-1045;NC:1046-1064;TM:1065-1085;CY:1086-1098;TM:1099-1125;NC:1126-1135;TM:1136-1154;CY:1155-1160;TM:1161-1182;NC:1183-1201;TM:1202-1223;CY:1224-1624,multi-pass (14 TM),14,675,442,637,False,25.0,Transporters,Membrane (Multi-pass membrane protein),0.7345
ABCB1,P08183,Multidrug resistance protein 1,ENSG00000085563,experimental,True,CY:1-48;TM:49-72;NC:73-114;TM:115-139;CY:140-189;TM:190-208;NC:209-213;TM:214-235;CY:236-292;TM:293-316;NC:317-327;TM:328-346;CY:347-707;TM:708-733;NC:734-753;TM:754-777;CY:778-832;TM:833-853;NC:854-858;TM:859-879;CY:880-936;TM:937-955;NC:956-973;TM:974-995;CY:996-1280,multi-pass (12 TM),12,101,42,913,False,3.0,Transporters,Cell membrane (Multi-pass membrane protein),0.7906
ABCB11,O95342,Bile salt export pump,ENSG00000073734,machine_learning,False,CY:1-58;TM:59-83;NC:84-143;TM:144-167;CY:168-216;TM:217-236;NC:237-241;TM:242-263;CY:264-319;TM:320-343;NC:344-354;TM:355-374;CY:375-751;TM:752-775;NC:776-794;TM:795-820;CY:821-875;TM:876-894;NC:895-899;TM:900-917;CY:918-978;TM:979-998;NC:999-1014;TM:1015-1035;CY:1036-1321,multi-pass (12 TM),12,116,60,942,False,5.0,Transporters,Membrane (Multi-pass membrane protein),0.8663
ABCB4,P21439,Multidrug resistance protein 3,ENSG00000005471,machine_learning,False,CY:1-54;TM:55-78;NC:79-117;TM:118-142;CY:143-191;TM:192-211;NC:212-216;TM:217-237;CY:238-296;TM:297-318;NC:319-329;TM:330-351;CY:352-707;TM:708-733;NC:734-752;TM:753-776;CY:777-831;TM:832-852;NC:853-857;TM:858-878;CY:879-935;TM:936-954;NC:955-972;TM:973-993;CY:994-1286,multi-pass (12 TM),12,97,39,923,False,4.0,Transporters,Cell membrane (Multi-pass membrane protein),0.7325
ABCB5,Q2M3G0,ATP-binding cassette sub-family B member 5,ENSG00000004846,machine_learning,False,CY:1-44;TM:45-68;NC:69-107;TM:108-131;CY:132-181;TM:182-201;NC:202-206;TM:207-229;CY:230-288;TM:289-308;NC:309-319;TM:320-343;CY:344-689;TM:690-714;NC:715-733;TM:734-757;CY:758-812;TM:813-833;NC:834-838;TM:839-862;CY:863-916;TM:917-935;NC:936-953;TM:954-975;CY:976-1257,multi-pass (12 TM),12,97,39,890,False,1.0,Transporters,Cell membrane (Multi-pass membrane protein),0.7166
ABCB9,Q9NP78,ATP-binding cassette sub-family B member 9,ENSG00000150967,machine_learning,False,NC:1-5;TM:6-27;CY:28-47;TM:48-69;NC:70-80;TM:81-103;CY:104-114;TM:115-137;NC:138-184;TM:185-208;CY:209-227;TM:228-254;NC:255-323;TM:324-346;CY:347-408;TM:409-431;NC:432-766,multi-pass (8 TM),8,467,335,112,False,13.0,Transporters,Lysosome membrane (Multi- pass membrane protein),0.8403
ABCC1,P33527,Multidrug resistance-associated protein 1,ENSG00000103222;ENSG00000278183,experimental,True,NC:1-36;TM:37-56;CY:57-75;TM:76-94;NC:95-99;TM:100-124;CY:125-135;TM:136-153;NC:154-172;TM:173-191;CY:192-315;TM:316-335;NC:336-362;TM:363-385;CY:386-436;TM:437-459;NC:460-464;TM:465-485;CY:486-542;TM:543-571;NC:572-590;TM:591-611;CY:612-968;TM:969-991;NC:992-1023;TM:1024-1045;CY:1046-1089;TM:1090-1110;NC:1111-1115;TM:1116-1134;CY:1135-1199;TM:1200-1220;NC:1221-1226;TM:1227-1247;CY:1248-1531,multi-pass (17 TM),17,154,36,1012,False,4.0,Transporters,Cell membrane (Multi-pass membrane protein),0.7953
ABCC10,Q5T3U5,Multidrug resistance-associated protein 7,ENSG00000124574,machine_learning,False,SP:1-16;NC:17-31;TM:32-50;CY:51-69;TM:70-90;NC:91-101;TM:102-122;CY:123-133;TM:134-154;NC:155-168;TM:169-190;CY:191-284;TM:285-311;NC:312-322;TM:323-340;CY:341-392;TM:393-415;NC:416-420;TM:421-441;CY:442-504;TM:505-527;NC:528-538;TM:539-562;CY:563-878;TM:879-897;NC:898-933;TM:934-954;CY:955-965;TM:966-991;NC:992-1003;TM:1004-1026;CY:1027-1037;TM:1038-1058;NC:1059-1063;TM:1064-1081;CY:1082-1154;TM:1155-1172;NC:1173-1182;TM:1183-1203;CY:1204-1492,multi-pass (19 TM),19,130,36,939,True,1.0,Transporters,Cell membrane (Multi-pass membrane protein),0.6786
ABCC11,Q96J66,ATP-binding cassette sub-family C member 11,ENSG00000121270,machine_learning,False,CY:1-162;TM:163-184;NC:185-196;TM:197-216;CY:217-269;TM:270-290;NC:291-295;TM:296-319;CY:320-378;TM:379-404;NC:405-415;TM:416-441;CY:442-802;TM:803-827;NC:828-863;TM:864-884;CY:885-936;TM:937-957;NC:958-1046;TM:1047-1069;CY:1070-1382,multi-pass (10 TM),10,153,89,1000,False,5.0,Transporters,Membrane (Multi-pass membrane protein),0.6727
ABCC12,Q96J65,Multidrug resistance-associated protein 9,ENSG00000140798,machine_learning,False,CY:1-126;TM:127-148;NC:149-159;TM:160-185;CY:186-233;TM:234-257;NC:258-262;TM:263-281;CY:282-347;TM:348-368;NC:369-379;TM:380-402;CY:403-791;TM:792-816;NC:817-852;TM:853-873;CY:874-934;TM:935-966;NC:967-985;TM:986-1005;CY:1006-1030;TM:1031-1051;NC:1052-1359,multi-pass (11 TM),11,390,308,715,False,9.0,Transporters,Membrane (Multi-pass membrane protein),0.7545
ABCC2,Q92887,Canalicular multispecific organic anion transporter 1,ENSG00000023839,machine_learning,False,NC:1-30;TM:31-52;CY:53-63;TM:64-87;NC:88-98;TM:99-118;CY:119-128;TM:129-150;NC:151-161;TM:162-184;CY:185-316;TM:317-338;NC:339-357;TM:358-382;CY:383-436;TM:437-456;NC:457-461;TM:462-481;CY:482-542;TM:543-568;NC:569-587;TM:588-606;CY:607-970;TM:971-994;NC:995-1030;TM:1031-1052;CY:1053-1098;TM:1099-1116;NC:1117-1121;TM:1122-1142;CY:1143-1208;TM:1209-1229;NC:1230-1236;TM:1237-1256;CY:1257-1545,multi-pass (17 TM),17,143,36,1033,False,4.0,Transporters,Apical cell membrane (Multi-pass membrane protein),0.8124
ABCC3,O15438,Canalicular multispecific organic anion transporter 2,ENSG00000108846,machine_learning,False,NC:1-35;TM:36-55;CY:56-74;TM:75-93;NC:94-101;TM:102-123;CY:124-134;TM:135-153;NC:154-171;TM:172-190;CY:191-299;TM:300-321;NC:322-346;TM:347-367;CY:368-424;TM:425-445;NC:446-450;TM:451-471;CY:472-534;TM:535-557;NC:558-576;TM:577-595;CY:596-964;TM:965-987;NC:988-1017;TM:1018-1042;CY:1043-1081;TM:1082-1104;NC:1105-1109;TM:1110-1130;CY:1131-1196;TM:1197-1217;NC:1218-1223;TM:1224-1244;CY:1245-1527,multi-pass (17 TM),17,151,35,1016,False,3.0,Transporters,Membrane (Multi-pass membrane protein),0.7924
ABCC4,O15439,Multidrug resistance-associated protein 4,ENSG00000125257,machine_learning,False,CY:1-91;TM:92-114;NC:115-133;TM:134-157;CY:158-207;TM:208-227;NC:228-232;TM:233-254;CY:255-319;TM:320-342;NC:343-347;TM:348-369;CY:370-708;TM:709-730;NC:731-764;TM:765-791;CY:792-834;TM:835-854;NC:855-859;TM:860-882;CY:883-948;TM:949-970;NC:971-976;TM:977-997;CY:998-1325,multi-pass (12 TM),12,74,34,982,False,5.0,Transporters,Membrane (Multi-pass membrane protein),0.6467
ABCC5,O15440,Multidrug resistance-associated protein 5,ENSG00000114770,machine_learning,False,CY:1-178;TM:179-199;NC:200-218;TM:219-242;CY:243-290;TM:291-313;NC:314-318;TM:319-336;CY:337-395;TM:396-418;NC:419-428;TM:429-447;CY:448-856;TM:857-880;NC:881-912;TM:913-936;CY:937-992;TM:993-1011;NC:1012-1016;TM:1017-1036;CY:1037-1101;TM:1102-1121;NC:1122-1126;TM:1127-1147;CY:1148-1437,multi-pass (12 TM),12,76,32,1105,False,3.0,Transporters,Membrane (Multi-pass membrane protein),0.7325
ABCC9,O60706,ATP-binding cassette sub-family C member 9,ENSG00000069431,machine_learning,False,NC:1-30;TM:31-50;CY:51-70;TM:71-92;NC:93-103;TM:104-122;CY:123-132;TM:133-151;NC:152-163;TM:164-187;CY:188-304;TM:305-323;NC:324-350;TM:351-369;CY:370-424;TM:425-449;NC:450-454;TM:455-474;CY:475-531;TM:532-556;NC:557-574;TM:575-596;CY:597-986;TM:987-1014;NC:1015-1033;TM:1034-1057;CY:1058-1124;TM:1125-1149;NC:1150-1246;TM:1247-1266;CY:1267-1549,multi-pass (15 TM),15,219,97,999,False,6.0,Transporters,Membrane (Multi-pass membrane protein),0.8184
ABCG2,Q9UNQ0,ATP-binding cassette sub-family G member 2,ENSG00000118777,experimental,False,CY:1-394;TM:395-416;NC:417-427;TM:428-450;CY:451-479;TM:480-499;NC:500-504;TM:505-527;CY:528-535;TM:536-558;NC:559-629;TM:630-650;CY:651-655,multi-pass (6 TM),6,87,71,436,False,2.0,Transporters,Cell membrane (Multi-pass membrane protein);Mitochondrion membrane (Multi-pass membrane protein),0.674
ABCG4,Q9H172,ATP-binding cassette sub-family G member 4,ENSG00000172350,machine_learning,False,CY:1-393;TM:394-413;NC:414-426;TM:427-448;CY:449-469;TM:470-492;NC:493-503;TM:504-525;CY:526-532;TM:533-555;NC:556-616;TM:617-638;CY:639-646,multi-pass (6 TM),6,85,61,429,False,4.0,Transporters,Membrane (Multi-pass membrane protein),0.6128
ABCG5,Q9H222,ATP-binding cassette sub-family G member 5,ENSG00000138075,machine_learning,False,CY:1-383;TM:384-405;NC:406-422;TM:423-444;CY:445-464;TM:465-487;NC:488-499;TM:500-522;CY:523-528;TM:529-549;NC:550-623;TM:624-643;CY:644-651,multi-pass (6 TM),6,103,74,417,False,2.0,Transporters,Membrane (Multi-pass membrane protein),0.7285
ACE,P12821,Angiotensin-converting enzyme,ENSG00000159640,experimental,True,SP:1-29;NC:30-1257;TM:1258-1278;CY:1279-1306,type I,1,1228,1228,28,True,71.0,Enzymes,Cell membrane (Single-pass type I membrane protein);Cytoplasm;Secreted,0.7135
ACE2,Q9BYF1,Angiotensin-converting enzyme 2,ENSG00000130234,experimental,False,SP:1-19;NC:20-739;TM:740-765;CY:766-805,type I,1,720,720,40,True,37.0,Unclassified,Cell membrane (Single-pass type I membrane protein);Cytoplasm;Secreted,0.9322
ACHE,P22303,Acetylcholinesterase,ENSG00000087085,experimental,True,SP:1-30;NC:31-614,no TM (GPI/peripheral),0,584,584,0,True,21.0,Unclassified,"Cell junction, synapse;Cell membrane (Peripheral membrane protein);Secreted;Cell membrane (Lipid-anchor, GPI-anchor|Extracellular side;Nucleus",0.6747
ACKR1,Q16570,Atypical chemokine receptor 1,ENSG00000213088,machine_learning,False,NC:1-62;TM:63-84;CY:85-95;TM:96-117;NC:118-134;TM:135-153;CY:154-164;TM:165-186;NC:187-206;TM:207-226;CY:227-245;TM:246-265;NC:266-285;TM:286-308;CY:309-336,multi-pass (7 TM),7,119,62,69,False,1.0,Receptors,Early endosome;Membrane (Multi-pass membrane protein);Recycling endosome,0.7006
ACKR2,O00590,Atypical chemokine receptor 2,ENSG00000144648,experimental,False,NC:1-50;TM:51-72;CY:73-91;TM:92-111;NC:112-122;TM:123-140;CY:141-160;TM:161-183;NC:184-215;TM:216-239;CY:240-250;TM:251-272;NC:273-291;TM:292-314;CY:315-384,multi-pass (7 TM),7,112,50,120,False,3.0,Receptors,Cell membrane (Multi-pass membrane protein);Early endosome;Recycling endosome,0.9436
ACKR3,P25106,Atypical chemokine receptor 3,ENSG00000144476,experimental,True,NC:1-41;TM:42-66;CY:67-80;TM:81-102;NC:103-120;TM:121-140;CY:141-160;TM:161-182;NC:183-209;TM:210-234;CY:235-253;TM:254-277;NC:278-293;TM:294-318;CY:319-362,multi-pass (7 TM),7,102,41,97,False,8.0,Receptors,"Cell membrane (Multi-pass membrane protein);Cytoplasm, perinuclear region;Early endosome;Recycling endosome",0.9454
ACKR4,Q9NPB9,Atypical chemokine receptor 4,ENSG00000129048,machine_learning,False,NC:1-42;TM:43-68;CY:69-87;TM:88-107;NC:108-113;TM:114-135;CY:136-153;TM:154-178;NC:179-197;TM:198-222;CY:223-238;TM:239-258;NC:259-290;TM:291-310;CY:311-350,multi-pass (7 TM),7,99,42,93,False,5.0,Receptors,Cell membrane (Multi-pass membrane protein);Early endosome;Recycling endosome,0.9242
ACP2,P11117,Lysosomal acid phosphatase,ENSG00000134575,machine_learning,True,SP:1-32;NC:33-380;TM:381-404;CY:405-423,type I,1,348,348,19,True,20.0,Enzymes,Lysosome lumen;Lysosome membrane (Single-pass membrane protein|Lumenal side,0.9102
ACPT,Q9BZG2,Testicular acid phosphatase,ENSG00000142513,machine_learning,False,SP:1-28;NC:29-390;TM:391-414;CY:415-426,type I,1,362,362,12,True,15.0,Enzymes,Membrane (Single-pass type I membrane protein),0.6287
ACVR1,Q04771,Activin receptor type-1,ENSG00000115170,experimental,True,SP:1-22;NC:23-123;TM:124-146;CY:147-509,type I,1,101,101,363,True,4.0,Receptors,Membrane (Single-pass type I membrane protein),0.8537
ACVR1B,P36896,Activin receptor type-1B,ENSG00000135503,machine_learning,False,SP:1-23;NC:24-126;TM:127-151;CY:152-505,type I,1,103,103,354,True,5.0,Receptors,Cell membrane (Single-pass type I membrane protein),0.9361
ACVR1C,Q8NER5,Activin receptor type-1C,ENSG00000123612,machine_learning,False,SP:1-19;NC:20-113;TM:114-136;CY:137-493,type I,1,94,94,357,True,4.0,Receptors,Membrane (Single-pass type I membrane protein),0.8263
ACVR2A,P27037,Activin receptor type-2A,ENSG00000121989,machine_learning,True,SP:1-19;NC:20-138;TM:139-161;CY:162-513,type I,1,119,119,352,True,8.0,Receptors,Membrane (Single-pass type I membrane protein),0.9341
ACVR2B,Q13705,Activin receptor type-2B,ENSG00000114739,experimental,True,SP:1-22;NC:23-137;TM:138-159;CY:160-512,type I,1,115,115,353,True,9.0,Receptors,Cell membrane (Single-pass type I membrane protein),0.8629
ACVRL1,P37023,Serine/threonine-protein kinase receptor R3,ENSG00000139567,machine_learning,False,SP:1-21;NC:22-118;TM:119-141;CY:142-503,type I,1,97,97,362,True,1.0,Receptors,Membrane (Single-pass type I membrane protein),0.8643
ADAM10,O14672,Disintegrin and metalloproteinase domain-containing protein 10,ENSG00000137845,experimental,True,SP:1-18;NC:19-675;TM:676-696;CY:697-748,type I,1,657,657,52,True,24.0,Enzymes,Cell membrane (Single-pass type I membrane protein);Endomembrane system (Single-pass type I membrane protein),0.791
ADAM11,O75078,Disintegrin and metalloproteinase domain-containing protein 11,ENSG00000073670,machine_learning,False,SP:1-23;NC:24-734;TM:735-757;CY:758-769,type I,1,711,711,12,True,16.0,Enzymes,Membrane (Single-pass type I membrane protein),0.7425
ADAM12,O43184,Disintegrin and metalloproteinase domain-containing protein 12,ENSG00000148848,experimental,True,SP:1-28;NC:29-708;TM:709-729;CY:730-909,type I,1,680,680,180,True,20.0,Enzymes,Cell membrane (Single-pass type I membrane protein);Secreted;Secreted;Secreted,0.9276
ADAM15,Q13444,Disintegrin and metalloproteinase domain-containing protein 15,ENSG00000143537,machine_learning,True,SP:1-22;NC:23-696;TM:697-717;CY:718-863,type I,1,674,674,146,True,16.0,Enzymes,"Cell junction, adherens junction;Cell projection, cilium, flagellum;Cytoplasmic vesicle, secretory vesicle, acrosome;Endomembrane system (Single-pass type I membrane protein)",0.8244
ADAM17,P78536,Disintegrin and metalloproteinase domain-containing protein 17,ENSG00000151694,machine_learning,True,SP:1-21;NC:22-671;TM:672-693;CY:694-824,type I,1,650,650,131,True,29.0,Enzymes,Membrane (Single-pass type I membrane protein),0.9581
ADAM18,Q9Y3Q7,Disintegrin and metalloproteinase domain-containing protein 18,ENSG00000168619;ENSG00000278548,machine_learning,False,SP:1-16;NC:17-687;TM:688-708;CY:709-739,type I,1,671,671,31,True,28.0,Enzymes,Membrane (Single-pass type I membrane protein),0.7725
ADAM19,Q9H013,Disintegrin and metalloproteinase domain-containing protein 19,ENSG00000135074,machine_learning,True,SP:1-25;NC:26-701;TM:702-724;CY:725-955,type I,1,676,676,231,True,17.0,Enzymes,Membrane (Single-pass type I membrane protein),0.8643
ADAM2,Q99965,Disintegrin and metalloproteinase domain-containing protein 2,ENSG00000104755;ENSG00000276286,machine_learning,False,SP:1-16;NC:17-686;TM:687-707;CY:708-735,type I,1,670,670,28,True,23.0,Enzymes,Membrane (Single-pass type I membrane protein),0.7465
ADAM20,O43506,Disintegrin and metalloproteinase domain-containing protein 20,ENSG00000134007,machine_learning,False,SP:1-31;NC:32-691;TM:692-714;CY:715-726,type I,1,660,660,12,True,23.0,Enzymes,Membrane (Single-pass type I membrane protein),0.6727
ADAM21,Q9UKJ8,Disintegrin and metalloproteinase domain-containing protein 21,ENSG00000139985,machine_learning,False,SP:1-31;NC:32-681;TM:682-707;CY:708-722,type I,1,650,650,15,True,26.0,Enzymes,Membrane (Single-pass type I membrane protein),0.8124
ADAM22,Q9P0K1,Disintegrin and metalloproteinase domain-containing protein 22,ENSG00000008277,machine_learning,True,SP:1-25;NC:26-736;TM:737-760;CY:761-906,type I,1,711,711,146,True,21.0,Enzymes,"Cell projection, axon;Membrane (Single-pass type I membrane protein)",0.9681
ADAM23,O75077,Disintegrin and metalloproteinase domain-containing protein 23,ENSG00000114948,machine_learning,False,SP:1-39;NC:40-792;TM:793-815;CY:816-832,type I,1,753,753,17,True,33.0,Enzymes,Cell membrane (Single-pass type I membrane protein);Secreted,0.8583
ADAM28,Q9UKQ2,Disintegrin and metalloproteinase domain-containing protein 28,ENSG00000042980,experimental,False,SP:1-18;NC:19-661;TM:662-686;CY:687-775,type I,1,643,643,89,True,22.0,Enzymes,Cell membrane (Single-pass type I membrane protein);Secreted,0.9727
ADAM29,Q9UKF5,Disintegrin and metalloproteinase domain-containing protein 29,ENSG00000168594,machine_learning,False,SP:1-18;NC:19-675;TM:676-697;CY:698-820,type I,1,657,657,123,True,32.0,Enzymes,Membrane (Single-pass type I membrane protein),0.8244
ADAM30,Q9UKF2,Disintegrin and metalloproteinase domain-containing protein 30,ENSG00000134249,machine_learning,False,SP:1-27;NC:28-685;TM:686-708;CY:709-790,type I,1,658,658,82,True,30.0,Enzymes,Membrane (Single-pass type I membrane protein),0.7824
ADAM32,Q8TC27,Disintegrin and metalloproteinase domain-containing protein 32,ENSG00000197140;ENSG00000275594,machine_learning,False,SP:1-19;NC:20-682;TM:683-703;CY:704-787,type I,1,663,663,84,True,23.0,Enzymes,Membrane (Single-pass type I membrane protein),0.7605
ADAM33,Q9BZ11,Disintegrin and metalloproteinase domain-containing protein 33,ENSG00000149451,machine_learning,False,SP:1-27;NC:28-701;TM:702-725;CY:726-813,type I,1,674,674,88,True,16.0,Enzymes,Membrane (Single-pass type I membrane protein),0.8623
ADAM7,Q9H2U9,Disintegrin and metalloproteinase domain-containing protein 7,ENSG00000069206,machine_learning,False,SP:1-18;NC:19-668;TM:669-690;CY:691-754,type I,1,650,650,64,True,23.0,Enzymes,Membrane (Single-pass type I membrane protein),0.9381
ADAM8,P78325,Disintegrin and metalloproteinase domain-containing protein 8,ENSG00000151651,machine_learning,True,SP:1-20;NC:21-653;TM:654-678;CY:679-824,type I,1,633,633,146,True,16.0,Enzymes,Membrane (Single-pass type I membrane protein),0.9581
ADAM9,Q13443,Disintegrin and metalloproteinase domain-containing protein 9,ENSG00000168615,experimental,True,SP:1-28;NC:29-698;TM:699-718;CY:719-819,type I,1,670,670,101,True,27.0,Enzymes,Cell membrane (Single-pass type I membrane protein);Secreted,0.8866
ADCY2,Q08462,Adenylate cyclase type 2,ENSG00000078295,machine_learning,False,CY:1-45;TM:46-70;NC:71-75;TM:76-98;CY:99-104;TM:105-125;NC:126-135;TM:136-153;CY:154-158;TM:159-181;NC:182-186;TM:187-207;CY:208-599;TM:600-621;NC:622-626;TM:627-651;CY:652-679;TM:680-701;NC:702-735;TM:736-757;CY:758-763;TM:764-782;NC:783-801;TM:802-821;CY:822-1091,multi-pass (12 TM),12,78,34,752,False,2.0,Enzymes,Membrane (Multi-pass membrane protein),0.7924
