rank,gene,protein_name,final_score,tier,multiplicative_score,tumour_quality,safety_score,consensus_multiplier,score_specificity,score_intensity,score_uniformity,score_accessibility,score_druggability,epi_mean,epi_detection,caf_mean,immune_mean,endothelial_mean,tme_max_mean,log2fc_mean,log2fc_sd,n_datasets_reproducible,n_datasets,topology_class,max_ecd_segment,surface_confirmation,ab_tractability_bucket,ot_n_drugs,ot_drugs,depmap_mean_gene_effect,safety_source,safety_is_default,protein_worst_tissue,rna_worst_tissue,rna_max_ntpm,n_normal_tissues_medium_high,almen_class,uniprot,ensembl_gene
11,CELSR1,Cadherin EGF LAG seven-pass G-type receptor 1,0.505770186592967,Tier 2,0.12937777464337202,0.4492096689871947,0.36001499849466756,0.8,0.4064898800150047,0.29106422355436706,0.2089993013590991,0.865,0.65,0.8982466800000001,0.2089993013590991,0.2264499754,0.063405854,0.240224093,0.252783563,1.219469640045014,0.5511725710612518,3,5,multi-pass (7 TM),2444,experimental (CSPA/GPI),GO CC high conf,0.0,,0.07267542328895281,RNA only,False,,kidney,32.9,,Receptors,Q9NYQ6,ENSG00000075275
12,EFNA4,Ephrin-A4,0.504146694585674,Tier 2,0.12813588485596422,0.29365390965281185,0.545437505869834,0.8,0.24474777863397748,0.10251054049879652,0.1255123398142967,0.46416666666666667,0.7,0.253238198,0.1255123398142967,0.130720671,0.0971660674,0.0752482944,0.139271395,0.7342433359019325,0.292093502809922,3,5,no TM (GPI/peripheral),179,experimental (CSPA/GPI),UniProt loc high conf,0.0,,-0.09582531033683647,RNA only,False,,liver,29.2,,Unclassified,P52798,ENSG00000243364
13,SLC44A4,Choline transporter-like protein 4,0.5028759108108087,Tier 2,0.12716936318885844,0.48641464606002593,0.2904914430036054,0.9,0.8520190508686211,0.3496990261965001,0.2443456278006982,0.44666666666666666,0.3,1.159865506,0.2443456278006982,0.02667426466,0.0166794194,0.0662304746,0.0698438033999999,2.556057152605863,1.5181060202953771,4,5,multi-pass (10 TM),170,unconfirmed (ML prediction only),not in Open Targets,,,-0.08125082213121616,protein+RNA (min),False,Cerebellum,kidney,123.7,19.0,Transporters,Q53GD3,ENSG00000204385;ENSG00000206378;ENSG00000229077;ENSG00000235336;ENSG00000228263;ENSG00000232180;ENSG00000231479
14,FZD5,Frizzled-5,0.5010560898785358,Tier 2,0.1257937415755335,0.4345373208340237,0.3618611553723765,0.8,0.5912593883306789,0.1360534654128976,0.1378690562612024,0.4491666666666667,0.9,0.349309682,0.1378690562612024,0.0116175574,0.0277351196,0.0447795602,0.0501991602,1.7737781649920368,0.871396841189801,3,5,multi-pass (7 TM),209,Open Targets confirmed,Advanced Clinical,1.0,VANTICTUMAB,-0.07984559535621794,protein+RNA (min),False,Cerebellum,liver,21.2,9.0,Receptors,Q13467,ENSG00000163251
15,EGFR,Epidermal growth factor receptor,0.49998978419059853,Tier 2,0.12499233829949195,0.4977483890591492,0.2790172282643405,0.9,0.343232840045324,0.243047064228114,0.2308456209996458,1.0,1.0,0.70778239,0.2308456209996458,0.29444533,0.00872983794,0.2472369147999999,0.313248098,1.029698520135972,0.5304134334312226,4,5,type I,621,experimental (CSPA/GPI),Approved Drug,82.0,RUSERONTINIB; TESEVATINIB; AFATINIB; CETUXIMAB SAROTALOCAN; MDX-447; ALLITINIB,-0.34722970298979333,protein+RNA (min),False,Kidney,liver,61.8,21.0,Receptors,P00533,ENSG00000146648
16,ROS1,Proto-oncogene tyrosine-protein kinase ROS,0.4974430878862846,Tier 2,0.12309210589747048,0.5313137588670412,0.33096426100988585,0.7,0.7597061631674126,0.1387377445303792,0.1032718050537081,1.0,0.7,0.357308866,0.1032718050537081,0.0022778611,0.001773665424,0.00111229326,0.00368263184,2.279118489502238,1.3469089745003204,2,5,type I,1834,Open Targets confirmed,UniProt loc high conf,4.0,CRIZOTINIB; ENTRECTINIB; TALETRECTINIB; REPOTRECTINIB,0.11008240939589996,RNA only,False,,lung,55.3,,Receptors,P08922,ENSG00000047936
17,SLC39A4,Zinc transporter ZIP4,0.4926131492839663,Tier 2,0.11954130724055437,0.40456060073728445,0.3283158925255323,0.9,0.4473082757118778,0.2451951742984153,0.2228954158201903,0.4783333333333334,0.7,0.715879664,0.2228954158201903,0.192818502,0.130268842,0.1442209659999999,0.196625752,1.3419248271356334,0.8829991381671767,4,5,multi-pass (6 TM),304,Open Targets confirmed,UniProt loc high conf,0.0,,-0.07870017317732166,RNA only,False,,duodenum,82.8,,Transporters,Q6P5W5,ENSG00000147804
18,ABCC3,Canalicular multispecific organic anion transporter 2,0.48120560636886683,Tier 2,0.11142740989536556,0.5758587774406956,0.1934978058172272,1.0,0.9439998131715669,0.4646537287060427,0.3055154387400847,0.22416666666666668,0.7,1.782024968,0.3055154387400847,0.1904981734,0.1219635394,0.0618821101999999,0.1927517834,2.831999439514701,0.8809913086587894,5,5,multi-pass (17 TM),35,Open Targets confirmed,UniProt loc high conf,0.0,,-0.06948094850283795,protein+RNA (min),False,Adrenal gland,liver,58.1,18.0,Transporters,O15438,ENSG00000108846
19,TMEM184A,Transmembrane protein 184A,0.46266212276490776,Tier 2,0.09903571431606424,0.35798130225546704,0.34581315313149075,0.8,0.641328961785237,0.12023140429896431,0.1201816643005154,0.23333333333333334,0.55,0.3031084724,0.1201816643005154,0.0110332102,0.0122494711999999,0.00220854088,0.0221781902199999,1.923986885355711,1.2021551399645638,3,5,multi-pass (7 TM),46,Open Targets confirmed,UniProt loc med conf,0.0,,0.022302798265031166,RNA only,False,,liver,88.1,,Unclassified,Q6ZMB5,ENSG00000164855
20,TMEM63B,CSC1-like protein 2,0.46234556182027164,Tier 2,0.09883256783914142,0.3942583882392161,0.2506796831401208,1.0,0.5110147182847363,0.2362283899743882,0.2204164737945881,0.2975,0.7,0.6823317720000001,0.2204164737945881,0.183964768,0.0963584736,0.2454886319999999,0.245682678,1.533044154854209,0.6053487752920294,5,5,multi-pass (10 TM),99,Open Targets confirmed,UniProt loc high conf,0.0,,-0.03799810566757701,RNA only,False,,liver,46.4,,Miscellaneous,Q5T3F8,ENSG00000137216
21,SCNN1B,Amiloride-sensitive sodium channel subunit beta,0.4587755964637869,Tier 2,0.09656081564597709,0.4221009891655776,0.28595294172628427,0.8,0.4985790213509939,0.14476426468228198,0.1353721491191152,0.7433333333333334,0.7,0.375441144,0.1353721491191152,0.0030080222599999,0.0127503128,0.0953657733999999,0.100656179,1.4957370640529817,0.8533554164234614,3,5,multi-pass (2 TM),454,experimental (CSPA/GPI),UniProt loc high conf,5.0,IDREVLORIDE; TRIAMTERENE; AMILORIDE; AMILORIDE HYDROCHLORIDE; COFIRASERSEN,0.1073935706875472,RNA only,False,,kidney,89.1,,Unclassified,P51168,ENSG00000168447
22,OPN3,Opsin-3,0.4586775554620954,Tier 2,0.09649892332075544,0.28517251573036,0.4834112585880589,0.7,0.2362199434733184,0.20016913659937338,0.135738526842449,0.2808333333333334,0.7,0.55391479,0.135738526842449,0.2049294039999999,0.1925010979999999,0.0468541948,0.260271718,0.7086598304199552,0.4582361717075013,2,5,multi-pass (7 TM),43,Open Targets confirmed,UniProt loc high conf,0.0,,0.020175849249559716,RNA only,False,,cerebral cortex,17.6,,Receptors,Q9H1Y3,ENSG00000054277
23,PTPRU,Receptor-type tyrosine-protein phosphatase U,0.45261964654703196,Tier 2,0.09272571769461452,0.3551348820169074,0.373,0.7,0.10181296376267279,0.1897646886229688,0.1581902758175592,1.0,0.7,0.51871801,0.1581902758175592,0.31113226,0.0248366058799999,0.0400502951,0.31113226,0.3054388912880184,0.7810061944084377,2,5,type I,727,experimental (CSPA/GPI),UniProt loc high conf,0.0,,-0.0946979648664121,protein+RNA (min),False,Cerebellum,hypothalamus,26.6,41.0,Receptors,Q92729,ENSG00000060656
24,DUOXA1,Dual oxidase maturation factor 1,0.4371874347900062,Tier 2,0.08356088176761346,0.42268280201072617,0.24711462522874594,0.8,0.7900200579860774,0.10564761460306019,0.1064863084714547,0.30500000000000005,0.65,0.261925432,0.1064863084714547,0.002560802,0.00180856088,0.0048555028,0.005827042,2.3700601739582323,0.6724613537146491,3,5,multi-pass (5 TM),108,Open Targets confirmed,GO CC high conf,0.0,,-0.06026489677821808,protein+RNA (min),False,Cerebral cortex,lung,137.2,13.0,Unclassified,Q1HG43,ENSG00000140254
25,EPHA2,Ephrin type-A receptor 2,0.4317723330614014,Tier 2,0.0804941708185289,0.32854763599399556,0.35,0.7,0.048910035821860036,0.17737034576254226,0.1745027804746455,0.9233333333333333,0.7,0.477828696,0.1745027804746455,0.130220522,0.01509725054,0.50647204,0.50647204,0.1467301074655801,0.7328004837866575,2,5,type I,508,experimental (CSPA/GPI),UniProt loc high conf,3.0,DASATINIB ANHYDROUS; VANDETANIB; REGORAFENIB,0.1411180501403877,RNA only,False,,esophagus,142.7,,Receptors,P29317,ENSG00000142627
26,SLC26A9,Solute carrier family 26 member 9,0.4316961130501327,Tier 2,0.08045154985961345,0.38310261837911164,0.30000000000000004,0.7,0.532654683778735,0.28495253797219766,0.1140785282552578,0.2566666666666667,0.7,0.872871054,0.1140785282552578,9.2391524e-05,0.02356463938,0.29937325016,0.3013626375,1.5979640513362052,0.7001260191550479,2,5,multi-pass (10 TM),38,Open Targets confirmed,UniProt loc high conf,0.0,,0.010040465782422634,protein+RNA (min),False,Stomach,stomach,68.3,2.0,Transporters,Q7LBE3,ENSG00000174502
27,DUOX1,Dual oxidase 1,0.43115726776251323,Tier 2,0.08015066563434822,0.4020749410535599,0.24917825463186305,0.8,0.42277496683468563,0.11710375634377156,0.1034834986719996,0.8408333333333333,0.7,0.294164592,0.1034834986719996,0.0630042452,0.0378476664,0.0346578952,0.06553736,1.2683249005040569,0.9238126109202498,3,5,multi-pass (7 TM),571,experimental (CSPA/GPI),UniProt loc high conf,0.0,,-0.02792526472302162,protein+RNA (min),False,Stomach,lung,98.9,7.0,Enzymes,Q9NRD9,ENSG00000137857
28,IL27RA,Interleukin-27 receptor subunit alpha,0.4210436793049732,Tier 2,0.07464168870081618,0.26797943804138424,0.5570702681247448,0.5,0.0,0.07131491651851116,0.1060822736884101,0.9000000000000001,0.65,0.170039162,0.1060822736884101,0.130260084,0.661913312,0.348291535,0.735459672,-1.846707723600766,0.5777965838996261,0,5,type I,480,unconfirmed (ML prediction only),GO CC high conf,0.0,,-0.10404463019098695,RNA only,False,,heart muscle,15.5,,Unclassified,Q6UWB1,ENSG00000104998
29,CEACAM6,Carcinoembryonic antigen-related cell adhesion molecule 6,0.4190137408166423,Tier 2,0.07356729629186842,0.7356729629186843,0.09999999999999998,1.0,1.0,0.8408651539476429,0.352499660645779,0.6133333333333334,0.7,5.3700415,0.352499660645779,0.1943005174,0.0937593779999999,0.1531195308,0.2156501452,4.728718682882846,1.5148154976474653,5,5,no TM (GPI/peripheral),310,experimental (CSPA/GPI),UniProt loc high conf,0.0,,-0.2065487086256544,protein+RNA (min),False,Lung,bone marrow,270.1,4.0,Miscellaneous,P40199,ENSG00000086548
30,LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,0.41722220272717175,Tier 2,0.07262769060798557,0.2781604389428785,0.373,0.7,0.0,0.10385380521992042,0.1244483894944722,1.0,0.55,0.2569506419999999,0.1244483894944722,0.303040888,0.0058926290999999,0.1774658969999999,0.309658458,-0.0367705020839868,0.8225665020738119,2,5,type I,778,Open Targets confirmed,UniProt loc med conf,0.0,,-0.04226472621335286,protein+RNA (min),False,Cerebellum,thyroid gland,54.6,39.0,Miscellaneous,Q6UXM1,ENSG00000139263
31,STEAP4,Metalloreductase STEAP4,0.41689443129707204,Tier 2,0.07245665523235668,0.43017191044029424,0.18715167761701768,0.9,0.608598378480094,0.33731175301125216,0.2106502314700777,0.22,0.7,1.10174693,0.2106502314700777,0.217585652,0.082382513,0.024610951,0.2327386719999999,1.825795135440282,1.2345851517544353,4,5,multi-pass (6 TM),30,experimental (CSPA/GPI),UniProt loc high conf,0.0,,0.17996330841226735,RNA only,False,,lung,106.6,,Transporters,Q687X5,ENSG00000127954
32,SLC34A2,Sodium-dependent phosphate transport protein 2B,0.4104732626064243,Tier 2,0.06915994193073836,0.6915994193073838,0.09999999999999998,1.0,1.0,0.8099035351787871,0.4255935613581315,0.31333333333333335,0.65,4.95021724,0.4255935613581315,0.0728384786,0.0674655958,0.1100284904,0.14002367,4.631687216674547,0.6276460925880215,5,5,multi-pass (8 TM),130,Open Targets confirmed,GO CC high conf,1.0,LIFASTUZUMAB VEDOTIN,0.015356967522459047,protein+RNA (min),False,Lung,lung,709.6,5.0,Transporters,O95436,ENSG00000157765
33,PLXNA1,Plexin-A1,0.40994328212440795,Tier 2,0.06889240113196489,0.2952526714131054,0.3333338710595609,0.7,0.0,0.1227906647351058,0.1159726923304211,1.0,0.65,0.310472944,0.1159726923304211,0.380972779,0.0749132882,0.1130047626,0.40543224,-0.0799653437859217,0.8671894870629088,2,5,type I,1216,experimental (CSPA/GPI),GO CC high conf,0.0,,-0.07769169023188316,RNA only,False,,cerebral cortex,24.5,,Receptors,Q9UIW2,ENSG00000114554
34,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,0.40775554264448277,Tier 2,0.06779530508320887,0.35085814084799727,0.38645422289106823,0.5,0.0,0.25162515682603803,0.2276655474139483,1.0,0.7,0.740347584,0.2276655474139483,0.317163912,0.697015202,1.24010089,1.24010089,-0.8456611435980488,0.3070084348693482,0,5,type I,657,experimental (CSPA/GPI),UniProt loc high conf,0.0,,-0.00971142059999462,protein+RNA (min),False,Lung,spinal cord,38.8,6.0,Enzymes,O14672,ENSG00000137845
35,GPRC5A,Retinoic acid-induced protein 3,0.40663301871524543,Tier 2,0.06723693714055833,0.6723693714055834,0.09999999999999998,1.0,0.9238543397681797,0.8297106409159036,0.4551047064597442,0.22166666666666668,0.7,5.2154832,0.4551047064597442,0.7381482939999999,0.0832000062,0.2285696706,0.756374116,2.771563019304539,1.097402428267953,5,5,multi-pass (7 TM),32,experimental (CSPA/GPI),UniProt loc high conf,0.0,,0.025155985895648127,protein+RNA (min),False,Lung,lung,190.3,10.0,Receptors,Q8NFJ5,ENSG00000013588
36,PTPRG,Receptor-type tyrosine-protein phosphatase gamma,0.40337460889918075,Tier 2,0.06563351628386994,0.291080885139258,0.4509641109031929,0.5,0.0,0.10949347438296192,0.1084109513133282,1.0,0.65,0.272657653,0.1084109513133282,0.537545806,0.02126981544,1.878270768,1.878270768,-2.3889763051167607,0.5886745334810155,0,5,type I,717,Open Targets confirmed,GO CC high conf,0.0,,-0.17174865707976375,RNA only,False,,kidney,25.0,,Receptors,P23470,ENSG00000144724
37,NOTCH2,Neurogenic locus notch homolog protein 2,0.4029877143983087,Tier 2,0.06544484130562454,0.3509106772419547,0.373,0.5,0.0,0.16852494542889992,0.1610284407808734,1.0,0.9,0.449322378,0.1610284407808734,0.747605604,0.3497438739999999,0.02874371989,0.747605604,-0.7519974006413335,0.1960417547830391,0,5,type I,1652,experimental (CSPA/GPI),Advanced Clinical,1.0,TAREXTUMAB,-0.05435711341694074,protein+RNA (min),False,Cerebellum,liver,36.2,34.0,Receptors,Q04721,ENSG00000134250
38,ALPL,"Alkaline phosphatase, tissue-nonspecific isozyme",0.40073657891672143,Tier 2,0.06435420933785675,0.4420915637161929,0.18195950403605154,0.8,0.43221716035524466,0.2524634754267419,0.1490436026213557,0.8475,0.7,0.74356323,0.1490436026213557,0.0289949828,0.0346792436,0.2630810724,0.2695112856,1.296651481065734,2.430777515898912,3,5,no TM (GPI/peripheral),507,experimental (CSPA/GPI),UniProt loc high conf,0.0,,0.008749589421791987,protein+RNA (min),False,Adrenal gland,liver,57.7,13.0,,P05186,ENSG00000162551
39,SLC44A3,Choline transporter-like protein 3,0.3993707264587096,Tier 2,0.06369842363322531,0.29176396284402056,0.3118882371916263,0.7,0.3839121525863001,0.10037588256698371,0.1063257027736689,0.2516666666666667,0.65,0.2473610879999999,0.1063257027736689,0.0667937924,0.0082303162,0.01229177892,0.067800308,1.1517364577589004,1.1722085118800225,2,5,multi-pass (9 TM),32,unconfirmed (ML prediction only),GO CC high conf,0.0,,-0.36899750585083996,protein+RNA (min),False,Kidney,kidney,33.3,17.0,Transporters,Q8N4M1,ENSG00000143036
40,PLXNA3,Plexin-A3,0.39847980139873,Tier 2,0.06327307436275045,0.2944150361147635,0.3581852521173913,0.6,0.005618247914233633,0.1031865388800102,0.1229612698224569,1.0,0.65,0.255105114,0.1229612698224569,0.244197876,0.2199095,0.050467132,0.26112247,0.0168547437427009,0.3751756035304586,1,5,type I,1200,experimental (CSPA/GPI),GO CC high conf,0.0,,0.08886702490781978,RNA only,False,,cerebellum,23.8,,Receptors,P51805,ENSG00000130827
41,ADAM17,Disintegrin and metalloproteinase domain-containing protein 17,0.39792851705703164,Tier 2,0.06301082854845534,0.33785967050110105,0.373,0.5,0.0,0.20612031981352966,0.2081780326919756,1.0,0.7,0.574412318,0.2081780326919756,0.573119532,0.52560678,0.763912828,0.819611432,-0.5598896125485622,0.3104187740516542,0,5,type I,650,Open Targets confirmed,UniProt loc high conf,1.0,APRATASTAT,0.0416633270743164,protein+RNA (min),False,Cerebellum,lung,17.9,36.0,Enzymes,P78536,ENSG00000151694
42,LGR4,Leucine-rich repeat-containing G-protein coupled receptor 4,0.39561506549466113,Tier 2,0.06191822030618802,0.4244537194218759,0.1823467950478891,0.8,0.39016790187611966,0.1759979504549238,0.1410187938402761,0.7266666666666667,0.9,0.4733693674,0.1410187938402761,0.0904994982,0.01756109422,0.0474809016,0.0904994982,1.170503705628359,1.0420705361014908,3,5,multi-pass (7 TM),518,experimental (CSPA/GPI),Advanced Clinical,1.0,ROSMANTUZUMAB,0.017747356967847867,RNA only,False,,liver,56.3,,Receptors,Q9BXB1,ENSG00000205213
43,LRP6,Low-density lipoprotein receptor-related protein 6,0.39442685607556155,Tier 2,0.06136198973463453,0.3290187117138581,0.373,0.5,0.0,0.1933580625938971,0.1767354959753934,1.0,0.7,0.530782838,0.1767354959753934,0.356464436,0.01960257266,0.5579877659999999,0.5579877659999999,-0.3198286091595755,0.5626107750703774,0,5,type I,1354,Open Targets confirmed,UniProt loc high conf,0.0,,0.012129327436574223,protein+RNA (min),False,Cerebral cortex,liver,7.8,27.0,Receptors,O75581,ENSG00000070018
44,ITGAE,Integrin alpha-E,0.3930837232252307,Tier 2,0.060737258170120836,0.30368629085060417,0.4,0.5,0.0,0.13476825368623183,0.1461632005667891,1.0,0.65,0.345496442,0.1461632005667891,0.318127242,0.615117346,0.310954126,0.615117346,-0.5730650601207625,0.6875709568636632,0,5,type I,1106,unconfirmed (ML prediction only),GO CC high conf,0.0,,0.04022150089521717,protein+RNA (min),False,Skin,lung,6.2,1.0,Receptors,P38570,ENSG00000083457
45,CD276,CD276 antigen,0.3888720685989484,Tier 2,0.05880581197493004,0.3153126647449332,0.373,0.5,0.0,0.151851246880095,0.154087076844571,0.7941666666666667,0.9,0.397074242,0.154087076844571,1.278016814,0.113366574,0.7420918920000001,1.278016814,-1.2757813142070231,0.5162393482410363,0,5,type I,437,unconfirmed (ML prediction only),Advanced Clinical,2.0,ENOBLITUZUMAB; 8H9 131I,-0.2639456440375935,protein+RNA (min),False,Liver,heart muscle,26.8,32.0,Miscellaneous,Q5ZPR3,ENSG00000103855
46,SLC52A2,"Solute carrier family 52, riboflavin transporter, member 2",0.3862813642571147,Tier 2,0.057638314142882334,0.26986648154132137,0.26697607004436785,0.8,0.13886881686363667,0.22198195924226444,0.2221722231688874,0.22916666666666669,0.7,0.630374586,0.2221722231688874,0.386314648,0.322573772,0.390106802,0.4679428039999999,0.41660645059091,0.5524247013403442,3,5,multi-pass (10 TM),29,experimental (CSPA/GPI),UniProt loc high conf,0.0,,-0.06863835846971632,protein+RNA (min),False,Stomach,cerebellum,34.2,16.0,Receptors,Q9HAB3,ENSG00000185803
47,PLXNB2,Plexin-B2,0.3861594509817187,Tier 2,0.057583758121175305,0.4981859161472759,0.12842987205013223,0.9,0.24720585063912737,0.49311976086806614,0.3520010439096226,1.0,0.7,1.961991894,0.3520010439096226,1.23564878,0.365450646,0.941641738,1.23564878,0.7416175519173821,0.3600650945145444,4,5,type I,1181,experimental (CSPA/GPI),UniProt loc high conf,0.0,,0.029613569925169666,RNA only,False,,cerebellum,82.4,,Receptors,O15031,ENSG00000196576
48,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,0.3807495430385959,Tier 2,0.055197342934258126,0.3504800072816727,0.262484505951183,0.6,0.0,0.24854240789606052,0.2288576285123031,1.0,0.7,0.728573608,0.2288576285123031,0.686281072,0.1863355336,0.379371326,0.686281072,-0.003685584836002,0.3450496771393938,1,5,type I,670,experimental (CSPA/GPI),UniProt loc high conf,0.0,,-0.021340607945771774,RNA only,False,,lung,52.5,,Enzymes,Q13443,ENSG00000168615
49,PTPRK,Receptor-type tyrosine-protein phosphatase kappa,0.3791097756008475,Tier 2,0.05448725753419294,0.35185119802504805,0.3097176183570307,0.5,0.0,0.28633709621682957,0.2354188939084104,1.0,0.65,0.8785898360000001,0.2354188939084104,0.500810188,0.0393634947999999,1.187918044,1.187918044,-0.7915519043406279,0.5410244938611372,0,5,type I,727,experimental (CSPA/GPI),GO CC high conf,0.0,,0.05135334290589421,RNA only,False,,liver,30.9,,Receptors,Q15262,ENSG00000152894
