ensembl_gene,ot_symbol,ab_tractability_bucket,ab_druggability,ot_surface_localisation,ot_locations,ot_is_essential,ot_n_drugs,ot_drugs,ot_max_clinical_stage
ENSG00000006210,CX3CL1,Advanced Clinical,0.9,True,uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Secreted; HPA_main:Plasma membrane; HPA_extracellular_location:Predicted to be secreted,False,1,QUETMOLIMAB,PHASE_2
ENSG00000006283,CACNA1G,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Cytoplasm; HPA_main:Acrosome; HPA_main:Equatorial segment; HPA_main:Nucleoplasm; HPA_main:Perinuclear theca,False,19,TERODILINE; MIBEFRADIL; SUVECALTAMIDE; PHENSUXIMIDE; BEPRIDIL; MIBEFRADIL DIHYDROCHLORIDE,PHASE_3
ENSG00000006638,TBXA2R,GO CC high conf,0.65,True,uniprot:Cell membrane; Multi-pass membrane protein; HPA_main:Plasma membrane; HPA_additional:Nuclear speckles,False,5,TERBOGREL; SERATRODAST; TERUTROBAN; RAMATROBAN; PICOTAMIDE,PHASE_3
ENSG00000007038,PRSS21,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Lipid-anchor, GPI- anchor; HPA_main:Cytosol; HPA_main:Mid piece; HPA_main:Principal piece",False,0,,
ENSG00000007062,PROM1,GO CC high conf,0.65,True,"uniprot:Apical cell membrane ; Multi-pass membrane protein; uniprot:Cell projection, microvillus membrane ; Multi-pass membrane protein; uniprot:Cell projection, cilium, photoreceptor outer segment; uniprot:Endoplasmic reticulum; uniprot:Endoplasmic reticulum-Golgi intermediate compartment; HPA_main:Plasma membrane",False,0,,
ENSG00000007216,SLC13A2,UniProt loc high conf,0.7,True,uniprot:Apical cell membrane ; Multi-pass membrane protein,False,0,,
ENSG00000007306,CEACAM7,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Lipid-anchor, GPI- anchor; uniprot:Apical cell membrane; HPA_main:Plasma membrane; HPA_additional:Cytosol",False,0,,
ENSG00000007312,CD79B,GO CC high conf,0.65,True,uniprot:Cell membrane; Single-pass type I membrane protein; HPA_main:Plasma membrane; HPA_additional:Cytosol; HPA_additional:Nucleoplasm,False,1,POLATUZUMAB VEDOTIN,APPROVAL
ENSG00000007314,SCN4A,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Golgi apparatus,False,77,RILUZOLE; TOCAINIDE; PHENYTOIN; MEXILETINE; HEXYLCAINE; BENOXINATE HYDROCHLORIDE,PHASE_3
ENSG00000007908,SELE,Phase 1 Clinical,0.8,True,uniprot:Cell membrane ; Single-pass type I membrane protein,False,4,UPROLESELAN; RIVIPANSEL; BIMOSIAMOSE; CDP-850,PHASE_3
ENSG00000008277,ADAM22,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Cell projection, axon; HPA_main:Cell Junctions",False,0,,
ENSG00000008300,CELSR3,UniProt loc med conf,0.55,True,uniprot:Cell membrane; Multi-pass membrane protein,False,0,,
ENSG00000008516,MMP25,GO CC high conf,0.65,True,"uniprot:Cell membrane; Lipid-anchor, GPI-anchor; Extracellular side; uniprot:Secreted, extracellular space, extracellular matrix; HPA_main:Plasma membrane; HPA_extracellular_location:Predicted to be secreted",False,0,,
ENSG00000008710,PKD1,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Cell projection, cilium; uniprot:Endoplasmic reticulum; uniprot:Golgi apparatus; uniprot:Vesicle; uniprot:Secreted, extracellular exosome",False,0,,
ENSG00000009694,TENM1,GO CC high conf,0.65,True,"uniprot:Cell membrane ; Single-pass membrane protein; uniprot:Nucleus; uniprot:Nucleus speckle; uniprot:Nucleus matrix; uniprot:Cytoplasm, cytoskeleton; uniprot:Nucleus",False,0,,
ENSG00000010278,CD9,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Membrane ; Multi-pass membrane protein; uniprot:Secreted, extracellular exosome; HPA_main:Plasma membrane",False,0,,
ENSG00000010310,GIPR,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Vesicles,False,2,RETATRUTIDE; TIRZEPATIDE,PHASE_3
ENSG00000010379,SLC6A13,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Basolateral cell membrane ; Multi-pass membrane protein; HPA_main:Mitochondria; HPA_additional:Cytosol; HPA_additional:Nucleoli; HPA_additional:Nucleoplasm,False,0,,
ENSG00000010610,CD4,Approved Drug,1.0,True,uniprot:Cell membrane ; Single-pass type I membrane protein; HPA_main:Plasma membrane,False,8,TRX-1; CLENOLIXIMAB; SEMZUVOLIMAB; ZANOLIMUMAB; PRILIXIMAB; VRC-01LS,PHASE_3
ENSG00000010704,HFE,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein; HPA_main:Plasma membrane; HPA_additional:Nucleoplasm,False,0,,
ENSG00000011028,MRC2,UniProt SigP or TMHMM,0.45,False,uniprot:Membrane; Single-pass type I membrane protein,False,0,,
ENSG00000011083,SLC6A7,UniProt loc high conf,0.7,True,uniprot:Synaptic cell membrane ; Multi-pass membrane protein; HPA_main:Cytosol; HPA_main:Plasma membrane,False,0,,
ENSG00000011105,TSPAN9,GO CC high conf,0.65,False,uniprot:Membrane ; Multi-pass membrane protein; HPA_main:Golgi apparatus; HPA_main:Nucleoplasm; HPA_additional:Cytosol,False,0,,
ENSG00000011422,PLAUR,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Lipid-anchor, GPI-anchor; uniprot:Cell projection, invadopodium membrane ; Lipid-anchor, GPI-anchor; uniprot:Secreted; HPA_main:Plasma membrane",False,0,,
ENSG00000011677,GABRA3,GO CC high conf,0.65,True,uniprot:Postsynaptic cell membrane ; Multi-pass membrane protein; uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Plasma membrane; HPA_additional:Nucleoplasm,False,74,METHOHEXITAL; SEVOFLURANE; PADSEVONIL; MIDAZOLAM; METHAQUALONE; BREXANOLONE,PHASE_3
ENSG00000012124,CD22,Approved Drug,1.0,True,uniprot:Cell membrane ; Single-pass type I membrane protein,False,11,INOTUZUMAB OZOGAMICIN; MOXETUMOMAB PASUDOTOX; YTTRIUM Y 90 EPRATUZUMAB TETRAXETAN; BL22; YTTRIUM Y 90 EPRATUZUMAB; MONO-DGA-RFB4,PHASE_3
ENSG00000013297,CLDN11,UniProt loc high conf,0.7,True,"uniprot:Cell junction, tight junction; uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Cell Junctions; HPA_main:Lipid droplets",False,0,,
ENSG00000013588,GPRC5A,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Cytoplasmic vesicle membrane ; Multi-pass membrane protein; HPA_main:Vesicles; HPA_additional:Plasma membrane; HPA_additional:Primary cilium; HPA_additional:Primary cilium tip,False,0,,
ENSG00000013725,CD6,Advanced Clinical,0.9,True,uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Secreted,False,2,ONCOLYSIN CD6; ITOLIZUMAB,PHASE_3
ENSG00000015413,DPEP1,UniProt loc high conf,0.7,True,"uniprot:Apical cell membrane ; Lipid-anchor, GPI-anchor; uniprot:Cell projection, microvillus membrane ; Lipid-anchor, GPI-anchor; HPA_main:Cell Junctions; HPA_main:Nucleoplasm",False,2,CILASTATIN SODIUM; CILASTATIN,APPROVAL
ENSG00000015520,NPC1L1,UniProt loc high conf,0.7,True,uniprot:Apical cell membrane ; Multi-pass membrane protein; uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Cytoplasmic vesicle membrane ; Multi-pass membrane protein,False,1,EZETIMIBE,APPROVAL
ENSG00000016402,IL20RA,GO CC high conf,0.65,False,uniprot:Membrane ; Single-pass type I membrane protein; HPA_main:Cytosol,False,0,,
ENSG00000016602,CLCA4,GO CC high conf,0.65,True,uniprot:Cell membrane ; Single-pass membrane protein; uniprot:Apical cell membrane; uniprot:Secreted; HPA_main:Plasma membrane; HPA_additional:Aggresome; HPA_additional:Nucleoplasm,False,0,,
ENSG00000017483,SLC38A5,GO CC high conf,0.65,True,uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Plasma membrane; HPA_main:Vesicles; HPA_additional:Cytosol,False,0,,
ENSG00000018236,CNTN1,UniProt loc med conf,0.55,True,"uniprot:Cell membrane; Lipid-anchor, GPI- anchor; Extracellular side; uniprot:Cell membrane; Lipid-anchor, GPI- anchor; Extracellular side",False,0,,
ENSG00000018280,SLC11A1,GO CC high conf,0.65,False,uniprot:Late endosome membrane ; Multi-pass membrane protein; uniprot:Lysosome membrane ; Multi- pass membrane protein; HPA_main:Mitochondria; HPA_additional:Nucleoli,False,0,,
ENSG00000018625,ATP1A2,UniProt loc high conf,0.7,True,uniprot:Membrane ; Multi-pass membrane protein; uniprot:Cell membrane ; Multi-pass membrane protein,False,6,DIGOXIN; DESLANOSIDE; LANATOSIDE C; ACETYLDIGITOXIN; DIGITOXIN; ISTAROXIME,PHASE_2_3
ENSG00000019102,VSIG2,GO CC high conf,0.65,False,uniprot:Membrane ; Single-pass type I membrane protein; HPA_main:Nucleoplasm,False,0,,
ENSG00000019582,CD74,Advanced Clinical,0.9,True,"uniprot:Cell membrane ; Single-pass type II membrane protein; uniprot:Endoplasmic reticulum membrane; uniprot:Golgi apparatus, trans-Golgi network; uniprot:Endosome; uniprot:Lysosome; uniprot:Secreted",False,2,REPOTRECTINIB; MILATUZUMAB,PHASE_1_2
ENSG00000020181,ADGRA2,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Cell projection, filopodium; HPA_main:Plasma membrane; HPA_additional:Vesicles",False,0,,
ENSG00000021488,SLC7A9,UniProt loc high conf,0.7,True,uniprot:Apical cell membrane ; Multi-pass membrane protein; uniprot:Cell membrane ; Multi-pass membrane protein,False,0,,
ENSG00000021645,NRXN3,GO CC high conf,0.65,True,uniprot:Presynaptic cell membrane ; Single-pass type I membrane protein,False,0,,
ENSG00000022355,GABRA1,UniProt loc high conf,0.7,True,uniprot:Postsynaptic cell membrane ; Multi-pass membrane protein; uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Cytoplasmic vesicle membrane ; Multi-pass membrane protein; HPA_main:Plasma membrane; HPA_additional:Nucleoplasm,False,76,HALAZEPAM; QUAZEPAM; THIOPENTAL; CLONAZEPAM; PROPOFOL; MEPROBAMATE,PHASE_3
ENSG00000023171,GRAMD1B,UniProt loc high conf,0.7,True,uniprot:Endoplasmic reticulum membrane ; Single-pass membrane protein; uniprot:Cell membrane ; Single-pass membrane protein; HPA_main:Endoplasmic reticulum; HPA_main:Plasma membrane; HPA_additional:Vesicles,False,0,,
ENSG00000023839,ABCC2,UniProt loc high conf,0.7,True,uniprot:Apical cell membrane ; Multi-pass membrane protein,False,0,,
ENSG00000026103,FAS,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Membrane raft; uniprot:Secreted; uniprot:Secreted; uniprot:Secreted; uniprot:Secreted,False,0,,
ENSG00000026508,CD44,Advanced Clinical,0.9,True,"uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Cell projection, microvillus; uniprot:Secreted; HPA_main:Plasma membrane; HPA_additional:Golgi apparatus; HPA_extracellular_location:Predicted to be secreted",False,2,BIVATUZUMAB MERTANSINE; BIVATUZUMAB,UNKNOWN
ENSG00000026751,SLAMF7,Approved Drug,1.0,False,uniprot:Membrane; Single-pass type I membrane protein; HPA_main:Vesicles,False,2,AZINTUXIZUMAB VEDOTIN; ELOTUZUMAB,PHASE_1
ENSG00000026950,BTN3A1,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein; HPA_main:Vesicles,False,0,,
ENSG00000027644,INSRR,UniProt SigP or TMHMM,0.45,False,uniprot:Membrane; Single-pass type I membrane protein,False,0,,
ENSG00000027697,IFNGR1,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein; HPA_main:Plasma membrane,False,1,INTERFERON GAMMA-1B,APPROVAL
ENSG00000028137,TNFRSF1B,GO CC high conf,0.65,True,uniprot:Cell membrane; Single-pass type I membrane protein; uniprot:Secreted; uniprot:Secreted,False,0,,
ENSG00000029364,SLC39A9,UniProt loc high conf,0.7,True,"uniprot:Golgi apparatus, trans-Golgi network membrane; uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Cytoplasm, perinuclear region; uniprot:Mitochondrion; uniprot:Nucleus; HPA_main:Endoplasmic reticulum",False,0,,
ENSG00000030304,MUSK,UniProt loc high conf,0.7,True,uniprot:Postsynaptic cell membrane ; Single-pass type I membrane protein,False,0,,
ENSG00000033867,SLC4A7,UniProt loc high conf,0.7,True,"uniprot:Basolateral cell membrane ; Multi-pass membrane protein; uniprot:Apical cell membrane ; Multi-pass membrane protein; uniprot:Cell projection, stereocilium; uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Plasma membrane",False,0,,
ENSG00000036828,CASR,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein,False,7,ETELCALCETIDE; ASP7991; ETELCALCETIDE HYDROCHLORIDE; CINACALCET HYDROCHLORIDE; EVOCALCET; CINACALCET,PHASE_2
ENSG00000037280,FLT4,Phase 1 Clinical,0.8,True,uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Cytoplasm; uniprot:Nucleus; uniprot:Cell membrane; Single-pass type I membrane protein; uniprot:Cell membrane; Single-pass type I membrane protein; uniprot:Secreted,False,47,OSI-930; TIVOZANIB; JNJ-26483327; CATEQUENTINIB; IBCASERTIB; TELATINIB,UNKNOWN
ENSG00000037749,MFAP3,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein; HPA_main:Golgi apparatus; HPA_additional:Nucleoplasm,False,0,,
ENSG00000038945,MSR1,GO CC high conf,0.65,True,uniprot:Cell membrane ; Single-pass type II membrane protein,False,0,,
ENSG00000039068,CDH1,UniProt loc high conf,0.7,True,"uniprot:Cell junction, adherens junction; uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Endosome; uniprot:Golgi apparatus, trans-Golgi network; uniprot:Cytoplasm; uniprot:Cell junction, desmosome",False,0,,
ENSG00000039987,BEST2,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Basolateral cell membrane ; Multi-pass membrane protein; HPA_main:End piece; HPA_main:Flagellar centriole; HPA_main:Principal piece,False,0,,
ENSG00000040531,CTNS,UniProt loc high conf,0.7,True,uniprot:Lysosome membrane ; Multi-pass membrane protein; uniprot:Melanosome membrane ; Multi-pass membrane protein; uniprot:Lysosome membrane ; Multi-pass membrane protein; uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Vesicles,False,0,,
ENSG00000040608,RTN4R,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Lipid- anchor, GPI-anchor; uniprot:Membrane raft; uniprot:Cell projection, dendrite; uniprot:Cell projection, axon; uniprot:Perikaryon; HPA_main:Focal adhesion sites",False,0,,
ENSG00000040731,CDH10,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein; HPA_main:Cell Junctions; HPA_additional:Nucleoplasm,False,0,,
ENSG00000042980,ADAM28,GO CC high conf,0.65,True,uniprot:Cell membrane; Single-pass type I membrane protein; uniprot:Secreted; HPA_main:Plasma membrane; HPA_additional:Mitochondria; HPA_extracellular_location:Predicted to be secreted,False,0,,
ENSG00000043591,ADRB1,GO CC high conf,0.65,True,uniprot:Cell membrane ; Multi-pass membrane protein,False,65,DROXIDOPA; PROPAFENONE; CARVEDILOL; BETAXOLOL; ESMOLOL HYDROCHLORIDE; LABETALOL HYDROCHLORIDE,PHASE_2
ENSG00000044524,EPHA3,Phase 1 Clinical,0.8,True,uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Secreted; HPA_main:Cytosol; HPA_main:Nuclear membrane; HPA_main:Plasma membrane; HPA_additional:Actin filaments,False,2,KB-004; VANDETANIB,PHASE_1_2
ENSG00000046604,DSG2,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Cell junction, desmosome; uniprot:Cytoplasm; uniprot:Secreted; HPA_main:Cell Junctions; HPA_additional:Plasma membrane",False,0,,
ENSG00000046653,GPM6B,UniProt loc med conf,0.55,True,uniprot:Cell membrane ; Multi-pass membrane protein,False,0,,
ENSG00000047617,ANO2,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Plasma membrane; HPA_additional:Nucleoplasm,False,0,,
ENSG00000047936,ROS1,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein; HPA_main:Vesicles,False,4,CRIZOTINIB; ENTRECTINIB; TALETRECTINIB; REPOTRECTINIB,PHASE_3
ENSG00000048140,TSPAN17,UniProt loc med conf,0.55,True,uniprot:Cell membrane ; Multi-pass membrane protein,False,0,,
ENSG00000048462,TNFRSF17,Approved Drug,1.0,True,uniprot:Cell membrane; Single-pass type III membrane protein; uniprot:Endomembrane system; Single-pass type III membrane protein; HPA_main:Golgi apparatus; HPA_additional:Mitotic spindle,False,5,IDECABTAGENE VICLEUCEL; BELANTAMAB MAFODOTIN; CILTACABTAGENE AUTOLEUCEL; ELRANATAMAB; TECLISTAMAB,APPROVAL
ENSG00000049130,KITLG,UniProt loc high conf,0.7,True,"uniprot:Cell membrane; Single-pass type I membrane protein; uniprot:Cytoplasm; uniprot:Cytoplasm, cytoskeleton; uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Cell projection, lamellipodium; uniprot:Cell projection, filopodium",False,0,,
ENSG00000049249,TNFRSF9,Advanced Clinical,0.9,True,uniprot:Cell membrane; Single-pass type I membrane protein; HPA_main:Plasma membrane; HPA_additional:Nucleoli,False,2,URELUMAB; UTOMILUMAB,PHASE_3
ENSG00000050438,SLC4A8,UniProt loc high conf,0.7,True,"uniprot:Apical cell membrane ; Multi-pass membrane protein; uniprot:Basolateral cell membrane ; Multi-pass membrane protein; uniprot:Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane ; Multi-pass membrane protein; uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Cell membrane ; Multi-pass membrane protein",False,0,,
ENSG00000050628,PTGER3,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein,False,3,MISOPROSTOL; DINOPROSTONE; SEPETAPROST,PHASE_3
ENSG00000052344,PRSS8,GO CC high conf,0.65,True,"uniprot:Cell membrane; Single-pass membrane protein; uniprot:Secreted, extracellular space; uniprot:Secreted, extracellular space",False,0,,
ENSG00000054277,OPN3,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Cytoplasm; HPA_main:Cytosol; HPA_main:Nucleoplasm; HPA_additional:Basal body; HPA_additional:Plasma membrane,False,0,,
ENSG00000054356,PTPRN,UniProt loc high conf,0.7,True,"uniprot:Membrane ; Single- pass type I membrane protein; uniprot:Cytoplasmic vesicle, secretory vesicle membrane ; Single-pass type I membrane protein; uniprot:Perikaryon; uniprot:Cell projection, axon; uniprot:Synapse; uniprot:Cell membrane ; Single-pass type I membrane protein",False,0,,
ENSG00000054967,RELT,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Cytoplasm; uniprot:Cytoplasm, perinuclear region; HPA_main:Cytosol; HPA_additional:Nucleoli; HPA_additional:Nucleoplasm",False,0,,
ENSG00000055211,GINM1,UniProt SigP or TMHMM,0.45,True,uniprot:Membrane ; Single-pass type I membrane protein; HPA_main:Nucleoli fibrillar center; HPA_main:Plasma membrane,False,0,,
ENSG00000056291,NPFFR2,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Plasma membrane; HPA_additional:Actin filaments,False,0,,
ENSG00000056736,IL17RB,GO CC high conf,0.65,True,uniprot:Cell membrane; Single-pass type I membrane protein; uniprot:Secreted; HPA_main:Plasma membrane; HPA_main:Vesicles,False,0,,
ENSG00000057019,DCBLD2,GO CC high conf,0.65,True,uniprot:Membrane ; Single- pass type I membrane protein; HPA_main:Cytosol; HPA_main:Plasma membrane; HPA_additional:Golgi apparatus,False,0,,
ENSG00000058668,ATP2B4,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Cell projection, cilium, flagellum membrane ; Multi-pass membrane protein; HPA_main:Plasma membrane; HPA_main:Primary cilium; HPA_additional:Basal body; HPA_additional:Mitochondria",False,0,,
ENSG00000059804,SLC2A3,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Perikaryon; uniprot:Cell projection; HPA_main:Plasma membrane,False,0,,
ENSG00000060656,PTPRU,UniProt loc high conf,0.7,True,uniprot:Cell junction; uniprot:Cell membrane ; Single-pass type I membrane protein,False,0,,
ENSG00000062038,CDH3,Phase 1 Clinical,0.8,True,uniprot:Cell membrane; Single-pass type I membrane protein; HPA_main:Cell Junctions; HPA_main:Plasma membrane,False,1,PF-03732010,PHASE_1
ENSG00000062524,LTK,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein; HPA_main:Vesicles,False,0,,
ENSG00000063015,SEZ6,UniProt loc med conf,0.55,True,uniprot:Cell membrane ; Single-pass type I membrane protein,False,0,,
ENSG00000063127,SLC6A16,UniProt SigP or TMHMM,0.45,False,uniprot:Membrane; Multi-pass membrane protein; HPA_main:Golgi apparatus,False,0,,
ENSG00000063660,GPC1,GO CC high conf,0.65,True,"uniprot:Cell membrane; Lipid-anchor, GPI-anchor; Extracellular side; uniprot:Endosome; uniprot:Secreted, extracellular space; HPA_main:Cytosol; HPA_main:Plasma membrane",False,0,,
ENSG00000064115,TM7SF3,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Cytosol; HPA_additional:Nucleoplasm,False,0,,
ENSG00000064300,NGFR,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Cytoplasm; uniprot:Perikaryon; uniprot:Cell projection, growth cone; uniprot:Cell projection, dendritic spine; HPA_main:Nucleoplasm",False,0,,
ENSG00000064309,CDON,GO CC high conf,0.65,True,uniprot:Cell membrane ; Single-pass membrane protein,False,0,,
ENSG00000064545,TMEM161A,UniProt SigP or TMHMM,0.45,False,uniprot:Membrane ; Multi-pass membrane protein; HPA_main:Cytosol,False,0,,
ENSG00000064547,LPAR2,UniProt loc high conf,0.7,True,uniprot:Cell surface; uniprot:Cell membrane ; Multi-pass membrane protein,,0,,
ENSG00000064651,SLC12A2,UniProt loc high conf,0.7,True,uniprot:Basolateral cell membrane ; Multi-pass membrane protein; HPA_main:Plasma membrane; HPA_main:Vesicles; HPA_additional:Basal body,False,0,,
ENSG00000064687,ABCA7,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Golgi apparatus membrane ; Multi-pass membrane protein; uniprot:Early endosome membrane ; Multi-pass membrane protein; uniprot:Cytoplasm; uniprot:Cell projection, ruffle membrane; uniprot:Cell projection, phagocytic cup",False,0,,
