gene,uniprot,protein_name,ensembl_gene,surface_evidence,cspa_confirmed,topology,topology_class,n_tm,ecd_length,max_ecd_segment,cyto_length,has_signal_peptide,accessible_sites,almen_class,uniprot_subcellular,ml_score,loc_pass,loc_reason,ecd_pass,ecd_reason,antibody_accessible,exclusion_reason,accessibility_score,surface_confirmation,ot_symbol,ab_tractability_bucket,ab_druggability,ot_surface_localisation,ot_locations,ot_is_essential,ot_n_drugs,ot_drugs,ot_max_clinical_stage,depmap_mean_gene_effect,rna_risk,rna_max_ntpm,rna_worst_tissue,safety_rna,protein_risk,protein_worst_tissue,level_score,safety_protein,n_normal_tissues_medium_high,safety_source,safety_score,safety_is_default,epi_mean,epi_detection,caf_mean,immune_mean,endothelial_mean,tme_max_mean,log2fc_mean,log2fc_sd,n_datasets,n_datasets_reproducible,consensus_fraction
NOTCH1,P46531,Neurogenic locus notch homolog protein 1,ENSG00000148400,experimental,True,SP:1-18;NC:19-1735;TM:1736-1756;CY:1757-2555,type I,1,1717,1717,799,True,47.0,Receptors,Cell membrane (Single-pass type I membrane protein);Nucleus,0.8447,True,,True,,True,,1.0,experimental (CSPA/GPI),NOTCH1,Advanced Clinical,0.9,True,uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Late endosome membrane ; Single-pass type I membrane protein; uniprot:Nucleus; HPA_main:Nucleoplasm,False,1.0,BRONTICTUZUMAB,PHASE_1,-0.0017441141050791966,0.5306829748279894,18.9,lung,0.46931702517201057,0.95,Cerebellum,1.0,0.050000000000000044,44.0,protein+RNA (min),0.050000000000000044,False,0.26972414,0.0954572687718441,0.4056765999999999,0.5221637259999999,2.154691476,2.154691476,-2.200294665700823,0.704663678746374,5,0,0.0
SLC4A4,Q9Y6R1,Electrogenic sodium bicarbonate cotransporter 1,ENSG00000080493,machine_learning,False,CY:1-468;TM:469-491;NC:492-503;TM:504-527;CY:528-552;TM:553-579;NC:580-687;TM:688-710;CY:711-726;TM:727-748;NC:749-776;TM:777-797;CY:798-817;TM:818-842;NC:843-877;TM:878-900;CY:901-949;TM:950-967;NC:968-972;TM:973-990;CY:991-1079,multi-pass (10 TM),10,188,108,667,False,3.0,Transporters,Basolateral cell membrane (Multi- pass membrane protein),0.8503,True,,True,,True,,0.28500000000000003,Open Targets confirmed,SLC4A4,UniProt loc high conf,0.7,True,uniprot:Basolateral cell membrane ; Multi-pass membrane protein; uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Plasma membrane; HPA_additional:Cytosol,False,0.0,,,0.015014755081196308,0.95,245.3,kidney,0.050000000000000044,0.95,Kidney,1.0,0.050000000000000044,6.0,protein+RNA (min),0.050000000000000044,False,0.2422278149999999,0.0954170635066981,0.0466751338,0.0303050559999999,0.0120975408,0.055795973,1.3405418671043137,1.05728980405273,5,3,0.6
ICAM4,Q14773,Intercellular adhesion molecule 4,ENSG00000105371,machine_learning,False,SP:1-25;NC:26-239;TM:240-262;CY:263-271,type I,1,214,214,9,True,11.0,Unclassified,Cell membrane (Single-pass type I membrane protein);Secreted,0.7764,True,,True,,True,,0.5883333333333334,Open Targets confirmed,ICAM4,UniProt loc high conf,0.7,True,uniprot:Cell membrane; Single-pass type I membrane protein; uniprot:Secreted; uniprot:Cell membrane ; Single-pass type I membrane protein,False,0.0,,,0.01663597209254659,0.5089927348366585,12.6,bone marrow,0.4910072651633415,,,,,,RNA only,0.4910072651633415,False,0.24416622,0.0948281680398224,0.0706614642,0.0401875323999999,0.1932916667999999,0.2289603039999999,0.1103559716073395,0.935871914291688,5,1,0.2
MUC16,Q8WXI7,Mucin-16,,experimental,True,NC:1-22096;TM:22097-22121;CY:22122-22152,type I,1,22096,22096,31,False,238.0,Unclassified,"Cell membrane (Single-pass type I membrane protein);Secreted, extracellular space",0.8242,True,,True,,True,,1.0,experimental (CSPA/GPI),,not in Open Targets,0.3,,,,,,,-0.010908282388423188,0.24030477315790072,15.0,cervix,0.7596952268420993,0.4,Bronchus,1.0,0.6,5.0,protein+RNA (min),0.6,False,0.394425498,0.0948142013067375,0.0057525538399999,0.0193606546,0.00407720454,0.02136216554,1.7288625785807494,1.426209935626855,5,2,0.4
EREG,O14944,Proepiregulin,ENSG00000124882,experimental,False,SP:1-32;NC:33-117;TM:118-141;CY:142-169,type I,1,85,85,28,True,2.0,Unclassified,"Secreted, extracellular space;Cell membrane (Single-pass type I membrane protein)",0.9609,True,,True,,True,,0.3908333333333333,experimental (CSPA/GPI),EREG,Advanced Clinical,0.9,True,"uniprot:Secreted, extracellular space; uniprot:Cell membrane ; Single-pass type I membrane protein; HPA_main:Vesicles; HPA_additional:Cytosol; HPA_extracellular_location:Predicted to be secreted",False,1.0,FEPIXNEBART,PHASE_2,0.0010710413327229518,0.9,121.5,bone marrow,0.09999999999999998,,,,,,RNA only,0.09999999999999998,False,0.8431085725999999,0.0940652019803258,0.0330431736,0.513228376,0.074394384,0.513228376,0.3060426844707437,1.2640595927576346,5,2,0.4
RHBDF2,Q6PJF5,Inactive rhomboid protein 2,ENSG00000129667,experimental,True,CY:1-404;TM:405-426;NC:427-656;TM:657-681;CY:682-692;TM:693-712;NC:713-717;TM:718-736;CY:737-747;TM:748-768;NC:769-773;TM:774-792;CY:793-802;TM:803-825;NC:826-856,multi-pass (7 TM),7,271,230,436,False,11.0,Unclassified,Cell membrane;Endoplasmic reticulum membrane (Multi-pass membrane protein),0.5789,True,,True,,True,,0.4666666666666667,experimental (CSPA/GPI),RHBDF2,UniProt loc high conf,0.7,True,uniprot:Endoplasmic reticulum membrane ; Multi-pass membrane protein; uniprot:Cell membrane,False,0.0,,,-0.16012170766444403,0.6566602618347324,35.5,bone marrow,0.34333973816526764,,,,,,RNA only,0.34333973816526764,False,0.2339919559999999,0.0939785631027315,0.2505995734,0.487543042,0.4000331679999999,0.52899204,-0.992323875637703,0.2154826779884458,5,0,0.0
LMBRD2,Q68DH5,LMBR1 domain-containing protein 2,ENSG00000164187,machine_learning,False,NC:1-5;TM:6-22;CY:23-32;TM:33-53;NC:54-108;TM:109-129;CY:130-151;TM:152-171;NC:172-182;TM:183-207;CY:208-384;TM:385-409;NC:410-429;TM:430-452;CY:453-471;TM:472-494;NC:495-528;TM:529-548;CY:549-695,multi-pass (9 TM),9,125,55,375,False,3.0,Unclassified,Membrane (Multi-pass membrane protein),0.7146,True,,True,,True,,0.24083333333333334,Open Targets confirmed,LMBRD2,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Cytosol; HPA_main:Nucleoplasm,False,0.0,,,0.1307985562016516,0.5641885218874123,14.5,cerebral cortex,0.4358114781125877,0.95,Cerebellum,1.0,0.050000000000000044,33.0,protein+RNA (min),0.050000000000000044,False,0.169655104,0.0938483920313664,0.0988128114,0.1737634572,0.1168674606,0.1981061612,-0.0336917749251154,0.4502937421708389,5,0,0.0
AMIGO2,Q86SJ2,Amphoterin-induced protein 2,ENSG00000139211,experimental,True,SP:1-21;NC:22-397;TM:398-419;CY:420-522,type I,1,376,376,103,True,15.0,Miscellaneous,Cell membrane (Single-pass type I membrane protein);Nucleus,0.8563,True,,True,,True,,0.7633333333333334,experimental (CSPA/GPI),AMIGO2,UniProt loc med conf,0.55,True,uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Nucleus; HPA_main:Golgi apparatus; HPA_main:Plasma membrane; HPA_additional:Cytosol,False,0.0,,,0.021792211528139368,0.5822412944851092,68.2,lung,0.4177587055148908,,,,,,RNA only,0.4177587055148908,False,0.27990327,0.0935756416382573,0.169724856,0.23978514,0.1878017719999999,0.2924491919999999,0.0097708308184938,1.245555590736669,5,1,0.2
MUC15,Q8N387,Mucin-15,ENSG00000169550,machine_learning,False,SP:1-23;NC:24-237;TM:238-261;CY:262-334,type I,1,214,214,73,True,6.0,Unclassified,Cell membrane (Single-pass type I membrane protein);Secreted,0.8882,True,,True,,True,,0.5383333333333333,Open Targets confirmed,MUC15,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single- pass type I membrane protein; uniprot:Secreted,False,0.0,,,0.03104889851699866,0.6498531054927521,1841.3,kidney,0.3501468945072479,0.7,Thyroid gland,1.0,0.30000000000000004,15.0,protein+RNA (min),0.30000000000000004,False,0.253758278,0.0935751594192861,0.0,0.0059296477,0.0009016660999999,0.0062003489399999,2.327814207022368,0.8434077306867591,5,2,0.4
MR1,Q95460,Major histocompatibility complex class I-related gene protein,ENSG00000153029,experimental,True,SP:1-22;NC:23-300;TM:301-323;CY:324-341,type I,1,278,278,18,True,14.0,Unclassified,Cell membrane (Single-pass membrane protein|Extracellular side;Endoplasmic reticulum;Cell membrane (Single-pass type I membrane protein);Endoplasmic reticulum membrane;Secreted,0.7143,True,,True,,True,,0.6716666666666666,experimental (CSPA/GPI),MR1,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Endoplasmic reticulum membrane ; Single-pass type I membrane protein; uniprot:Golgi apparatus membrane ; Single-pass type I membrane protein; uniprot:Early endosome membrane ; Single-pass type I membrane protein; uniprot:Late endosome membrane ; Single-pass type I membrane protein; uniprot:Cell membrane ; Single-pass type I membrane protein,False,0.0,,,0.0019871894254969453,0.5792639670529071,20.3,lung,0.42073603294709294,,,,,,RNA only,0.42073603294709294,False,0.147809862,0.092977430723359,0.1928972339999999,0.206277772,0.0548927446,0.235760938,-0.4702484488986039,0.4577632716229523,5,0,0.0
MST1R,Q04912,Macrophage-stimulating protein receptor,ENSG00000164078,machine_learning,True,SP:1-24;NC:25-957;TM:958-982;CY:983-1400,type I,1,933,933,418,True,25.0,Receptors,Membrane (Single-pass type I membrane protein),0.9621,True,,True,,True,,1.0,unconfirmed (ML prediction only),MST1R,Advanced Clinical,0.9,False,uniprot:Membrane; Single-pass type I membrane protein; HPA_main:Cytosol,False,4.0,NARNATUMAB; CRIZOTINIB; GLESATINIB; MK-8033,PHASE_2,-0.03162769952565315,0.49706206039980366,30.2,stomach,0.5029379396001963,0.9,Lung,1.0,0.09999999999999998,42.0,protein+RNA (min),0.09999999999999998,False,0.239891683,0.0929382511350894,0.0072927837999999,0.0093892026999999,0.0800249344,0.0800249344,1.0236483923248791,0.443186202801454,5,1,0.2
FZD3,Q9NPG1,Frizzled-3,ENSG00000104290,machine_learning,False,SP:1-27;NC:28-201;TM:202-226;CY:227-237;TM:238-258;NC:259-289;TM:290-314;CY:315-327;TM:328-349;NC:350-372;TM:373-397;CY:398-416;TM:417-441;NC:442-476;TM:477-498;CY:499-666,multi-pass (7 TM),7,263,174,211,True,15.0,Receptors,Apical cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein);Cell surface;Membrane (Multi-pass membrane protein),0.8663,True,,True,,True,,0.4600000000000001,Open Targets confirmed,FZD3,GO CC high conf,0.65,True,uniprot:Membrane; Multi-pass membrane protein; uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Cell surface; uniprot:Apical cell membrane ; Multi-pass membrane protein; HPA_main:Nucleoplasm; HPA_additional:Nuclear membrane,False,0.0,,,0.013447770815551477,0.4739758865152042,13.6,cerebral cortex,0.5260241134847958,0.95,Heart muscle,1.0,0.050000000000000044,44.0,protein+RNA (min),0.050000000000000044,False,0.1648210814,0.0927408316321597,0.0656924786,0.0462872042,0.0675559776,0.1131586586,0.3521049636170713,0.5711882911605539,5,1,0.2
CX3CL1,P78423,Fractalkine,ENSG00000006210,experimental,False,SP:1-28;NC:29-341;TM:342-362;CY:363-397,type I,1,313,313,35,True,6.0,Unclassified,Cell membrane (Single-pass type I membrane protein);Secreted,0.7333,True,,True,,True,,0.6208333333333333,experimental (CSPA/GPI),CX3CL1,Advanced Clinical,0.9,True,uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Secreted; HPA_main:Plasma membrane; HPA_extracellular_location:Predicted to be secreted,False,1.0,QUETMOLIMAB,PHASE_2,0.08137145034529988,0.8884669279284659,100.5,lung,0.11153307207153407,0.7,Colon,1.0,0.30000000000000004,41.0,protein+RNA (min),0.11153307207153407,False,0.2615000859999999,0.0926421714764299,0.165271006,0.01018701356,2.201941816,2.201941816,-2.412610169992622,2.075232093439081,5,0,0.0
ITGA6,P23229,Integrin alpha-6,ENSG00000091409,experimental,True,SP:1-23;NC:24-1052;TM:1053-1076;CY:1077-1130,type I,1,1029,1029,54,True,40.0,Receptors,Cell membrane (Lipid-anchor);Cell membrane (Single-pass type I membrane protein),0.9405,True,,True,,True,,1.0,experimental (CSPA/GPI),ITGA6,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Cell membrane ; Lipid-anchor,False,0.0,,,-0.07144873640879856,0.7639179837299972,76.2,kidney,0.2360820162700028,0.627,Kidney,0.66,0.373,15.0,protein+RNA (min),0.2360820162700028,False,0.252668303,0.092531317807926,0.02275044026,0.2467269119999999,1.53546693,1.5391504,-2.460083097506988,1.2432903434204914,5,0,0.0
ADCY9,O60503,Adenylate cyclase type 9,ENSG00000162104,machine_learning,False,CY:1-117;TM:118-136;NC:137-141;TM:142-164;CY:165-172;TM:173-195;NC:196-217;TM:218-235;CY:236-241;TM:242-261;NC:262-280;TM:281-301;CY:302-787;TM:788-809;NC:810-820;TM:821-843;CY:844-862;TM:863-884;NC:885-891;TM:892-911;CY:912-921;TM:922-939;NC:940-976;TM:977-996;CY:997-1353,multi-pass (12 TM),12,101,37,1003,False,3.0,Enzymes,Membrane (Multi-pass membrane protein),0.6786,True,,True,,True,,0.22583333333333333,Open Targets confirmed,ADCY9,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Cytosol; HPA_main:Plasma membrane; HPA_additional:Basal body; HPA_additional:Primary cilium,False,0.0,,,0.19318367817264423,0.5504604284297139,48.5,heart muscle,0.4495395715702861,0.627,Cerebral cortex,0.66,0.373,31.0,protein+RNA (min),0.373,False,0.181097282,0.0913872466353165,0.2775983768,0.0402055298,0.126710567,0.31186028,-0.3323362542349777,0.8337595331944601,5,1,0.2
TMEM67,Q5HYA8,Meckelin,ENSG00000164953,machine_learning,False,SP:1-21;NC:22-525;TM:526-544;CY:545-563;TM:564-589;NC:590-608;TM:609-626;CY:627-688;TM:689-710;NC:711-729;TM:730-754;CY:755-765;TM:766-789;NC:790-938;TM:939-966;CY:967-995,multi-pass (7 TM),7,691,504,121,True,18.0,Unclassified,"Cell membrane (Multi-pass membrane protein);Cytoplasm, cytoskeleton, cilium basal body;Endoplasmic reticulum membrane (Multi-pass membrane protein)",0.7046,True,,True,,True,,0.765,Open Targets confirmed,TMEM67,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Endoplasmic reticulum membrane ; Multi-pass membrane protein; uniprot:Cell projection, cilium; uniprot:Cytoplasm, cytoskeleton, cilium basal body",False,0.0,,,0.021252961331257432,0.6343961031182743,20.8,heart muscle,0.3656038968817257,,,,,,RNA only,0.3656038968817257,False,0.219294204,0.0911731843726499,0.139015998,0.0542687523999999,0.212790552,0.218204842,0.208956916979932,0.730716737727904,5,1,0.2
KREMEN1,Q96MU8,Kremen protein 1,ENSG00000183762,machine_learning,False,SP:1-22;NC:23-390;TM:391-413;CY:414-473,type I,1,368,368,60,True,22.0,Unclassified,Membrane (Single-pass type I membrane protein),0.7605,True,,True,,True,,0.8066666666666666,Open Targets confirmed,KREMEN1,UniProt loc med conf,0.55,True,uniprot:Cell membrane ; Single-pass type I membrane protein,False,0.0,,,-0.01745033106273963,0.6381388446276235,45.3,heart muscle,0.3618611553723765,,,,,,RNA only,0.3618611553723765,False,0.1679434978,0.0911267126386805,0.273948208,0.0356227056,0.0694836152,0.273948208,-0.5986047937925603,0.1640715356121803,5,0,0.0
PTPRS,Q13332,Receptor-type tyrosine-protein phosphatase S,ENSG00000105426,machine_learning,True,SP:1-29;NC:30-1282;TM:1283-1306;CY:1307-1948,type I,1,1253,1253,642,True,41.0,Receptors,Membrane (Single-pass type I membrane protein),0.8882,True,,True,,True,,1.0,Open Targets confirmed,PTPRS,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Cell projection, axon; uniprot:Perikaryon; uniprot:Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; uniprot:Synapse, synaptosome; uniprot:Postsynaptic density",False,0.0,,,-0.016436104843997667,0.8149215709614388,51.4,cerebellum,0.1850784290385612,,,,,,RNA only,0.1850784290385612,False,0.3569616258,0.0902525231688968,0.9116592386,0.12238291894,0.1142086877106,0.912472018,-0.7985390372934089,0.7434063301482489,5,0,0.0
PKHD1,P08F94,Fibrocystin,ENSG00000170927,machine_learning,False,SP:1-17;NC:18-3858;TM:3859-3882;CY:3883-4074,type I,1,3841,3841,192,True,128.0,Unclassified,"Cell projection, cilium;Cytoplasm, cytoskeleton, cilium basal body;Cytoplasm, cytoskeleton, microtubule organizing center, centrosome;Cytoplasm, cytoskeleton, spindle;Membrane (Single-pass type I membrane protein)",0.8902,True,,True,,True,,1.0,Open Targets confirmed,PKHD1,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Cytoplasm; uniprot:Cell projection, cilium; uniprot:Cytoplasm, cytoskeleton, cilium basal body; uniprot:Cytoplasm, cytoskeleton, spindle; uniprot:Chromosome, centromere",False,0.0,,,-0.12884558718748632,0.5387781385380235,12.7,kidney,0.4612218614619765,0.95,Kidney,1.0,0.050000000000000044,4.0,protein+RNA (min),0.050000000000000044,False,1.5688742176,0.0899780409991663,0.020705580248,0.0141182971848,0.02849219266,0.0289654907,1.2328819251866976,2.3361729183103237,5,1,0.2
LRFN4,Q6PJG9,Leucine-rich repeat and fibronectin type-III domain-containing protein 4,ENSG00000173621,machine_learning,False,SP:1-16;NC:17-517;TM:518-539;CY:540-635,type I,1,501,501,96,True,13.0,Miscellaneous,Membrane (Single-pass type I membrane protein),0.9142,True,,True,,True,,0.8474999999999999,unconfirmed (ML prediction only),LRFN4,GO CC high conf,0.65,False,uniprot:Membrane ; Single-pass type I membrane protein,False,0.0,,,-0.08149898020029062,0.7399244122551731,35.4,cerebellum,0.26007558774482686,0.95,Cerebellum,1.0,0.050000000000000044,10.0,protein+RNA (min),0.050000000000000044,False,0.3145977239999999,0.0899577755919716,0.1713770784,0.0881420833999999,0.0789721866,0.1891103586,0.3101745295380999,0.5318286796450936,5,1,0.2
