ensembl_id,symbol,baseline_K562,baseline_RPE1,baseline_HepG2,baseline_Jurkat,response_sd_K562,response_sd_RPE1,response_sd_HepG2,response_sd_Jurkat,shared_response_fraction
ENSG00000011485,PPP5C,0.4588,0.3527,0.2912,0.4487,0.0521,0.0716,0.0618,0.0696,0.3214
ENSG00000012048,BRCA1,0.6550,0.5241,0.4467,0.8576,0.0726,0.1677,0.1357,0.1040,0.2536
ENSG00000012061,ERCC1,0.3402,0.6692,0.2685,0.6557,0.0692,0.0971,0.0642,0.0901,0.4085
ENSG00000012660,ELOVL5,0.4846,0.2675,0.3371,0.8676,0.0552,0.0716,0.0749,0.0944,0.2929
ENSG00000012963,UBR7,0.2097,0.2189,0.1155,0.4201,0.0403,0.0683,0.0437,0.0761,0.2495
ENSG00000012983,MAP4K5,0.2025,0.5769,0.2556,0.3856,0.0385,0.0856,0.0634,0.0675,0.2755
ENSG00000013275,PSMC4,0.8102,0.7654,0.9144,1.1360,0.0742,0.1353,0.1238,0.0951,0.5124
ENSG00000013306,SLC25A39,0.7772,0.7311,1.1832,0.7156,0.0655,0.0875,0.1171,0.0795,0.3737
ENSG00000013374,NUB1,0.3814,0.4257,0.2489,0.4566,0.0631,0.0794,0.0729,0.0776,0.3724
ENSG00000013375,PGM3,0.3493,0.4595,0.5330,0.1614,0.0541,0.1040,0.0888,0.0494,0.3341
ENSG00000013441,CLK1,0.2092,0.1332,0.2203,0.1943,0.0483,0.0640,0.0644,0.0674,0.3601
ENSG00000013503,POLR3B,0.2174,0.1302,0.1362,0.1471,0.0404,0.0406,0.0425,0.0457,0.2854
ENSG00000013561,RNF14,0.2280,0.1812,0.0846,0.2362,0.0438,0.0625,0.0420,0.0662,0.3563
ENSG00000013573,DDX11,0.2164,0.2650,0.1334,0.3566,0.0388,0.0917,0.0450,0.0658,0.2350
ENSG00000013810,TACC3,0.4651,0.5788,0.3597,0.7269,0.0625,0.1791,0.1160,0.1036,0.2796
ENSG00000014123,UFL1,0.3749,0.3948,0.4247,0.5511,0.0640,0.0817,0.0756,0.0923,0.3732
ENSG00000014138,POLA2,0.2543,0.2357,0.0885,0.3212,0.0501,0.0800,0.0383,0.0668,0.2450
ENSG00000014216,CAPN1,0.3956,0.4305,0.3571,0.3753,0.0512,0.0765,0.0756,0.0681,0.3216
ENSG00000014641,MDH1,0.9728,0.9927,1.1747,1.1200,0.0633,0.1023,0.0975,0.0817,0.3541
ENSG00000014824,SLC30A9,0.3360,0.4308,0.1994,0.3266,0.0489,0.0734,0.0550,0.0656,0.3343
ENSG00000014919,COX15,0.1669,0.2732,0.3678,0.2435,0.0355,0.0633,0.0698,0.0560,0.3123
ENSG00000015153,YAF2,0.2870,0.1928,0.2406,0.2464,0.0538,0.0599,0.0660,0.0651,0.3778
ENSG00000015171,ZMYND11,0.1657,0.3740,0.4058,0.3178,0.0359,0.0712,0.0679,0.0685,0.3033
ENSG00000015475,BID,0.7773,0.4287,0.4879,1.2483,0.0728,0.0839,0.0772,0.0885,0.2913
ENSG00000015676,NUDCD3,0.2133,0.2736,0.1632,0.1345,0.0380,0.0580,0.0467,0.0477,0.2647
ENSG00000016864,GLT8D1,0.2121,0.4109,0.3123,0.3057,0.0426,0.0809,0.0724,0.0637,0.3295
ENSG00000017260,ATP2C1,0.2091,0.4332,0.1605,0.2651,0.0441,0.0857,0.0481,0.0627,0.3007
ENSG00000017797,RALBP1,0.5825,0.7738,0.5292,0.9636,0.0554,0.0812,0.0782,0.0778,0.3119
ENSG00000018189,RUFY3,0.2418,0.3080,0.1995,0.4190,0.0515,0.0858,0.0609,0.0977,0.3484
ENSG00000018510,AGPS,0.4231,0.4024,0.5997,0.4131,0.0585,0.0758,0.0843,0.0737,0.3016
ENSG00000018699,TTC27,0.2449,0.1278,0.2038,0.1401,0.0447,0.0434,0.0543,0.0478,0.3063
ENSG00000020426,MNAT1,0.3220,0.4717,0.3216,0.4636,0.0549,0.0766,0.0648,0.0790,0.3675
ENSG00000020922,MRE11,0.3749,0.2508,0.2550,0.3672,0.0525,0.0692,0.0659,0.0676,0.2597
ENSG00000021574,SPAST,0.2376,0.1330,0.2925,0.1842,0.0469,0.0448,0.0626,0.0525,0.2949
ENSG00000021776,AQR,0.3171,0.3051,0.2690,0.5362,0.0462,0.0647,0.0599,0.0767,0.3323
ENSG00000022277,RTF2,0.7783,0.7335,0.9258,0.8222,0.0656,0.0807,0.0915,0.0793,0.4080
ENSG00000022840,RNF10,0.4735,0.4378,0.5422,0.5127,0.0685,0.0838,0.0883,0.0861,0.4268
ENSG00000023041,ZDHHC6,0.2108,0.3357,0.2084,0.3195,0.0420,0.0790,0.0517,0.0646,0.3238
ENSG00000023191,RNH1,0.4314,0.9409,0.7783,0.7914,0.0510,0.0873,0.0861,0.0864,0.3087
ENSG00000023228,NDUFS1,0.7085,0.5459,0.6874,0.5701,0.0740,0.0816,0.0798,0.0777,0.3554
ENSG00000023287,RB1CC1,0.4801,0.6215,0.5022,0.6277,0.0808,0.1638,0.1058,0.0908,0.4315
ENSG00000023318,ERP44,0.5957,0.2863,0.3825,0.4366,0.0753,0.0709,0.0823,0.0784,0.3568
ENSG00000023330,ALAS1,0.2390,0.1458,0.2235,0.2993,0.0563,0.0554,0.0651,0.0702,0.3339
ENSG00000023516,AKAP11,0.3787,0.3738,0.1506,0.3028,0.0589,0.0709,0.0520,0.0669,0.2954
ENSG00000023572,GLRX2,0.6771,0.5658,0.3884,0.3977,0.0814,0.0884,0.0934,0.0759,0.3395
ENSG00000023608,SNAPC1,0.0813,0.3242,0.1316,0.4199,0.0267,0.1582,0.0566,0.0772,0.2842
ENSG00000023697,DERA,0.2136,0.6785,0.4730,0.3324,0.0524,0.1129,0.0790,0.0694,0.2907
ENSG00000023734,STRAP,1.0153,1.5223,0.9066,1.1603,0.0800,0.1256,0.1038,0.0952,0.4788
ENSG00000023902,PLEKHO1,0.0838,0.4518,0.1257,0.6677,0.0386,0.0921,0.0500,0.0952,0.2477
ENSG00000023909,GCLM,0.5886,0.4401,0.3777,0.5048,0.0678,0.1092,0.1037,0.0831,0.3903
ENSG00000024048,UBR2,0.3509,0.2254,0.2534,0.3791,0.0519,0.0657,0.0625,0.0702,0.3165
ENSG00000024862,CCDC28A,0.1239,0.0886,0.0997,0.1693,0.0339,0.0429,0.0441,0.0535,0.3252
ENSG00000025156,HSF2,0.2024,0.1239,0.1375,0.2435,0.0402,0.0456,0.0433,0.0596,0.2848
ENSG00000025293,PHF20,0.5062,0.4161,0.4083,0.5972,0.0562,0.0676,0.0725,0.0747,0.3055
ENSG00000025770,NCAPH2,0.3432,0.2226,0.2266,0.3695,0.0514,0.0668,0.0621,0.0724,0.2564
ENSG00000025772,TOMM34,0.2849,0.5347,0.4256,0.2348,0.0476,0.1055,0.0955,0.0585,0.2584
ENSG00000025796,SEC63,0.6975,0.6121,0.5550,0.5181,0.0686,0.0936,0.0836,0.0748,0.3749
ENSG00000025800,KPNA6,0.6474,0.4217,0.3214,0.3508,0.0592,0.0737,0.0672,0.0686,0.3636
ENSG00000026297,RNASET2,0.2477,0.1154,1.1898,0.2071,0.0666,0.0530,0.1609,0.0607,0.2587
ENSG00000027001,MIPEP,0.0894,0.1201,0.1076,0.1220,0.0277,0.0411,0.0387,0.0430,0.2984
ENSG00000027697,IFNGR1,0.2134,0.1421,0.8045,0.2433,0.0565,0.0726,0.1107,0.0634,0.2570
ENSG00000027847,B4GALT7,0.1051,0.2789,0.2295,0.1308,0.0352,0.0690,0.0584,0.0501,0.3186
ENSG00000028203,VEZT,0.2167,0.3803,0.2707,0.4346,0.0476,0.0791,0.0731,0.0783,0.3653
ENSG00000028310,BRD9,0.3665,0.3046,0.2057,0.4411,0.0509,0.0622,0.0542,0.0710,0.2972
ENSG00000028528,SNX1,0.3417,0.3290,0.3086,0.4751,0.0515,0.0645,0.0695,0.0730,0.3193
ENSG00000028839,TBPL1,0.6425,0.2808,0.2005,0.3613,0.0745,0.0628,0.0637,0.0678,0.3178
ENSG00000029153,ARNTL2,0.0898,0.3388,0.0936,0.1181,0.0280,0.0976,0.0353,0.0420,0.2605
ENSG00000029363,BCLAF1,1.3360,1.1966,1.2112,1.4723,0.0814,0.1310,0.1180,0.0984,0.4205
ENSG00000029364,SLC39A9,0.1182,0.1415,0.1209,0.1938,0.0315,0.0539,0.0478,0.0569,0.3349
ENSG00000029639,TFB1M,0.2378,0.2164,0.5700,0.2281,0.0493,0.0563,0.0889,0.0548,0.3472
ENSG00000029725,RABEP1,0.3314,0.4980,0.3245,0.6598,0.0473,0.0881,0.0635,0.0793,0.3103
ENSG00000029993,HMGB3,0.4276,0.7003,0.7647,0.8299,0.0539,0.1928,0.1290,0.0998,0.2957
ENSG00000030066,NUP160,0.4891,0.1790,0.2636,0.4546,0.0532,0.0526,0.0615,0.0734,0.3236
ENSG00000030110,BAK1,0.1695,0.1289,0.1677,0.1389,0.0475,0.0570,0.0700,0.0515,0.4286
ENSG00000030582,GRN,0.3909,0.5425,0.7883,0.3203,0.0839,0.1823,0.1314,0.0703,0.3478
ENSG00000031003,FAM13B,0.1617,0.1829,0.0653,0.2656,0.0487,0.0655,0.0373,0.0741,0.3705
ENSG00000031691,CENPQ,0.1200,0.1654,0.0817,0.1547,0.0307,0.0564,0.0348,0.0492,0.2090
ENSG00000031698,SARS,0.6929,0.5808,0.5172,0.6523,0.0736,0.1386,0.1177,0.1097,0.5157
ENSG00000031823,RANBP3,0.2259,0.2329,0.2261,0.2269,0.0400,0.0573,0.0555,0.0569,0.2771
ENSG00000032219,ARID4A,0.1578,0.1632,0.2463,0.4456,0.0439,0.0691,0.0675,0.0913,0.3314
ENSG00000032389,EIPR1,0.2645,0.2018,0.3626,0.4643,0.0492,0.0516,0.0678,0.0717,0.3353
ENSG00000032444,PNPLA6,0.0885,0.1447,0.0547,0.1996,0.0279,0.0473,0.0324,0.0514,0.2856
ENSG00000032742,IFT88,0.1128,0.2164,0.1621,0.2222,0.0309,0.0648,0.0473,0.0633,0.3209
ENSG00000033011,ALG1,0.1388,0.1656,0.1878,0.2002,0.0332,0.0480,0.0488,0.0562,0.2834
ENSG00000033030,ZCCHC8,0.3101,0.1460,0.3084,0.3568,0.0578,0.0548,0.0675,0.0772,0.3938
ENSG00000033050,ABCF2,0.5586,0.4642,0.3028,0.5766,0.0595,0.0741,0.0608,0.0725,0.3070
ENSG00000033170,FUT8,0.2265,0.9135,0.1424,0.2712,0.0493,0.1408,0.0560,0.0659,0.2311
ENSG00000033178,UBA6,0.5010,0.4773,0.3724,0.4789,0.0539,0.0948,0.0691,0.0750,0.3015
ENSG00000033627,ATP6V0A1,0.5975,0.1886,0.1708,0.1395,0.0712,0.0703,0.0632,0.0627,0.3908
ENSG00000033800,PIAS1,0.3673,0.2514,0.2975,0.3757,0.0538,0.0587,0.0601,0.0708,0.2798
ENSG00000033867,SLC4A7,0.2201,0.6861,0.1995,0.2409,0.0436,0.1073,0.0635,0.0672,0.2820
ENSG00000034510,TMSB10,1.0560,3.7943,2.6624,2.3505,0.1521,0.1587,0.2421,0.2114,0.4008
ENSG00000034677,RNF19A,0.1246,0.2457,0.2462,0.1979,0.0335,0.0601,0.0793,0.0602,0.2935
ENSG00000034693,PEX3,0.1512,0.1434,0.1721,0.1959,0.0398,0.0450,0.0517,0.0513,0.3131
ENSG00000034713,GABARAPL2,0.8631,0.8163,0.8454,1.0934,0.0707,0.1266,0.1134,0.0761,0.4171
ENSG00000035141,FAM136A,1.0944,0.7337,1.0086,1.0583,0.1070,0.1160,0.1006,0.0998,0.4116
ENSG00000035499,DEPDC1B,0.2296,0.1538,0.2563,0.3881,0.0428,0.0619,0.0825,0.0774,0.3310
ENSG00000035681,NSMAF,0.4020,0.1615,0.0682,0.2269,0.0557,0.0488,0.0309,0.0534,0.2750
ENSG00000035687,ADSS,0.6669,0.5250,0.3902,0.6477,0.0633,0.0805,0.0716,0.0816,0.3286
ENSG00000035928,RFC1,0.6508,0.8457,0.5751,0.9267,0.0682,0.1076,0.0824,0.0796,0.2887
ENSG00000036054,TBC1D23,0.3690,0.3333,0.1662,0.1969,0.0493,0.0760,0.0552,0.0548,0.3304
ENSG00000036257,CUL3,0.7589,0.7712,0.6315,0.8318,0.0649,0.0981,0.0837,0.0884,0.3044
ENSG00000036549,AC118549.1,0.3054,0.3467,0.2501,0.3420,0.0483,0.0696,0.0567,0.0668,0.3051
ENSG00000037241,RPL26L1,0.7509,0.8180,0.6709,0.9960,0.0694,0.1023,0.0898,0.0867,0.4069
ENSG00000037474,NSUN2,0.6171,0.2796,0.3278,0.5437,0.0658,0.0635,0.0650,0.0782,0.3191
ENSG00000037637,FBXO42,0.1353,0.1165,0.1705,0.1925,0.0368,0.0441,0.0598,0.0540,0.3164
ENSG00000037757,MRI1,0.1512,0.1332,0.0844,0.1020,0.0329,0.0420,0.0352,0.0387,0.2686
ENSG00000037897,METTL1,0.1867,0.1769,0.2318,0.1409,0.0402,0.0538,0.0568,0.0458,0.3214
ENSG00000038210,PI4K2B,0.1308,0.1458,0.1330,0.2150,0.0333,0.0519,0.0469,0.0590,0.3206
ENSG00000038219,BOD1L1,0.6022,0.7411,0.5524,0.9080,0.0657,0.1066,0.0798,0.1065,0.3691
ENSG00000038274,MAT2B,0.1968,0.1853,0.1595,0.2916,0.0397,0.0516,0.0483,0.0614,0.2924
ENSG00000038358,EDC4,0.2537,0.1382,0.1936,0.3217,0.0412,0.0430,0.0513,0.0603,0.3069
ENSG00000038382,TRIO,0.1016,0.5148,0.2028,0.1082,0.0310,0.0842,0.0595,0.0411,0.2745
