cell_line,knockdown,n_cells,effect_l2,relative_effect,n_de_genes,on_target_residual,mean_cross_line_r
K562,C19orf25,189,2.3590,0.5747,6,0.1783,0.1265
K562,C19orf53,169,2.6813,0.6532,1,0.1622,0.0739
K562,C1D,160,2.8662,0.6982,8,0.0818,0.0177
K562,C1QBP,210,3.5992,0.8768,140,0.1909,0.2487
K562,C1QTNF4,199,2.2469,0.5473,0,,0.0276
K562,C1orf109,120,2.0511,0.4996,0,0.6952,0.0055
K562,C6orf15,164,2.4250,0.5907,0,,0.0062
K562,C7orf26,86,4.8191,1.1739,210,0.1645,0.3615
K562,C7orf50,93,3.1516,0.7677,0,0.7176,0.0262
K562,C9orf16,212,2.6075,0.6352,1,0.1046,0.1266
K562,C9orf78,201,2.3468,0.5717,1,0.1927,0.1369
K562,CA5A,190,2.2646,0.5517,0,,-0.0042
K562,CACNB3,158,1.7701,0.4312,0,,0.0078
K562,CACTIN,60,5.7620,1.4036,207,,0.4552
K562,CADM4,381,1.6759,0.4083,0,,0.0053
K562,CAMLG,99,3.6531,0.8899,6,0.2272,0.1422
K562,CAP1,26,6.1004,1.4861,7,0.2431,0.0452
K562,CAPZB,83,4.6583,1.1348,46,0.1460,0.2287
K562,CARS,19,10.4192,2.5382,441,0.2794,0.2473
K562,CASP8AP2,211,6.5980,1.6073,1496,0.1204,0.2244
K562,CBLL1,102,4.6847,1.1412,249,0.2244,0.2739
K562,CBLN1,214,2.5350,0.6175,7,,0.1741
K562,CBX1,151,2.5760,0.6275,4,0.1032,0.0781
K562,CCAR1,48,4.8642,1.1849,14,0.1490,0.1701
K562,CCDC115,211,2.1427,0.5220,2,0.1559,0.0246
K562,CCDC130,56,3.1073,0.7569,0,0.5279,0.1652
K562,CCDC137,198,2.4906,0.6067,3,0.0909,0.1041
K562,CCDC144A,117,2.8677,0.6986,0,,0.0066
K562,CCDC144NL,44,3.1421,0.7654,0,,0.0070
K562,CCDC174,104,5.7573,1.4025,587,0.1755,0.2740
K562,CCDC59,125,4.3323,1.0554,188,0.2129,0.2309
K562,CCDC78,142,3.4707,0.8455,35,,0.0965
K562,CCDC84,79,5.5478,1.3515,334,0.1578,0.2983
K562,CCDC86,253,5.1382,1.2517,944,0.1154,0.3059
K562,CCNA2,24,6.4153,1.5628,6,0.4142,0.0891
K562,CCNB1,158,2.7771,0.6765,1,0.0884,0.0709
K562,CCND1,73,2.5464,0.6203,0,,0.0523
K562,CCNH,79,5.6695,1.3811,381,0.0633,0.3812
K562,CCNK,164,2.5488,0.6209,29,0.8475,0.2045
K562,CCNL1,177,2.7836,0.6781,9,0.0921,0.1099
K562,CCP110,47,4.3528,1.0604,4,0.0000,-0.0289
K562,CCT2,199,5.9612,1.4522,1235,0.1487,0.2736
K562,CCT3,234,5.8506,1.4252,1290,0.1129,0.2613
K562,CCT4,251,5.2345,1.2751,1066,0.1802,0.3095
K562,CCT5,66,6.6467,1.6192,485,0.0960,0.1981
K562,CCT6A,131,5.2403,1.2766,547,0.2977,0.2638
K562,CCT7,152,6.6171,1.6119,1317,0.1341,0.3064
K562,CCT8,111,5.2139,1.2701,382,0.1946,0.2207
K562,CD2BP2,132,3.0683,0.7475,4,0.2427,0.1351
K562,CD3EAP,88,5.6242,1.3701,475,0.0312,0.2300
K562,CD8B,112,2.8964,0.7056,0,,0.0047
K562,CDAN1,137,3.4318,0.8360,33,,0.1323
K562,CDC123,112,3.6898,0.8988,22,0.0769,0.2760
K562,CDC16,165,3.1539,0.7683,12,0.1328,0.1947
K562,CDC20,115,3.4880,0.8497,20,0.4794,0.0713
K562,CDC23,177,3.5719,0.8701,81,0.2161,0.1315
K562,CDC26,45,5.3055,1.2924,51,0.2306,0.0807
K562,CDC27,366,2.1018,0.5120,7,0.5226,0.0791
K562,CDC37,174,2.3488,0.5722,0,0.9775,0.0825
K562,CDC40,107,3.7538,0.9144,17,0.4059,0.2198
K562,CDC42,70,3.9032,0.9508,14,0.1899,0.1620
K562,CDC45,92,3.3183,0.8084,2,0.2216,0.0330
K562,CDC5L,99,7.8779,1.9191,1531,0.2767,0.4806
K562,CDC6,192,4.5111,1.0989,476,0.2717,0.3380
K562,CDC7,95,3.6272,0.8836,17,,0.1469
K562,CDC73,171,7.4076,1.8045,1798,0.3095,0.4349
K562,CDCA5,61,4.0035,0.9753,4,0.5040,0.1878
K562,CDIPT,247,2.0993,0.5114,2,0.1001,0.0195
K562,CDK1,347,4.3822,1.0675,751,0.3143,0.4917
K562,CDK11A,269,1.9103,0.4654,0,0.4168,0.0160
K562,CDK2,105,3.1548,0.7685,2,0.0610,0.1443
K562,CDK7,18,8.3236,2.0277,68,0.2033,0.1315
K562,CDK9,140,3.8082,0.9277,126,0.1724,0.2469
K562,CDT1,28,6.6111,1.6105,72,0.7891,0.2484
K562,CEBPZ,113,5.7696,1.4055,627,0.1422,0.2798
K562,CENPA,38,3.7650,0.9172,0,0.6153,0.0128
K562,CENPC,124,3.9441,0.9608,68,0.1515,0.1854
K562,CENPE,177,3.2563,0.7932,39,0.0723,0.1302
K562,CENPH,63,3.9393,0.9596,1,0.1178,0.0567
K562,CENPI,42,5.3091,1.2933,17,,0.0850
K562,CENPJ,282,5.0415,1.2281,1085,0.1931,0.2402
K562,CENPK,97,5.5938,1.3627,518,0.0940,0.2439
K562,CENPN,147,2.7225,0.6632,3,0.2143,0.0503
K562,CENPT,65,4.0603,0.9891,6,0.1554,0.0692
K562,CENPW,72,3.8395,0.9353,4,0.1090,0.1545
K562,CEP152,153,2.7633,0.6732,2,0.1055,0.0320
K562,CEP192,202,2.6808,0.6531,5,0.3036,0.0936
K562,CEP68,68,3.7719,0.9189,0,,0.0118
K562,CEP85,129,3.0830,0.7510,7,,0.0203
K562,CEP97,135,2.6203,0.6383,0,,-0.0188
K562,CFDP1,78,2.6180,0.6378,1,0.4719,0.0774
K562,CFL1,23,6.4592,1.5735,25,0.2701,0.1375
K562,CHAF1A,38,8.6138,2.0984,652,0.1361,0.1992
K562,CHAF1B,84,7.3821,1.7983,1025,0.0628,0.3658
K562,CHCHD1,84,3.7826,0.9215,2,0.1298,0.0299
K562,CHCHD2,90,3.6001,0.8770,1,0.1678,0.1677
K562,CHCHD4,140,4.1083,1.0008,215,0.0966,0.3714
K562,CHD4,44,5.8184,1.4174,74,0.2642,0.2032
K562,CHEK1,295,3.3683,0.8205,206,0.4647,0.1491
K562,CHERP,67,5.9396,1.4469,315,0.3562,0.4303
K562,CHMP1A,78,4.9785,1.2128,123,0.3723,0.1313
K562,CHMP2A,93,5.8784,1.4320,225,0.4135,0.1498
K562,CHMP3,130,11.1065,2.7056,2103,0.1256,0.2143
K562,CHMP4B,71,4.0019,0.9749,8,0.0961,0.0768
K562,CHMP5,110,3.1187,0.7597,3,0.2045,0.0424
K562,CHMP6,624,4.7683,1.1616,967,,0.5122
K562,CHMP7,240,2.0322,0.4951,3,0.2412,0.0492
K562,CHORDC1,259,2.2023,0.5365,2,0.0951,0.0757
K562,CHTF18,97,3.1313,0.7628,0,,0.1136
K562,CHTF8,45,5.0221,1.2234,30,,0.0840
K562,CHTOP,149,2.6880,0.6548,2,0.2540,0.0518
K562,CIAO1,255,2.4107,0.5873,21,0.1972,0.0871
K562,CIAPIN1,151,4.3970,1.0711,218,0.0923,0.3415
K562,CINP,78,4.4766,1.0905,67,0.1224,0.2024
K562,CKAP5,158,2.0203,0.4921,1,0.4773,-0.0005
K562,CLASRP,127,3.1768,0.7739,12,0.3105,0.2154
K562,CLCC1,47,4.6961,1.1440,2,0.1534,0.0124
K562,CLK2,88,3.4932,0.8510,0,,0.0226
K562,CLNS1A,53,6.3789,1.5539,287,0.0912,0.2828
K562,CLP1,55,4.8271,1.1759,29,0.2912,0.2448
K562,CLSPN,134,3.6123,0.8800,77,0.3241,0.1667
K562,CLTC,157,3.6788,0.8962,94,0.2409,0.2498
K562,CMPK1,173,2.4866,0.6057,1,0.1630,0.0479
K562,CMTR1,145,6.5935,1.6062,1203,0.2183,0.4871
K562,CNIH4,67,5.2472,1.2782,157,0.0383,0.0440
K562,CNN2,197,2.1969,0.5352,1,0.1426,0.0376
K562,CNOT1,269,9.7917,2.3853,3092,0.2268,0.5172
K562,CNOT2,84,5.4863,1.3365,433,0.2797,0.4353
K562,CNOT3,332,6.7032,1.6329,2222,0.1948,0.4193
K562,COA5,175,2.5252,0.6152,1,0.1029,0.0860
K562,COASY,247,2.1890,0.5332,3,0.0504,0.0909
K562,COG1,40,4.8763,1.1879,0,,0.1140
K562,COG2,343,2.0339,0.4955,1,0.1034,0.1427
K562,COG3,56,5.4169,1.3196,116,,0.1780
K562,COG4,129,2.7888,0.6794,1,0.0786,0.0721
K562,COG6,183,2.4955,0.6079,5,0.0482,0.0664
K562,COG8,47,4.9512,1.2061,13,0.5668,0.0283
K562,COPA,243,3.2175,0.7838,117,0.7214,0.0986
K562,COPB1,91,5.5867,1.3609,476,0.4660,0.1807
K562,COPB2,129,4.0708,0.9917,127,0.5037,0.1701
K562,COPE,143,3.0241,0.7367,5,0.1214,0.0698
K562,COPG1,130,1.9991,0.4870,1,0.6935,0.0393
K562,COPS2,47,6.2239,1.5162,167,0.0589,0.1678
K562,COPS3,73,5.2471,1.2782,194,0.2302,0.1973
K562,COPS4,262,4.2237,1.0289,593,0.0569,0.2046
K562,COPS5,98,4.1087,1.0009,52,0.2536,0.0911
K562,COPS6,235,4.0229,0.9800,405,0.0604,0.1574
K562,COPS8,224,3.0853,0.7516,48,0.1625,0.0964
K562,COPZ1,104,3.3560,0.8175,22,0.7274,0.0614
K562,COQ2,67,3.8826,0.9458,0,0.0000,0.0184
K562,COQ4,162,2.6286,0.6403,2,0.1075,0.1057
K562,COQ5,113,2.8509,0.6945,1,0.0760,0.0188
K562,COX10,94,3.9876,0.9714,25,0.1499,0.0741
K562,COX11,109,3.7917,0.9237,44,0.0961,0.1085
K562,COX15,103,4.7713,1.1623,249,0.0000,0.1047
K562,COX17,143,3.2723,0.7971,26,0.1101,0.1188
K562,COX5A,85,4.3435,1.0581,42,0.0832,0.2067
K562,COX5B,118,3.5172,0.8568,4,0.1453,0.1873
K562,COX6C,117,3.5984,0.8766,8,0.0717,0.1402
K562,COX7B,120,3.4169,0.8324,4,0.1240,0.1216
K562,COX7C,165,3.4925,0.8508,38,0.1056,0.2105
K562,CPAMD8,233,2.0273,0.4939,0,,0.0492
K562,CPNE7,101,3.3398,0.8136,2,,0.1133
K562,CPOX,101,3.0214,0.7360,1,0.1177,0.0045
K562,CPSF1,50,6.9963,1.7043,409,0.1392,0.3556
K562,CPSF2,20,7.9862,1.9455,108,0.4990,0.1266
K562,CPSF3,627,5.4798,1.3349,1637,0.1563,0.4622
K562,CPSF4,59,8.1348,1.9817,881,0.1702,0.4601
K562,CPSF6,50,8.9025,2.1687,1097,0.1706,0.4231
K562,CRCP,160,2.5640,0.6246,1,0.3230,0.0173
K562,CRKL,120,2.9372,0.7155,2,0.1506,-0.0043
K562,CRLS1,111,2.9893,0.7282,2,0.1726,0.0323
K562,CRNKL1,261,2.9304,0.7139,73,0.5665,0.2293
K562,CS,222,2.3797,0.5797,8,0.1279,0.0557
K562,CSE1L,432,9.3174,2.2697,3112,0.1068,0.4643
K562,CSH2,90,2.4131,0.5878,0,,-0.0096
K562,CSNK1A1,172,3.3996,0.8281,41,0.1782,0.1119
K562,CSNK2B,128,4.3587,1.0618,184,0.1889,0.2419
K562,CSTF1,141,4.7527,1.1578,356,0.1990,0.2617
K562,CSTF3,66,6.3789,1.5539,451,0.1715,0.4397
K562,CTBP2,110,3.1039,0.7561,2,,0.0342
K562,CTCF,68,4.3666,1.0637,20,0.5936,0.1549
K562,CTDP1,117,4.9162,1.1976,394,,0.2617
K562,CTNNBL1,69,5.4945,1.3385,211,0.1191,0.3004
K562,CTPS1,14,9.4799,2.3093,83,0.1054,0.2442
K562,CTR9,212,8.7655,2.1353,2546,0.1940,0.3440
K562,CTU2,114,3.2565,0.7933,2,0.1095,0.2902
K562,CUL1,223,2.6859,0.6543,6,0.2923,0.1317
K562,CUL2,94,4.4262,1.0782,136,0.1657,0.2090
K562,CUL3,120,3.0308,0.7383,10,0.2538,0.0838
K562,CUL7,33,6.4533,1.5720,78,,0.1370
K562,CWC15,184,8.0317,1.9566,2260,0.2458,0.5002
K562,CWC22,34,6.6561,1.6214,111,0.5195,0.3968
K562,CWC25,149,2.6296,0.6406,1,0.2659,0.1008
K562,CWF19L2,194,6.1651,1.5018,1369,0.1418,0.3344
K562,CXXC1,122,5.6961,1.3876,703,0.2300,0.3225
K562,CYC1,98,3.5935,0.8754,8,0.3564,0.0371
K562,CYCS,163,3.5293,0.8597,23,0.0506,0.1568
K562,CYFIP1,111,3.1299,0.7624,1,0.1703,0.0211
K562,CYP2A13,140,2.6546,0.6467,0,,0.0063
K562,CYP4F11,120,2.6996,0.6576,0,,-0.0191
K562,CYS1,170,2.5010,0.6092,3,,0.0438
K562,DAD1,80,4.5931,1.1189,33,0.1248,0.3194
K562,DAP3,162,3.5496,0.8647,111,0.0965,0.1246
K562,DARS,70,7.1785,1.7487,716,0.1432,0.4180
K562,DBF4,131,3.0034,0.7316,1,0.2304,0.0379
K562,DBR1,98,5.8751,1.4312,582,0.0864,0.4301
K562,DCAF6,137,2.7447,0.6686,2,0.2823,0.0289
K562,DCLRE1B,117,2.8634,0.6975,0,,0.0663
K562,DCTN1,197,2.4600,0.5993,1,0.1148,0.0777
K562,DCTN2,126,3.1648,0.7710,3,0.0809,0.1668
K562,DCTN3,201,2.3330,0.5683,1,0.1201,0.1149
K562,DCTN4,77,3.7910,0.9235,4,0.1426,0.0927
K562,DCTN5,141,2.9569,0.7203,3,0.1333,0.0449
K562,DCTN6,64,3.9530,0.9630,3,0.2144,0.0698
K562,DCUN1D5,183,5.0956,1.2413,755,0.1603,0.4235
K562,DDB1,88,2.9156,0.7102,1,0.5846,0.1670
K562,DDN,249,2.0147,0.4908,0,,0.0200
K562,DDOST,86,4.4581,1.0860,60,0.1526,0.2643
K562,DDX1,101,3.5737,0.8706,1,0.0958,0.0863
K562,DDX10,104,5.8575,1.4269,642,0.1285,0.3400
K562,DDX11,128,2.7572,0.6717,1,0.1840,0.0017
K562,DDX18,137,8.9235,2.1738,2440,0.1549,0.4233
K562,DDX19A,103,3.0714,0.7482,1,0.1850,0.0100
K562,DDX19B,142,1.8624,0.4537,0,,0.0023
K562,DDX20,114,4.3126,1.0506,99,0.1044,0.3997
K562,DDX21,90,5.5192,1.3445,362,0.1624,0.3033
K562,DDX23,159,6.2926,1.5329,1237,0.2573,0.4837
K562,DDX24,286,5.8918,1.4353,1485,0.2030,0.2403
K562,DDX27,49,6.1971,1.5096,226,0.1531,0.2022
K562,DDX3X,29,6.6470,1.6192,67,0.3360,0.1518
K562,DDX41,292,7.9707,1.9417,2982,0.2424,0.5707
K562,DDX42,44,4.9376,1.2028,13,0.2907,0.0346
K562,DDX46,107,4.3419,1.0577,154,0.3733,0.4214
K562,DDX47,313,8.9641,2.1837,3351,,0.4910
K562,DDX49,45,5.8655,1.4289,145,0.1452,0.1289
K562,DDX5,151,3.5267,0.8591,44,0.1616,0.2867
K562,DDX51,128,4.9076,1.1955,421,0.2162,0.2659
K562,DDX52,117,6.0989,1.4857,876,0.0959,0.3184
K562,DDX54,48,4.3079,1.0494,16,0.3307,0.1672
K562,DDX55,163,3.6337,0.8852,89,0.1250,0.2464
K562,DDX56,174,6.8009,1.6567,1526,0.1821,0.2863
K562,DDX59,154,3.0948,0.7539,23,0.0802,0.1583
K562,DDX6,76,6.8722,1.6741,784,0.3086,0.2816
K562,DENR,251,3.0710,0.7481,72,0.0900,0.3031
K562,DERL2,124,4.2662,1.0392,99,0.0410,0.4907
K562,DHDDS,96,6.4514,1.5716,587,0.0531,0.4593
K562,DHFR,125,2.7397,0.6674,0,0.8282,0.0028
K562,DHODH,112,2.9851,0.7272,27,0.3248,0.0588
K562,DHPS,66,4.1087,1.0009,2,0.2548,0.0694
K562,DHX15,359,8.9525,2.1809,3102,0.1492,0.4891
K562,DHX16,328,5.5685,1.3565,1621,0.2186,0.5483
K562,DHX33,140,3.7317,0.9091,104,0.2348,0.1999
K562,DHX36,269,4.1601,1.0134,527,0.0440,0.4083
K562,DHX37,217,5.2344,1.2751,930,0.1881,0.3358
K562,DHX8,115,3.8610,0.9406,53,0.7834,0.4537
K562,DHX9,92,3.8802,0.9452,10,0.3565,0.1544
K562,DICER1,158,3.6000,0.8770,105,0.0519,0.2073
K562,DIMT1,94,6.7686,1.6489,980,0.1968,0.3988
K562,DIS3,43,8.0868,1.9700,495,0.0645,0.2555
K562,DKC1,66,5.5187,1.3444,194,0.1074,0.2088
K562,DLD,311,7.4808,1.8223,2114,0.0877,0.3586
K562,DMAP1,78,8.1832,1.9935,1146,0.2662,0.3247
K562,DMRTA2,107,3.0109,0.7335,1,,0.0067
K562,DNAJA1,146,2.2658,0.5520,2,0.3425,0.1255
K562,DNAJA3,127,5.4947,1.3385,457,0.0827,0.3924
K562,DNAJC11,46,4.7841,1.1654,4,0.2074,0.0006
K562,DNAJC17,31,9.9940,2.4346,816,0.2039,0.5688
K562,DNAJC19,398,7.1776,1.7485,2128,0.2400,0.0294
K562,DNAJC8,277,2.7898,0.6796,36,0.0610,0.2830
K562,DNAJC9,84,3.4751,0.8465,2,0.1159,0.0538
K562,DNLZ,140,2.7671,0.6741,0,,-0.0065
K562,DNM1,146,2.5705,0.6262,0,,-0.0008
K562,DNM1L,168,3.4280,0.8351,75,0.1624,0.0514
K562,DNM2,12,9.5084,2.3163,55,0.5097,0.1288
K562,DNMT1,170,3.1123,0.7582,15,0.1187,0.1524
K562,DNTTIP2,264,8.0296,1.9560,2855,0.1111,0.4691
K562,DOHH,155,4.3456,1.0586,283,0.0580,0.2746
K562,DOLK,146,2.7820,0.6777,10,0.0424,0.0687
K562,DONSON,745,4.3516,1.0601,1121,0.1630,0.1952
K562,DPAGT1,135,2.6527,0.6462,1,0.0611,0.0681
K562,DPH1,168,1.8734,0.4564,0,,0.0865
K562,DPH2,164,3.4627,0.8435,108,0.0386,0.2950
K562,DPH3,60,4.0682,0.9910,7,0.1246,0.0417
K562,DPH6,101,3.0765,0.7495,0,0.0477,0.0340
K562,DPM2,153,2.6295,0.6406,3,0.1710,0.0540
K562,DPPA2,67,3.8985,0.9497,3,,0.0277
K562,DPY19L2,50,4.6157,1.1244,8,,0.0444
K562,DR1,126,3.3076,0.8057,30,0.2295,0.1079
K562,DRAP1,227,2.8506,0.6944,45,0.1204,0.2572
K562,DRG1,196,2.4788,0.6039,3,0.1264,0.0935
