AF_Score,BG,DCA_Score,Function,Gene Name,Interacting Partner,Protein Name,RF_Score,SP,Subcellular Locality,UP,confident,pdb,is_membrane,is_cell_surface,AF
0.1301,N,0.153,"Receptor, Transport",FOLR2,P14207,Folate receptor beta,0.4624,N,"Cell membrane, Membrane, Secreted",N,Not confident,none,True,True,0.1301
0.1299,N,0.151,"G-protein coupled receptor, Receptor, Transducer",C5AR2,Q9P296,C5a anaphylatoxin chemotactic receptor 2,0.3296,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.1299
0.1267,N,0.185,"Immunity, Innate immunity",FCN1,O00602,Ficolin-1,0.3127,N,"Cell membrane, Membrane, Secreted",N,Not confident,none,True,True,0.1267
0.1266,N,0.162,NA,CLEC2B,Q92478,C-type lectin domain family 2 member B,0.675,N,Membrane,N,Not confident,none,True,False,0.1266
0.126,N,0.129,Gaseous exchange,SFTPA1,Q8IWL2,Pulmonary surfactant-associated protein A1,0.3308,N,"Extracellular matrix, Secreted, Surface film",N,Not confident,none,False,False,0.126
0.1259,N,0.165,"Receptor, Transport",FOLR1,P15328,Folate receptor alpha,0.5444,N,"Cell membrane, Cytoplasmic vesicle, Endosome, Membrane, Secreted",N,Not confident,none,True,True,0.1259
0.12146,Y,0.172,"Branched-chain amino acid catabolism, Oxidoreductase",HIBADH,P31937,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",0.01721,N,Mitochondrion,Y,Not confident,none,False,False,0.12146
0.1206,N,0.187,NA,EGFEM1P,Q0D2K5,Putative EGF-like and EMI domain-containing protein 1,0.5176,N,NA,N,Not confident,none,False,False,0.1206
0.1189,N,0.147,"Lipid metabolism, Monooxygenase, Oxidoreductase",CYP4X1,Q8N118,Cytochrome P450 4X1,0.3298,N,"Endoplasmic reticulum, Membrane, Microsome",N,Not confident,none,True,False,0.1189
0.1188,N,0.183,"Lactose biosynthesis, Milk protein",LALBA,P00709,Alpha-lactalbumin,0.302,N,Secreted,N,Not confident,none,False,False,0.1188
0.1185,N,0.204,"Blood coagulation, Cell adhesion, Hemostasis",GP1BA,P07359,Platelet glycoprotein Ib alpha chain,0.2986,N,Membrane,N,Not confident,none,True,False,0.1185
0.1171,Y,0.106,NA,SUSD3,Q96L08,Sushi domain-containing protein 3,0.0025,N,"Cell membrane, Membrane",Y,Not confident,none,True,True,0.1171
0.1149,Y,0.051,"Differentiation, Spermatogenesis",FAM209A,Q5JX71,Protein FAM209A,0.004284,N,"Membrane, Nucleus",Y,Not confident,none,True,False,0.1149
0.1128,N,0.124,"Immunity, Receptor",CD40,P25942,Tumor necrosis factor receptor superfamily member 5,0.4858,N,"Cell membrane, Membrane, Secreted",N,Not confident,none,True,True,0.1128
0.11194,N,0.158,"Apoptosis, Hydrolase, Protein phosphatase",PTPRH,Q9HD43,Receptor-type tyrosine-protein phosphatase H,0.4011,N,"Cell membrane, Cell projection, Cytoplasm, Membrane",N,Not confident,none,True,True,0.11194
0.1098,N,0.123,Tumor antigen,EPCAM,P16422,Epithelial cell adhesion molecule,0.03056,Y,"Cell junction, Cell membrane, Membrane, Tight junction",N,Not confident,none,True,True,0.1098
0.1087,Y,0.107,"Glycosyltransferase, Transferase",GALNT12,Q8IXK2,Polypeptide N-acetylgalactosaminyltransferase 12,0.19,Y,"Golgi apparatus, Membrane",N,Not confident,none,True,False,0.1087
0.1049,Y,0.171,NA,TMX2,Q9Y320,Thioredoxin-related transmembrane protein 2,0.00485,N,"Endoplasmic reticulum, Membrane, Mitochondrion",Y,Not confident,none,True,False,0.1049
0.1041,N,0.131,"Adaptive immunity, Host cell receptor for virus entry, Host-virus interaction, Immunity, Innate immunity, Receptor",TNFRSF14,Q92956,Tumor necrosis factor receptor superfamily member 14,0.5957,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.1041
0.102,N,0.096,"Cholesterol metabolism, Lipid metabolism, Lipid transport, Steroid metabolism, Sterol metabolism, Transport",APOA1,P02647,Apolipoprotein A-I,0.2646,N,"Amyloid, HDL, Secreted",N,Not confident,none,False,False,0.102
0.10156,N,0.142,NA,LRRN4,Q8WUT4,Leucine-rich repeat neuronal protein 4,0.3088,N,Membrane,N,Not confident,none,True,False,0.10156
0.1013,Y,0.157,"Transcription, Transcription regulation",ATP1B4,Q9UN42,Protein ATP1B4,0.04663,N,"Membrane, Nucleus",Y,Not confident,none,True,False,0.1013
0.0988,N,0.185,NA,CLEC3B,P05452,Tetranectin,0.559,N,Secreted,N,Not confident,none,False,False,0.0988
0.09784,N,0.213,"Immunity, Inflammatory response, Innate immunity, Receptor",TLR8,Q9NR97,Toll-like receptor 8,0.3303,N,"Endosome, Membrane",N,Not confident,none,True,False,0.09784
0.0954,N,0.158,"Blood coagulation, Hemostasis",ANXA5,P08758,Annexin A5,0.0427,Y,NA,N,Not confident,none,False,False,0.0954
0.09265,N,0.122,NA,ADAM5,Q6NVV9,Putative disintegrin and metalloproteinase domain-containing protein 5,0.4712,N,NA,N,Not confident,none,False,False,0.09265
0.09143,Y,0.193,"Cholesterol biosynthesis, Cholesterol metabolism, Lipid biosynthesis, Lipid metabolism, Oxidoreductase, Steroid biosynthesis, Steroid metabolism, Sterol biosynthesis, Sterol metabolism",CYB5R3,P00387,NADH-cytochrome b5 reductase 3,0.00454,N,"Cytoplasm, Endoplasmic reticulum, Membrane, Mitochondrion, Mitochondrion outer membrane",Y,Not confident,none,True,False,0.09143
0.09143,Y,0.07,NA,FNDC9,Q8TBE3,Fibronectin type III domain-containing protein 9,0.0003312,N,Membrane,Y,Not confident,none,True,False,0.09143
0.09125,Y,0.193,"Oxidoreductase, Peroxidase",GPX8,Q8TED1,Probable glutathione peroxidase 8,0.006645,N,Membrane,Y,Not confident,none,True,False,0.09125
0.09015,N,0.17,NA,ANKRD19P,Q9H560,Putative ankyrin repeat domain-containing protein 19,0.531,N,NA,N,Not confident,none,False,False,0.09015
0.08826,Y,0.158,"DNA damage, DNA repair, Ubl conjugation pathway, Unfolded protein response",FBXO6,Q9NRD1,F-box only protein 6,0.01976,Y,Cytoplasm,N,Not confident,none,False,False,0.08826
0.0831,N,0.229,Growth factor binding,LRRC32,Q14392,Transforming growth factor beta activator LRRC32,0.3015,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.0831
0.0829,N,0.072,NA,ALB,P02768,Albumin,0.1422,Y,Secreted,N,Not confident,none,False,False,0.0829
0.0828,N,0.151,Cell adhesion,ICAM5,Q9UMF0,Intercellular adhesion molecule 5,0.2505,N,Membrane,N,Not confident,none,True,False,0.0828
0.0823,N,0.142,"Adaptive immunity, Immunity, Receptor",CD274,Q9NZQ7,Programmed cell death 1 ligand 1,0.4626,N,"Cell membrane, Endosome, Membrane, Nucleus, Secreted",N,Not confident,none,True,True,0.0823
0.0799,N,0.075,"Chromatin regulator, DNA replication",LRWD1,Q9UFC0,Leucine-rich repeat and WD repeat-containing protein 1,-,N,"Centromere, Chromosome, Cytoplasm, Cytoskeleton, Kinetochore, Nucleus, Telomere",N,Not confident,none,False,False,0.0799
0.0795,N,0.359,"Adaptive immunity, Host-virus interaction, Immunity, Innate immunity",CLEC4A,Q9UMR7,C-type lectin domain family 4 member A,0.1875,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.0795
0.0778,N,0.158,"Fertilization, Receptor",IZUMO1R,A6ND01,Sperm-egg fusion protein Juno,0.404,N,"Cell membrane, Cell projection, Membrane",N,Not confident,none,True,True,0.0778
0.0748,N,0.099,"Host-virus interaction, Receptor",CLEC1B,Q9P126,C-type lectin domain family 1 member B,0.2418,N,Membrane,N,Not confident,none,True,False,0.0748
0.0747,N,0.214,"Immunity, Inflammatory response, Innate immunity, Receptor",TLR5,O60602,Toll-like receptor 5,0.3188,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.0747
0.0726,N,0.119,"Antibiotic, Antimicrobial, DNA-binding, Heparin-binding, Hydrolase, Immunity, Ion transport, Iron transport, Osteogenesis, Protease, Serine protease, Transcription, Transcription regulation, Transport",LTF,P02788,Lactotransferrin,0.11975,Y,"Cytoplasm, Nucleus, Secreted",N,Not confident,none,False,False,0.0726
0.0705,N,0.201,NA,SERPINA7,P05543,Thyroxine-binding globulin,0.252,N,Secreted,N,Not confident,none,False,False,0.0705
0.06946,Y,0.089,Growth factor,FGF11,Q92914,Fibroblast growth factor 11,0.0003614,Y,NA,N,Not confident,none,False,False,0.06946
0.0693,N,0.188,"Complement activation lectin pathway, Immunity, Innate immunity",FCN2,Q15485,Ficolin-2,0.2937,N,Secreted,N,Not confident,none,False,False,0.0693
0.06775,N,0.239,NA,CPN2,P22792,Carboxypeptidase N subunit 2,0.3342,N,Secreted,N,Not confident,none,False,False,0.06775
0.06714,N,0.245,NA,LRRC15,Q8TF66,Leucine-rich repeat-containing protein 15,0.4573,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.06714
0.06647,N,0.151,"Cell adhesion, Protease inhibitor, Serine protease inhibitor",COL28A1,Q2UY09,Collagen alpha-1(XXVIII) chain,0.9194,N,"Basement membrane, Extracellular matrix, Secreted",N,Not confident,none,True,False,0.06647
0.066,Y,0.147,Notch signaling pathway,APH1A,Q96BI3,Gamma-secretase subunit APH-1A,0.01797,N,"Endoplasmic reticulum, Golgi apparatus, Membrane",Y,Not confident,none,True,False,0.066
0.06586,Y,0.118,"Hydrolase, Protein phosphatase",PTPN2,P17706,Tyrosine-protein phosphatase non-receptor type 2,0.0609,Y,"Cell membrane, Cytoplasm, Endoplasmic reticulum, Membrane, Nucleus",N,Not confident,none,True,True,0.06586
0.0641,N,0.158,"DNA damage, DNA repair, DNA-binding, Endonuclease, Hydrolase, Nuclease",PMS2,P54278,Mismatch repair endonuclease PMS2,0.1736,Y,Nucleus,N,Not confident,none,False,False,0.0641
0.06354,N,0.124,"Complement alternate pathway, Complement pathway, Cytolysis, Immunity, Innate immunity",C7,P10643,Complement component C7,0.5967,N,"Membrane attack complex, Secreted",N,Not confident,none,True,False,0.06354
0.063,N,0.18,"Cell adhesion, Endocytosis",SIGLEC1,Q9BZZ2,Sialoadhesin,0.1549,Y,"Cell membrane, Membrane, Secreted",N,Not confident,none,True,True,0.063
0.06204,N,0.24,NA,LRRIQ4,A6NIV6,Leucine-rich repeat and IQ domain-containing protein 4,0.3457,N,NA,N,Not confident,none,False,False,0.06204
0.06177,N,0.108,"Blood coagulation, Hemostasis, Receptor",THBD,P07204,Thrombomodulin,0.2808,N,Membrane,N,Not confident,none,True,False,0.06177
0.06155,N,0.15,"Adaptive immunity, Immunity",IGHV3-9,P01782,Immunoglobulin heavy variable 3-9,0.002481,N,"Cell membrane, Immunoglobulin, Membrane, Secreted",N,Not confident,none,True,True,0.06155
0.06012,N,0.1,"Cobalt transport, Ion transport, Transport",TCN1,P20061,Transcobalamin-1,0.1367,Y,Secreted,N,Not confident,none,False,False,0.06012
0.0595,N,0.142,"Chemotaxis, Developmental protein, Differentiation, Neurogenesis, Receptor",ROBO3,Q96MS0,Roundabout homolog 3,0.426,N,Membrane,N,Not confident,none,True,False,0.0595
0.05856,N,0.177,Hydrolase,NA,Q9NY84,Vascular non-inflammatory molecule 3,0.4727,N,Secreted,N,Not confident,none,False,False,0.05856
0.0568,N,0.129,"Host-virus interaction, Hydrolase, Protein phosphatase",PTPRC,P08575,Receptor-type tyrosine-protein phosphatase C,0.22,Y,"Cell membrane, Membrane",N,Not confident,none,True,True,0.0568
0.0562,N,0.085,Receptor,KIR2DL3,P43628,Killer cell immunoglobulin-like receptor 2DL3,0.0788,N,"Cell membrane, Membrane",Y,Not confident,none,True,True,0.0562
0.0558,N,0.16,"Cell cycle, GTPase activation, Signal transduction inhibitor, Translation regulation",RGS2,P41220,Regulator of G-protein signaling 2,0.001275,N,"Cell membrane, Cytoplasm, Membrane, Mitochondrion, Nucleus",N,Not confident,none,True,True,0.0558
0.0553,Y,0.123,"ER-Golgi transport, Transport",ERGIC3,Q9Y282,Endoplasmic reticulum-Golgi intermediate compartment protein 3,0.04034,N,"Endoplasmic reticulum, Golgi apparatus, Membrane",Y,Not confident,none,True,False,0.0553
0.0552,N,0.205,NA,CD69,Q07108,Early activation antigen CD69,0.2275,N,Membrane,N,Not confident,none,True,False,0.0552
0.05435,N,0.078,"IgA-binding protein, Receptor",FCAR,P24071,Immunoglobulin alpha Fc receptor,0.05444,Y,"Cell membrane, Membrane, Secreted",N,Not confident,none,True,True,0.05435
0.05295,N,0.148,"Angiogenesis, Apoptosis, Chemotaxis, G-protein coupled receptor, Receptor, Transducer",CXCR3,P49682,C-X-C chemokine receptor type 3,0.8525,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.05295
0.0529,N,0.157,NA,POTEG,Q6S5H5,POTE ankyrin domain family member G,0.5864,N,NA,N,Not confident,none,False,False,0.0529
0.05173,N,0.182,"Apoptosis, Immunity, Inflammatory response",CD5L,O43866,CD5 antigen-like,0.2986,N,"Cytoplasm, Secreted",N,Not confident,none,False,False,0.05173
0.05133,N,0.185,tRNA processing,QTRT2,Q9H974,Queuine tRNA-ribosyltransferase accessory subunit 2,0.484,N,"Cytoplasm, Membrane, Mitochondrion, Mitochondrion outer membrane",N,Not confident,none,True,False,0.05133
0.0502,Y,0.121,"Glycosyltransferase, Transferase",GALNT5,Q7Z7M9,Polypeptide N-acetylgalactosaminyltransferase 5,0.1471,Y,"Golgi apparatus, Membrane",N,Not confident,none,True,False,0.0502
0.0472,Y,0.099,NA,PDZK1IP1,Q13113,PDZK1-interacting protein 1,0.000617,N,Membrane,Y,Not confident,none,True,False,0.0472
0.0469,N,0.14,"Electron transport, Transport",ETFB,P38117,Electron transfer flavoprotein subunit beta,-,N,Mitochondrion,N,Not confident,none,False,False,0.0469
0.04684,N,0.19,"Antimicrobial, Apoptosis, Inflammatory response",CHI3L1,P36222,Chitinase-3-like protein 1,0.323,N,"Cytoplasm, Endoplasmic reticulum, Secreted",N,Not confident,none,False,False,0.04684
0.04678,Y,0.16,Erythrocyte maturation,NEMP1,O14524,Nuclear envelope integral membrane protein 1,0.0469,N,"Membrane, Nucleus",Y,Not confident,none,True,False,0.04678
0.04657,Y,0.188,"Cell adhesion, Developmental protein, Differentiation, Neurogenesis",AMIGO1,Q86WK6,Amphoterin-induced protein 1,0.0842,N,"Cell membrane, Cell projection, Membrane",Y,Not confident,none,True,True,0.04657
0.04388,Y,0.124,"Aminotransferase, Neurotransmitter degradation, Transferase",ABAT,P80404,"4-aminobutyrate aminotransferase, mitochondrial",0.05127,Y,Mitochondrion,N,Not confident,none,False,False,0.04388
0.04184,N,0.052,NA,WFDC11,Q8NEX6,Protein WFDC11,0.01558,N,Secreted,N,Not confident,none,False,False,0.04184
0.04135,N,0.18,Acute phase,CRP,P02741,C-reactive protein,0.754,N,Secreted,N,Not confident,none,False,False,0.04135
0.04077,Y,0.099,"Kinase, Serine/threonine-protein kinase, Transcription, Transcription regulation, Transferase, Wnt signaling pathway",NLK,Q9UBE8,Serine/threonine-protein kinase NLK,0.04538,Y,"Cytoplasm, Nucleus",N,Not confident,none,False,False,0.04077
0.04004,N,0.15,NA,CD82,P27701,CD82 antigen,0.4866,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.04004
0.04004,N,0.238,"DNA-binding, mRNA transport, RNA-binding, Transcription, Transcription regulation, Transport",LRPPRC,P42704,"Leucine-rich PPR motif-containing protein, mitochondrial",0.3408,N,"Membrane, Mitochondrion, Nucleus",N,Not confident,none,True,False,0.04004
0.03986,Y,0.193,"Differentiation, Spermatogenesis",SPAG4,Q9NPE6,Sperm-associated antigen 4 protein,0.078,N,"Cell projection, Cilium, Cytoplasm, Cytoskeleton, Flagellum, Membrane, Nucleus",Y,Not confident,none,True,False,0.03986
0.03958,N,0.221,NA,LRRC40,Q9H9A6,Leucine-rich repeat-containing protein 40,0.3577,N,NA,N,Not confident,none,False,False,0.03958
0.03845,N,0.2,"Isomerase, Rotamase",PPIAL4A,Q9Y536,Peptidyl-prolyl cis-trans isomerase A-like 4A,0.001409,N,Cytoplasm,N,Not confident,none,False,False,0.03845
0.03702,N,0.126,"Ion channel, Ion transport, Potassium channel, Potassium transport, Transport, Voltage-gated channel",KCNK15,Q9H427,Potassium channel subfamily K member 15,0.67,N,Membrane,N,Not confident,none,True,False,0.03702
0.03677,Y,0.069,"Hydrolase, Protease, Thiol protease, Ubl conjugation pathway, Wnt signaling pathway",ZRANB1,Q9UGI0,Ubiquitin thioesterase ZRANB1,0.0831,N,"Cytoplasm, Nucleus",N,Not confident,none,False,False,0.03677
0.03653,N,0.101,"Cilium biogenesis/degradation, Motor protein",DNAI2,Q9GZS0,Dynein axonemal intermediate chain 2,0.1403,N,"Cell projection, Cilium, Cytoplasm, Cytoskeleton, Dynein, Microtubule",N,Not confident,none,False,False,0.03653
0.03647,N,0.077,"Hydrolase, Sensory transduction, Vision",PDE6H,Q13956,"Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma",0.0002373,N,NA,N,Not confident,none,False,False,0.03647
0.0353,N,0.099,NA,CLEC1A,Q8NC01,C-type lectin domain family 1 member A,0.3606,N,Membrane,N,Not confident,none,True,False,0.0353
0.03482,Y,0.124,"Adaptive immunity, Immunity, Transferase, Ubl conjugation pathway",RNF19B,Q6ZMZ0,E3 ubiquitin-protein ligase RNF19B,0.05624,N,"Endoplasmic reticulum, Membrane",Y,Not confident,none,True,False,0.03482
0.0348,N,0.173,NA,PROM1,O43490,Prominin-1,0.2627,N,"Cell membrane, Cell projection, Cilium, Endoplasmic reticulum, Membrane",N,Not confident,none,True,True,0.0348
0.03412,N,0.139,Cell adhesion,TNC,P24821,Tenascin,0.2725,N,"Extracellular matrix, Secreted",N,Not confident,none,False,False,0.03412
0.03403,N,0.14,"Adaptive immunity, Chaperone, Immunity",CD74,P04233,HLA class II histocompatibility antigen gamma chain,0.4248,N,"Cell membrane, Endoplasmic reticulum, Endosome, Golgi apparatus, Lysosome, Membrane, Secreted",N,Not confident,none,True,True,0.03403
0.0339,N,0.133,"Actin-binding, Calmodulin-binding, Motor protein, Myosin",MYO1A,Q9UBC5,Unconventional myosin-Ia,0.3152,N,NA,N,Not confident,none,False,False,0.0339
0.03357,N,0.12,"Hydrolase, Methyltransferase, Nucleotide metabolism, Transferase",ASMTL,O95671,Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein,0.3933,N,NA,N,Not confident,none,False,False,0.03357
0.0329,N,0.11,"Decarboxylase, Ligase, Lyase, Multifunctional enzyme, Purine biosynthesis",PAICS,P22234,Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase,0.05038,N,NA,N,Not confident,none,False,False,0.0329
0.0325,Y,0.127,"Stress response, Transferase, Ubl conjugation pathway",SYVN1,Q86TM6,E3 ubiquitin-protein ligase synoviolin,0.1262,Y,"Endoplasmic reticulum, Membrane",N,Not confident,none,True,False,0.0325
0.0321,N,0.06,"Ion channel, Ion transport, Transport",TMC3,Q7Z5M5,Transmembrane channel-like protein 3,0.135,N,Membrane,N,Not confident,none,True,False,0.0321
0.03198,N,0.144,"Protease inhibitor, Serine protease inhibitor",WFDC3,Q8IUB2,WAP four-disulfide core domain protein 3,0.523,N,Secreted,N,Not confident,none,False,False,0.03198
0.03035,Y,0.112,NA,LAMTOR5,O43504,Ragulator complex protein LAMTOR5,0.0001295,N,"Cytoplasm, Lysosome",N,Not confident,none,False,False,0.03035
0.02875,Y,0.134,"IgG-binding protein, Immunity, Innate immunity, Receptor",FCGR1A,P12314,High affinity immunoglobulin gamma Fc receptor I,0.1405,N,"Cell membrane, Membrane",Y,Not confident,none,True,True,0.02875
0.02855,Y,0.184,Transport,SLC35C2,Q9NQQ7,Solute carrier family 35 member C2,0.0356,N,"Golgi apparatus, Membrane",Y,Not confident,none,True,False,0.02855
0.0285,Y,0.15,"Activator, Developmental protein, DNA-binding, Host-virus interaction, Transcription, Transcription regulation, Unfolded protein response",CREB3L1,Q96BA8,Cyclic AMP-responsive element-binding protein 3-like protein 1,0.0003078,N,"Endoplasmic reticulum, Membrane, Nucleus",Y,Not confident,none,True,False,0.0285
0.02808,N,0.16,"Hydrolase, Metalloprotease, Protease, Ubl conjugation pathway",STAMBP,O95630,STAM-binding protein,0.3208,N,"Cytoplasm, Endosome, Membrane, Nucleus",N,Not confident,none,True,False,0.02808
0.02708,Y,0.096,"Developmental protein, Differentiation, Kinase, Serine/threonine-protein kinase, Transferase, Wnt signaling pathway",MARK2,Q7KZI7,Serine/threonine-protein kinase MARK2,0.04416,N,"Cell membrane, Cell projection, Cytoplasm, Cytoskeleton, Membrane",N,Not confident,none,True,True,0.02708
0.02682,Y,0.113,NA,CLDN7,O95471,Claudin-7,0.007446,N,"Cell junction, Cell membrane, Membrane, Tight junction",Y,Not confident,none,True,True,0.02682
