Lipid_name,Helper_lipid_ID,Cargo_type,Model_type,Delivery_target,Route_of_administration
cand_38,DOPE,mRNA,Mouse,spleen,intravenous
cand_39,DOPE,mRNA,Mouse,spleen,intravenous
cand_40,DOPE,mRNA,Mouse,spleen,intravenous
cand_41,DOPE,mRNA,Mouse,spleen,intravenous
cand_42,DOPE,mRNA,Mouse,spleen,intravenous
cand_43,DOPE,mRNA,Mouse,spleen,intravenous
cand_44,DOPE,mRNA,Mouse,spleen,intravenous
cand_45,DOPE,mRNA,Mouse,spleen,intravenous
cand_46,DOPE,mRNA,Mouse,spleen,intravenous
cand_47,DOPE,mRNA,Mouse,spleen,intravenous
cand_48,DOPE,mRNA,Mouse,spleen,intravenous
cand_49,DOPE,mRNA,Mouse,spleen,intravenous
cand_50,DOPE,mRNA,Mouse,spleen,intravenous
cand_51,DOPE,mRNA,Mouse,spleen,intravenous
cand_52,DOPE,mRNA,Mouse,spleen,intravenous
cand_53,DOPE,mRNA,Mouse,spleen,intravenous
cand_54,DOPE,mRNA,Mouse,spleen,intravenous
cand_55,DOPE,mRNA,Mouse,spleen,intravenous
cand_56,DOPE,mRNA,Mouse,spleen,intravenous
cand_57,DOPE,mRNA,Mouse,spleen,intravenous
cand_58,DOPE,mRNA,Mouse,spleen,intravenous
cand_59,DOPE,mRNA,Mouse,spleen,intravenous
cand_60,DOPE,mRNA,Mouse,spleen,intravenous
cand_61,DOPE,mRNA,Mouse,spleen,intravenous
cand_62,DOPE,mRNA,Mouse,spleen,intravenous
cand_63,DOPE,mRNA,Mouse,spleen,intravenous
cand_64,DOPE,mRNA,Mouse,spleen,intravenous
cand_65,DOPE,mRNA,Mouse,spleen,intravenous
cand_66,DOPE,mRNA,Mouse,spleen,intravenous
cand_67,DOPE,mRNA,Mouse,spleen,intravenous
cand_68,DOPE,mRNA,Mouse,spleen,intravenous
cand_69,DOPE,mRNA,Mouse,spleen,intravenous
cand_70,DOPE,mRNA,Mouse,spleen,intravenous
cand_71,DOPE,mRNA,Mouse,spleen,intravenous
cand_72,DOPE,mRNA,Mouse,spleen,intravenous
cand_73,DOPE,mRNA,Mouse,spleen,intravenous
cand_74,DOPE,mRNA,Mouse,spleen,intravenous
cand_75,DOPE,mRNA,Mouse,spleen,intravenous
cand_76,DOPE,mRNA,Mouse,spleen,intravenous
cand_77,DOPE,mRNA,Mouse,spleen,intravenous
cand_78,DOPE,mRNA,Mouse,spleen,intravenous
cand_79,DOPE,mRNA,Mouse,spleen,intravenous
cand_80,DOPE,mRNA,Mouse,spleen,intravenous
cand_81,DOPE,mRNA,Mouse,spleen,intravenous
cand_82,DOPE,mRNA,Mouse,spleen,intravenous
cand_83,DOPE,mRNA,Mouse,spleen,intravenous
cand_84,DOPE,mRNA,Mouse,spleen,intravenous
cand_85,DOPE,mRNA,Mouse,spleen,intravenous
cand_86,DOPE,mRNA,Mouse,spleen,intravenous
cand_87,DOPE,mRNA,Mouse,spleen,intravenous
cand_88,DOPE,mRNA,Mouse,spleen,intravenous
cand_89,DOPE,mRNA,Mouse,spleen,intravenous
cand_90,DOPE,mRNA,Mouse,spleen,intravenous
cand_91,DOPE,mRNA,Mouse,spleen,intravenous
cand_92,DOPE,mRNA,Mouse,spleen,intravenous
cand_93,DOPE,mRNA,Mouse,spleen,intravenous
cand_94,DOPE,mRNA,Mouse,spleen,intravenous
cand_95,DOPE,mRNA,Mouse,spleen,intravenous
cand_96,DOPE,mRNA,Mouse,spleen,intravenous
cand_97,DOPE,mRNA,Mouse,spleen,intravenous
cand_98,DOPE,mRNA,Mouse,spleen,intravenous
cand_99,DOPE,mRNA,Mouse,spleen,intravenous
cand_100,DOPE,mRNA,Mouse,spleen,intravenous
cand_101,DOPE,mRNA,Mouse,spleen,intravenous
cand_102,DOPE,mRNA,Mouse,spleen,intravenous
cand_103,DOPE,mRNA,Mouse,spleen,intravenous
cand_104,DOPE,mRNA,Mouse,spleen,intravenous
cand_105,DOPE,mRNA,Mouse,spleen,intravenous
cand_106,DOPE,mRNA,Mouse,spleen,intravenous
cand_107,DOPE,mRNA,Mouse,spleen,intravenous
cand_108,DOPE,mRNA,Mouse,spleen,intravenous
cand_109,DOPE,mRNA,Mouse,spleen,intravenous
cand_110,DOPE,mRNA,Mouse,spleen,intravenous
cand_111,DOPE,mRNA,Mouse,spleen,intravenous
cand_112,DOPE,mRNA,Mouse,spleen,intravenous
cand_113,DOPE,mRNA,Mouse,spleen,intravenous
cand_114,DOPE,mRNA,Mouse,spleen,intravenous
cand_115,DOPE,mRNA,Mouse,spleen,intravenous
cand_116,DOPE,mRNA,Mouse,spleen,intravenous
cand_117,DOPE,mRNA,Mouse,spleen,intravenous
cand_118,DOPE,mRNA,Mouse,spleen,intravenous
cand_119,DOPE,mRNA,Mouse,spleen,intravenous
cand_120,DOPE,mRNA,Mouse,spleen,intravenous
cand_121,DOPE,mRNA,Mouse,spleen,intravenous
cand_122,DOPE,mRNA,Mouse,spleen,intravenous
cand_123,DOPE,mRNA,Mouse,spleen,intravenous
cand_124,DOPE,mRNA,Mouse,spleen,intravenous
cand_125,DOPE,mRNA,Mouse,spleen,intravenous
cand_126,DOPE,mRNA,Mouse,spleen,intravenous
cand_127,DOPE,mRNA,Mouse,spleen,intravenous
cand_128,DOPE,mRNA,Mouse,spleen,intravenous
cand_129,DOPE,mRNA,Mouse,spleen,intravenous
cand_130,DOPE,mRNA,Mouse,spleen,intravenous
cand_131,DOPE,mRNA,Mouse,spleen,intravenous
cand_132,DOPE,mRNA,Mouse,spleen,intravenous
cand_133,DOPE,mRNA,Mouse,spleen,intravenous
cand_134,DOPE,mRNA,Mouse,spleen,intravenous
cand_135,DOPE,mRNA,Mouse,spleen,intravenous
cand_136,DOPE,mRNA,Mouse,spleen,intravenous
cand_137,DOPE,mRNA,Mouse,spleen,intravenous
cand_138,DOPE,mRNA,Mouse,spleen,intravenous
cand_139,DOPE,mRNA,Mouse,spleen,intravenous
cand_140,DOPE,mRNA,Mouse,spleen,intravenous
cand_141,DOPE,mRNA,Mouse,spleen,intravenous
cand_142,DOPE,mRNA,Mouse,spleen,intravenous
cand_143,DOPE,mRNA,Mouse,spleen,intravenous
cand_144,DOPE,mRNA,Mouse,spleen,intravenous
cand_145,DOPE,mRNA,Mouse,spleen,intravenous
cand_146,DOPE,mRNA,Mouse,spleen,intravenous
cand_147,DOPE,mRNA,Mouse,spleen,intravenous
cand_148,DOPE,mRNA,Mouse,spleen,intravenous
cand_149,DOPE,mRNA,Mouse,spleen,intravenous
cand_150,DOPE,mRNA,Mouse,spleen,intravenous
cand_151,DOPE,mRNA,Mouse,spleen,intravenous
cand_152,DOPE,mRNA,Mouse,spleen,intravenous
cand_153,DOPE,mRNA,Mouse,spleen,intravenous
cand_154,DOPE,mRNA,Mouse,spleen,intravenous
cand_155,DOPE,mRNA,Mouse,spleen,intravenous
cand_156,DOPE,mRNA,Mouse,spleen,intravenous
cand_157,DOPE,mRNA,Mouse,spleen,intravenous
cand_158,DOPE,mRNA,Mouse,spleen,intravenous
cand_159,DOPE,mRNA,Mouse,spleen,intravenous
cand_160,DOPE,mRNA,Mouse,spleen,intravenous
cand_161,DOPE,mRNA,Mouse,spleen,intravenous
cand_162,DOPE,mRNA,Mouse,spleen,intravenous
cand_163,DOPE,mRNA,Mouse,spleen,intravenous
cand_164,DOPE,mRNA,Mouse,spleen,intravenous
cand_165,DOPE,mRNA,Mouse,spleen,intravenous
cand_166,DOPE,mRNA,Mouse,spleen,intravenous
cand_167,DOPE,mRNA,Mouse,spleen,intravenous
cand_168,DOPE,mRNA,Mouse,spleen,intravenous
cand_169,DOPE,mRNA,Mouse,spleen,intravenous
cand_170,DOPE,mRNA,Mouse,spleen,intravenous
cand_171,DOPE,mRNA,Mouse,spleen,intravenous
cand_172,DOPE,mRNA,Mouse,spleen,intravenous
cand_173,DOPE,mRNA,Mouse,spleen,intravenous
cand_174,DOPE,mRNA,Mouse,spleen,intravenous
cand_175,DOPE,mRNA,Mouse,spleen,intravenous
cand_176,DOPE,mRNA,Mouse,spleen,intravenous
cand_177,DOPE,mRNA,Mouse,spleen,intravenous
cand_178,DOPE,mRNA,Mouse,spleen,intravenous
cand_179,DOPE,mRNA,Mouse,spleen,intravenous
cand_180,DOPE,mRNA,Mouse,spleen,intravenous
cand_181,DOPE,mRNA,Mouse,spleen,intravenous
cand_182,DOPE,mRNA,Mouse,spleen,intravenous
cand_183,DOPE,mRNA,Mouse,spleen,intravenous
cand_184,DOPE,mRNA,Mouse,spleen,intravenous
cand_185,DOPE,mRNA,Mouse,spleen,intravenous
cand_186,DOPE,mRNA,Mouse,spleen,intravenous
cand_187,DOPE,mRNA,Mouse,spleen,intravenous
cand_188,DOPE,mRNA,Mouse,spleen,intravenous
cand_189,DOPE,mRNA,Mouse,spleen,intravenous
cand_190,DOPE,mRNA,Mouse,spleen,intravenous
cand_191,DOPE,mRNA,Mouse,spleen,intravenous
cand_192,DOPE,mRNA,Mouse,spleen,intravenous
cand_193,DOPE,mRNA,Mouse,spleen,intravenous
cand_194,DOPE,mRNA,Mouse,spleen,intravenous
cand_195,DOPE,mRNA,Mouse,spleen,intravenous
cand_196,DOPE,mRNA,Mouse,spleen,intravenous
cand_197,DOPE,mRNA,Mouse,spleen,intravenous
cand_198,DOPE,mRNA,Mouse,spleen,intravenous
cand_199,DOPE,mRNA,Mouse,spleen,intravenous
cand_200,DOPE,mRNA,Mouse,spleen,intravenous
cand_201,DOPE,mRNA,Mouse,spleen,intravenous
cand_202,DOPE,mRNA,Mouse,spleen,intravenous
cand_203,DOPE,mRNA,Mouse,spleen,intravenous
cand_204,DOPE,mRNA,Mouse,spleen,intravenous
cand_205,DOPE,mRNA,Mouse,spleen,intravenous
cand_206,DOPE,mRNA,Mouse,spleen,intravenous
cand_207,DOPE,mRNA,Mouse,spleen,intravenous
cand_208,DOPE,mRNA,Mouse,spleen,intravenous
cand_209,DOPE,mRNA,Mouse,spleen,intravenous
cand_210,DOPE,mRNA,Mouse,spleen,intravenous
cand_211,DOPE,mRNA,Mouse,spleen,intravenous
cand_212,DOPE,mRNA,Mouse,spleen,intravenous
cand_213,DOPE,mRNA,Mouse,spleen,intravenous
cand_214,DOPE,mRNA,Mouse,spleen,intravenous
cand_215,DOPE,mRNA,Mouse,spleen,intravenous
cand_216,DOPE,mRNA,Mouse,spleen,intravenous
cand_217,DOPE,mRNA,Mouse,spleen,intravenous
cand_218,DOPE,mRNA,Mouse,spleen,intravenous
cand_219,DOPE,mRNA,Mouse,spleen,intravenous
cand_220,DOPE,mRNA,Mouse,spleen,intravenous
cand_221,DOPE,mRNA,Mouse,spleen,intravenous
cand_222,DOPE,mRNA,Mouse,spleen,intravenous
cand_223,DOPE,mRNA,Mouse,spleen,intravenous
cand_224,DOPE,mRNA,Mouse,spleen,intravenous
cand_225,DOPE,mRNA,Mouse,spleen,intravenous
cand_226,DOPE,mRNA,Mouse,spleen,intravenous
cand_227,DOPE,mRNA,Mouse,spleen,intravenous
cand_228,DOPE,mRNA,Mouse,spleen,intravenous
cand_229,DOPE,mRNA,Mouse,spleen,intravenous
cand_230,DOPE,mRNA,Mouse,spleen,intravenous
cand_231,DOPE,mRNA,Mouse,spleen,intravenous
cand_232,DOPE,mRNA,Mouse,spleen,intravenous
cand_233,DOPE,mRNA,Mouse,spleen,intravenous
cand_234,DOPE,mRNA,Mouse,spleen,intravenous
cand_235,DOPE,mRNA,Mouse,spleen,intravenous
cand_236,DOPE,mRNA,Mouse,spleen,intravenous
cand_237,DOPE,mRNA,Mouse,spleen,intravenous
cand_238,DOPE,mRNA,Mouse,spleen,intravenous
cand_239,DOPE,mRNA,Mouse,spleen,intravenous
cand_240,DOPE,mRNA,Mouse,spleen,intravenous
cand_241,DOPE,mRNA,Mouse,spleen,intravenous
cand_242,DOPE,mRNA,Mouse,spleen,intravenous
cand_243,DOPE,mRNA,Mouse,spleen,intravenous
cand_244,DOPE,mRNA,Mouse,spleen,intravenous
cand_245,DOPE,mRNA,Mouse,spleen,intravenous
cand_246,DOPE,mRNA,Mouse,spleen,intravenous
cand_247,DOPE,mRNA,Mouse,spleen,intravenous
cand_248,DOPE,mRNA,Mouse,spleen,intravenous
cand_249,DOPE,mRNA,Mouse,spleen,intravenous
cand_250,DOPE,mRNA,Mouse,spleen,intravenous
cand_251,DOPE,mRNA,Mouse,spleen,intravenous
cand_252,DOPE,mRNA,Mouse,spleen,intravenous
cand_253,DOPE,mRNA,Mouse,spleen,intravenous
cand_254,DOPE,mRNA,Mouse,spleen,intravenous
cand_255,DOPE,mRNA,Mouse,spleen,intravenous
cand_256,DOPE,mRNA,Mouse,spleen,intravenous
cand_257,DOPE,mRNA,Mouse,spleen,intravenous
cand_258,DOPE,mRNA,Mouse,spleen,intravenous
cand_259,DOPE,mRNA,Mouse,spleen,intravenous
cand_260,DOPE,mRNA,Mouse,spleen,intravenous
cand_261,DOPE,mRNA,Mouse,spleen,intravenous
cand_262,DOPE,mRNA,Mouse,spleen,intravenous
cand_263,DOPE,mRNA,Mouse,spleen,intravenous
cand_264,DOPE,mRNA,Mouse,spleen,intravenous
cand_265,DOPE,mRNA,Mouse,spleen,intravenous
cand_266,DOPE,mRNA,Mouse,spleen,intravenous
cand_267,DOPE,mRNA,Mouse,spleen,intravenous
cand_268,DOPE,mRNA,Mouse,spleen,intravenous
cand_269,DOPE,mRNA,Mouse,spleen,intravenous
cand_270,DOPE,mRNA,Mouse,spleen,intravenous
cand_271,DOPE,mRNA,Mouse,spleen,intravenous
cand_272,DOPE,mRNA,Mouse,spleen,intravenous
cand_273,DOPE,mRNA,Mouse,spleen,intravenous
cand_274,DOPE,mRNA,Mouse,spleen,intravenous
cand_275,DOPE,mRNA,Mouse,spleen,intravenous
cand_276,DOPE,mRNA,Mouse,spleen,intravenous
cand_277,DOPE,mRNA,Mouse,spleen,intravenous
cand_278,DOPE,mRNA,Mouse,spleen,intravenous
cand_279,DOPE,mRNA,Mouse,spleen,intravenous
cand_280,DOPE,mRNA,Mouse,spleen,intravenous
cand_281,DOPE,mRNA,Mouse,spleen,intravenous
cand_282,DOPE,mRNA,Mouse,spleen,intravenous
cand_283,DOPE,mRNA,Mouse,spleen,intravenous
cand_284,DOPE,mRNA,Mouse,spleen,intravenous
cand_285,DOPE,mRNA,Mouse,spleen,intravenous
cand_286,DOPE,mRNA,Mouse,spleen,intravenous
cand_287,DOPE,mRNA,Mouse,spleen,intravenous
cand_288,DOPE,mRNA,Mouse,spleen,intravenous
cand_289,DOPE,mRNA,Mouse,spleen,intravenous
cand_290,DOPE,mRNA,Mouse,spleen,intravenous
cand_291,DOPE,mRNA,Mouse,spleen,intravenous
cand_292,DOPE,mRNA,Mouse,spleen,intravenous
cand_293,DOPE,mRNA,Mouse,spleen,intravenous
cand_294,DOPE,mRNA,Mouse,spleen,intravenous
cand_295,DOPE,mRNA,Mouse,spleen,intravenous
cand_296,DOPE,mRNA,Mouse,spleen,intravenous
cand_297,DOPE,mRNA,Mouse,spleen,intravenous
cand_298,DOPE,mRNA,Mouse,spleen,intravenous
cand_299,DOPE,mRNA,Mouse,spleen,intravenous
cand_300,DOPE,mRNA,Mouse,spleen,intravenous
cand_301,DOPE,mRNA,Mouse,spleen,intravenous
cand_302,DOPE,mRNA,Mouse,spleen,intravenous
cand_303,DOPE,mRNA,Mouse,spleen,intravenous
cand_304,DOPE,mRNA,Mouse,spleen,intravenous
cand_305,DOPE,mRNA,Mouse,spleen,intravenous
cand_306,DOPE,mRNA,Mouse,spleen,intravenous
cand_307,DOPE,mRNA,Mouse,spleen,intravenous
cand_308,DOPE,mRNA,Mouse,spleen,intravenous
cand_309,DOPE,mRNA,Mouse,spleen,intravenous
cand_310,DOPE,mRNA,Mouse,spleen,intravenous
cand_311,DOPE,mRNA,Mouse,spleen,intravenous
cand_312,DOPE,mRNA,Mouse,spleen,intravenous
cand_313,DOPE,mRNA,Mouse,spleen,intravenous
cand_314,DOPE,mRNA,Mouse,spleen,intravenous
cand_315,DOPE,mRNA,Mouse,spleen,intravenous
cand_316,DOPE,mRNA,Mouse,spleen,intravenous
cand_317,DOPE,mRNA,Mouse,spleen,intravenous
cand_318,DOPE,mRNA,Mouse,spleen,intravenous
cand_319,DOPE,mRNA,Mouse,spleen,intravenous
cand_320,DOPE,mRNA,Mouse,spleen,intravenous
cand_321,DOPE,mRNA,Mouse,spleen,intravenous
cand_322,DOPE,mRNA,Mouse,spleen,intravenous
cand_323,DOPE,mRNA,Mouse,spleen,intravenous
cand_324,DOPE,mRNA,Mouse,spleen,intravenous
cand_325,DOPE,mRNA,Mouse,spleen,intravenous
cand_326,DOPE,mRNA,Mouse,spleen,intravenous
cand_327,DOPE,mRNA,Mouse,spleen,intravenous
cand_328,DOPE,mRNA,Mouse,spleen,intravenous
cand_329,DOPE,mRNA,Mouse,spleen,intravenous
cand_330,DOPE,mRNA,Mouse,spleen,intravenous
cand_331,DOPE,mRNA,Mouse,spleen,intravenous
cand_332,DOPE,mRNA,Mouse,spleen,intravenous
cand_333,DOPE,mRNA,Mouse,spleen,intravenous
cand_334,DOPE,mRNA,Mouse,spleen,intravenous
cand_335,DOPE,mRNA,Mouse,spleen,intravenous
cand_336,DOPE,mRNA,Mouse,spleen,intravenous
cand_337,DOPE,mRNA,Mouse,spleen,intravenous
cand_338,DOPE,mRNA,Mouse,spleen,intravenous
cand_339,DOPE,mRNA,Mouse,spleen,intravenous
cand_340,DOPE,mRNA,Mouse,spleen,intravenous
cand_341,DOPE,mRNA,Mouse,spleen,intravenous
cand_342,DOPE,mRNA,Mouse,spleen,intravenous
cand_343,DOPE,mRNA,Mouse,spleen,intravenous
cand_344,DOPE,mRNA,Mouse,spleen,intravenous
cand_345,DOPE,mRNA,Mouse,spleen,intravenous
cand_346,DOPE,mRNA,Mouse,spleen,intravenous
cand_347,DOPE,mRNA,Mouse,spleen,intravenous
cand_348,DOPE,mRNA,Mouse,spleen,intravenous
cand_349,DOPE,mRNA,Mouse,spleen,intravenous
cand_350,DOPE,mRNA,Mouse,spleen,intravenous
cand_351,DOPE,mRNA,Mouse,spleen,intravenous
cand_352,DOPE,mRNA,Mouse,spleen,intravenous
cand_353,DOPE,mRNA,Mouse,spleen,intravenous
cand_354,DOPE,mRNA,Mouse,spleen,intravenous
cand_355,DOPE,mRNA,Mouse,spleen,intravenous
cand_356,DOPE,mRNA,Mouse,spleen,intravenous
cand_357,DOPE,mRNA,Mouse,spleen,intravenous
cand_358,DOPE,mRNA,Mouse,spleen,intravenous
cand_359,DOPE,mRNA,Mouse,spleen,intravenous
cand_360,DOPE,mRNA,Mouse,spleen,intravenous
cand_361,DOPE,mRNA,Mouse,spleen,intravenous
cand_362,DOPE,mRNA,Mouse,spleen,intravenous
cand_363,DOPE,mRNA,Mouse,spleen,intravenous
cand_364,DOPE,mRNA,Mouse,spleen,intravenous
cand_365,DOPE,mRNA,Mouse,spleen,intravenous
cand_366,DOPE,mRNA,Mouse,spleen,intravenous
cand_367,DOPE,mRNA,Mouse,spleen,intravenous
cand_368,DOPE,mRNA,Mouse,spleen,intravenous
cand_369,DOPE,mRNA,Mouse,spleen,intravenous
cand_370,DOPE,mRNA,Mouse,spleen,intravenous
cand_371,DOPE,mRNA,Mouse,spleen,intravenous
cand_372,DOPE,mRNA,Mouse,spleen,intravenous
cand_373,DOPE,mRNA,Mouse,spleen,intravenous
cand_374,DOPE,mRNA,Mouse,spleen,intravenous
cand_375,DOPE,mRNA,Mouse,spleen,intravenous
cand_376,DOPE,mRNA,Mouse,spleen,intravenous
cand_377,DOPE,mRNA,Mouse,spleen,intravenous
cand_378,DOPE,mRNA,Mouse,spleen,intravenous
cand_379,DOPE,mRNA,Mouse,spleen,intravenous
cand_380,DOPE,mRNA,Mouse,spleen,intravenous
cand_381,DOPE,mRNA,Mouse,spleen,intravenous
cand_382,DOPE,mRNA,Mouse,spleen,intravenous
cand_383,DOPE,mRNA,Mouse,spleen,intravenous
cand_384,DOPE,mRNA,Mouse,spleen,intravenous
cand_385,DOPE,mRNA,Mouse,spleen,intravenous
cand_386,DOPE,mRNA,Mouse,spleen,intravenous
cand_387,DOPE,mRNA,Mouse,spleen,intravenous
cand_388,DOPE,mRNA,Mouse,spleen,intravenous
cand_389,DOPE,mRNA,Mouse,spleen,intravenous
cand_390,DOPE,mRNA,Mouse,spleen,intravenous
cand_391,DOPE,mRNA,Mouse,spleen,intravenous
cand_392,DOPE,mRNA,Mouse,spleen,intravenous
cand_393,DOPE,mRNA,Mouse,spleen,intravenous
cand_394,DOPE,mRNA,Mouse,spleen,intravenous
cand_395,DOPE,mRNA,Mouse,spleen,intravenous
cand_396,DOPE,mRNA,Mouse,spleen,intravenous
cand_397,DOPE,mRNA,Mouse,spleen,intravenous
cand_398,DOPE,mRNA,Mouse,spleen,intravenous
cand_399,DOPE,mRNA,Mouse,spleen,intravenous
cand_400,DOPE,mRNA,Mouse,spleen,intravenous
cand_401,DOPE,mRNA,Mouse,spleen,intravenous
cand_402,DOPE,mRNA,Mouse,spleen,intravenous
cand_403,DOPE,mRNA,Mouse,spleen,intravenous
cand_404,DOPE,mRNA,Mouse,spleen,intravenous
cand_405,DOPE,mRNA,Mouse,spleen,intravenous
cand_406,DOPE,mRNA,Mouse,spleen,intravenous
cand_407,DOPE,mRNA,Mouse,spleen,intravenous
cand_408,DOPE,mRNA,Mouse,spleen,intravenous
cand_409,DOPE,mRNA,Mouse,spleen,intravenous
cand_410,DOPE,mRNA,Mouse,spleen,intravenous
cand_411,DOPE,mRNA,Mouse,spleen,intravenous
cand_412,DOPE,mRNA,Mouse,spleen,intravenous
cand_413,DOPE,mRNA,Mouse,spleen,intravenous
cand_414,DOPE,mRNA,Mouse,spleen,intravenous
cand_415,DOPE,mRNA,Mouse,spleen,intravenous
cand_416,DOPE,mRNA,Mouse,spleen,intravenous
cand_417,DOPE,mRNA,Mouse,spleen,intravenous
cand_418,DOPE,mRNA,Mouse,spleen,intravenous
cand_419,DOPE,mRNA,Mouse,spleen,intravenous
cand_420,DOPE,mRNA,Mouse,spleen,intravenous
cand_421,DOPE,mRNA,Mouse,spleen,intravenous
cand_422,DOPE,mRNA,Mouse,spleen,intravenous
cand_423,DOPE,mRNA,Mouse,spleen,intravenous
cand_424,DOPE,mRNA,Mouse,spleen,intravenous
cand_425,DOPE,mRNA,Mouse,spleen,intravenous
cand_426,DOPE,mRNA,Mouse,spleen,intravenous
cand_427,DOPE,mRNA,Mouse,spleen,intravenous
cand_428,DOPE,mRNA,Mouse,spleen,intravenous
cand_429,DOPE,mRNA,Mouse,spleen,intravenous
cand_430,DOPE,mRNA,Mouse,spleen,intravenous
cand_431,DOPE,mRNA,Mouse,spleen,intravenous
cand_432,DOPE,mRNA,Mouse,spleen,intravenous
cand_433,DOPE,mRNA,Mouse,spleen,intravenous
cand_434,DOPE,mRNA,Mouse,spleen,intravenous
cand_435,DOPE,mRNA,Mouse,spleen,intravenous
cand_436,DOPE,mRNA,Mouse,spleen,intravenous
cand_437,DOPE,mRNA,Mouse,spleen,intravenous
cand_438,DOPE,mRNA,Mouse,spleen,intravenous
cand_439,DOPE,mRNA,Mouse,spleen,intravenous
cand_440,DOPE,mRNA,Mouse,spleen,intravenous
cand_441,DOPE,mRNA,Mouse,spleen,intravenous
cand_442,DOPE,mRNA,Mouse,spleen,intravenous
cand_443,DOPE,mRNA,Mouse,spleen,intravenous
cand_444,DOPE,mRNA,Mouse,spleen,intravenous
cand_445,DOPE,mRNA,Mouse,spleen,intravenous
cand_446,DOPE,mRNA,Mouse,spleen,intravenous
cand_447,DOPE,mRNA,Mouse,spleen,intravenous
cand_448,DOPE,mRNA,Mouse,spleen,intravenous
cand_449,DOPE,mRNA,Mouse,spleen,intravenous
cand_450,DOPE,mRNA,Mouse,spleen,intravenous
cand_451,DOPE,mRNA,Mouse,spleen,intravenous
cand_452,DOPE,mRNA,Mouse,spleen,intravenous
cand_453,DOPE,mRNA,Mouse,spleen,intravenous
cand_454,DOPE,mRNA,Mouse,spleen,intravenous
cand_455,DOPE,mRNA,Mouse,spleen,intravenous
cand_456,DOPE,mRNA,Mouse,spleen,intravenous
cand_457,DOPE,mRNA,Mouse,spleen,intravenous
cand_458,DOPE,mRNA,Mouse,spleen,intravenous
cand_459,DOPE,mRNA,Mouse,spleen,intravenous
cand_460,DOPE,mRNA,Mouse,spleen,intravenous
cand_461,DOPE,mRNA,Mouse,spleen,intravenous
cand_462,DOPE,mRNA,Mouse,spleen,intravenous
cand_463,DOPE,mRNA,Mouse,spleen,intravenous
cand_464,DOPE,mRNA,Mouse,spleen,intravenous
cand_465,DOPE,mRNA,Mouse,spleen,intravenous
cand_466,DOPE,mRNA,Mouse,spleen,intravenous
cand_467,DOPE,mRNA,Mouse,spleen,intravenous
cand_468,DOPE,mRNA,Mouse,spleen,intravenous
cand_469,DOPE,mRNA,Mouse,spleen,intravenous
cand_470,DOPE,mRNA,Mouse,spleen,intravenous
cand_471,DOPE,mRNA,Mouse,spleen,intravenous
cand_472,DOPE,mRNA,Mouse,spleen,intravenous
cand_473,DOPE,mRNA,Mouse,spleen,intravenous
cand_474,DOPE,mRNA,Mouse,spleen,intravenous
cand_475,DOPE,mRNA,Mouse,spleen,intravenous
cand_476,DOPE,mRNA,Mouse,spleen,intravenous
cand_477,DOPE,mRNA,Mouse,spleen,intravenous
cand_478,DOPE,mRNA,Mouse,spleen,intravenous
