smiles,ens_mean,ens_std,head,linker,tail,n_tails,mw,degradable,disulfide,confidence
CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)CCN(C)C,0.38862274250506906,0.5933875969239867,H1_DMAEA,amide,T3_C10,2,510.9,False,False,medium
CCCCCCCCCCNC(=O)CCN(CCCCN(C)C)CCC(=O)NCCCCCCCCCC,0.38841936944721417,0.49869532358223334,H16_DMABA,amide,T3_C10,2,538.9,False,False,medium
CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN(CC)CC,0.38607290162213165,0.2985842445882527,H2_DEAEA,amide,T16_C11,2,567.0,False,False,high
CCCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC,0.38505258773317247,0.28063549881810274,H7_MePr,amide,T16_C11,3,764.3,False,False,high
CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC)CCN(C)C,0.37909362506872674,0.7105184741243189,H1_DMAEA,amide,T2_C8,2,454.7,False,False,low
CCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCC,0.3733515294984414,0.5737497098304204,H10_DMPDA,amide,T2_C8,2,468.8,False,False,medium
CCCCCCNC(=O)CCN(CCCCN(C)C)CCC(=O)NCCCCCC,0.37283274519243426,0.6080460861118114,H16_DMABA,amide,T1_C6,2,426.7,False,False,medium
CCCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCCC,0.36231912370360586,0.39371189784035987,H10_DMPDA,amide,T16_C11,2,552.9,False,False,high
CCCCCCCCNC(=O)CCN(CCCCN(C)C)CCC(=O)NCCCCCCCC,0.353264525010216,0.5753529963919367,H16_DMABA,amide,T2_C8,2,482.8,False,False,medium
CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CC)CC,0.3411061781142922,0.2928935345178186,H2_DEAEA,amide,T4_C12,2,595.0,False,False,high
CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN(C)C,0.34100222982237005,0.5505589144934911,H1_DMAEA,amide,T16_C11,2,538.9,False,False,medium
CC(C)CCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCCC(C)C,0.33940773276573816,0.4895249931508081,H10_DMPDA,ester,T10_C12i,2,611.0,False,False,medium
CCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCC,0.3387302465908062,0.40671191372046833,H10_DMPDA,ester,T13_C9,2,498.8,False,False,medium
CCCCCCCCCCCNC(=O)CCN(CCCCN(C)C)CCC(=O)NCCCCCCCCCCC,0.3381543547007212,0.46551742433432575,H16_DMABA,amide,T16_C11,2,567.0,False,False,medium
CCCCCCNC(=O)CCN(CCC(=O)NCCCCCC)CCN(CC)CC,0.33645683229706547,0.4389121348109403,H2_DEAEA,amide,T1_C6,2,426.7,False,False,medium
CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC)CCN(CC)CC,0.32843243314783416,0.4247274005286553,H2_DEAEA,amide,T2_C8,2,482.8,False,False,medium
CCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCC,0.3241069169981822,0.4490561152298332,H10_DMPDA,ester,T2_C8,2,470.7,False,False,medium
CC(C)CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCN1CCN(CCC(=O)NCCCCCCCCCCC(C)C)CC1,0.32217976764717493,0.4281122737064886,H4_AEPZ,amide,T10_C12i,3,889.5,False,False,medium
CC(C)CCCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C,0.32039815192456655,0.3688533947068522,H7_MePr,ester,T10_C12i,3,851.4,False,False,high
CCCCCCSSCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCSSCCCCCC)CCN(CC)CC,0.3180031580173174,0.3063363988259525,H2_DEAEA,amide,T17_SS_C6,2,723.3,True,True,high
CCSCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCSCC,0.31641815463292977,0.39911310410293693,H10_DMPDA,ester,T14_thioC8,2,591.0,True,False,high
CCCCCCSSCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCSSCCCCCC,0.31570786342317275,0.44690868520355387,H10_DMPDA,amide,T17_SS_C6,2,709.3,True,True,medium
CCCCCCSSCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCSSCCCCCC)CCC(=O)NCCCCCCSSCCCCCC,0.3155679214806192,0.20746508156061616,H7_MePr,amide,T17_SS_C6,3,998.8,True,True,high
CCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCC)CCN(CC)CC,0.3151464837160449,0.29899321612491636,H2_DEAEA,ester,T13_C9,2,512.8,False,False,high
CCCCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCCCC,0.3110715298668128,0.3673849802406196,H10_DMPDA,amide,T4_C12,2,581.0,False,False,high
CCCCCCSSCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCSSCCCCCC)CCN(C)C,0.310648101205191,0.5632296819708243,H1_DMAEA,amide,T17_SS_C6,2,695.2,True,True,medium
CC(C)CCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C,0.30972588594745404,0.4336968193404925,H6_DAP,amide,T10_C12i,4,1087.8,False,False,medium
CCCCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,0.30671233295020117,0.311263598534637,H7_MePr,amide,T4_C12,3,806.4,False,False,high
CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC,0.306045873642779,0.3402569852210426,H18_TETA,amide,T13_C9,6,1330.2,False,False,high
CCN(CC)CCN(CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C,0.3049644344669293,0.3580303785609565,H2_DEAEA,ester,T10_C12i,2,625.0,False,False,high
CCCCCCSSCCCCCCNC(=O)CCN(CCCCN(C)C)CCC(=O)NCCCCCCSSCCCCCC,0.30245657436612877,0.4949956941957815,H16_DMABA,amide,T17_SS_C6,2,723.3,True,True,medium
CCSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSCC)CCN(CC)CC,0.29746496152080687,0.2825025370429474,H2_DEAEA,ester,T14_thioC8,2,605.0,True,False,high
CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(C)C,0.2930312222724355,0.5130712562485229,H1_DMAEA,amide,T4_C12,2,567.0,False,False,medium
CCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCC,0.2916152776534894,0.3632847580337991,H10_DMPDA,ester,T3_C10,2,526.8,False,False,high
CCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCC)CCC(=O)OCCCCCC,0.2913979829210841,0.3027004278422683,H7_MePr,ester,T1_C6,3,556.8,False,False,high
CCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCC)CCC(=O)OCCCCCCCCC,0.29133007355483775,0.16701766020887018,H7_MePr,ester,T13_C9,3,683.1,False,False,high
CCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCC,0.2906701071704002,0.5091248329839981,H10_DMPDA,ester,T1_C6,2,414.6,False,False,medium
CC(C)CCCCCCCCCCOC(=O)CCN(CCCCN(C)C)CCC(=O)OCCCCCCCCCCC(C)C,0.28997535168546196,0.5059541616856,H16_DMABA,ester,T10_C12i,2,625.0,False,False,medium
CCCCCCCCCCCCNC(=O)CCN(CCCCN(C)C)CCC(=O)NCCCCCCCCCCCC,0.28911799258082305,0.4358740318082623,H16_DMABA,amide,T4_C12,2,595.0,False,False,medium
CCCCCCNC(=O)CCN(CCC(=O)NCCCCCC)CCN(CCC(=O)NCCCCCC)CCN(CCC(=O)NCCCCCC)CCN(CCC(=O)NCCCCCC)CCC(=O)NCCCCCC,0.289038233832391,0.3284151312522276,H18_TETA,amide,T1_C6,6,1077.7,False,False,high
CCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCC)CCC(=O)OCCCCCCCC,0.2876326306201053,0.24560137286283806,H7_MePr,ester,T2_C8,3,641.0,False,False,high
CCCCCCOC(=O)CCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC(=O)OCCCCCC)CCN(CC)CC,0.2846130545799498,0.2642576538902812,H2_DEAEA,amide,T19_estC8,2,711.1,True,False,high
CCCCCCCCSSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSSCCCCCCCC)CCN(CC)CC,0.2835683885482228,0.2516142720799469,H2_DEAEA,amide,T18_SS_C8,2,835.5,True,True,high
CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN(CC)CC,0.28312835396052444,0.2788195090544107,H2_DEAEA,ester,T3_C10,2,540.9,False,False,high
CCCCCCOC(=O)CCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCC(=O)OCCCCCC,0.2813771883410051,0.39154568561831865,H10_DMPDA,amide,T19_estC8,2,697.1,True,False,high
CCCCCCCCCOC(=O)CCN(CCCCN(C)C)CCC(=O)OCCCCCCCCC,0.27914255476687794,0.4504759672985701,H16_DMABA,ester,T13_C9,2,512.8,False,False,medium
CCCCCCCCOC(=O)CCCCCNC(=O)CCN(CCC(=O)NCCCCCC(=O)OCCCCCCCC)CCN(C)C,0.2790146635415593,0.4956256555822161,H1_DMAEA,amide,T20_estBr,2,683.0,True,False,medium
CCCCCCCCOC(=O)CCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCC(=O)OCCCCCCCC,0.2785071420214996,0.4040161519866934,H10_DMPDA,amide,T20_estBr,2,697.1,True,False,medium
CCCCCCCCOC(=O)CCCCCNC(=O)CCN(CCCCN(C)C)CCC(=O)NCCCCCC(=O)OCCCCCCCC,0.278368507612243,0.46220103483970404,H16_DMABA,amide,T20_estBr,2,711.1,True,False,medium
CC(C)CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC(C)C)CCN(C)C,0.27787042757330455,0.6031015602106558,H1_DMAEA,ester,T10_C12i,2,597.0,False,False,medium
CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC)CCN(CC)CC,0.2735015667586926,0.34002057059852403,H2_DEAEA,ester,T2_C8,2,484.8,False,False,high
CCCCCCOC(=O)CCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCC(=O)OCCCCCC)CCC(=O)NCCCCCCCC(=O)OCCCCCC,0.27242905827537833,0.21516290326751147,H7_MePr,amide,T19_estC8,3,980.5,True,False,high
CCCCCCOC(=O)CCCCCCCNC(=O)CCN(CCCCN(C)C)CCC(=O)NCCCCCCCC(=O)OCCCCCC,0.27125034246240076,0.4541828887966549,H16_DMABA,amide,T19_estC8,2,711.1,True,False,medium
CCCCCCOC(=O)CCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC(=O)OCCCCCC)CCN(C)C,0.2709789240396444,0.49922003476528753,H1_DMAEA,amide,T19_estC8,2,683.0,True,False,medium
CCCCCCCCOC(=O)CCN(CCCCN(C)C)CCC(=O)OCCCCCCCC,0.2688767278424204,0.4774615974672066,H16_DMABA,ester,T2_C8,2,484.8,False,False,medium
CC(C)CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCN1CCN(C)CC1,0.26724724723241144,0.6205464779653419,H3_MPZ,amide,T10_C12i,2,650.1,False,False,medium
CCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCC)CCN(C)C,0.2666815638976108,0.5749154539263657,H1_DMAEA,ester,T13_C9,2,484.8,False,False,medium
CCCCCCCCOC(=O)CCCCCNC(=O)CCN(CCC(=O)NCCCCCC(=O)OCCCCCCCC)CCN(CC)CC,0.26466271197566654,0.2818576219447941,H2_DEAEA,amide,T20_estBr,2,711.1,True,False,high
CCCCCCCCSSCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCSSCCCCCCCC,0.26424102122534443,0.3420933439040508,H10_DMPDA,amide,T18_SS_C8,2,821.5,True,True,high
CCSCCCCCCCCOC(=O)CCN(CCCCN(C)C)CCC(=O)OCCCCCCCCSCC,0.2636956386553989,0.44283172319250463,H16_DMABA,ester,T14_thioC8,2,605.0,True,False,medium
CCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCN(CC)CC,0.2586521303970476,0.2779389125748652,H2_DEAEA,amide,T5_C14,2,651.1,False,False,high
CCCCCCCCSSCCCCCCCCNC(=O)CCN(CCCCN(C)C)CCC(=O)NCCCCCCCCSSCCCCCCCC,0.25627171397017573,0.42142131332751237,H16_DMABA,amide,T18_SS_C8,2,835.5,True,True,medium
CCCCCCCCSSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSSCCCCCCCC)CCN(C)C,0.2540622819914362,0.4518057436956162,H1_DMAEA,amide,T18_SS_C8,2,807.4,True,True,medium
CCSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSCC)CCN(C)C,0.2532152367724615,0.5449581263281459,H1_DMAEA,ester,T14_thioC8,2,577.0,True,False,medium
CCSCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCSCC)CCC(=O)OCCCCCCCCSCC,0.24899838637614655,0.18351339821800064,H7_MePr,ester,T14_thioC8,3,821.4,True,False,high
CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC)CCN(C)C,0.24899381588353053,0.6056729522153983,H1_DMAEA,ester,T2_C8,2,456.7,False,False,medium
CCCCCCCCOC(=O)CCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCC(=O)OCCCCCCCC)CCC(=O)NCCCCCC(=O)OCCCCCCCC,0.24789803487812206,0.23203111243307048,H7_MePr,amide,T20_estBr,3,980.5,True,False,high
CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN(CC)CC,0.24664244544320998,0.2643306106957224,H2_DEAEA,ester,T16_C11,2,568.9,False,False,high
CC(C)CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC(C)C)C1CCCCC1N(CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C,0.24661977317846948,0.4906721454279642,H17_CHDA,amide,T10_C12i,4,1127.9,False,False,medium
CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCC)CC1,0.24532890831076976,0.16836950625331001,H4_AEPZ,amide,T13_C9,3,721.2,False,False,high
CCCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCCC,0.24256404339224935,0.32643780608750106,H10_DMPDA,ester,T16_C11,2,554.9,False,False,high
CCOCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCOCC)CCN(C)C,0.2425247041121747,0.6494641396582149,H1_DMAEA,amide,T15_OC8,2,542.9,True,False,medium
CCCCCCCCCCOC(=O)CCN(CCCCN(C)C)CCC(=O)OCCCCCCCCCC,0.23746812104218132,0.4134789035258345,H16_DMABA,ester,T3_C10,2,540.9,False,False,medium
CCCCCCOC(=O)CCN(CCC(=O)OCCCCCC)CCN(CC)CC,0.23587981890472248,0.4017944829480115,H2_DEAEA,ester,T1_C6,2,428.7,False,False,medium
CCCCCCNC(=O)CCN(CCC(=O)NCCCCCC)CCN1CCN(CCC(=O)NCCCCCC)CC1,0.23017548802878512,0.41207999682072416,H4_AEPZ,amide,T1_C6,3,594.9,False,False,medium
CCCCCCOC(=O)CCN(CCC(=O)OCCCCCC)CCN(C)C,0.23011871822739707,0.6755972486476516,H1_DMAEA,ester,T1_C6,2,400.6,False,False,medium
CCCCCCOC(=O)CCN(CCCCN(C)C)CCC(=O)OCCCCCC,0.22995929113696256,0.5136438275184974,H16_DMABA,ester,T1_C6,2,428.7,False,False,medium
CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN(C)C,0.22947190428914718,0.5285382018469085,H1_DMAEA,ester,T3_C10,2,512.8,False,False,medium
CCOCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCOCC)CCC(=O)NCCCCCCCCOCC,0.22160611751930476,0.24192619067946447,H7_MePr,amide,T15_OC8,3,770.2,True,False,high
CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCC)CCC(=O)NCCCCCCCCCC,0.22087717305312232,0.3696918433381529,H18_TETA,amide,T3_C10,6,1414.3,False,False,high
CCOCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCOCC,0.22072720212251778,0.5267482339871676,H10_DMPDA,amide,T15_OC8,2,556.9,True,False,medium
CCCCCCCCSSCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCSSCCCCCCCC)CCC(=O)NCCCCCCCCSSCCCCCCCC,0.21922748122750219,0.2819965126939155,H7_MePr,amide,T18_SS_C8,3,1167.1,True,True,high
CCCCCCSSCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCSSCCCCCC,0.21763692561034884,0.3781038776941254,H10_DMPDA,ester,T17_SS_C6,2,711.2,True,True,high
CCCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC,0.21359940286663082,0.1552444862223489,H7_MePr,ester,T3_C10,3,725.2,False,False,high
CCCCCCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCCCCCC,0.21303911049543664,0.32070517035069657,H10_DMPDA,amide,T5_C14,2,637.1,False,False,high
CCOCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCOCC)CCN(CC)CC,0.2121058393939192,0.4225846008642245,H2_DEAEA,amide,T15_OC8,2,570.9,True,False,medium
CCCCCCSSCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCSSCCCCCC)CCN(CC)CC,0.21116556185419824,0.2772519884840387,H2_DEAEA,ester,T17_SS_C6,2,725.2,True,True,high
CCOCCCCCCCCNC(=O)CCN(CCCCN(C)C)CCC(=O)NCCCCCCCCOCC,0.21066431323858198,0.5449742232541561,H16_DMABA,amide,T15_OC8,2,570.9,True,False,medium
CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN1CCN(C)CC1,0.21052246582997375,0.49595251790646955,H3_MPZ,amide,T13_C9,2,537.9,False,False,medium
CCSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSCC)CCN1CCN(CCC(=O)NCCCCCCCCSCC)CC1,0.2103735536912727,0.17243957028908516,H4_AEPZ,amide,T14_thioC8,3,859.5,True,False,high
CCCCCCCCOC(=O)CCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCC(=O)OCCCCCCCC,0.20778548211349257,0.36428258323274776,H10_DMPDA,ester,T20_estBr,2,699.0,True,False,high
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN(CC)CC,0.20693890519473457,0.2549081327217756,H2_DEAEA,ester,T4_C12,2,597.0,False,False,high
CCCCCCCCCCCCCCNC(=O)CCN(CCCCN(C)C)CCC(=O)NCCCCCCCCCCCCCC,0.20228570116205682,0.38820818986317596,H16_DMABA,amide,T5_C14,2,651.1,False,False,high
CCSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSCC)CCN1CCN(C)CC1,0.2009929434435996,0.48140761165656887,H3_MPZ,amide,T14_thioC8,2,630.1,True,False,medium
CCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCN(C)C,0.19782804405667936,0.44433172465967163,H1_DMAEA,amide,T5_C14,2,623.1,False,False,medium
CCCCCCCCCCCOC(=O)CCN(CCCCN(C)C)CCC(=O)OCCCCCCCCCCC,0.19520132137131685,0.3807113914354884,H16_DMABA,ester,T16_C11,2,568.9,False,False,high
CC(C)CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC(C)C)CCN1CCN(C)CC1,0.19472638149101398,0.5277372611114685,H3_MPZ,ester,T10_C12i,2,652.1,False,False,medium
CCCCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCCCC,0.19434572222600677,0.2973524138733235,H10_DMPDA,ester,T4_C12,2,583.0,False,False,high
CCCCCCOC(=O)CCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCC(=O)OCCCCCC,0.19404194542488842,0.3615412558002855,H10_DMPDA,ester,T19_estC8,2,699.0,True,False,high
CCCCCCCCOC(=O)CCCCCOC(=O)CCN(CCC(=O)OCCCCCC(=O)OCCCCCCCC)CCN(CC)CC,0.1932405307592231,0.25743146959251584,H2_DEAEA,ester,T20_estBr,2,713.1,True,False,high
CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC)CCN(CCC(=O)NCCCCCCCC)CCN(CCC(=O)NCCCCCCCC)CCN(CCC(=O)NCCCCCCCC)CCC(=O)NCCCCCCCC,0.18911104876264703,0.3141641876065281,H18_TETA,amide,T2_C8,6,1246.0,False,False,high
CCCCCCNC(=O)CCN(CCC(=O)NCCCCCC)CCN1CCN(C)CC1,0.1881963723261222,0.5834672814444916,H3_MPZ,amide,T1_C6,2,453.7,False,False,medium
CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN(C)C,0.18730319148425437,0.4865837153231047,H1_DMAEA,ester,T16_C11,2,540.9,False,False,medium
CCCCCCOC(=O)CCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC(=O)OCCCCCC)CCN(CC)CC,0.18400052141440384,0.24617343170367476,H2_DEAEA,ester,T19_estC8,2,713.1,True,False,high
CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)CCN1CCN(C)CC1,0.1820716271941841,0.4749965052937759,H3_MPZ,amide,T3_C10,2,565.9,False,False,medium
CCCCCCSSCCCCCCOC(=O)CCN(CCCCN(C)C)CCC(=O)OCCCCCCSSCCCCCC,0.1818193956297328,0.4176550156365036,H16_DMABA,ester,T17_SS_C6,2,725.2,True,True,medium
CCCCCCSSCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCSSCCCCCC)CCN(C)C,0.18045416439415501,0.508068950970347,H1_DMAEA,ester,T17_SS_C6,2,697.2,True,True,medium
CCCCCCCCSSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSSCCCCCCCC)CCN(CC)CC,0.18024756443680068,0.21771677739207326,H2_DEAEA,ester,T18_SS_C8,2,837.5,True,True,high
