head,linker,tail,n_tails,mw,smiles,degradable,disulfide
H1_DMAEA,ester,T16_C11,2,540.9,CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN(C)C,False,False
H1_DMAEA,ester,T17_SS_C6,2,697.2,CCCCCCSSCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCSSCCCCCC)CCN(C)C,True,True
H1_DMAEA,ester,T18_SS_C8,2,809.4,CCCCCCCCSSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSSCCCCCCCC)CCN(C)C,True,True
H1_DMAEA,ester,T19_estC8,2,685.0,CCCCCCOC(=O)CCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC(=O)OCCCCCC)CCN(C)C,True,False
H1_DMAEA,ester,T20_estBr,2,685.0,CCCCCCCCOC(=O)CCCCCOC(=O)CCN(CCC(=O)OCCCCCC(=O)OCCCCCCCC)CCN(C)C,True,False
H1_DMAEA,amide,T2_C8,2,454.7,CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC)CCN(C)C,False,False
H1_DMAEA,amide,T3_C10,2,510.9,CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)CCN(C)C,False,False
H1_DMAEA,amide,T4_C12,2,567.0,CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(C)C,False,False
H1_DMAEA,amide,T5_C14,2,623.1,CCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCN(C)C,False,False
H1_DMAEA,amide,T6_C16,2,679.2,CCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCN(C)C,False,False
H1_DMAEA,amide,T7_C18,2,735.3,CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCN(C)C,False,False
H1_DMAEA,amide,T10_C12i,2,595.0,CC(C)CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCN(C)C,False,False
H1_DMAEA,amide,T11_oleyl,2,731.3,CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCN(C)C,False,False
H1_DMAEA,amide,T12_linoleyl,2,727.2,CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCN(C)C,False,False
H1_DMAEA,amide,T13_C9,2,482.8,CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN(C)C,False,False
H1_DMAEA,amide,T14_thioC8,2,575.0,CCSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSCC)CCN(C)C,True,False
H1_DMAEA,amide,T15_OC8,2,542.9,CCOCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCOCC)CCN(C)C,True,False
H1_DMAEA,amide,T16_C11,2,538.9,CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN(C)C,False,False
H1_DMAEA,amide,T17_SS_C6,2,695.2,CCCCCCSSCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCSSCCCCCC)CCN(C)C,True,True
H1_DMAEA,amide,T18_SS_C8,2,807.4,CCCCCCCCSSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSSCCCCCCCC)CCN(C)C,True,True
H1_DMAEA,amide,T19_estC8,2,683.0,CCCCCCOC(=O)CCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC(=O)OCCCCCC)CCN(C)C,True,False
H1_DMAEA,amide,T20_estBr,2,683.0,CCCCCCCCOC(=O)CCCCCNC(=O)CCN(CCC(=O)NCCCCCC(=O)OCCCCCCCC)CCN(C)C,True,False
H2_DEAEA,ester,T1_C6,2,428.7,CCCCCCOC(=O)CCN(CCC(=O)OCCCCCC)CCN(CC)CC,False,False
H2_DEAEA,ester,T2_C8,2,484.8,CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC)CCN(CC)CC,False,False
H2_DEAEA,ester,T3_C10,2,540.9,CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN(CC)CC,False,False
H2_DEAEA,ester,T4_C12,2,597.0,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN(CC)CC,False,False
H2_DEAEA,ester,T5_C14,2,653.1,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN(CC)CC,False,False
H2_DEAEA,ester,T6_C16,2,709.2,CCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCN(CC)CC,False,False
H2_DEAEA,ester,T7_C18,2,765.3,CCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CCN(CC)CC,False,False
H2_DEAEA,ester,T10_C12i,2,625.0,CCN(CC)CCN(CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C,False,False
H2_DEAEA,ester,T11_oleyl,2,761.3,CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCN(CC)CC,False,False
H2_DEAEA,ester,T12_linoleyl,2,757.2,CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCN(CC)CC,False,False
H2_DEAEA,ester,T13_C9,2,512.8,CCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCC)CCN(CC)CC,False,False
H2_DEAEA,ester,T14_thioC8,2,605.0,CCSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSCC)CCN(CC)CC,True,False
H2_DEAEA,ester,T15_OC8,2,572.9,CCOCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCOCC)CCN(CC)CC,True,False
H2_DEAEA,ester,T16_C11,2,568.9,CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN(CC)CC,False,False
H2_DEAEA,ester,T17_SS_C6,2,725.2,CCCCCCSSCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCSSCCCCCC)CCN(CC)CC,True,True
H2_DEAEA,ester,T18_SS_C8,2,837.5,CCCCCCCCSSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSSCCCCCCCC)CCN(CC)CC,True,True
H2_DEAEA,ester,T19_estC8,2,713.1,CCCCCCOC(=O)CCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC(=O)OCCCCCC)CCN(CC)CC,True,False
H2_DEAEA,ester,T20_estBr,2,713.1,CCCCCCCCOC(=O)CCCCCOC(=O)CCN(CCC(=O)OCCCCCC(=O)OCCCCCCCC)CCN(CC)CC,True,False
H2_DEAEA,amide,T1_C6,2,426.7,CCCCCCNC(=O)CCN(CCC(=O)NCCCCCC)CCN(CC)CC,False,False
H2_DEAEA,amide,T2_C8,2,482.8,CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC)CCN(CC)CC,False,False
H2_DEAEA,amide,T3_C10,2,538.9,CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)CCN(CC)CC,False,False
H2_DEAEA,amide,T4_C12,2,595.0,CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CC)CC,False,False
H2_DEAEA,amide,T5_C14,2,651.1,CCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCN(CC)CC,False,False
H2_DEAEA,amide,T6_C16,2,707.2,CCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCN(CC)CC,False,False
H2_DEAEA,amide,T7_C18,2,763.3,CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCN(CC)CC,False,False
H2_DEAEA,amide,T10_C12i,2,623.1,CCN(CC)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C,False,False
H2_DEAEA,amide,T11_oleyl,2,759.3,CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCN(CC)CC,False,False
H2_DEAEA,amide,T12_linoleyl,2,755.3,CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCN(CC)CC,False,False
H2_DEAEA,amide,T13_C9,2,510.9,CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN(CC)CC,False,False
H2_DEAEA,amide,T14_thioC8,2,603.0,CCSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSCC)CCN(CC)CC,True,False
H2_DEAEA,amide,T15_OC8,2,570.9,CCOCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCOCC)CCN(CC)CC,True,False
H2_DEAEA,amide,T16_C11,2,567.0,CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN(CC)CC,False,False
H2_DEAEA,amide,T17_SS_C6,2,723.3,CCCCCCSSCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCSSCCCCCC)CCN(CC)CC,True,True
H2_DEAEA,amide,T18_SS_C8,2,835.5,CCCCCCCCSSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSSCCCCCCCC)CCN(CC)CC,True,True
H2_DEAEA,amide,T19_estC8,2,711.1,CCCCCCOC(=O)CCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC(=O)OCCCCCC)CCN(CC)CC,True,False
H2_DEAEA,amide,T20_estBr,2,711.1,CCCCCCCCOC(=O)CCCCCNC(=O)CCN(CCC(=O)NCCCCCC(=O)OCCCCCCCC)CCN(CC)CC,True,False
H3_MPZ,ester,T1_C6,2,455.7,CCCCCCOC(=O)CCN(CCC(=O)OCCCCCC)CCN1CCN(C)CC1,False,False
H3_MPZ,ester,T2_C8,2,511.8,CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC)CCN1CCN(C)CC1,False,False
H3_MPZ,ester,T3_C10,2,567.9,CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN1CCN(C)CC1,False,False
H3_MPZ,ester,T4_C12,2,624.0,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN1CCN(C)CC1,False,False
H3_MPZ,ester,T5_C14,2,680.1,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN1CCN(C)CC1,False,False
H3_MPZ,ester,T6_C16,2,736.2,CCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCN1CCN(C)CC1,False,False
H3_MPZ,ester,T7_C18,2,792.3,CCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CCN1CCN(C)CC1,False,False
H3_MPZ,ester,T10_C12i,2,652.1,CC(C)CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC(C)C)CCN1CCN(C)CC1,False,False
H3_MPZ,ester,T11_oleyl,2,788.3,CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCN1CCN(C)CC1,False,False
H3_MPZ,ester,T12_linoleyl,2,784.3,CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCN1CCN(C)CC1,False,False
H3_MPZ,ester,T13_C9,2,539.8,CCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCC)CCN1CCN(C)CC1,False,False
H3_MPZ,ester,T14_thioC8,2,632.0,CCSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSCC)CCN1CCN(C)CC1,True,False
H3_MPZ,ester,T15_OC8,2,599.9,CCOCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCOCC)CCN1CCN(C)CC1,True,False
H3_MPZ,ester,T16_C11,2,596.0,CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN1CCN(C)CC1,False,False
H3_MPZ,ester,T17_SS_C6,2,752.3,CCCCCCSSCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCSSCCCCCC)CCN1CCN(C)CC1,True,True
H3_MPZ,ester,T18_SS_C8,2,864.5,CCCCCCCCSSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSSCCCCCCCC)CCN1CCN(C)CC1,True,True
H3_MPZ,ester,T19_estC8,2,740.1,CCCCCCOC(=O)CCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC(=O)OCCCCCC)CCN1CCN(C)CC1,True,False
H3_MPZ,ester,T20_estBr,2,740.1,CCCCCCCCOC(=O)CCCCCOC(=O)CCN(CCC(=O)OCCCCCC(=O)OCCCCCCCC)CCN1CCN(C)CC1,True,False
H3_MPZ,amide,T1_C6,2,453.7,CCCCCCNC(=O)CCN(CCC(=O)NCCCCCC)CCN1CCN(C)CC1,False,False
H3_MPZ,amide,T2_C8,2,509.8,CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC)CCN1CCN(C)CC1,False,False
H3_MPZ,amide,T3_C10,2,565.9,CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)CCN1CCN(C)CC1,False,False
H3_MPZ,amide,T4_C12,2,622.0,CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN1CCN(C)CC1,False,False
H3_MPZ,amide,T5_C14,2,678.1,CCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCN1CCN(C)CC1,False,False
H3_MPZ,amide,T6_C16,2,734.3,CCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCN1CCN(C)CC1,False,False
H3_MPZ,amide,T7_C18,2,790.4,CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCN1CCN(C)CC1,False,False
H3_MPZ,amide,T10_C12i,2,650.1,CC(C)CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCN1CCN(C)CC1,False,False
H3_MPZ,amide,T11_oleyl,2,786.3,CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCN1CCN(C)CC1,False,False
H3_MPZ,amide,T12_linoleyl,2,782.3,CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCN1CCN(C)CC1,False,False
H3_MPZ,amide,T13_C9,2,537.9,CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN1CCN(C)CC1,False,False
H3_MPZ,amide,T14_thioC8,2,630.1,CCSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSCC)CCN1CCN(C)CC1,True,False
H3_MPZ,amide,T15_OC8,2,597.9,CCOCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCOCC)CCN1CCN(C)CC1,True,False
H3_MPZ,amide,T16_C11,2,594.0,CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN1CCN(C)CC1,False,False
H3_MPZ,amide,T17_SS_C6,2,750.3,CCCCCCSSCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCSSCCCCCC)CCN1CCN(C)CC1,True,True
H3_MPZ,amide,T18_SS_C8,2,862.5,CCCCCCCCSSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSSCCCCCCCC)CCN1CCN(C)CC1,True,True
H3_MPZ,amide,T19_estC8,2,738.1,CCCCCCOC(=O)CCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC(=O)OCCCCCC)CCN1CCN(C)CC1,True,False
H3_MPZ,amide,T20_estBr,2,738.1,CCCCCCCCOC(=O)CCCCCNC(=O)CCN(CCC(=O)NCCCCCC(=O)OCCCCCCCC)CCN1CCN(C)CC1,True,False
H4_AEPZ,ester,T1_C6,3,597.9,CCCCCCOC(=O)CCN(CCC(=O)OCCCCCC)CCN1CCN(CCC(=O)OCCCCCC)CC1,False,False
H4_AEPZ,ester,T2_C8,3,682.0,CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCC)CC1,False,False
H4_AEPZ,ester,T3_C10,3,766.2,CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCC)CC1,False,False
H4_AEPZ,ester,T4_C12,3,850.4,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCCCC)CC1,False,False
H4_AEPZ,ester,T5_C14,3,934.5,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCCCCCC)CC1,False,False
H4_AEPZ,ester,T6_C16,3,1018.7,CCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CC1,False,False
H4_AEPZ,ester,T7_C18,3,1102.9,CCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CC1,False,False
H4_AEPZ,ester,T10_C12i,3,892.4,CC(C)CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC(C)C)CCN1CCN(CCC(=O)OCCCCCCCCCCC(C)C)CC1,False,False
H4_AEPZ,ester,T11_oleyl,3,1096.8,CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CC1,False,False
H4_AEPZ,ester,T12_linoleyl,3,1090.8,CCCCCCCC/C=C\C/C=C\CCCCCOC(=O)CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CCN1CCN(CCC(=O)OCCCCC/C=C\C/C=C\CCCCCCCC)CC1,False,False
H4_AEPZ,ester,T13_C9,3,724.1,CCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCC)CC1,False,False
H4_AEPZ,ester,T14_thioC8,3,862.4,CCSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSCC)CCN1CCN(CCC(=O)OCCCCCCCCSCC)CC1,True,False
H4_AEPZ,ester,T15_OC8,3,814.2,CCOCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCOCC)CCN1CCN(CCC(=O)OCCCCCCCCOCC)CC1,True,False
H4_AEPZ,ester,T16_C11,3,808.3,CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCCCC)CC1,False,False
H4_AEPZ,ester,T17_SS_C6,3,1042.8,CCCCCCSSCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCSSCCCCCC)CCN1CCN(CCC(=O)OCCCCCCSSCCCCCC)CC1,True,True
H4_AEPZ,ester,T18_SS_C8,3,1211.1,CCCCCCCCSSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSSCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCCSSCCCCCCCC)CC1,True,True
H4_AEPZ,ester,T19_estC8,3,1024.5,CCCCCCOC(=O)CCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC(=O)OCCCCCC)CCN1CCN(CCC(=O)OCCCCCCCC(=O)OCCCCCC)CC1,True,False
H4_AEPZ,ester,T20_estBr,3,1024.5,CCCCCCCCOC(=O)CCCCCOC(=O)CCN(CCC(=O)OCCCCCC(=O)OCCCCCCCC)CCN1CCN(CCC(=O)OCCCCCC(=O)OCCCCCCCC)CC1,True,False
H4_AEPZ,amide,T1_C6,3,594.9,CCCCCCNC(=O)CCN(CCC(=O)NCCCCCC)CCN1CCN(CCC(=O)NCCCCCC)CC1,False,False
H4_AEPZ,amide,T2_C8,3,679.1,CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCC)CC1,False,False
H4_AEPZ,amide,T3_C10,3,763.3,CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCC)CC1,False,False
H4_AEPZ,amide,T4_C12,3,847.4,CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCCC)CC1,False,False
H4_AEPZ,amide,T5_C14,3,931.6,CCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCCCCC)CC1,False,False
H4_AEPZ,amide,T6_C16,3,1015.7,CCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CC1,False,False
H4_AEPZ,amide,T7_C18,3,1099.9,CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CC1,False,False
H4_AEPZ,amide,T10_C12i,3,889.5,CC(C)CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCN1CCN(CCC(=O)NCCCCCCCCCCC(C)C)CC1,False,False
H4_AEPZ,amide,T11_oleyl,3,1093.9,CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CC1,False,False
H4_AEPZ,amide,T12_linoleyl,3,1087.8,CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCN1CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CC1,False,False
H4_AEPZ,amide,T13_C9,3,721.2,CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCC)CC1,False,False
H4_AEPZ,amide,T14_thioC8,3,859.5,CCSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSCC)CCN1CCN(CCC(=O)NCCCCCCCCSCC)CC1,True,False
H4_AEPZ,amide,T15_OC8,3,811.3,CCOCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCOCC)CCN1CCN(CCC(=O)NCCCCCCCCOCC)CC1,True,False
H4_AEPZ,amide,T16_C11,3,805.3,CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCCCC)CC1,False,False
H4_AEPZ,amide,T17_SS_C6,3,1039.8,CCCCCCSSCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCSSCCCCCC)CCN1CCN(CCC(=O)NCCCCCCSSCCCCCC)CC1,True,True
H4_AEPZ,amide,T18_SS_C8,3,1208.1,CCCCCCCCSSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSSCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCCSSCCCCCCCC)CC1,True,True
H4_AEPZ,amide,T19_estC8,3,1021.5,CCCCCCOC(=O)CCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC(=O)OCCCCCC)CCN1CCN(CCC(=O)NCCCCCCCC(=O)OCCCCCC)CC1,True,False
H4_AEPZ,amide,T20_estBr,3,1021.5,CCCCCCCCOC(=O)CCCCCNC(=O)CCN(CCC(=O)NCCCCCC(=O)OCCCCCCCC)CCN1CCN(CCC(=O)NCCCCCC(=O)OCCCCCCCC)CC1,True,False
H5_bAE,ester,T1_C6,4,729.1,CCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCC)CCC(=O)OCCCCCC)CCC(=O)OCCCCCC,False,False
H5_bAE,ester,T2_C8,4,841.3,CCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCC)CCC(=O)OCCCCCCCC)CCC(=O)OCCCCCCCC,False,False
H5_bAE,ester,T3_C10,4,953.5,CCCCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC,False,False
H5_bAE,ester,T4_C12,4,1065.7,CCCCCCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC,False,False
H5_bAE,ester,T5_C14,4,1177.9,CCCCCCCCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC,False,False
