group,cell_type,perturbation,is_vehicle,product_name,dose,target,pathway,n_cells,total_umi
A549|Aminoglutethimide __10000.0,A549,Aminoglutethimide __10000.0,False,Aminoglutethimide ,10000.0,Aromatase,Endocrinology & Hormones,215,327649
A549|Amisulpride__10.0,A549,Amisulpride__10.0,False,Amisulpride,10.0,Dopamine Receptor,Neuronal Signaling,230,366541
A549|Amisulpride__100.0,A549,Amisulpride__100.0,False,Amisulpride,100.0,Dopamine Receptor,Neuronal Signaling,192,287320
A549|Amisulpride__1000.0,A549,Amisulpride__1000.0,False,Amisulpride,1000.0,Dopamine Receptor,Neuronal Signaling,229,333416
A549|Amisulpride__10000.0,A549,Amisulpride__10000.0,False,Amisulpride,10000.0,Dopamine Receptor,Neuronal Signaling,220,365669
A549|Anacardic Acid__10.0,A549,Anacardic Acid__10.0,False,Anacardic Acid,10.0,Histone Acetyltransferase,Epigenetics,246,411371
A549|Anacardic Acid__100.0,A549,Anacardic Acid__100.0,False,Anacardic Acid,100.0,Histone Acetyltransferase,Epigenetics,213,353706
A549|Anacardic Acid__1000.0,A549,Anacardic Acid__1000.0,False,Anacardic Acid,1000.0,Histone Acetyltransferase,Epigenetics,234,378898
A549|Anacardic Acid__10000.0,A549,Anacardic Acid__10000.0,False,Anacardic Acid,10000.0,Histone Acetyltransferase,Epigenetics,259,432045
A549|Andarine__10.0,A549,Andarine__10.0,False,Andarine,10.0,Androgen Receptor,Endocrinology & Hormones,239,389375
A549|Andarine__100.0,A549,Andarine__100.0,False,Andarine,100.0,Androgen Receptor,Endocrinology & Hormones,217,314654
A549|Andarine__1000.0,A549,Andarine__1000.0,False,Andarine,1000.0,Androgen Receptor,Endocrinology & Hormones,222,324742
A549|Andarine__10000.0,A549,Andarine__10000.0,False,Andarine,10000.0,Androgen Receptor,Endocrinology & Hormones,268,426330
A549|Aurora A Inhibitor I__10.0,A549,Aurora A Inhibitor I__10.0,False,Aurora A Inhibitor I,10.0,Aurora Kinase,Cell Cycle,568,1056807
A549|Aurora A Inhibitor I__100.0,A549,Aurora A Inhibitor I__100.0,False,Aurora A Inhibitor I,100.0,Aurora Kinase,Cell Cycle,620,1016191
A549|Aurora A Inhibitor I__1000.0,A549,Aurora A Inhibitor I__1000.0,False,Aurora A Inhibitor I,1000.0,Aurora Kinase,Cell Cycle,699,1171403
A549|Aurora A Inhibitor I__10000.0,A549,Aurora A Inhibitor I__10000.0,False,Aurora A Inhibitor I,10000.0,Aurora Kinase,Cell Cycle,435,1028162
A549|Avagacestat (BMS-708163)__10.0,A549,Avagacestat (BMS-708163)__10.0,False,Avagacestat (BMS-708163),10.0,"Beta Amyloid,Gamma-secretase",Proteases,204,316137
A549|Avagacestat (BMS-708163)__100.0,A549,Avagacestat (BMS-708163)__100.0,False,Avagacestat (BMS-708163),100.0,"Beta Amyloid,Gamma-secretase",Proteases,209,303177
A549|Avagacestat (BMS-708163)__1000.0,A549,Avagacestat (BMS-708163)__1000.0,False,Avagacestat (BMS-708163),1000.0,"Beta Amyloid,Gamma-secretase",Proteases,210,334509
A549|Avagacestat (BMS-708163)__10000.0,A549,Avagacestat (BMS-708163)__10000.0,False,Avagacestat (BMS-708163),10000.0,"Beta Amyloid,Gamma-secretase",Proteases,207,300587
A549|Azacitidine __10.0,A549,Azacitidine __10.0,False,Azacitidine ,10.0,DNA Methyltransferase,DNA Damage,520,913304
A549|Azacitidine __100.0,A549,Azacitidine __100.0,False,Azacitidine ,100.0,DNA Methyltransferase,DNA Damage,686,977591
A549|Azacitidine __1000.0,A549,Azacitidine __1000.0,False,Azacitidine ,1000.0,DNA Methyltransferase,DNA Damage,740,1162935
A549|Azacitidine __10000.0,A549,Azacitidine __10000.0,False,Azacitidine ,10000.0,DNA Methyltransferase,DNA Damage,551,998313
A549|BMS-265246__10.0,A549,BMS-265246__10.0,False,BMS-265246,10.0,CDK,Cell Cycle,219,341214
A549|BMS-265246__100.0,A549,BMS-265246__100.0,False,BMS-265246,100.0,CDK,Cell Cycle,235,362007
A549|BMS-265246__1000.0,A549,BMS-265246__1000.0,False,BMS-265246,1000.0,CDK,Cell Cycle,187,338263
A549|BMS-265246__10000.0,A549,BMS-265246__10000.0,False,BMS-265246,10000.0,CDK,Cell Cycle,140,287452
A549|BMS-536924__10.0,A549,BMS-536924__10.0,False,BMS-536924,10.0,IGF-1R,Protein Tyrosine Kinase,185,292427
A549|BMS-536924__100.0,A549,BMS-536924__100.0,False,BMS-536924,100.0,IGF-1R,Protein Tyrosine Kinase,196,285519
A549|BMS-536924__1000.0,A549,BMS-536924__1000.0,False,BMS-536924,1000.0,IGF-1R,Protein Tyrosine Kinase,176,233013
A549|BMS-536924__10000.0,A549,BMS-536924__10000.0,False,BMS-536924,10000.0,IGF-1R,Protein Tyrosine Kinase,125,177674
A549|BMS-754807__10.0,A549,BMS-754807__10.0,False,BMS-754807,10.0,"c-Met,IGF-1R,Trk receptor",Protein Tyrosine Kinase,172,249346
A549|BMS-754807__100.0,A549,BMS-754807__100.0,False,BMS-754807,100.0,"c-Met,IGF-1R,Trk receptor",Protein Tyrosine Kinase,206,275792
A549|BMS-754807__1000.0,A549,BMS-754807__1000.0,False,BMS-754807,1000.0,"c-Met,IGF-1R,Trk receptor",Protein Tyrosine Kinase,160,229748
A549|BMS-754807__10000.0,A549,BMS-754807__10000.0,False,BMS-754807,10000.0,"c-Met,IGF-1R,Trk receptor",Protein Tyrosine Kinase,136,276740
A549|BMS-911543__10.0,A549,BMS-911543__10.0,False,BMS-911543,10.0,JAK,JAK/STAT,643,1023664
A549|BMS-911543__100.0,A549,BMS-911543__100.0,False,BMS-911543,100.0,JAK,JAK/STAT,682,1120940
A549|BMS-911543__1000.0,A549,BMS-911543__1000.0,False,BMS-911543,1000.0,JAK,JAK/STAT,753,1207624
A549|BMS-911543__10000.0,A549,BMS-911543__10000.0,False,BMS-911543,10000.0,JAK,JAK/STAT,656,960815
A549|BRD4770__10.0,A549,BRD4770__10.0,False,BRD4770,10.0,Histone Methyltransferase,Epigenetics,251,434402
A549|BRD4770__100.0,A549,BRD4770__100.0,False,BRD4770,100.0,Histone Methyltransferase,Epigenetics,197,290108
A549|BRD4770__1000.0,A549,BRD4770__1000.0,False,BRD4770,1000.0,Histone Methyltransferase,Epigenetics,213,349619
A549|BRD4770__10000.0,A549,BRD4770__10000.0,False,BRD4770,10000.0,Histone Methyltransferase,Epigenetics,240,369797
A549|Barasertib (AZD1152-HQPA)__10.0,A549,Barasertib (AZD1152-HQPA)__10.0,False,Barasertib (AZD1152-HQPA),10.0,Aurora Kinase,Cell Cycle,407,1096597
A549|Barasertib (AZD1152-HQPA)__100.0,A549,Barasertib (AZD1152-HQPA)__100.0,False,Barasertib (AZD1152-HQPA),100.0,Aurora Kinase,Cell Cycle,311,1115664
A549|Barasertib (AZD1152-HQPA)__1000.0,A549,Barasertib (AZD1152-HQPA)__1000.0,False,Barasertib (AZD1152-HQPA),1000.0,Aurora Kinase,Cell Cycle,290,958917
A549|Barasertib (AZD1152-HQPA)__10000.0,A549,Barasertib (AZD1152-HQPA)__10000.0,False,Barasertib (AZD1152-HQPA),10000.0,Aurora Kinase,Cell Cycle,283,1095096
"A549|Baricitinib (LY3009104, INCB028050)__10.0",A549,"Baricitinib (LY3009104, INCB028050)__10.0",False,"Baricitinib (LY3009104, INCB028050)",10.0,JAK,Epigenetics,198,343106
"A549|Baricitinib (LY3009104, INCB028050)__100.0",A549,"Baricitinib (LY3009104, INCB028050)__100.0",False,"Baricitinib (LY3009104, INCB028050)",100.0,JAK,Epigenetics,209,347585
"A549|Baricitinib (LY3009104, INCB028050)__1000.0",A549,"Baricitinib (LY3009104, INCB028050)__1000.0",False,"Baricitinib (LY3009104, INCB028050)",1000.0,JAK,Epigenetics,200,334210
"A549|Baricitinib (LY3009104, INCB028050)__10000.0",A549,"Baricitinib (LY3009104, INCB028050)__10000.0",False,"Baricitinib (LY3009104, INCB028050)",10000.0,JAK,Epigenetics,249,472508
A549|Belinostat (PXD101)__10.0,A549,Belinostat (PXD101)__10.0,False,Belinostat (PXD101),10.0,HDAC,Epigenetics,660,1241241
A549|Belinostat (PXD101)__100.0,A549,Belinostat (PXD101)__100.0,False,Belinostat (PXD101),100.0,HDAC,Epigenetics,657,1122096
A549|Belinostat (PXD101)__1000.0,A549,Belinostat (PXD101)__1000.0,False,Belinostat (PXD101),1000.0,HDAC,Epigenetics,485,817018
A549|Belinostat (PXD101)__10000.0,A549,Belinostat (PXD101)__10000.0,False,Belinostat (PXD101),10000.0,HDAC,Epigenetics,175,336754
A549|Bisindolylmaleimide IX (Ro 31-8220 Mesylate)__10.0,A549,Bisindolylmaleimide IX (Ro 31-8220 Mesylate)__10.0,False,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),10.0,PKC,TGF-beta/Smad,598,1051322
A549|Bisindolylmaleimide IX (Ro 31-8220 Mesylate)__100.0,A549,Bisindolylmaleimide IX (Ro 31-8220 Mesylate)__100.0,False,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),100.0,PKC,TGF-beta/Smad,606,1002743
A549|Bisindolylmaleimide IX (Ro 31-8220 Mesylate)__1000.0,A549,Bisindolylmaleimide IX (Ro 31-8220 Mesylate)__1000.0,False,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1000.0,PKC,TGF-beta/Smad,640,1155473
A549|Bisindolylmaleimide IX (Ro 31-8220 Mesylate)__10000.0,A549,Bisindolylmaleimide IX (Ro 31-8220 Mesylate)__10000.0,False,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),10000.0,PKC,TGF-beta/Smad,36,43843
A549|Bosutinib (SKI-606)__10.0,A549,Bosutinib (SKI-606)__10.0,False,Bosutinib (SKI-606),10.0,Src,Angiogenesis,230,330518
A549|Bosutinib (SKI-606)__100.0,A549,Bosutinib (SKI-606)__100.0,False,Bosutinib (SKI-606),100.0,Src,Angiogenesis,245,406097
A549|Bosutinib (SKI-606)__1000.0,A549,Bosutinib (SKI-606)__1000.0,False,Bosutinib (SKI-606),1000.0,Src,Angiogenesis,225,341926
A549|Bosutinib (SKI-606)__10000.0,A549,Bosutinib (SKI-606)__10000.0,False,Bosutinib (SKI-606),10000.0,Src,Angiogenesis,220,331827
A549|Busulfan __10.0,A549,Busulfan __10.0,False,Busulfan ,10.0,DNA alkylator,DNA Damage,248,419705
A549|Busulfan __100.0,A549,Busulfan __100.0,False,Busulfan ,100.0,DNA alkylator,DNA Damage,221,414123
A549|Busulfan __1000.0,A549,Busulfan __1000.0,False,Busulfan ,1000.0,DNA alkylator,DNA Damage,226,336594
A549|Busulfan __10000.0,A549,Busulfan __10000.0,False,Busulfan ,10000.0,DNA alkylator,DNA Damage,214,311086
A549|CEP-33779__10.0,A549,CEP-33779__10.0,False,CEP-33779,10.0,JAK,JAK/STAT,212,379917
A549|CEP-33779__100.0,A549,CEP-33779__100.0,False,CEP-33779,100.0,JAK,JAK/STAT,262,411277
A549|CEP-33779__1000.0,A549,CEP-33779__1000.0,False,CEP-33779,1000.0,JAK,JAK/STAT,246,327999
A549|CEP-33779__10000.0,A549,CEP-33779__10000.0,False,CEP-33779,10000.0,JAK,JAK/STAT,211,347015
A549|CUDC-101__10.0,A549,CUDC-101__10.0,False,CUDC-101,10.0,"EGFR,HDAC,HER2",Epigenetics,265,390600
A549|CUDC-101__100.0,A549,CUDC-101__100.0,False,CUDC-101,100.0,"EGFR,HDAC,HER2",Epigenetics,205,329447
A549|CUDC-101__1000.0,A549,CUDC-101__1000.0,False,CUDC-101,1000.0,"EGFR,HDAC,HER2",Epigenetics,207,309075
A549|CUDC-101__10000.0,A549,CUDC-101__10000.0,False,CUDC-101,10000.0,"EGFR,HDAC,HER2",Epigenetics,150,303738
A549|CUDC-907__10.0,A549,CUDC-907__10.0,False,CUDC-907,10.0,"HDAC,PI3K",Cytoskeletal Signaling,203,407235
A549|CUDC-907__100.0,A549,CUDC-907__100.0,False,CUDC-907,100.0,"HDAC,PI3K",Cytoskeletal Signaling,162,293477
A549|CUDC-907__1000.0,A549,CUDC-907__1000.0,False,CUDC-907,1000.0,"HDAC,PI3K",Cytoskeletal Signaling,153,298296
A549|CUDC-907__10000.0,A549,CUDC-907__10000.0,False,CUDC-907,10000.0,"HDAC,PI3K",Cytoskeletal Signaling,61,98416
A549|CYC116__10.0,A549,CYC116__10.0,False,CYC116,10.0,"Aurora Kinase,VEGFR",Cell Cycle,204,363318
A549|CYC116__100.0,A549,CYC116__100.0,False,CYC116,100.0,"Aurora Kinase,VEGFR",Cell Cycle,190,339376
A549|CYC116__1000.0,A549,CYC116__1000.0,False,CYC116,1000.0,"Aurora Kinase,VEGFR",Cell Cycle,144,271106
A549|CYC116__10000.0,A549,CYC116__10000.0,False,CYC116,10000.0,"Aurora Kinase,VEGFR",Cell Cycle,119,274701
A549|Capecitabine __10.0,A549,Capecitabine __10.0,False,Capecitabine ,10.0,DNA/RNA Synthesis,DNA Damage,224,349295
A549|Capecitabine __100.0,A549,Capecitabine __100.0,False,Capecitabine ,100.0,DNA/RNA Synthesis,DNA Damage,255,428351
A549|Capecitabine __1000.0,A549,Capecitabine __1000.0,False,Capecitabine ,1000.0,DNA/RNA Synthesis,DNA Damage,238,392518
A549|Capecitabine __10000.0,A549,Capecitabine __10000.0,False,Capecitabine ,10000.0,DNA/RNA Synthesis,DNA Damage,209,346183
A549|Carmofur__10.0,A549,Carmofur__10.0,False,Carmofur,10.0,DNA/RNA Synthesis,DNA Damage,234,338081
A549|Carmofur__100.0,A549,Carmofur__100.0,False,Carmofur,100.0,DNA/RNA Synthesis,DNA Damage,262,368910
A549|Carmofur__1000.0,A549,Carmofur__1000.0,False,Carmofur,1000.0,DNA/RNA Synthesis,DNA Damage,201,424376
A549|Carmofur__10000.0,A549,Carmofur__10000.0,False,Carmofur,10000.0,DNA/RNA Synthesis,DNA Damage,147,339128
A549|Cediranib (AZD2171)__10.0,A549,Cediranib (AZD2171)__10.0,False,Cediranib (AZD2171),10.0,VEGFR,Protein Tyrosine Kinase,249,342516
A549|Cediranib (AZD2171)__100.0,A549,Cediranib (AZD2171)__100.0,False,Cediranib (AZD2171),100.0,VEGFR,Protein Tyrosine Kinase,224,378813
A549|Cediranib (AZD2171)__1000.0,A549,Cediranib (AZD2171)__1000.0,False,Cediranib (AZD2171),1000.0,VEGFR,Protein Tyrosine Kinase,187,279261
A549|Cediranib (AZD2171)__10000.0,A549,Cediranib (AZD2171)__10000.0,False,Cediranib (AZD2171),10000.0,VEGFR,Protein Tyrosine Kinase,154,212160
A549|Celecoxib__10.0,A549,Celecoxib__10.0,False,Celecoxib,10.0,COX,Neuronal Signaling,235,404614
A549|Celecoxib__100.0,A549,Celecoxib__100.0,False,Celecoxib,100.0,COX,Neuronal Signaling,165,249449
A549|Celecoxib__1000.0,A549,Celecoxib__1000.0,False,Celecoxib,1000.0,COX,Neuronal Signaling,192,279906
A549|Celecoxib__10000.0,A549,Celecoxib__10000.0,False,Celecoxib,10000.0,COX,Neuronal Signaling,223,354449
"A549|Cerdulatinib (PRT062070, PRT2070)__10.0",A549,"Cerdulatinib (PRT062070, PRT2070)__10.0",False,"Cerdulatinib (PRT062070, PRT2070)",10.0,JAK,JAK/STAT,214,322657
"A549|Cerdulatinib (PRT062070, PRT2070)__100.0",A549,"Cerdulatinib (PRT062070, PRT2070)__100.0",False,"Cerdulatinib (PRT062070, PRT2070)",100.0,JAK,JAK/STAT,241,361016
"A549|Cerdulatinib (PRT062070, PRT2070)__1000.0",A549,"Cerdulatinib (PRT062070, PRT2070)__1000.0",False,"Cerdulatinib (PRT062070, PRT2070)",1000.0,JAK,JAK/STAT,239,361478
"A549|Cerdulatinib (PRT062070, PRT2070)__10000.0",A549,"Cerdulatinib (PRT062070, PRT2070)__10000.0",False,"Cerdulatinib (PRT062070, PRT2070)",10000.0,JAK,JAK/STAT,173,677652
A549|Cimetidine __10.0,A549,Cimetidine __10.0,False,Cimetidine ,10.0,Histamine Receptor,Neuronal Signaling,238,395678
A549|Cimetidine __100.0,A549,Cimetidine __100.0,False,Cimetidine ,100.0,Histamine Receptor,Neuronal Signaling,199,342251
A549|Cimetidine __1000.0,A549,Cimetidine __1000.0,False,Cimetidine ,1000.0,Histamine Receptor,Neuronal Signaling,165,291853
A549|Cimetidine __10000.0,A549,Cimetidine __10000.0,False,Cimetidine ,10000.0,Histamine Receptor,Neuronal Signaling,128,245763
A549|Clevudine __10.0,A549,Clevudine __10.0,False,Clevudine ,10.0,DNA/RNA Synthesis,DNA Damage,261,411494
A549|Clevudine __100.0,A549,Clevudine __100.0,False,Clevudine ,100.0,DNA/RNA Synthesis,DNA Damage,204,325671
