Interacting Partner,Gene Name,Protein Name,Subcellular Locality,AF_Score,RF_Score,DCA_Score,confident,Function,pdb
O95251,KAT7,Histone acetyltransferase KAT7,"Centromere, Chromosome, Cytoplasm, Nucleus",0.9,0.1655,0.187,high,"Acyltransferase, Chromatin regulator, DNA damage, DNA repair, DNA replication, Transcription, Transcription regulation, Transferase",['O95251_S0__P00533_S2.pdb']
Q9ULH0,KIDINS220,Kinase D-interacting substrate of 220 kDa,"Endosome, Membrane",0.899,0.2637,0.222,high,Neurogenesis,"['P00533_S2__Q9ULH0_S1.pdb', 'P00533_S2__Q9ULH0_S2.pdb']"
Q9Y5K6,CD2AP,CD2-associated protein,"Cell junction, Cell projection, Cytoplasm, Cytoskeleton",0.8887,0.2961,0.184,high,"Cell cycle, Cell division, Host-virus interaction, Mitosis",['P00533_S2__Q9Y5K6_S0.pdb']
Q9HDC5,JPH1,Junctophilin-1,"Cell membrane, Endoplasmic reticulum, Membrane, Sarcoplasmic reticulum",0.8867,0.1941,0.108,medium,NA,['P00533_S2__Q9HDC5_S0.pdb']
Q92608,DOCK2,Dedicator of cytokinesis protein 2,"Cytoplasm, Cytoskeleton, Membrane",0.8794,0.2751,0.131,high,Guanine-nucleotide releasing factor,['P00533_S2__Q92608_S3.pdb']
Q9UI12,ATP6V1H,V-type proton ATPase subunit H,"Cytoplasmic vesicle, Membrane",0.8794,0.1515,0.164,high,"Host-virus interaction, Hydrogen ion transport, Ion transport, Transport",['P00533_S2__Q9UI12_S0.pdb']
P29375,KDM5A,Lysine-specific demethylase 5A,Nucleus,0.8784,0.2666,0.185,high,"Activator, Biological rhythms, Chromatin regulator, Developmental protein, Dioxygenase, Oxidoreductase, Transcription, Transcription regulation","['P00533_S2__P29375_S1.pdb', 'P00533_S2__P29375_S2.pdb', 'P00533_S2__P29375_S3.pdb']"
Q9UHI8,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,"Extracellular matrix, Secreted",0.874,0.1826,0.129,medium,"Heparin-binding, Hydrolase, Metalloprotease, Protease","['P00533_S2__Q9UHI8_S1.pdb', 'P00533_S2__Q9UHI8_S2.pdb']"
Q86X24,HORMAD1,HORMA domain-containing protein 1,"Chromosome, Nucleus",0.872,0.3867,0.142,Not confident,"Differentiation, Meiosis, Oogenesis, Spermatogenesis",none
Q9NVE7,PANK4,4'-phosphopantetheine phosphatase,Cytoplasm,0.871,0.1753,0.137,medium,"Coenzyme A biosynthesis, Hydrolase",['P00533_S2__Q9NVE7_S0.pdb']
O75530,EED,Polycomb protein EED,"Chromosome, Nucleus",0.865,0.3833,0.152,high,"Chromatin regulator, Host-virus interaction, Repressor, Transcription, Transcription regulation",['O75530_S0__P00533_S2.pdb']
Q8N2I9,STK40,Serine/threonine-protein kinase 40,"Cytoplasm, Nucleus",0.8647,0.227,0.173,Not confident,"Kinase, Serine/threonine-protein kinase, Transferase",none
Q99797,MIPEP,Mitochondrial intermediate peptidase,Mitochondrion,0.8647,0.152,0.207,medium,"Hydrolase, Metalloprotease, Protease",['P00533_S2__Q99797_S0.pdb']
Q13042,CDC16,Cell division cycle protein 16 homolog,"Cytoplasm, Cytoskeleton",0.8643,0.1926,0.191,medium,"Cell cycle, Cell division, Mitosis, Ubl conjugation pathway",['P00533_S2__Q13042_S0.pdb']
Q5JSH3,WDR44,WD repeat-containing protein 44,"Cytoplasm, Endosome, Golgi apparatus, Membrane",0.863,0.2352,0.135,medium,NA,['P00533_S2__Q5JSH3_S0.pdb']
A6NIK2,LRRC10B,Leucine-rich repeat-containing protein 10B,NA,0.8594,0.1741,0.229,medium,NA,['A6NIK2_S0__P00533_S2.pdb']
Q9NVX2,NLE1,Notchless protein homolog 1,Nucleus,0.8594,0.1302,0.162,medium,Notch signaling pathway,['P00533_S2__Q9NVX2_S0.pdb']
Q92611,EDEM1,ER degradation-enhancing alpha-mannosidase-like protein 1,"Endoplasmic reticulum, Membrane",0.858,0.597,0.184,high,Unfolded protein response,['P00533_S2__Q92611_S0.pdb']
O43684,BUB3,Mitotic checkpoint protein BUB3,"Centromere, Chromosome, Kinetochore, Nucleus",0.857,0.2249,0.205,medium,"Cell cycle, Cell division, Chromosome partition, Meiosis, Mitosis",['O43684_S0__P00533_S2.pdb']
P10398,ARAF,Serine/threonine-protein kinase A-Raf,NA,0.856,0.2202,0.212,medium,"Kinase, Serine/threonine-protein kinase, Transferase",['P00533_S2__P10398_S0.pdb']
Q9P2N4,ADAMTS9,A disintegrin and metalloproteinase with thrombospondin motifs 9,"Endoplasmic reticulum, Extracellular matrix, Secreted",0.8555,0.2686,0.209,high,"ER-Golgi transport, Hydrolase, Metalloprotease, Protease, Protein transport, Transport","['P00533_S2__Q9P2N4_S1.pdb', 'P00533_S2__Q9P2N4_S2.pdb', 'P00533_S2__Q9P2N4_S3.pdb']"
P41252,IARS1,"Isoleucine--tRNA ligase, cytoplasmic",Cytoplasm,0.854,0.546,0.198,high,"Aminoacyl-tRNA synthetase, Ligase, Protein biosynthesis","['P00533_S1__P41252_S3.pdb', 'P00533_S2__P41252_S2.pdb']"
Q86TZ1,TTC6,Tetratricopeptide repeat protein 6,NA,0.842,0.3801,0.144,Not confident,NA,none
P08514,ITGA2B,Integrin alpha-IIb,Membrane,0.842,0.3525,0.124,medium,"Cell adhesion, Integrin, Receptor",['P00533_S2__P08514_S1.pdb']
Q9P0J1,PDP1,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",Mitochondrion,0.8413,0.198,0.176,medium,"Hydrolase, Protein phosphatase",['P00533_S2__Q9P0J1_S0.pdb']
Q6UXM1,LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,"Cell membrane, Cytoplasmic vesicle, Membrane",0.8403,0.2391,0.233,medium,Developmental protein,"['P00533_S1__Q6UXM1_S2.pdb', 'P00533_S2__Q6UXM1_S1.pdb', 'P00533_S2__Q6UXM1_S2.pdb']"
Q9BQL6,FERMT1,Fermitin family homolog 1,"Cell junction, Cell membrane, Cell projection, Cytoplasm, Cytoskeleton, Membrane",0.836,0.3132,0.112,medium,Cell adhesion,"['P00533_S1__Q9BQL6_S0.pdb', 'P00533_S2__Q9BQL6_S0.pdb']"
Q9UIG0,BAZ1B,Tyrosine-protein kinase BAZ1B,Nucleus,0.8354,0.7563,0.134,Not confident,"DNA damage, Kinase, Transcription, Transcription regulation, Transferase, Tyrosine-protein kinase",none
Q04721,NOTCH2,Neurogenic locus notch homolog protein 2,"Cell membrane, Cytoplasm, Membrane, Nucleus",0.832,0.449,0.174,medium,"Activator, Developmental protein, Differentiation, Notch signaling pathway, Receptor, Transcription, Transcription regulation","['P00533_S1__Q04721_S2.pdb', 'P00533_S2__Q04721_S1.pdb', 'P00533_S2__Q04721_S3.pdb', 'P00533_S2__Q04721_S4.pdb']"
P0DPD6,ECE2,Endothelin-converting enzyme 2,"Cytoplasmic vesicle, Golgi apparatus, Membrane",0.83,0.3853,0.156,Not confident,"Hydrolase, Metalloprotease, Methyltransferase, Multifunctional enzyme, Protease, Transferase",none
O60716,CTNND1,Catenin delta-1,"Cell junction, Cell membrane, Cytoplasm, Membrane, Nucleus",0.8276,0.1604,0.084,high,"Cell adhesion, Transcription, Transcription regulation, Wnt signaling pathway",['O60716_S0__P00533_S2.pdb']
Q9Y263,PLAA,Phospholipase A-2-activating protein,"Cytoplasm, Nucleus, Synapse",0.8247,0.2098,0.205,medium,"Developmental protein, Neurogenesis",['P00533_S2__Q9Y263_S0.pdb']
Q6PD62,CTR9,RNA polymerase-associated protein CTR9 homolog,Nucleus,0.823,0.2231,0.174,medium,"Transcription, Transcription regulation, Wnt signaling pathway","['P00533_S1__Q6PD62_S2.pdb', 'P00533_S2__Q6PD62_S1.pdb', 'P00533_S2__Q6PD62_S2.pdb']"
Q8WVX9,FAR1,Fatty acyl-CoA reductase 1,"Membrane, Peroxisome",0.8223,0.1987,0.163,high,"Lipid biosynthesis, Lipid metabolism, Oxidoreductase",['P00533_S2__Q8WVX9_S0.pdb']
Q15572,TAF1C,TATA box-binding protein-associated factor RNA polymerase I subunit C,Nucleus,0.821,0.2593,0.083,medium,"DNA-binding, Transcription, Transcription regulation",['P00533_S2__Q15572_S0.pdb']
P20794,MAK,Serine/threonine-protein kinase MAK,"Cell projection, Cilium, Cytoplasm, Cytoskeleton, Nucleus",0.8164,0.3389,0.211,Not confident,"Developmental protein, Differentiation, Kinase, Serine/threonine-protein kinase, Spermatogenesis, Transcription, Transcription regulation, Transferase",none
P31153,MAT2A,S-adenosylmethionine synthase isoform type-2,NA,0.814,0.1537,0.149,Not confident,"One-carbon metabolism, Transferase",none
Q99638,RAD9A,Cell cycle checkpoint control protein RAD9A,Nucleus,0.8115,0.1127,0.159,Not confident,"DNA damage, Exonuclease, Hydrolase, Nuclease",none
P52888,THOP1,Thimet oligopeptidase,Cytoplasm,0.809,0.1727,0.183,Not confident,"Hydrolase, Metalloprotease, Protease",none
O95376,ARIH2,E3 ubiquitin-protein ligase ARIH2,"Cytoplasm, Nucleus",0.8057,0.1945,0.179,Not confident,"Transferase, Ubl conjugation pathway",none
Q9UBZ9,REV1,DNA repair protein REV1,Nucleus,0.8027,0.1746,0.236,Not confident,"DNA damage, DNA repair, DNA synthesis, DNA-binding, Nucleotidyltransferase, Transferase",none
Q15120,PDK3,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",Mitochondrion,0.7983,0.224,0.157,medium,"Kinase, Transferase",['P00533_S2__Q15120_S0.pdb']
Q86Y97,KMT5C,Histone-lysine N-methyltransferase KMT5C,"Chromosome, Nucleus",0.797,0.6597,0.165,Not confident,"Chromatin regulator, Methyltransferase, Repressor, Transcription, Transcription regulation, Transferase",none
Q8N119,MMP21,Matrix metalloproteinase-21,Secreted,0.7964,0.253,0.098,medium,"Hydrolase, Metalloprotease, Protease",['P00533_S2__Q8N119_S0.pdb']
P61160,ACTR2,Actin-related protein 2,"Cell projection, Cytoplasm, Cytoskeleton, Nucleus",0.795,0.1526,0.132,medium,Actin-binding,['P00533_S2__P61160_S0.pdb']
Q9H3H1,TRIT1,tRNA dimethylallyltransferase,"Cytoplasm, Mitochondrion",0.792,0.2306,0.239,Not confident,"Transferase, tRNA processing",none
Q8NEP7,KLHDC9,Kelch domain-containing protein 9,NA,0.7915,0.1273,0.074,Not confident,NA,none
Q5T160,RARS2,"Probable arginine--tRNA ligase, mitochondrial","Membrane, Mitochondrion",0.788,0.1976,0.202,Not confident,"Aminoacyl-tRNA synthetase, Ligase, Protein biosynthesis",none
Q07889,SOS1,Son of sevenless homolog 1,NA,0.786,0.2815,0.145,high,Guanine-nucleotide releasing factor,"['P00533_S2__Q07889_S1.pdb', 'P00533_S2__Q07889_S2.pdb']"
Q9UBV2,SEL1L,Protein sel-1 homolog 1,"Endoplasmic reticulum, Membrane",0.784,0.325,0.173,high,"Host-virus interaction, Notch signaling pathway",['P00533_S2__Q9UBV2_S0.pdb']
Q9UNA0,ADAMTS5,A disintegrin and metalloproteinase with thrombospondin motifs 5,"Extracellular matrix, Secreted",0.7744,0.286,0.125,Not confident,"Hydrolase, Metalloprotease, Protease",none
Q9H0R6,QRSL1,"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial",Mitochondrion,0.7725,0.2678,0.215,Not confident,"Ligase, Protein biosynthesis",none
P42679,MATK,Megakaryocyte-associated tyrosine-protein kinase,"Cytoplasm, Membrane",0.769,0.1621,0.323,Not confident,"Kinase, Transferase, Tyrosine-protein kinase",none
O43707,ACTN4,Alpha-actinin-4,"Cell junction, Cytoplasm, Cytoskeleton, Nucleus",0.7686,0.1771,0.147,high,"Actin-binding, Protein transport, Transport","['O43707_S1__P00533_S1.pdb', 'O43707_S1__P00533_S2.pdb', 'O43707_S2__P00533_S2.pdb']"
Q9H6W3,RIOX1,Ribosomal oxygenase 1,Nucleus,0.768,0.5176,0.151,Not confident,"Chromatin regulator, Dioxygenase, Oxidoreductase, Repressor, Transcription, Transcription regulation",none
P78406,RAE1,mRNA export factor RAE1,"Cytoplasm, Cytoskeleton, Nucleus",0.7676,0.158,0.151,Not confident,"Cell cycle, Cell division, Host-virus interaction, Mitosis, Transport",none
P49721,PSMB2,Proteasome subunit beta type-2,"Cytoplasm, Nucleus, Proteasome",0.7676,0.1367,0.184,Not confident,Host-virus interaction,none
P17707,AMD1,S-adenosylmethionine decarboxylase proenzyme,NA,0.767,0.2673,0.191,Not confident,"Decarboxylase, Lyase, Polyamine biosynthesis, Spermidine biosynthesis",none
O00533,CHL1,Neural cell adhesion molecule L1-like protein,"Cell membrane, Extracellular matrix, Membrane, Secreted",0.7627,0.3062,0.121,Not confident,"Cell adhesion, Developmental protein, Differentiation, Neurogenesis",none
Q96RK4,BBS4,Bardet-Biedl syndrome 4 protein,"Cell membrane, Cell projection, Cilium, Cytoplasm, Cytoskeleton, Flagellum, Membrane",0.761,0.3308,0.158,Not confident,"Cilium biogenesis/degradation, Protein transport, Sensory transduction, Transport, Vision",none
P78396,CCNA1,Cyclin-A1,Nucleus,0.761,0.3037,0.234,Not confident,"Cell cycle, Cell division, Cyclin, Mitosis",none
P42681,TXK,Tyrosine-protein kinase TXK,"Cell membrane, Cytoplasm, Membrane, Nucleus",0.761,0.1836,0.305,Not confident,"Adaptive immunity, Immunity, Kinase, Transcription, Transcription regulation, Transferase, Tyrosine-protein kinase",none
Q5TGI0,FAXC,Failed axon connections homolog,Membrane,0.7607,0.764,0.135,Not confident,NA,none
P54136,RARS1,"Arginine--tRNA ligase, cytoplasmic",Cytoplasm,0.7583,0.1968,0.185,Not confident,"Aminoacyl-tRNA synthetase, Ligase, Protein biosynthesis",none
Q05932,FPGS,"Folylpolyglutamate synthase, mitochondrial","Cytoplasm, Membrane, Mitochondrion, Mitochondrion inner membrane",0.756,0.1376,0.227,Not confident,"Ligase, One-carbon metabolism",none
Q9NP56,PDE7B,"3',5'-cyclic-AMP phosphodiesterase 7B",NA,0.7554,0.545,0.162,Not confident,Hydrolase,none
Q9NYK5,MRPL39,Large ribosomal subunit protein mL39,Mitochondrion,0.755,0.10693,0.15,Not confident,"Ribonucleoprotein, Ribosomal protein",none
O15294,OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,"Cell membrane, Cell projection, Cytoplasm, Membrane, Mitochondrion, Nucleus",0.753,0.2001,0.166,Not confident,"Apoptosis, Biological rhythms, Chromatin regulator, Glycosyltransferase, Host-virus interaction, Transferase, Ubl conjugation pathway",none
Q8TF66,LRRC15,Leucine-rich repeat-containing protein 15,"Cell membrane, Membrane",0.751,0.3528,0.27,Not confident,NA,none
P27487,DPP4,Dipeptidyl peptidase 4,"Cell junction, Cell membrane, Cell projection, Membrane, Secreted",0.7505,0.1482,0.199,Not confident,"Aminopeptidase, Cell adhesion, Host-virus interaction, Hydrolase, Protease, Receptor, Serine protease",none
Q8IZ69,TRMT2A,tRNA (uracil-5-)-methyltransferase homolog A,Cytoplasm,0.749,0.1882,0.188,Not confident,"Methyltransferase, mRNA processing, RNA-binding, Transferase, tRNA processing",none
Q13283,G3BP1,Ras GTPase-activating protein-binding protein 1,"Cytoplasm, Nucleus",0.749,0.1769,0.21,Not confident,"DNA-binding, Endonuclease, Helicase, Host-virus interaction, Hydrolase, Immunity, Innate immunity, Nuclease, RNA-binding, Transport",none
Q53GS9,USP39,Ubiquitin carboxyl-terminal hydrolase 39,"Nucleus, Spliceosome",0.745,0.1729,0.16,Not confident,"Cell cycle, Cell division, Hydrolase, mRNA processing, mRNA splicing, Ubl conjugation pathway",none
Q9Y2P8,RCL1,RNA 3'-terminal phosphate cyclase-like protein,Nucleus,0.7407,0.1682,0.162,Not confident,Ribosome biogenesis,none
O95831,AIFM1,"Apoptosis-inducing factor 1, mitochondrial","Cytoplasm, Membrane, Mitochondrion, Mitochondrion inner membrane, Nucleus",0.735,0.2864,0.164,Not confident,"Apoptosis, DNA-binding, Oxidoreductase",none
Q659A1,ICE2,Little elongation complex subunit 2,Nucleus,0.734,0.2002,0.089,Not confident,"Transcription, Transcription regulation",none
Q99447,PCYT2,Ethanolamine-phosphate cytidylyltransferase,NA,0.7305,0.559,0.138,Not confident,"Lipid biosynthesis, Lipid metabolism, Nucleotidyltransferase, Phospholipid biosynthesis, Phospholipid metabolism, Transferase",none
P29322,EPHA8,Ephrin type-A receptor 8,"Cell membrane, Cell projection, Endosome, Membrane",0.728,0.3225,0.307,Not confident,"Cell adhesion, Developmental protein, Kinase, Neurogenesis, Receptor, Transferase, Tyrosine-protein kinase",none
Q92545,TMEM131,Transmembrane protein 131,Membrane,0.7266,0.5933,0.134,Not confident,NA,none
Q8NCW6,GALNT11,Polypeptide N-acetylgalactosaminyltransferase 11,"Golgi apparatus, Membrane",0.726,0.464,0.161,Not confident,"Glycosyltransferase, Notch signaling pathway, Transferase",none
O00219,HAS3,Hyaluronan synthase 3,"Cell membrane, Endosome, Golgi apparatus, Membrane",0.7256,0.2175,0.113,Not confident,"Glycosyltransferase, Transferase",none
Q13702,RAPSN,43 kDa receptor-associated protein of the synapse,"Cell membrane, Cytoplasm, Cytoskeleton, Membrane, Postsynaptic cell membrane, Synapse",0.725,0.1797,0.086,Not confident,NA,none
Q13564,NAE1,NEDD8-activating enzyme E1 regulatory subunit,"Cell membrane, Membrane",0.723,0.1975,0.191,Not confident,"Apoptosis, Cell cycle, Ubl conjugation pathway",none
Q9GZN1,ACTR6,Actin-related protein 6,"Cytoplasm, Cytoskeleton, Nucleus",0.718,0.4973,0.198,Not confident,"Activator, Repressor, Transcription, Transcription regulation",none
P42892,ECE1,Endothelin-converting enzyme 1,"Cell membrane, Membrane",0.71,0.344,0.155,Not confident,"Hydrolase, Metalloprotease, Protease",none
Q5JVF3,PCID2,PCI domain-containing protein 2,"Cytoplasm, Nuclear pore complex, Nucleus",0.71,0.2817,0.176,Not confident,"mRNA transport, Protein transport, Translocation, Transport",none
Q9UQQ2,SH2B3,SH2B adapter protein 3,NA,0.7095,0.1528,0.109,high,NA,['P00533_S2__Q9UQQ2_S0.pdb']
P35913,PDE6B,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta","Cell projection, Membrane",0.707,0.2715,0.14,Not confident,"Hydrolase, Sensory transduction, Vision",none
Q5JPH6,EARS2,"Nondiscriminating glutamyl-tRNA synthetase EARS2, mitochondrial",Mitochondrion,0.7056,0.2422,0.181,Not confident,"Aminoacyl-tRNA synthetase, Ligase, Protein biosynthesis, RNA-binding",none
Q9HCU5,PREB,Prolactin regulatory element-binding protein,"Endoplasmic reticulum, Membrane, Nucleus",0.7036,0.257,0.143,Not confident,"Activator, DNA-binding, ER-Golgi transport, Protein transport, Transcription, Transcription regulation, Transport",none
Q7Z392,TRAPPC11,Trafficking protein particle complex subunit 11,Golgi apparatus,0.7036,0.1946,0.169,Not confident,"ER-Golgi transport, Transport",none
P49917,LIG4,DNA ligase 4,Nucleus,0.703,0.2593,0.223,Not confident,"Cell cycle, Cell division, DNA damage, DNA recombination, DNA repair, Ligase",none
O75695,RP2,Protein XRP2,"Cell membrane, Cell projection, Cilium, Membrane",0.701,0.3452,0.126,Not confident,"GTPase activation, Protein transport, Transport",none
P12532,"CKMT1A,CKMT1B","Creatine kinase U-type, mitochondrial","Membrane, Mitochondrion, Mitochondrion inner membrane",0.701,0.2205,0.115,Not confident,"Kinase, Transferase",none
Q9HCF6,TRPM3,Transient receptor potential cation channel subfamily M member 3,"Cell membrane, Membrane",0.7007,0.5396,0.107,Not confident,"Calcium channel, Calcium transport, Ion channel, Ion transport, Transport",none
Q03701,CEBPZ,CCAAT/enhancer-binding protein zeta,Nucleus,0.7,0.3103,0.226,Not confident,"Activator, Transcription, Transcription regulation",none
Q96K12,FAR2,Fatty acyl-CoA reductase 2,"Membrane, Peroxisome",0.696,0.3157,0.175,Not confident,"Lipid biosynthesis, Lipid metabolism, Oxidoreductase",none
Q0VAM2,RASGEF1B,Ras-GEF domain-containing family member 1B,Endosome,0.695,0.1584,0.134,Not confident,Guanine-nucleotide releasing factor,none
Q9Y305,ACOT9,"Acyl-coenzyme A thioesterase 9, mitochondrial",Mitochondrion,0.6924,0.2421,0.171,high,"Hydrolase, Serine esterase",['P00533_S2__Q9Y305_S0.pdb']
Q2TAA5,ALG11,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase","Endoplasmic reticulum, Membrane",0.692,0.2172,0.226,Not confident,"Glycosyltransferase, Transferase",none
Q9Y446,PKP3,Plakophilin-3,"Cell junction, Nucleus",0.6914,0.168,0.097,Not confident,Cell adhesion,none
O76071,CIAO1,Probable cytosolic iron-sulfur protein assembly protein CIAO1,Cytoplasm,0.6914,0.1544,0.197,Not confident,Chromosome partition,none
Q9NQT4,EXOSC5,Exosome complex component RRP46,"Cytoplasm, Exosome, Nucleus",0.691,0.2484,0.176,Not confident,"DNA-binding, rRNA processing",none
Q15436,SEC23A,Protein transport protein Sec23A,"Cytoplasm, Cytoplasmic vesicle, Endoplasmic reticulum, Membrane",0.69,0.1718,0.107,Not confident,"ER-Golgi transport, Protein transport, Transport",none
P43403,ZAP70,Tyrosine-protein kinase ZAP-70,"Cell membrane, Cytoplasm, Membrane",0.6865,0.1583,0.389,medium,"Adaptive immunity, Immunity, Kinase, Transferase, Tyrosine-protein kinase",['P00533_S2__P43403_S0.pdb']
Q9H4B6,SAV1,Protein salvador homolog 1,"Cytoplasm, Nucleus",0.684,0.2351,0.119,Not confident,NA,none
Q8TDY2,RB1CC1,RB1-inducible coiled-coil protein 1,"Cytoplasm, Lysosome, Nucleus",0.682,0.1765,0.156,Not confident,"Autophagy, Cell cycle, Transcription, Transcription regulation",none
P22695,UQCRC2,"Cytochrome b-c1 complex subunit 2, mitochondrial","Membrane, Mitochondrion, Mitochondrion inner membrane",0.68,0.3706,0.189,Not confident,"Electron transport, Respiratory chain, Transport",none
O43502,RAD51C,DNA repair protein RAD51 homolog 3,"Cytoplasm, Mitochondrion, Nucleus",0.6777,0.1362,0.208,Not confident,"DNA damage, DNA recombination, DNA repair, DNA-binding",none
P56199,ITGA1,Integrin alpha-1,Membrane,0.676,0.4004,0.154,Not confident,"Cell adhesion, Integrin, Receptor",none
P28329,CHAT,Choline O-acetyltransferase,NA,0.6724,0.2844,0.185,Not confident,"Acyltransferase, Neurotransmitter biosynthesis, Transferase",none
Q15042,RAB3GAP1,Rab3 GTPase-activating protein catalytic subunit,"Cytoplasm, Endoplasmic reticulum",0.669,0.3374,0.163,Not confident,GTPase activation,none
Q5VWQ0,RSBN1,Lysine-specific demethylase 9,Nucleus,0.6675,0.3682,0.134,Not confident,"Chromatin regulator, Dioxygenase, Oxidoreductase",none
Q9Y6X3,MAU2,MAU2 chromatid cohesion factor homolog,"Chromosome, Nucleus",0.6665,0.1993,0.091,Not confident,"Cell cycle, Cell division, Chromosome partition, Mitosis",none
Q9UBM7,DHCR7,7-dehydrocholesterol reductase,"Endoplasmic reticulum, Membrane",0.665,0.344,0.157,Not confident,"Cholesterol biosynthesis, Cholesterol metabolism, Lipid biosynthesis, Lipid metabolism, Oxidoreductase, Steroid biosynthesis, Steroid metabolism, Sterol biosynthesis, Sterol metabolism",none
P48506,GCLC,Glutamate--cysteine ligase catalytic subunit,NA,0.6646,0.2495,0.167,Not confident,"Glutathione biosynthesis, Ligase",none
Q9Y2K7,KDM2A,Lysine-specific demethylase 2A,"Chromosome, Nucleus",0.661,0.3745,0.128,Not confident,"Biological rhythms, Chromatin regulator, Dioxygenase, DNA-binding, Oxidoreductase, Repressor, Transcription, Transcription regulation, Ubl conjugation pathway",none
P23458,JAK1,Tyrosine-protein kinase JAK1,Membrane,0.661,0.1453,0.199,medium,"Kinase, Transferase, Tyrosine-protein kinase","['P00533_S2__P23458_S1.pdb', 'P00533_S2__P23458_S2.pdb']"
Q9NXR7,BABAM2,BRISC and BRCA1-A complex member 2,"Cytoplasm, Nucleus",0.659,0.1736,0.113,Not confident,"Apoptosis, Cell cycle, Cell division, Chromatin regulator, DNA damage, DNA repair, Mitosis, Ubl conjugation pathway",none
Q5T4B2,CERCAM,Inactive glycosyltransferase 25 family member 3,Endoplasmic reticulum,0.658,0.3152,0.186,Not confident,Cell adhesion,none
Q8IZ07,ANKRD13A,Ankyrin repeat domain-containing protein 13A,"Cell membrane, Endosome, Membrane",0.6577,0.1714,0.124,medium,NA,['P00533_S2__Q8IZ07_S0.pdb']
Q92523,CPT1B,"Carnitine O-palmitoyltransferase 1, muscle isoform","Membrane, Mitochondrion, Mitochondrion outer membrane",0.6562,0.347,0.171,Not confident,"Acyltransferase, Fatty acid metabolism, Lipid metabolism, Transferase, Transport",none
Q9BVC4,MLST8,Target of rapamycin complex subunit LST8,"Cytoplasm, Lysosome, Membrane",0.654,0.588,0.168,medium,NA,['P00533_S2__Q9BVC4_S0.pdb']
Q92673,SORL1,Sortilin-related receptor,"Cell membrane, Cytoplasmic vesicle, Endoplasmic reticulum, Endosome, Golgi apparatus, Membrane, Secreted",0.654,0.295,0.191,Not confident,"Endocytosis, Receptor, Transport",none
